,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,0.869854769209737,0.9809512213750109,0.9954495231140446,0.9894639533531778,0.6985195435385774,0.6227303627118324,0.8643461653043495,0.8726109157383546,0.8722710164435575,0.9880918272387968,0.8691251379626139,0.9478392904404676,0.7824390920391024,0.8719678764971648,0.6929337832058905,0.9321051468165696,0.7079394541842585,0.4222953681130535
F1v,0.869854769209737,1.0,0.9491122379821212,0.8188890431189084,0.9321107776502467,0.9606172360792786,0.9276670856195409,0.9999388491930852,0.9999842365071897,0.9999878997400616,0.9353993724580797,0.9999989090357783,0.981723735874028,0.987804581820307,0.999990755614439,0.9584273554819445,0.989466204124582,0.9642146207291915,-0.07982738952346453
F2,0.9809512213750109,0.9491122379821212,1.0,0.9579768770217368,0.9987398896483749,0.8242201652925855,0.762859702813572,0.9455713507369116,0.9508656119428945,0.9506500556644669,0.9991588748827994,0.9486459966139048,0.9917023726088996,0.8885019530232287,0.9504576493982082,0.8197917710008507,0.9847061882166521,0.8316506062543852,0.23816781170120094
F3,0.9954495231140446,0.8188890431189084,0.9579768770217368,1.0,0.9711653403397753,0.627152046319352,0.5453380093990251,0.812491727387927,0.8220987982048632,0.8217026259484049,0.968933659832872,0.8180403454705504,0.91315250905685,0.7195387483689125,0.821349378262842,0.62107615923358,0.8933506299657143,0.6374169929879343,0.5067504316076469
F4,0.9894639533531778,0.9321107776502467,0.9987398896483749,0.9711653403397753,1.0,0.7947627670127233,0.7294499632799768,0.928048562872221,0.934129639415068,0.9338811696684401,0.9999577818632759,0.9315747819633613,0.9840010560717216,0.8643533584710317,0.9336594506907699,0.7900191516362891,0.9747217873905587,0.8027343958078237,0.28660952541694856
N3,0.6985195435385774,0.9606172360792786,0.8242201652925855,0.627152046319352,0.7947627670127233,1.0,0.9948938373015962,0.9636314680755668,0.9590418619853099,0.9592386374674514,0.8003060967740262,0.9610266469431086,0.890177901463638,0.9921669067552379,0.9594135356531932,0.9999697642313984,0.9102719764757415,0.9999122214666384,-0.35367180244169766
N4,0.6227303627118324,0.9276670856195409,0.762859702813572,0.5453380093990251,0.7294499632799768,0.9948938373015962,1.0,0.9317398198219327,0.9255558240667093,0.9258189203499287,0.735704637065942,0.9282176480061254,0.8396488595809671,0.9744930160994122,0.9260529111725563,0.9956485928695802,0.8638391273271211,0.9934692747172031,-0.4462699108972203
kDN,0.8643461653043495,0.9999388491930852,0.9455713507369116,0.812491727387927,0.928048562872221,0.9636314680755668,0.9317398198219327,1.0,0.999860992760028,0.9998723469687973,0.9314318446343341,0.9999540936886002,0.9795590776851574,0.9894660241228701,0.9998820540641449,0.9615242383687531,0.9878047754168228,0.9670876094191104,-0.09084605290462106
CM,0.8726109157383546,0.9999842365071897,0.9508656119428945,0.8220987982048632,0.934129639415068,0.9590418619853099,0.9255558240667093,0.999860992760028,1.0,0.9999997581470755,0.9373700051781639,0.9999748516439027,0.9827768349178001,0.9869147825843322,0.9999991353395024,0.9568101198300328,0.9902634376558881,0.9627107912437185,-0.07422918237377223
R,0.8722710164435575,0.9999878997400616,0.9506500556644669,0.8217026259484049,0.9338811696684401,0.9592386374674514,0.9258189203499287,0.9998723469687973,0.9999997581470755,1.0,0.9371275149001771,0.9999795421904967,0.9826480732865794,0.9870266865255962,0.9999998080808048,0.9570120767063267,0.9901663817978671,0.9628987110778897,-0.07492273531539843
