,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,-0.767724825454188,0.6873610128590377,0.672148046679133,-0.6703173095056328,-0.8300171251918749,-0.8297149790599774,-0.8278714449214528,-0.8432024985648457,-0.8432024985648457,-0.8432024985648459,-0.8306769435677366,-0.7880168840687733,-0.8047741216934912,-0.7619944120253753,-0.8336911245250314,-0.7939185806547632,-0.8237989816835511,
F1v,-0.767724825454188,1.0,-0.8715956533824365,-0.8158465709611489,0.8644976151363208,0.9342101048194776,0.9202987393689012,0.9369836561356502,0.9187952076212285,0.9187952076212285,0.9187952076212285,0.9421117937840858,0.9443864721595123,0.9062069848513729,0.9768788858513006,0.906330387853196,0.9985776668682123,0.9032180287493012,
F2,0.6873610128590377,-0.8715956533824365,1.0,0.9699279966687597,-0.5736543374372827,-0.7394522270724387,-0.7163165901365618,-0.7466632073263184,-0.7186117544687793,-0.7186117544687793,-0.7186117544687795,-0.770104035123411,-0.7676995698163436,-0.6904690442542227,-0.918610199445336,-0.6984765808678639,-0.8729862558962125,-0.6861048132481626,
F3,0.672148046679133,-0.8158465709611489,0.9699279966687597,1.0,-0.48753783122444727,-0.6841696045903762,-0.6754066985541145,-0.6983426977980045,-0.6585859399477243,-0.6585859399477243,-0.6585859399477243,-0.7386429062825521,-0.7345540737495774,-0.6387129386489943,-0.8863194124227622,-0.6556004235214425,-0.8198168627804975,-0.6372385178665616,
F4,-0.6703173095056328,0.8644976151363208,-0.5736543374372827,-0.48753783122444727,1.0,0.9564744070304863,0.95269050593481,0.9517504644621368,0.9568388022459271,0.9568388022459271,0.9568388022459272,0.9294163582306523,0.9404424006691376,0.9688202969070876,0.7390323258578211,0.9549069775195059,0.8716778170467766,0.9631033945724821,
N3,-0.8300171251918749,0.9342101048194776,-0.7394522270724387,-0.6841696045903762,0.9564744070304863,1.0,0.9975199828868537,0.9994162133422282,0.9982663999877031,0.9982663999877031,0.9982663999877031,0.9930056489243704,0.9900751255299473,0.9955503537369145,0.8535261485102366,0.9958535761361863,0.9477900373014875,0.9955756162727385,
N4,-0.8297149790599774,0.9202987393689012,-0.7163165901365618,-0.6754066985541145,0.95269050593481,0.9975199828868537,1.0,0.9984530735693364,0.9953145603076983,0.9953145603076983,0.9953145603076984,0.9951158761613168,0.9918587746667845,0.9962453045211366,0.8385169040654229,0.9983415179993593,0.9353435171987431,0.9971140025669583,
kDN,-0.8278714449214528,0.9369836561356502,-0.7466632073263184,-0.6983426977980045,0.9517504644621368,0.9994162133422282,0.9984530735693364,1.0,0.9961296892518721,0.9961296892518721,0.9961296892518722,0.9963594159443441,0.9939011709198757,0.9945770095877574,0.8596024991601494,0.9956463159423244,0.9505121153974136,0.9945308830478196,
CM,-0.8432024985648457,0.9187952076212285,-0.7186117544687793,-0.6585859399477243,0.9568388022459271,0.9982663999877031,0.9953145603076983,0.9961296892518721,1.0,0.9999999999999997,0.9999999999999997,0.9861439397846634,0.9810137012816282,0.99591492666164,0.8331977257808374,0.9965234380205114,0.9339790697720062,0.9969791864764477,
R,-0.8432024985648457,0.9187952076212285,-0.7186117544687793,-0.6585859399477243,0.9568388022459271,0.9982663999877031,0.9953145603076983,0.9961296892518721,0.9999999999999997,1.0,0.9999999999999997,0.9861439397846634,0.9810137012816282,0.99591492666164,0.8331977257808374,0.9965234380205114,0.9339790697720062,0.9969791864764477,
D3,-0.8432024985648459,0.9187952076212285,-0.7186117544687795,-0.6585859399477243,0.9568388022459272,0.9982663999877031,0.9953145603076984,0.9961296892518722,0.9999999999999997,0.9999999999999997,1.0,0.9861439397846635,0.9810137012816282,0.99591492666164,0.8331977257808375,0.9965234380205114,0.9339790697720063,0.9969791864764477,
D. Over.,-0.8306769435677366,0.9421117937840858,-0.770104035123411,-0.7386429062825521,0.9294163582306523,0.9930056489243704,0.9951158761613168,0.9963594159443441,0.9861439397846634,0.9861439397846634,0.9861439397846635,1.0,0.9970671337938376,0.9852011820340844,0.876842294772259,0.9891790506167981,0.9557980057744839,0.9855963272654732,
Borderline,-0.7880168840687733,0.9443864721595123,-0.7676995698163436,-0.7345540737495774,0.9404424006691376,0.9900751255299473,0.9918587746667845,0.9939011709198757,0.9810137012816282,0.9810137012816282,0.9810137012816282,0.9970671337938376,1.0,0.9852623513347633,0.8737144557170375,0.9855719835806337,0.9556663333809312,0.9829813873573043,
N1,-0.8047741216934912,0.9062069848513729,-0.6904690442542227,-0.6387129386489943,0.9688202969070876,0.9955503537369145,0.9962453045211366,0.9945770095877574,0.99591492666164,0.99591492666164,0.99591492666164,0.9852011820340844,0.9852623513347633,1.0,0.8115539309403115,0.9982722155512967,0.9207290171734492,0.9992936759229349,
N2,-0.7619944120253753,0.9768788858513006,-0.918610199445336,-0.8863194124227622,0.7390323258578211,0.8535261485102366,0.8385169040654229,0.8596024991601494,0.8331977257808374,0.8331977257808374,0.8331977257808375,0.876842294772259,0.8737144557170375,0.8115539309403115,1.0,0.8192349144642044,0.9725530535905604,0.8111361383737987,
ONB,-0.8336911245250314,0.906330387853196,-0.6984765808678639,-0.6556004235214425,0.9549069775195059,0.9958535761361863,0.9983415179993593,0.9956463159423244,0.9965234380205114,0.9965234380205114,0.9965234380205114,0.9891790506167981,0.9855719835806337,0.9982722155512967,0.8192349144642044,1.0,0.9224231959601923,0.9994807807004706,
LSC,-0.7939185806547632,0.9985776668682123,-0.8729862558962125,-0.8198168627804975,0.8716778170467766,0.9477900373014875,0.9353435171987431,0.9505121153974136,0.9339790697720062,0.9339790697720062,0.9339790697720063,0.9557980057744839,0.9556663333809312,0.9207290171734492,0.9725530535905604,0.9224231959601923,1.0,0.918765730575282,
Clust,-0.8237989816835511,0.9032180287493012,-0.6861048132481626,-0.6372385178665616,0.9631033945724821,0.9955756162727385,0.9971140025669583,0.9945308830478196,0.9969791864764477,0.9969791864764477,0.9969791864764477,0.9855963272654732,0.9829813873573043,0.9992936759229349,0.8111361383737987,0.9994807807004706,0.918765730575282,1.0,
IR,,,,,,,,,,,,,,,,,,,1.0
