,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,-0.642857142857143,0.7857142857142859,0.6071428571428572,-0.6306562238868914,-0.6306562238868914,-0.6306562238868914,-0.6306562238868914,-0.6910233190806426,-0.6910233190806426,-0.6910233190806426,-0.6306562238868914,-0.6306562238868914,-0.6306562238868914,-0.642857142857143,-0.642857142857143,-0.642857142857143,-0.642857142857143,
F1v,-0.642857142857143,1.0,-0.8571428571428573,-0.7857142857142859,0.9910312089651149,0.9910312089651149,0.9910312089651149,0.9910312089651149,0.981980506061966,0.981980506061966,0.981980506061966,0.9910312089651149,0.9910312089651149,0.9910312089651149,1.0,1.0,1.0,1.0,
F2,0.7857142857142859,-0.8571428571428573,1.0,0.9285714285714288,-0.8468812149338255,-0.8468812149338255,-0.8468812149338255,-0.8468812149338255,-0.8365019125713042,-0.8365019125713042,-0.8365019125713042,-0.8468812149338255,-0.8468812149338255,-0.8468812149338255,-0.8571428571428573,-0.8571428571428573,-0.8571428571428573,-0.8571428571428573,
F3,0.6071428571428572,-0.7857142857142859,0.9285714285714288,1.0,-0.7748062179181807,-0.7748062179181807,-0.7748062179181807,-0.7748062179181807,-0.7455777916396408,-0.7455777916396408,-0.7455777916396408,-0.7748062179181807,-0.7748062179181807,-0.7748062179181807,-0.7857142857142859,-0.7857142857142859,-0.7857142857142859,-0.7857142857142859,
F4,-0.6306562238868914,0.9910312089651149,-0.8468812149338255,-0.7748062179181807,1.0,1.0,1.0,1.0,0.9908673886137247,0.9908673886137247,0.9908673886137247,1.0,1.0,1.0,0.991031208965115,0.991031208965115,0.991031208965115,0.991031208965115,
N3,-0.6306562238868914,0.9910312089651149,-0.8468812149338255,-0.7748062179181807,1.0,1.0,1.0,1.0,0.9908673886137247,0.9908673886137247,0.9908673886137247,1.0,1.0,1.0,0.991031208965115,0.991031208965115,0.991031208965115,0.991031208965115,
N4,-0.6306562238868914,0.9910312089651149,-0.8468812149338255,-0.7748062179181807,1.0,1.0,1.0,1.0,0.9908673886137247,0.9908673886137247,0.9908673886137247,1.0,1.0,1.0,0.991031208965115,0.991031208965115,0.991031208965115,0.991031208965115,
kDN,-0.6306562238868914,0.9910312089651149,-0.8468812149338255,-0.7748062179181807,1.0,1.0,1.0,1.0,0.9908673886137247,0.9908673886137247,0.9908673886137247,1.0,1.0,1.0,0.991031208965115,0.991031208965115,0.991031208965115,0.991031208965115,
CM,-0.6910233190806426,0.981980506061966,-0.8365019125713042,-0.7455777916396408,0.9908673886137247,0.9908673886137247,0.9908673886137247,0.9908673886137247,1.0,1.0,1.0,0.9908673886137246,0.9908673886137246,0.9908673886137246,0.981980506061966,0.981980506061966,0.981980506061966,0.981980506061966,
R,-0.6910233190806426,0.981980506061966,-0.8365019125713042,-0.7455777916396408,0.9908673886137247,0.9908673886137247,0.9908673886137247,0.9908673886137247,1.0,1.0,1.0,0.9908673886137246,0.9908673886137246,0.9908673886137246,0.981980506061966,0.981980506061966,0.981980506061966,0.981980506061966,
D3,-0.6910233190806426,0.981980506061966,-0.8365019125713042,-0.7455777916396408,0.9908673886137247,0.9908673886137247,0.9908673886137247,0.9908673886137247,1.0,1.0,1.0,0.9908673886137246,0.9908673886137246,0.9908673886137246,0.981980506061966,0.981980506061966,0.981980506061966,0.981980506061966,
D. Over.,-0.6306562238868914,0.9910312089651149,-0.8468812149338255,-0.7748062179181807,1.0,1.0,1.0,1.0,0.9908673886137246,0.9908673886137246,0.9908673886137246,1.0,1.0,1.0,0.991031208965115,0.991031208965115,0.991031208965115,0.991031208965115,
Borderline,-0.6306562238868914,0.9910312089651149,-0.8468812149338255,-0.7748062179181807,1.0,1.0,1.0,1.0,0.9908673886137246,0.9908673886137246,0.9908673886137246,1.0,1.0,1.0,0.991031208965115,0.991031208965115,0.991031208965115,0.991031208965115,
N1,-0.6306562238868914,0.9910312089651149,-0.8468812149338255,-0.7748062179181807,1.0,1.0,1.0,1.0,0.9908673886137246,0.9908673886137246,0.9908673886137246,1.0,1.0,1.0,0.991031208965115,0.991031208965115,0.991031208965115,0.991031208965115,
N2,-0.642857142857143,1.0,-0.8571428571428573,-0.7857142857142859,0.991031208965115,0.991031208965115,0.991031208965115,0.991031208965115,0.981980506061966,0.981980506061966,0.981980506061966,0.991031208965115,0.991031208965115,0.991031208965115,1.0,1.0,1.0,1.0,
ONB,-0.642857142857143,1.0,-0.8571428571428573,-0.7857142857142859,0.991031208965115,0.991031208965115,0.991031208965115,0.991031208965115,0.981980506061966,0.981980506061966,0.981980506061966,0.991031208965115,0.991031208965115,0.991031208965115,1.0,1.0,1.0,1.0,
LSC,-0.642857142857143,1.0,-0.8571428571428573,-0.7857142857142859,0.991031208965115,0.991031208965115,0.991031208965115,0.991031208965115,0.981980506061966,0.981980506061966,0.981980506061966,0.991031208965115,0.991031208965115,0.991031208965115,1.0,1.0,1.0,1.0,
Clust,-0.642857142857143,1.0,-0.8571428571428573,-0.7857142857142859,0.991031208965115,0.991031208965115,0.991031208965115,0.991031208965115,0.981980506061966,0.981980506061966,0.981980506061966,0.991031208965115,0.991031208965115,0.991031208965115,1.0,1.0,1.0,1.0,
IR,,,,,,,,,,,,,,,,,,,1.0
