,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,0.6,-0.19999999999999998,-0.39999999999999997,-0.39999999999999997,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.39999999999999997,0.39999999999999997,-0.39999999999999997,0.0,-0.39999999999999997,-0.19999999999999998,0.19999999999999998,0.39999999999999997,-0.39999999999999997,-0.19999999999999998,0.39999999999999997
F1v,0.6,1.0,-0.6,-0.7999999999999999,-0.7999999999999999,-0.6,-0.6,-0.6,-0.7999999999999999,0.7999999999999999,-0.7999999999999999,-0.39999999999999997,-0.7999999999999999,-0.6,-0.19999999999999998,0.7999999999999999,-0.7999999999999999,-0.6,0.7999999999999999
F2,-0.19999999999999998,-0.6,1.0,0.7999999999999999,0.7999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.7999999999999999,-0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.9999999999999999,0.6,-0.7999999999999999,0.7999999999999999,0.9999999999999999,-0.7999999999999999
F3,-0.39999999999999997,-0.7999999999999999,0.7999999999999999,1.0,0.9999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.9999999999999999,-0.9999999999999999,0.9999999999999999,0.6,0.9999999999999999,0.7999999999999999,0.39999999999999997,-0.9999999999999999,0.9999999999999999,0.7999999999999999,-0.9999999999999999
F4,-0.39999999999999997,-0.7999999999999999,0.7999999999999999,0.9999999999999999,1.0,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.9999999999999999,-0.9999999999999999,0.9999999999999999,0.6,0.9999999999999999,0.7999999999999999,0.39999999999999997,-0.9999999999999999,0.9999999999999999,0.7999999999999999,-0.9999999999999999
N3,-0.19999999999999998,-0.6,0.9999999999999999,0.7999999999999999,0.7999999999999999,1.0,0.9999999999999999,0.9999999999999999,0.7999999999999999,-0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.9999999999999999,0.6,-0.7999999999999999,0.7999999999999999,0.9999999999999999,-0.7999999999999999
N4,-0.19999999999999998,-0.6,0.9999999999999999,0.7999999999999999,0.7999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.7999999999999999,-0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.9999999999999999,0.6,-0.7999999999999999,0.7999999999999999,0.9999999999999999,-0.7999999999999999
kDN,-0.19999999999999998,-0.6,0.9999999999999999,0.7999999999999999,0.7999999999999999,0.9999999999999999,0.9999999999999999,1.0,0.7999999999999999,-0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.9999999999999999,0.6,-0.7999999999999999,0.7999999999999999,0.9999999999999999,-0.7999999999999999
CM,-0.39999999999999997,-0.7999999999999999,0.7999999999999999,0.9999999999999999,0.9999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,1.0,-0.9999999999999999,0.9999999999999999,0.6,0.9999999999999999,0.7999999999999999,0.39999999999999997,-0.9999999999999999,0.9999999999999999,0.7999999999999999,-0.9999999999999999
R,0.39999999999999997,0.7999999999999999,-0.7999999999999999,-0.9999999999999999,-0.9999999999999999,-0.7999999999999999,-0.7999999999999999,-0.7999999999999999,-0.9999999999999999,1.0,-0.9999999999999999,-0.6,-0.9999999999999999,-0.7999999999999999,-0.39999999999999997,0.9999999999999999,-0.9999999999999999,-0.7999999999999999,0.9999999999999999
D3,-0.39999999999999997,-0.7999999999999999,0.7999999999999999,0.9999999999999999,0.9999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.9999999999999999,-0.9999999999999999,1.0,0.6,0.9999999999999999,0.7999999999999999,0.39999999999999997,-0.9999999999999999,0.9999999999999999,0.7999999999999999,-0.9999999999999999
D. Over.,0.0,-0.39999999999999997,0.7999999999999999,0.6,0.6,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.6,-0.6,0.6,1.0,0.6,0.7999999999999999,0.7999999999999999,-0.6,0.6,0.7999999999999999,-0.6
Borderline,-0.39999999999999997,-0.7999999999999999,0.7999999999999999,0.9999999999999999,0.9999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.9999999999999999,-0.9999999999999999,0.9999999999999999,0.6,1.0,0.7999999999999999,0.39999999999999997,-0.9999999999999999,0.9999999999999999,0.7999999999999999,-0.9999999999999999
N1,-0.19999999999999998,-0.6,0.9999999999999999,0.7999999999999999,0.7999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.7999999999999999,-0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,1.0,0.6,-0.7999999999999999,0.7999999999999999,0.9999999999999999,-0.7999999999999999
N2,0.19999999999999998,-0.19999999999999998,0.6,0.39999999999999997,0.39999999999999997,0.6,0.6,0.6,0.39999999999999997,-0.39999999999999997,0.39999999999999997,0.7999999999999999,0.39999999999999997,0.6,1.0,-0.39999999999999997,0.39999999999999997,0.6,-0.39999999999999997
