,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,0.11666666666666692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1v,0.11666666666666692,1.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.11666666666666692,0.0,0.11666666666666692,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0
F2,0.0,0.0,1.0,0.11666666666666692,0.11666666666666692,0.18333333333333357,0.18333333333333357,0.18333333333333357,0.050000000000000266,0.11666666666666692,0.050000000000000266,0.2500000000000002,0.050000000000000266,0.18333333333333357,0.18333333333333335,0.11666666666666692,0.11666666666666692,0.18333333333333357,0.18333333333333335
F3,0.0,2.220446049250313e-16,0.11666666666666692,1.0,0.19999999999999996,0.1333333333333333,0.11666666666666692,0.11666666666666692,0.18333333333333335,0.19999999999999996,0.18333333333333335,0.1333333333333333,0.18333333333333335,0.11666666666666692,0.08333333333333326,0.2500000000000002,0.19999999999999996,0.11666666666666692,0.19999999999999996
F4,0.0,0.0,0.11666666666666692,0.19999999999999996,1.0,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.08333333333333348,0.25,0.1333333333333333,0.11666666666666692,0.18333333333333335,0.11666666666666692,0.11666666666666692,0.25,0.2500000000000002,0.11666666666666692,0.18333333333333357
N3,0.0,0.0,0.18333333333333357,0.1333333333333333,0.11666666666666692,1.0,0.25,0.25,0.06666666666666665,0.11666666666666692,0.050000000000000266,0.18333333333333357,0.050000000000000266,0.25,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.25,0.11666666666666692
N4,0.0,0.0,0.18333333333333357,0.11666666666666692,0.11666666666666692,0.25,1.0,0.25,0.06666666666666687,0.11666666666666692,0.0,0.19999999999999996,2.220446049250313e-16,0.25,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.25,0.1333333333333333
kDN,0.0,0.0,0.18333333333333357,0.11666666666666692,0.11666666666666692,0.25,0.25,1.0,0.06666666666666665,0.11666666666666692,0.050000000000000266,0.18333333333333357,0.050000000000000266,0.25,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.25,0.11666666666666692
CM,0.0,0.0,0.050000000000000266,0.18333333333333335,0.08333333333333348,0.06666666666666665,0.06666666666666687,0.06666666666666665,1.0,0.1333333333333333,0.19999999999999996,0.08333333333333348,0.25,0.06666666666666665,0.03333333333333344,0.1333333333333333,0.08333333333333348,0.06666666666666665,0.08333333333333348
R,0.0,0.0,0.11666666666666692,0.19999999999999996,0.25,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.1333333333333333,1.0,0.18333333333333335,0.11666666666666692,0.18333333333333335,0.11666666666666692,0.11666666666666692,0.25,0.2500000000000002,0.11666666666666692,0.18333333333333357
D3,0.0,0.11666666666666692,0.050000000000000266,0.18333333333333335,0.1333333333333333,0.050000000000000266,0.0,0.050000000000000266,0.19999999999999996,0.18333333333333335,1.0,0.016666666666666607,0.25,0.050000000000000266,0.016666666666666607,0.18333333333333335,0.18333333333333335,0.050000000000000266,0.1333333333333333
D. Over.,0.0,0.0,0.2500000000000002,0.1333333333333333,0.11666666666666692,0.18333333333333357,0.19999999999999996,0.18333333333333357,0.08333333333333348,0.11666666666666692,0.016666666666666607,1.0,2.220446049250313e-16,0.19999999999999996,0.18333333333333357,0.11666666666666692,0.1333333333333333,0.18333333333333357,0.18333333333333335
