,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,0.9879741958255276,0.9945245786868171,0.9786135044108247,0.9814691117195691,0.9797975268451791,0.9637085027816005,0.982233620255546,0.9780276620394457,0.9780276620394457,0.9780276620394462,0.9843030264850835,0.9850247582162899,0.9793058483957642,0.9988513385809816,0.9811362258891846,0.9715686999610441,0.9812661434318783,0.0
F1v,0.9879741958255276,1.0,0.9926510454252925,0.9424758375399567,0.9796434669032621,0.9937052208424508,0.9924028932016862,0.9943505909933799,0.9933825094455104,0.99338250944551,0.9933825094455101,0.9943798374740572,0.9942717476748975,0.9922777865736858,0.9939808511146792,0.989746337164597,0.9256353774898487,0.9891908266930063,0.0
F2,0.9945245786868171,0.9926510454252925,1.0,0.9745536313282848,0.9927253219114701,0.9927965319334908,0.9796535914384219,0.9944203220041187,0.991505540586057,0.9915055405860558,0.9915055405860571,0.995746881751181,0.9963135865338,0.9928733349891173,0.9971933846084705,0.9940488659268497,0.9605518408961532,0.9940943940750064,0.0
F3,0.9786135044108247,0.9424758375399567,0.9745536313282848,1.0,0.972458307080467,0.9463023787386954,0.9090106017849768,0.9503288861937037,0.94290824623465,0.9429082462346493,0.9429082462346496,0.9545882275849747,0.9564269134766222,0.9484913783748306,0.9717823724050821,0.9568504962598574,0.9972982722273698,0.9580398352992212,0.0
F4,0.9814691117195691,0.9796434669032621,0.9927253219114701,0.972458307080467,1.0,0.9925685174049702,0.9740963219771132,0.9932670462015657,0.9916536286809348,0.9916536286809348,0.9916536286809358,0.9942093015891132,0.9945263531389656,0.9939614818040928,0.9856654603026836,0.9970237983893447,0.9539776575729316,0.9974219155061783,0.0
N3,0.9797975268451791,0.9937052208424508,0.9927965319334908,0.9463023787386954,0.9925685174049702,1.0,0.9943789061641571,0.9998951011693128,0.9999433374900132,0.9999433374900129,0.9999433374900133,0.9996057354588395,0.9993841804630381,0.999893981592439,0.9878100394383207,0.9989747992048866,0.9240484579151473,0.998720344674882,0.0
N4,0.9637085027816005,0.9924028932016862,0.9796535914384219,0.9090106017849768,0.9740963219771132,0.9943789061641571,1.0,0.9934511109977102,0.9951307574808346,0.9951307574808346,0.9951307574808342,0.9919932182993422,0.9912897136758655,0.9931158867438658,0.9755340901225931,0.9887322520320766,0.8823165652625719,0.9879132274959129,0.0
kDN,0.982233620255546,0.9943505909933799,0.9944203220041187,0.9503288861937037,0.9932670462015657,0.9998951011693128,0.9934511109977102,1.0,0.999689574434954,0.9996895744349537,0.999689574434954,0.9999019376374989,0.9997792469092104,0.99981057425616,0.9896320574938438,0.9991193864285633,0.9290327760998555,0.9988968421407844,0.0
CM,0.9780276620394457,0.9933825094455104,0.991505540586057,0.94290824623465,0.9916536286809348,0.9999433374900132,0.9951307574808346,0.999689574434954,1.0,1.0,1.0000000000000007,0.9992529864408599,0.9989550780606075,0.9997823131367667,0.9864958576427665,0.9986270627285548,0.920003961879715,0.9983372656437532,0.0
R,0.9780276620394457,0.99338250944551,0.9915055405860558,0.9429082462346493,0.9916536286809348,0.9999433374900129,0.9951307574808346,0.9996895744349537,1.0,1.0,1.0000000000000007,0.9992529864408597,0.9989550780606071,0.9997823131367665,0.9864958576427661,0.9986270627285548,0.9200039618797154,0.9983372656437536,0.0
