,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,1.0,0.9258200997725515,0.9258200997725515,0.8451542547285166,0.9258200997725515,0.8451542547285166,0.9258200997725515,0.9258200997725515,0.9258200997725515,0.9258200997725515,0.9258200997725515,0.9258200997725515,0.8451542547285166,1.0,0.8451542547285166,1.0,0.8451542547285166,
F1v,1.0,1.0,0.9258200997725515,0.9258200997725515,0.8451542547285166,0.9258200997725515,0.8451542547285166,0.9258200997725515,0.9258200997725515,0.9258200997725515,0.9258200997725515,0.9258200997725515,0.9258200997725515,0.8451542547285166,1.0,0.8451542547285166,1.0,0.8451542547285166,
F2,0.9258200997725515,0.9258200997725515,1.0,1.0,0.9128709291752769,1.0,0.9128709291752769,1.0,1.0,1.0,1.0,1.0,1.0,0.9128709291752769,0.9258200997725516,0.9128709291752769,0.9258200997725516,0.9128709291752769,
F3,0.9258200997725515,0.9258200997725515,1.0,1.0,0.9128709291752769,1.0,0.9128709291752769,1.0,1.0,1.0,1.0,1.0,1.0,0.9128709291752769,0.9258200997725516,0.9128709291752769,0.9258200997725516,0.9128709291752769,
F4,0.8451542547285166,0.8451542547285166,0.9128709291752769,0.9128709291752769,1.0,0.9128709291752769,0.9999999999999999,0.9128709291752769,0.9128709291752769,0.9128709291752769,0.9128709291752769,0.9128709291752769,0.9128709291752769,0.9999999999999999,0.8451542547285166,0.9999999999999999,0.8451542547285166,0.9999999999999999,
N3,0.9258200997725515,0.9258200997725515,1.0,1.0,0.9128709291752769,1.0,0.9128709291752769,1.0,1.0,1.0,1.0,1.0,1.0,0.9128709291752769,0.9258200997725516,0.9128709291752769,0.9258200997725516,0.9128709291752769,
N4,0.8451542547285166,0.8451542547285166,0.9128709291752769,0.9128709291752769,0.9999999999999999,0.9128709291752769,1.0,0.9128709291752769,0.9128709291752769,0.9128709291752769,0.9128709291752769,0.9128709291752769,0.9128709291752769,0.9999999999999999,0.8451542547285166,0.9999999999999999,0.8451542547285166,0.9999999999999999,
kDN,0.9258200997725515,0.9258200997725515,1.0,1.0,0.9128709291752769,1.0,0.9128709291752769,1.0,1.0,1.0,1.0,1.0,1.0,0.9128709291752769,0.9258200997725516,0.9128709291752769,0.9258200997725516,0.9128709291752769,
CM,0.9258200997725515,0.9258200997725515,1.0,1.0,0.9128709291752769,1.0,0.9128709291752769,1.0,1.0,1.0,1.0,1.0,1.0,0.9128709291752769,0.9258200997725516,0.9128709291752769,0.9258200997725516,0.9128709291752769,
R,0.9258200997725515,0.9258200997725515,1.0,1.0,0.9128709291752769,1.0,0.9128709291752769,1.0,1.0,1.0,1.0,1.0,1.0,0.9128709291752769,0.9258200997725516,0.9128709291752769,0.9258200997725516,0.9128709291752769,
D3,0.9258200997725515,0.9258200997725515,1.0,1.0,0.9128709291752769,1.0,0.9128709291752769,1.0,1.0,1.0,1.0,1.0,1.0,0.9128709291752769,0.9258200997725516,0.9128709291752769,0.9258200997725516,0.9128709291752769,
D. Over.,0.9258200997725515,0.9258200997725515,1.0,1.0,0.9128709291752769,1.0,0.9128709291752769,1.0,1.0,1.0,1.0,1.0,1.0,0.9128709291752769,0.9258200997725516,0.9128709291752769,0.9258200997725516,0.9128709291752769,
Borderline,0.9258200997725515,0.9258200997725515,1.0,1.0,0.9128709291752769,1.0,0.9128709291752769,1.0,1.0,1.0,1.0,1.0,1.0,0.9128709291752769,0.9258200997725516,0.9128709291752769,0.9258200997725516,0.9128709291752769,
N1,0.8451542547285166,0.8451542547285166,0.9128709291752769,0.9128709291752769,0.9999999999999999,0.9128709291752769,0.9999999999999999,0.9128709291752769,0.9128709291752769,0.9128709291752769,0.9128709291752769,0.9128709291752769,0.9128709291752769,1.0,0.8451542547285166,0.9999999999999999,0.8451542547285166,0.9999999999999999,
N2,1.0,1.0,0.9258200997725516,0.9258200997725516,0.8451542547285166,0.9258200997725516,0.8451542547285166,0.9258200997725516,0.9258200997725516,0.9258200997725516,0.9258200997725516,0.9258200997725516,0.9258200997725516,0.8451542547285166,1.0,0.8451542547285166,1.0,0.8451542547285166,
ONB,0.8451542547285166,0.8451542547285166,0.9128709291752769,0.9128709291752769,0.9999999999999999,0.9128709291752769,0.9999999999999999,0.9128709291752769,0.9128709291752769,0.9128709291752769,0.9128709291752769,0.9128709291752769,0.9128709291752769,0.9999999999999999,0.8451542547285166,1.0,0.8451542547285166,0.9999999999999999,
LSC,1.0,1.0,0.9258200997725516,0.9258200997725516,0.8451542547285166,0.9258200997725516,0.8451542547285166,0.9258200997725516,0.9258200997725516,0.9258200997725516,0.9258200997725516,0.9258200997725516,0.9258200997725516,0.8451542547285166,1.0,0.8451542547285166,1.0,0.8451542547285166,
Clust,0.8451542547285166,0.8451542547285166,0.9128709291752769,0.9128709291752769,0.9999999999999999,0.9128709291752769,0.9999999999999999,0.9128709291752769,0.9128709291752769,0.9128709291752769,0.9128709291752769,0.9128709291752769,0.9128709291752769,0.9999999999999999,0.8451542547285166,0.9999999999999999,0.8451542547285166,1.0,
IR,,,,,,,,,,,,,,,,,,,1.0
