,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,0.20593150239725297,0.36989148080508394,0.33114009725576876,0.8769732834792426,0.81379890949502,1.0559808481454425,0.7253045604139089,0.7937356622658143,0.7937356622658145,0.7937356622658142,0.6530185906495959,0.6971372784273113,0.8342548872477717,0.12401612328786278,0.8087900364153298,0.24935496322349118,0.8124630843536111,2.6457513110645907
F1v,0.20593150239725297,1.0,0.24148269895722263,0.33561089016103546,0.6819491048622669,0.6381734726595868,0.856301674540278,0.5496641622417581,0.6313882794903527,0.6313882794903527,0.6313882794903526,0.4779075765833294,0.5672326251280136,0.6596993177499051,0.08841014872401144,0.6369851738261761,0.36770251687312167,0.6426619712279787,2.6457513110645903
F2,0.36989148080508394,0.24148269895722263,1.0,0.22198426485086148,0.5860411880132456,0.5270012410613114,0.8209380169212175,0.4207785956594659,0.5046359846744899,0.5046359846744901,0.5046359846744899,0.3358041081417465,0.3967772337901113,0.5397171862480492,0.27308357817254597,0.5090567127778527,0.3688581474335714,0.5142007542945678,2.6457513110645903
F3,0.33114009725576876,0.33561089016103546,0.22198426485086148,1.0,0.781490769045209,0.6942711533670219,1.0344550688998555,0.5904428922460148,0.6481800669403307,0.648180066940331,0.6481800669403307,0.5111270558609268,0.4897512546761573,0.7052065812732834,0.3027294579210834,0.6712518270522126,0.18974190179114628,0.6733271156417342,2.6457513110645907
F4,0.8769732834792426,0.6819491048622669,0.5860411880132456,0.781490769045209,1.0,0.21409745402725328,0.35215051986689616,0.23761379641123087,0.30342946407195515,0.3034294640719549,0.30342946407195504,0.2856165425152178,0.4323446115596527,0.2152292151347809,0.7547806339284815,0.21911266692236347,0.936339892682132,0.23210587857855963,2.6457513110645907
N3,0.81379890949502,0.6381734726595868,0.5270012410613114,0.6942711533670219,0.21409745402725328,1.0,0.5372832556373426,0.1250473348932582,0.13220471382303386,0.1322047138230338,0.13220471382303373,0.2149867569204827,0.3176119297545889,0.03536590464438901,0.697180148065333,0.13481747481845333,0.8461306285572752,0.14967960686607867,2.6457513110645907
N4,1.0559808481454425,0.856301674540278,0.8209380169212175,1.0344550688998555,0.35215051986689616,0.5372832556373426,1.0,0.5716114558969285,0.641322010029065,0.6413220100290647,0.641322010029065,0.6008565048189425,0.7603041826610231,0.5387330727387408,0.9385026312120476,0.5376213851797358,1.165698013703541,0.5455618791488314,2.6457513110645907
kDN,0.7253045604139089,0.5496641622417581,0.4207785956594659,0.5904428922460148,0.23761379641123087,0.1250473348932582,0.5716114558969285,1.0,0.12619796836930128,0.12619796836930128,0.12619796836930108,0.09345160107928045,0.24991718914901673,0.14027221041369742,0.6086145955242377,0.16229187730395117,0.7500371484136241,0.17764308547794802,2.6457513110645907
CM,0.7937356622658143,0.6313882794903527,0.5046359846744899,0.6481800669403307,0.30342946407195515,0.13220471382303386,0.641322010029065,0.12619796836930128,1.0,7.021666937153402e-16,5.087681048627601e-16,0.20176428275176533,0.28284634621819044,0.14597205938087363,0.6831864807135439,0.21869553639722306,0.8051399339455066,0.23140741223878475,2.6457513110645903
R,0.7937356622658145,0.6313882794903527,0.5046359846744901,0.648180066940331,0.3034294640719549,0.1322047138230338,0.6413220100290647,0.12619796836930128,7.021666937153402e-16,1.0,8.08254562088053e-16,0.20176428275176536,0.28284634621819094,0.14597205938087363,0.683186480713544,0.21869553639722328,0.8051399339455069,0.231407412238785,2.6457513110645907
D3,0.7937356622658142,0.6313882794903526,0.5046359846744899,0.6481800669403307,0.30342946407195504,0.13220471382303373,0.641322010029065,0.12619796836930108,5.087681048627601e-16,8.08254562088053e-16,1.0,0.20176428275176517,0.2828463462181902,0.14597205938087346,0.6831864807135439,0.2186955363972228,0.8051399339455065,0.23140741223878447,2.6457513110645907
D. Over.,0.6530185906495959,0.4779075765833294,0.3358041081417465,0.5111270558609268,0.2856165425152178,0.2149867569204827,0.6008565048189425,0.09345160107928045,0.20176428275176533,0.20176428275176536,0.20176428275176517,1.0,0.22937195976461522,0.22800269770608955,0.5365419307197593,0.21666945322130135,0.6742853650979201,0.22866371906210528,2.6457513110645907
Borderline,0.6971372784273113,0.5672326251280136,0.3967772337901113,0.4897512546761573,0.4323446115596527,0.3176119297545889,0.7603041826610231,0.24991718914901673,0.28284634621819044,0.28284634621819094,0.2828463462181902,0.22937195976461522,1.0,0.31432172831816646,0.5973950093545527,0.25555116612569045,0.6556739237157536,0.25228345201585123,2.6457513110645907
N1,0.8342548872477717,0.6596993177499051,0.5397171862480492,0.7052065812732834,0.2152292151347809,0.03536590464438901,0.5387330727387408,0.14027221041369742,0.14597205938087363,0.14597205938087363,0.14597205938087346,0.22800269770608955,0.31432172831816646,1.0,0.7179034266418388,0.11917752638611054,0.8597771641631922,0.1330689135791948,2.6457513110645907
N2,0.12401612328786278,0.08841014872401144,0.27308357817254597,0.3027294579210834,0.7547806339284815,0.697180148065333,0.9385026312120476,0.6086145955242377,0.6831864807135439,0.683186480713544,0.6831864807135439,0.5365419307197593,0.5973950093545527,0.7179034266418388,1.0,0.6922795122232591,0.2965894880515385,0.6966117117453864,2.6457513110645903
ONB,0.8087900364153298,0.6369851738261761,0.5090567127778527,0.6712518270522126,0.21911266692236347,0.13481747481845333,0.5376213851797358,0.16229187730395117,0.21869553639722306,0.21869553639722328,0.2186955363972228,0.21666945322130135,0.25555116612569045,0.11917752638611054,0.6922795122232591,1.0,0.8279241471336654,0.018249982569454398,2.6457513110645907
LSC,0.24935496322349118,0.36770251687312167,0.3688581474335714,0.18974190179114628,0.936339892682132,0.8461306285572752,1.165698013703541,0.7500371484136241,0.8051399339455066,0.8051399339455069,0.8051399339455065,0.6742853650979201,0.6556739237157536,0.8597771641631922,0.2965894880515385,0.8279241471336654,1.0,0.8293964420875423,2.6457513110645903
Clust,0.8124630843536111,0.6426619712279787,0.5142007542945678,0.6733271156417342,0.23210587857855963,0.14967960686607867,0.5455618791488314,0.17764308547794802,0.23140741223878475,0.231407412238785,0.23140741223878447,0.22866371906210528,0.25228345201585123,0.1330689135791948,0.6966117117453864,0.018249982569454398,0.8293964420875423,1.0,2.6457513110645903
IR,2.6457513110645907,2.6457513110645903,2.6457513110645903,2.6457513110645907,2.6457513110645907,2.6457513110645907,2.6457513110645907,2.6457513110645907,2.6457513110645903,2.6457513110645907,2.6457513110645907,2.6457513110645907,2.6457513110645907,2.6457513110645907,2.6457513110645903,2.6457513110645907,2.6457513110645903,2.6457513110645903,1.0
