,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,0.6166666666666667,0.5809523809523811,0.5690476190476192,0.46190476190476226,0.46190476190476226,0.29047619047619055,0.46190476190476226,0.46190476190476226,0.46190476190476226,0.46190476190476226,0.49761904761904785,0.46190476190476226,0.4261904761904767,0.6166666666666667,0.4261904761904767,0.5690476190476192,0.4261904761904767,0.0
F1v,0.6166666666666667,1.0,0.6166666666666667,0.5690476190476192,0.49761904761904785,0.49761904761904785,0.39047619047619087,0.49761904761904785,0.46190476190476226,0.46190476190476226,0.46190476190476226,0.5690476190476192,0.485714285714286,0.49761904761904785,0.6166666666666667,0.49761904761904785,0.569047619047619,0.49761904761904785,0.0
F2,0.5809523809523811,0.6166666666666667,1.0,0.5333333333333334,0.4690476190476194,0.49761904761904785,0.40952380952380985,0.5333333333333337,0.49761904761904785,0.49761904761904785,0.49761904761904785,0.5333333333333337,0.5214285714285716,0.49761904761904785,0.5809523809523811,0.49761904761904785,0.5333333333333334,0.49761904761904785,0.0
F3,0.5690476190476192,0.5690476190476192,0.5333333333333334,1.0,0.43333333333333357,0.42142857142857193,0.3619047619047622,0.4500000000000004,0.5333333333333337,0.5333333333333337,0.5333333333333337,0.485714285714286,0.5690476190476192,0.42142857142857193,0.5690476190476192,0.42142857142857193,0.6166666666666667,0.42142857142857193,0.0
F4,0.46190476190476226,0.49761904761904785,0.4690476190476194,0.43333333333333357,1.0,0.5523809523809524,0.5333333333333337,0.5523809523809526,0.504761904761905,0.504761904761905,0.504761904761905,0.5523809523809526,0.5047619047619047,0.5523809523809524,0.46190476190476226,0.5523809523809524,0.39761904761904776,0.5523809523809524,0.0
N3,0.46190476190476226,0.49761904761904785,0.49761904761904785,0.42142857142857193,0.5523809523809524,1.0,0.480952380952381,0.6166666666666667,0.504761904761905,0.504761904761905,0.504761904761905,0.6166666666666667,0.504761904761905,0.6166666666666667,0.46190476190476226,0.6166666666666667,0.4142857142857146,0.6166666666666667,0.0
N4,0.29047619047619055,0.39047619047619087,0.40952380952380985,0.3619047619047622,0.5333333333333337,0.480952380952381,1.0,0.5166666666666666,0.5047619047619047,0.5047619047619047,0.5047619047619047,0.516666666666667,0.3809523809523814,0.480952380952381,0.3619047619047622,0.4285714285714288,0.29761904761904767,0.4285714285714288,0.0
kDN,0.46190476190476226,0.49761904761904785,0.5333333333333337,0.4500000000000004,0.5523809523809526,0.6166666666666667,0.5166666666666666,1.0,0.504761904761905,0.504761904761905,0.504761904761905,0.6166666666666667,0.5047619047619047,0.6166666666666667,0.49761904761904785,0.5523809523809526,0.485714285714286,0.5523809523809526,0.0
CM,0.46190476190476226,0.46190476190476226,0.49761904761904785,0.5333333333333337,0.504761904761905,0.504761904761905,0.5047619047619047,0.504761904761905,1.0,0.6166666666666667,0.6166666666666667,0.569047619047619,0.6166666666666667,0.504761904761905,0.46190476190476226,0.504761904761905,0.49761904761904785,0.504761904761905,0.0
R,0.46190476190476226,0.46190476190476226,0.49761904761904785,0.5333333333333337,0.504761904761905,0.504761904761905,0.5047619047619047,0.504761904761905,0.6166666666666667,1.0,0.6166666666666667,0.569047619047619,0.6166666666666667,0.504761904761905,0.46190476190476226,0.504761904761905,0.49761904761904785,0.504761904761905,0.0
D3,0.46190476190476226,0.46190476190476226,0.49761904761904785,0.5333333333333337,0.504761904761905,0.504761904761905,0.5047619047619047,0.504761904761905,0.6166666666666667,0.6166666666666667,1.0,0.569047619047619,0.6166666666666667,0.504761904761905,0.46190476190476226,0.504761904761905,0.49761904761904785,0.504761904761905,0.0
D. Over.,0.49761904761904785,0.5690476190476192,0.5333333333333337,0.485714285714286,0.5523809523809526,0.6166666666666667,0.516666666666667,0.6166666666666667,0.569047619047619,0.569047619047619,0.569047619047619,1.0,0.569047619047619,0.6166666666666667,0.49761904761904785,0.5523809523809526,0.49761904761904785,0.5523809523809526,0.0
