,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,1.0,1.0,1.0,0.9910312089651149,1.0,0.9910312089651149,1.0,0.9910312089651149,0.9910312089651149,0.9910312089651149,1.0,1.0,0.9910312089651149,1.0,0.9910312089651149,1.0,0.9910312089651149,
F1v,1.0,1.0,1.0,1.0,0.9910312089651149,1.0,0.9910312089651149,1.0,0.9910312089651149,0.9910312089651149,0.9910312089651149,1.0,1.0,0.9910312089651149,1.0,0.9910312089651149,1.0,0.9910312089651149,
F2,1.0,1.0,1.0,1.0,0.9910312089651149,1.0,0.9910312089651149,1.0,0.9910312089651149,0.9910312089651149,0.9910312089651149,1.0,1.0,0.9910312089651149,1.0,0.9910312089651149,1.0,0.9910312089651149,
F3,1.0,1.0,1.0,1.0,0.9910312089651149,1.0,0.9910312089651149,1.0,0.9910312089651149,0.9910312089651149,0.9910312089651149,1.0,1.0,0.9910312089651149,1.0,0.9910312089651149,1.0,0.9910312089651149,
F4,0.9910312089651149,0.9910312089651149,0.9910312089651149,0.9910312089651149,1.0,0.991031208965115,1.0,0.991031208965115,0.9727272727272728,0.9727272727272728,0.9727272727272728,0.991031208965115,0.991031208965115,1.0,0.991031208965115,1.0,0.991031208965115,1.0,
N3,1.0,1.0,1.0,1.0,0.991031208965115,1.0,0.9910312089651149,1.0,0.9910312089651149,0.9910312089651149,0.9910312089651149,1.0,1.0,0.9910312089651149,1.0,0.9910312089651149,1.0,0.9910312089651149,
N4,0.9910312089651149,0.9910312089651149,0.9910312089651149,0.9910312089651149,1.0,0.9910312089651149,1.0,0.991031208965115,0.9727272727272728,0.9727272727272728,0.9727272727272728,0.991031208965115,0.991031208965115,1.0,0.991031208965115,1.0,0.991031208965115,1.0,
kDN,1.0,1.0,1.0,1.0,0.991031208965115,1.0,0.991031208965115,1.0,0.9910312089651149,0.9910312089651149,0.9910312089651149,1.0,1.0,0.9910312089651149,1.0,0.9910312089651149,1.0,0.9910312089651149,
CM,0.9910312089651149,0.9910312089651149,0.9910312089651149,0.9910312089651149,0.9727272727272728,0.9910312089651149,0.9727272727272728,0.9910312089651149,1.0,1.0,1.0,0.991031208965115,0.991031208965115,0.9727272727272728,0.991031208965115,0.9727272727272728,0.991031208965115,0.9727272727272728,
R,0.9910312089651149,0.9910312089651149,0.9910312089651149,0.9910312089651149,0.9727272727272728,0.9910312089651149,0.9727272727272728,0.9910312089651149,1.0,1.0,1.0,0.991031208965115,0.991031208965115,0.9727272727272728,0.991031208965115,0.9727272727272728,0.991031208965115,0.9727272727272728,
D3,0.9910312089651149,0.9910312089651149,0.9910312089651149,0.9910312089651149,0.9727272727272728,0.9910312089651149,0.9727272727272728,0.9910312089651149,1.0,1.0,1.0,0.991031208965115,0.991031208965115,0.9727272727272728,0.991031208965115,0.9727272727272728,0.991031208965115,0.9727272727272728,
D. Over.,1.0,1.0,1.0,1.0,0.991031208965115,1.0,0.991031208965115,1.0,0.991031208965115,0.991031208965115,0.991031208965115,1.0,1.0,0.9910312089651149,1.0,0.9910312089651149,1.0,0.9910312089651149,
Borderline,1.0,1.0,1.0,1.0,0.991031208965115,1.0,0.991031208965115,1.0,0.991031208965115,0.991031208965115,0.991031208965115,1.0,1.0,0.9910312089651149,1.0,0.9910312089651149,1.0,0.9910312089651149,
N1,0.9910312089651149,0.9910312089651149,0.9910312089651149,0.9910312089651149,1.0,0.9910312089651149,1.0,0.9910312089651149,0.9727272727272728,0.9727272727272728,0.9727272727272728,0.9910312089651149,0.9910312089651149,1.0,0.991031208965115,1.0,0.991031208965115,1.0,
N2,1.0,1.0,1.0,1.0,0.991031208965115,1.0,0.991031208965115,1.0,0.991031208965115,0.991031208965115,0.991031208965115,1.0,1.0,0.991031208965115,1.0,0.9910312089651149,1.0,0.9910312089651149,
ONB,0.9910312089651149,0.9910312089651149,0.9910312089651149,0.9910312089651149,1.0,0.9910312089651149,1.0,0.9910312089651149,0.9727272727272728,0.9727272727272728,0.9727272727272728,0.9910312089651149,0.9910312089651149,1.0,0.9910312089651149,1.0,0.991031208965115,1.0,
LSC,1.0,1.0,1.0,1.0,0.991031208965115,1.0,0.991031208965115,1.0,0.991031208965115,0.991031208965115,0.991031208965115,1.0,1.0,0.991031208965115,1.0,0.991031208965115,1.0,0.9910312089651149,
Clust,0.9910312089651149,0.9910312089651149,0.9910312089651149,0.9910312089651149,1.0,0.9910312089651149,1.0,0.9910312089651149,0.9727272727272728,0.9727272727272728,0.9727272727272728,0.9910312089651149,0.9910312089651149,1.0,0.9910312089651149,1.0,0.9910312089651149,1.0,
IR,,,,,,,,,,,,,,,,,,,1.0
