,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,0.4451790895817212,0.5157857191669761,0.33690481733822597,0.6290485268887924,2.165077733228101,0.5869325930651217,2.0858776279384816,2.0897839214171876,2.0897839214171876,2.089783921417187,2.0782694657915286,2.0838068870016966,1.92358395845522,2.1181836648033503,1.9994070100477384,1.7334025723800235,2.0099466171441844,3.9848819142118197
F1v,0.4451790895817212,1.0,0.3593350382028721,0.6435185925984284,0.6168309015638325,2.1222315320868286,0.9291195692076665,2.0505272463611637,2.0543478164978652,2.0543478164978652,2.054347816497865,2.0453926298582688,2.043715767784282,1.8498933106131052,2.2105746031996394,2.0226036488032815,1.9471664635723833,2.0492355637545523,3.819892830066989
F2,0.5157857191669761,0.3593350382028721,1.0,0.4987950290775511,0.28638870651518,2.422082006566153,1.033364556953455,2.357621458630818,2.3611198711368933,2.3611198711368933,2.3611198711368933,2.3527959322352006,2.35155190049525,2.1696494638703383,2.4787815362528516,2.3225986859013643,2.1533583376507015,2.3443818643709498,3.84633164433785
F3,0.33690481733822597,0.6435185925984284,0.4987950290775511,1.0,0.4825975757813062,2.4249593455918528,0.7642005588719792,2.3587110698191682,2.3619960139098968,2.3619960139098968,2.361996013909896,2.352194520722405,2.357171286184768,2.211898240868823,2.3499624775658456,2.27424785472323,1.945009049438822,2.2812310393883877,4.043267474414798
F4,0.6290485268887924,0.6168309015638325,0.28638870651518,0.4825975757813062,1.0,2.6274533090773784,1.0540312811862687,2.555753893034741,2.5595912635006326,2.5595912635006326,2.5595912635006326,2.5494389722810635,2.5511295031271346,2.376125547030099,2.641816903884986,2.495648278434323,2.2142920336271694,2.5105498702366242,3.8472991473167135
N3,2.165077733228101,2.1222315320868286,2.422082006566153,2.4249593455918528,2.6274533090773784,1.0,2.10281274783586,0.2250277853285657,0.2140583773998087,0.2140583773998087,0.21405837739980868,0.2526761071299448,0.22000140080783337,0.44227915474720275,0.6580116854559016,0.5576843902973924,1.6174706692239134,0.6214167416720836,3.6057211816769614
N4,0.5869325930651217,0.9291195692076665,1.033364556953455,0.7642005588719792,1.0540312811862687,2.10281274783586,1.0,1.9814801801626971,1.9872147482327454,1.9872147482327454,1.987214748232745,1.9671083862092213,1.984917943001559,1.8454868706181426,1.9285115193390674,1.7984074262450094,1.2524391614680073,1.787293636511672,3.9659662936383997
kDN,2.0858776279384816,2.0505272463611637,2.357621458630818,2.3587110698191682,2.555753893034741,0.2250277853285657,1.9814801801626971,1.0,0.01109081717106061,0.01109081717106061,0.011090817171060585,0.02851918267327586,0.023013407759286793,0.28496697895678824,0.6404216455635298,0.3622758296231399,1.4475862886383075,0.43601662335124164,3.574564125602391
CM,2.0897839214171876,2.0543478164978652,2.3611198711368933,2.3619960139098968,2.5595912635006326,0.2140583773998087,1.9872147482327454,0.01109081717106061,1.0,0.0,5.661048867003676e-16,0.038995941621464185,0.024173112656881587,0.29179968538257095,0.6381135794994317,0.3702454626592942,1.4549838294007829,0.4433289354515661,3.5766485615841153
R,2.0897839214171876,2.0543478164978652,2.3611198711368933,2.3619960139098968,2.5595912635006326,0.2140583773998087,1.9872147482327454,0.01109081717106061,0.0,1.0,5.661048867003676e-16,0.038995941621464185,0.024173112656881587,0.29179968538257095,0.6381135794994317,0.3702454626592942,1.4549838294007829,0.4433289354515661,3.5766485615841153
D3,2.089783921417187,2.054347816497865,2.3611198711368933,2.361996013909896,2.5595912635006326,0.21405837739980868,1.987214748232745,0.011090817171060585,5.661048867003676e-16,5.661048867003676e-16,1.0,0.03899594162146418,0.024173112656881497,0.2917996853825709,0.6381135794994317,0.3702454626592942,1.4549838294007826,0.4433289354515661,3.5766485615841144
D. Over.,2.0782694657915286,2.0453926298582688,2.3527959322352006,2.352194520722405,2.5494389722810635,0.2526761071299448,1.9671083862092213,0.02851918267327586,0.038995941621464185,0.038995941621464185,0.03899594162146418,1.0,0.04475873327840924,0.27822442155509897,0.6366891468870389,0.3362920884695767,1.4237051951384667,0.41094235231014475,3.572677943527323
Borderline,2.0838068870016966,2.043715767784282,2.35155190049525,2.357171286184768,2.5511295031271346,0.22000140080783337,1.984917943001559,0.023013407759286793,0.024173112656881587,0.024173112656881587,0.024173112656881497,0.04475873327840924,1.0,0.27104527506277243,0.6607540728926645,0.38023228415550225,1.462997005873357,0.4550787064437797,3.568625874463783
