,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,0.715162550812986,1.0538820155764825,0.6766486793607686,1.2109540145463389,4.112545659881578,1.1046408466108912,3.853548158401699,3.865714130549494,3.865714130549494,3.865714130549493,3.8154467373259027,3.8755402585819403,3.677374436596132,3.7103407132373896,3.440589364406624,3.276256104579901,3.4832547564751595,7.061661676460627
F1v,0.715162550812986,1.0,0.6162209243234703,1.2580297248937673,1.1351547413063505,3.669017084869652,1.693345315522361,3.579530464089524,3.585492962104777,3.585492962104777,3.5854929621047766,3.574138064138739,3.5625632416290505,3.1739324061971455,3.8685443199442595,3.5437243286524693,3.410037609859887,3.5863897207210047,6.884923188173113
F2,1.0538820155764825,0.6162209243234703,1.0,0.8388168439224615,0.5516772335351154,4.122367477822815,2.0983647710127524,4.032880857042686,4.0388433550579395,4.0388433550579395,4.0388433550579395,4.027488457091902,4.015913634582213,3.648824357800227,4.266826070436398,3.9970747216056326,3.896131419365285,4.039740113674167,6.803127010817812
F3,0.6766486793607686,1.2580297248937673,0.8388168439224615,1.0,1.0389679004787618,4.636467719383639,1.6168447803164414,4.377470217903761,4.389636190051556,4.389636190051556,4.389636190051554,4.339368796827965,4.399462318084002,4.201296496098193,4.069818027084233,3.8000666782534678,3.788460038285451,3.8427320703220023,7.096426256381187
F4,1.2109540145463389,1.1351547413063505,0.5516772335351154,1.0389679004787618,1.0,4.635672814620789,2.1441365782792356,4.376675313140909,4.388841285288704,4.388841285288704,4.388841285288704,4.338573892065114,4.398667413321151,4.2005015913353425,4.4902654712763095,4.220514122445543,3.944880670915447,4.263179514514078,6.741932611656582
N3,4.112545659881578,3.669017084869652,4.122367477822815,4.636467719383639,4.635672814620789,1.0,4.393071015331971,0.3945597586408415,0.3750523839359955,0.3750523839359955,0.3750523839359955,0.4405912617000829,0.3895733601954141,0.7553205828628375,1.094912014396611,0.8730220079537353,3.145428051563663,0.9586495460037701,5.601470287992663
N4,1.1046408466108912,1.693345315522361,2.0983647710127524,1.6168447803164414,2.1441365782792356,4.393071015331971,1.0,4.134073513852092,4.146239485999887,4.146239485999887,4.146239485999887,4.095972092776297,4.156065614032333,3.957899792046525,3.4426175935489427,3.5379746500143083,2.17161525796901,3.434421469328201,7.534285158346803
kDN,3.853548158401699,3.579530464089524,4.032880857042686,4.377470217903761,4.376675313140909,0.3945597586408415,4.134073513852092,1.0,0.019507374704846037,0.019507374704846037,0.019507374704846037,0.04603150305924142,0.03895932264071472,0.5364859841020064,1.210844587946788,0.5960988638377838,2.8864305500837832,0.706511301155372,5.252986165732656
CM,3.865714130549494,3.585492962104777,4.0388433550579395,4.389636190051556,4.388841285288704,0.3750523839359955,4.146239485999887,0.019507374704846037,1.0,0.0,1.1102230246251565e-15,0.06553887776408746,0.04727682476759176,0.5484109801325131,1.1975406873744834,0.6082648359855788,2.8985965222315784,0.7127147752879137,5.271114635895704
R,3.865714130549494,3.585492962104777,4.0388433550579395,4.389636190051556,4.388841285288704,0.3750523839359955,4.146239485999887,0.019507374704846037,0.0,1.0,1.1102230246251565e-15,0.06553887776408746,0.04727682476759176,0.5484109801325131,1.1975406873744834,0.6082648359855788,2.8985965222315784,0.7127147752879137,5.271114635895704
D3,3.865714130549493,3.5854929621047766,4.0388433550579395,4.389636190051554,4.388841285288704,0.3750523839359955,4.146239485999887,0.019507374704846037,1.1102230246251565e-15,1.1102230246251565e-15,1.0,0.06553887776408746,0.047276824767591985,0.5484109801325124,1.1975406873744832,0.6082648359855783,2.898596522231578,0.7127147752879137,5.271114635895704
D. Over.,3.8154467373259027,3.574138064138739,4.027488457091902,4.339368796827965,4.338573892065114,0.4405912617000829,4.095972092776297,0.04603150305924142,0.06553887776408746,0.06553887776408746,0.06553887776408746,1.0,0.07416754652404595,0.5257011842004369,1.2241670698810183,0.5579974427619879,2.8483291290079875,0.6738022800303609,5.21122215053332
Borderline,3.8755402585819403,3.5625632416290505,4.015913634582213,4.399462318084002,4.398667413321151,0.3895733601954141,4.156065614032333,0.03895932264071472,0.04727682476759176,0.04727682476759176,0.047276824767591985,0.07416754652404595,1.0,0.5025515391810598,1.2448175121420755,0.6180909640180251,2.908422650264025,0.7454706237960866,5.2580110434524245
