,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,0.10000000000000009,0.15000000000000013,0.25,0.1499999999999999,0.0,0.01666666666666683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666687
F1v,0.10000000000000009,1.0,0.1499999999999999,0.15000000000000013,0.1499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666687
F2,0.15000000000000013,0.1499999999999999,1.0,0.2500000000000002,0.1499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666687
F3,0.25,0.15000000000000013,0.2500000000000002,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050000000000000266
F4,0.1499999999999999,0.1499999999999999,0.1499999999999999,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050000000000000266
N3,0.0,0.0,0.0,0.0,0.0,1.0,0.06666666666666687,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.2500000000000002,0.20000000000000018,0.18333333333333335,0.1166666666666667,0.19999999999999996,0.0
N4,0.01666666666666683,0.0,0.0,0.0,0.0,0.06666666666666687,1.0,0.06666666666666687,0.06666666666666687,0.06666666666666687,0.06666666666666687,0.06666666666666687,0.06666666666666687,0.06666666666666687,0.06666666666666687,0.06666666666666687,0.10000000000000009,0.06666666666666687,0.13333333333333353
kDN,0.0,0.0,0.0,0.0,0.0,0.20000000000000018,0.06666666666666687,1.0,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.19999999999999996,0.18333333333333357,0.20000000000000018,0.20000000000000018,0.1166666666666667,0.20000000000000018,0.0
CM,0.0,0.0,0.0,0.0,0.0,0.20000000000000018,0.06666666666666687,0.20000000000000018,1.0,0.19999999999999996,0.19999999999999996,0.20000000000000018,0.19999999999999996,0.18333333333333357,0.20000000000000018,0.20000000000000018,0.1166666666666667,0.20000000000000018,0.0
R,0.0,0.0,0.0,0.0,0.0,0.20000000000000018,0.06666666666666687,0.20000000000000018,0.19999999999999996,1.0,0.19999999999999996,0.20000000000000018,0.19999999999999996,0.18333333333333357,0.20000000000000018,0.20000000000000018,0.1166666666666667,0.20000000000000018,0.0
D3,0.0,0.0,0.0,0.0,0.0,0.20000000000000018,0.06666666666666687,0.20000000000000018,0.19999999999999996,0.19999999999999996,1.0,0.20000000000000018,0.19999999999999996,0.18333333333333357,0.20000000000000018,0.20000000000000018,0.1166666666666667,0.20000000000000018,0.0
D. Over.,0.0,0.0,0.0,0.0,0.0,0.20000000000000018,0.06666666666666687,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.20000000000000018,1.0,0.19999999999999996,0.18333333333333357,0.20000000000000018,0.20000000000000018,0.1166666666666667,0.20000000000000018,0.0
Borderline,0.0,0.0,0.0,0.0,0.0,0.20000000000000018,0.06666666666666687,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,1.0,0.18333333333333357,0.20000000000000018,0.20000000000000018,0.1166666666666667,0.20000000000000018,0.0
N1,0.0,0.0,0.0,0.0,0.0,0.2500000000000002,0.06666666666666687,0.18333333333333357,0.18333333333333357,0.18333333333333357,0.18333333333333357,0.18333333333333357,0.18333333333333357,1.0,0.20000000000000018,0.18333333333333335,0.1166666666666667,0.18333333333333335,0.0
N2,0.0,0.0,0.0,0.0,0.0,0.20000000000000018,0.06666666666666687,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.20000000000000018,1.0,0.20000000000000018,0.1166666666666667,0.20000000000000018,0.0
ONB,0.0,0.0,0.0,0.0,0.0,0.18333333333333335,0.06666666666666687,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.18333333333333335,0.20000000000000018,1.0,0.1166666666666667,0.2500000000000002,0.0
LSC,0.0,0.0,0.0,0.0,0.0,0.1166666666666667,0.10000000000000009,0.1166666666666667,0.1166666666666667,0.1166666666666667,0.1166666666666667,0.1166666666666667,0.1166666666666667,0.1166666666666667,0.1166666666666667,0.1166666666666667,1.0,0.1166666666666667,0.0
Clust,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.06666666666666687,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.18333333333333335,0.20000000000000018,0.2500000000000002,0.1166666666666667,1.0,0.0
IR,0.06666666666666687,0.06666666666666687,0.06666666666666687,0.050000000000000266,0.050000000000000266,0.0,0.13333333333333353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
