,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,0.9801842179621454,0.9755560723648661,0.9893091486675684,0.9618985338213379,0.5314445363001923,0.9650713016260275,0.5651113417660221,0.5634803777635831,0.5634803777635831,0.5634803777635831,0.5682796639533488,0.5659735562013516,0.626258728158179,0.5267575186047744,0.6004409500603176,0.698299852503987,0.5962179177434805,-0.5879602804213245
F1v,0.9801842179621454,1.0,0.9888673535609351,0.9587841939017516,0.9630471985941051,0.5503252337036882,0.9131242500576762,0.5802413392829482,0.578673625891956,0.578673625891956,0.578673625891956,0.5823443803244277,0.5830273152406833,0.6543663740446741,0.4869104441550395,0.5916128291326364,0.619946286394776,0.580773172438544,-0.459195107264051
F2,0.9755560723648661,0.9888673535609351,1.0,0.9751211153309649,0.9910578359171298,0.42483553838085675,0.8959995929760685,0.45564570754961453,0.4540004862322131,0.4540004862322131,0.4540004862322131,0.4579245124283411,0.45846251364096746,0.5354514928310059,0.3701514281715824,0.4720935532768984,0.5438361772560438,0.46199024853945303,-0.4813029800981305
F3,0.9893091486675684,0.9587841939017516,0.9751211153309649,1.0,0.9764887693569453,0.41696437389428764,0.9424173023071123,0.44864796849826805,0.4471010237231764,0.4471010237231764,0.4471010237231764,0.4517242098083916,0.44934173756117435,0.5110053703548211,0.42689524390236877,0.48793155141622835,0.6245539696341771,0.484823839568607,-0.636364027955018
F4,0.9618985338213379,0.9630471985941051,0.9910578359171298,0.9764887693569453,1.0,0.3148026435514555,0.8900121899807016,0.35203031566800047,0.3500668999401593,0.3500668999401593,0.3500668999401594,0.3552654135911525,0.3543692644661243,0.43554140891044507,0.27937891994060826,0.38253318021087923,0.5125735374629096,0.3751188330833879,-0.4813735320260648
N3,0.5314445363001923,0.5503252337036882,0.42483553838085675,0.41696437389428764,0.3148026435514555,1.0,0.5596091517050685,0.9949362495830121,0.9954179011064961,0.9954179011064961,0.9954179011064961,0.9936154784885656,0.9951599383642589,0.9811296857046818,0.9555968709547817,0.9688988120818626,0.7388749818935358,0.9613841233169649,-0.30012252399939043
N4,0.9650713016260275,0.9131242500576762,0.8959995929760685,0.9424173023071123,0.8900121899807016,0.5596091517050685,1.0,0.6091642217097188,0.606889888875118,0.606889888875118,0.606889888875118,0.6148429277613994,0.6077848534568686,0.6578260155617943,0.6090316767228197,0.6784353356260235,0.8435478437639056,0.6824609863048868,-0.5729088393071254
kDN,0.5651113417660221,0.5802413392829482,0.45564570754961453,0.44864796849826805,0.35203031566800047,0.9949362495830121,0.6091642217097188,1.0,0.9999876993774479,0.9999876993774479,0.9999876993774478,0.9999186656219647,0.9999470383063304,0.9924347572667886,0.9571484729010261,0.9868756223270867,0.7908876886154557,0.9809889504161381,-0.2777508688043584
CM,0.5634803777635831,0.578673625891956,0.4540004862322131,0.4471010237231764,0.3500668999401593,0.9954179011064961,0.606889888875118,0.9999876993774479,1.0,0.9999999999999998,0.9999999999999998,0.9998479316537054,0.9999415660624476,0.992049325461541,0.9574874123115181,0.9862918297380205,0.7887440960317174,0.9803459454991379,-0.2792414933081717
R,0.5634803777635831,0.578673625891956,0.4540004862322131,0.4471010237231764,0.3500668999401593,0.9954179011064961,0.606889888875118,0.9999876993774479,0.9999999999999998,1.0,0.9999999999999998,0.9998479316537054,0.9999415660624476,0.992049325461541,0.9574874123115181,0.9862918297380205,0.7887440960317174,0.9803459454991379,-0.2792414933081717
D3,0.5634803777635831,0.578673625891956,0.4540004862322131,0.4471010237231764,0.3500668999401594,0.9954179011064961,0.606889888875118,0.9999876993774478,0.9999999999999998,0.9999999999999998,1.0,0.9998479316537054,0.9999415660624476,0.9920493254615409,0.957487412311518,0.9862918297380204,0.7887440960317172,0.9803459454991379,-0.2792414933081717
D. Over.,0.5682796639533488,0.5823443803244277,0.4579245124283411,0.4517242098083916,0.3552654135911525,0.9936154784885656,0.6148429277613994,0.9999186656219647,0.9998479316537054,0.9998479316537054,0.9998479316537054,1.0,0.999799665579531,0.992806640847939,0.9575772702980716,0.988690763123277,0.7977404385461742,0.9831126383077803,-0.27640276881666215
Borderline,0.5659735562013516,0.5830273152406833,0.45846251364096746,0.44934173756117435,0.3543692644661243,0.9951599383642589,0.6077848534568686,0.9999470383063304,0.9999415660624476,0.9999415660624476,0.9999415660624476,0.999799665579531,1.0,0.9931845341020645,0.9543980898408538,0.9855423410085888,0.7863941011948336,0.9792903370941454,-0.27350906318924006
N1,0.626258728158179,0.6543663740446741,0.5354514928310059,0.5110053703548211,0.43554140891044507,0.9811296857046818,0.6578260155617943,0.9924347572667886,0.992049325461541,0.992049325461541,0.9920493254615409,0.992806640847939,0.9931845341020645,1.0,0.9225887169633642,0.9793279617798725,0.7920528722716589,0.9713284510294178,-0.24339953694511718
