,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,0.9235097243740246,0.8184550688492072,0.9129528699618622,1.1240149505335142,3.1361617867776554,1.2158134707643633,2.8736773362469394,3.0738040007255605,3.0738040007255605,3.0738040007255605,2.719815414997534,2.747400553443483,2.866222343611143,2.7362182351430993,2.8777472532602806,1.960479816340977,2.881821412603654,2.6457513110645907
F1v,0.9235097243740246,1.0,0.7290281401180441,1.695382481342658,1.752038009817563,3.6975631010185315,2.0333886508372423,3.441066458055881,3.641214826870762,3.641214826870762,3.641214826870762,3.2689638223525823,3.2901776044389566,3.442043779146218,3.315080989725536,3.465980605909407,2.7039238862939636,3.4762343907522517,2.6457513110645903
F2,0.8184550688492072,0.7290281401180441,1.0,1.2977070934577344,1.2400490023156134,3.3972621401615894,1.8296154260267767,3.235855910323685,3.35927053816733,3.35927053816733,3.35927053816733,3.1402263475614998,3.125388847249833,3.2021697195878085,3.181633581773291,3.2386882978240212,2.652554546047703,3.2505259807699143,2.6457513110645907
F3,0.9129528699618622,1.695382481342658,1.2977070934577344,1.0,0.4698546765358277,2.545942968450908,0.884418891657726,2.3450017463502393,2.488763090837036,2.488763090837036,2.488763090837036,2.267298357116664,2.31671049466949,2.3105885961717263,2.268206479469223,2.334715952296264,1.6615803370105804,2.339707415093888,2.6457513110645903
F4,1.1240149505335142,1.752038009817563,1.2400490023156134,0.4698546765358277,1.0,2.5035698913235893,1.1020956603161791,2.37001508248397,2.459412068802874,2.459412068802874,2.459412068802874,2.339111802064416,2.359827711543796,2.312188112471716,2.378369931942252,2.3531720663489373,1.9899150189776578,2.3629687482881137,2.6457513110645907
N3,3.1361617867776554,3.6975631010185315,3.3972621401615894,2.545942968450908,2.5035698913235893,1.0,2.2676581907852653,0.6537265462347105,0.1523085071777537,0.1523085071777537,0.15230850717775382,1.0720411834014194,0.9022063200920053,0.5135426934965334,1.0703232522298374,0.5487191858064381,2.174528295238379,0.5588495050161791,2.6457513110645907
N4,1.2158134707643633,2.0333886508372423,1.8296154260267767,0.884418891657726,1.1020956603161791,2.2676581907852653,1.0,1.9744534426819098,2.1873936682707464,2.1873936682707464,2.187393668270747,1.8483047814240803,1.8998807853912443,1.9646385485149889,1.8654123048176012,1.9473051134075023,1.091244266256756,1.9394593611906696,2.6457513110645907
kDN,2.8736773362469394,3.441066458055881,3.235855910323685,2.3450017463502393,2.37001508248397,0.6537265462347105,1.9744534426819098,1.0,0.505961648625849,0.505961648625849,0.5059616486258489,0.4241327170954668,0.39171905438880417,0.17735220044404013,0.4703195985284422,0.17375940102782686,1.7831867681590963,0.20788821908224667,2.6457513110645907
CM,3.0738040007255605,3.641214826870762,3.35927053816733,2.488763090837036,2.459412068802874,0.1523085071777537,2.1873936682707464,0.505961648625849,1.0,0.0,3.188872858294072e-16,0.9264244277185293,0.7792759977416456,0.3679312272902543,0.9323302054102133,0.4037263358800631,2.0744706191141513,0.41671733154450613,2.6457513110645903
R,3.0738040007255605,3.641214826870762,3.35927053816733,2.488763090837036,2.459412068802874,0.1523085071777537,2.1873936682707464,0.505961648625849,0.0,1.0,3.188872858294072e-16,0.9264244277185293,0.7792759977416456,0.3679312272902543,0.9323302054102133,0.4037263358800631,2.0744706191141513,0.41671733154450613,2.6457513110645903
D3,3.0738040007255605,3.641214826870762,3.35927053816733,2.488763090837036,2.459412068802874,0.15230850717775382,2.187393668270747,0.5059616486258489,3.188872858294072e-16,3.188872858294072e-16,1.0,0.9264244277185293,0.7792759977416457,0.36793122729025424,0.9323302054102133,0.4037263358800631,2.0744706191141513,0.41671733154450613,2.6457513110645903
D. Over.,2.719815414997534,3.2689638223525823,3.1402263475614998,2.267298357116664,2.339111802064416,1.0720411834014194,1.8483047814240803,0.4241327170954668,0.9264244277185293,0.9264244277185293,0.9264244277185293,1.0,0.3989934049210849,0.5802379685299208,0.26400892576176493,0.5573678588602805,1.592474383297614,0.5701370640873565,2.6457513110645907
Borderline,2.747400553443483,3.2901776044389566,3.125388847249833,2.31671049466949,2.359827711543796,0.9022063200920053,1.8998807853912443,0.39171905438880417,0.7792759977416456,0.7792759977416456,0.7792759977416457,0.3989934049210849,1.0,0.4763844093457143,0.4841071764941368,0.46571991488780784,1.7486537222158713,0.48703925320848107,2.6457513110645907
N1,2.866222343611143,3.442043779146218,3.2021697195878085,2.3105885961717263,2.312188112471716,0.5135426934965334,1.9646385485149889,0.17735220044404013,0.3679312272902543,0.3679312272902543,0.36793122729025424,0.5802379685299208,0.4763844093457143,1.0,0.6214176648103948,0.13160230135517142,1.8405075319380237,0.17924749516308938,2.6457513110645903
N2,2.7362182351430993,3.315080989725536,3.181633581773291,2.268206479469223,2.378369931942252,1.0703232522298374,1.8654123048176012,0.4703195985284422,0.9323302054102133,0.9323302054102133,0.9323302054102133,0.26400892576176493,0.4841071764941368,0.6214176648103948,1.0,0.578685183788647,1.491644033494355,0.581829199820246,2.6457513110645907
ONB,2.8777472532602806,3.465980605909407,3.2386882978240212,2.334715952296264,2.3531720663489373,0.5487191858064381,1.9473051134075023,0.17375940102782686,0.4037263358800631,0.4037263358800631,0.4037263358800631,0.5573678588602805,0.46571991488780784,0.13160230135517142,0.578685183788647,1.0,1.7735026003200551,0.0502585118294354,2.6457513110645907
LSC,1.960479816340977,2.7039238862939636,2.652554546047703,1.6615803370105804,1.9899150189776578,2.174528295238379,1.091244266256756,1.7831867681590963,2.0744706191141513,2.0744706191141513,2.0744706191141513,1.592474383297614,1.7486537222158713,1.8405075319380237,1.491644033494355,1.7735026003200551,1.0,1.750065508950978,2.6457513110645907
Clust,2.881821412603654,3.4762343907522517,3.2505259807699143,2.339707415093888,2.3629687482881137,0.5588495050161791,1.9394593611906696,0.20788821908224667,0.41671733154450613,0.41671733154450613,0.41671733154450613,0.5701370640873565,0.48703925320848107,0.17924749516308938,0.581829199820246,0.0502585118294354,1.750065508950978,1.0,2.6457513110645907
IR,2.6457513110645907,2.6457513110645903,2.6457513110645907,2.6457513110645903,2.6457513110645907,2.6457513110645907,2.6457513110645907,2.6457513110645907,2.6457513110645903,2.6457513110645903,2.6457513110645903,2.6457513110645907,2.6457513110645907,2.6457513110645903,2.6457513110645907,2.6457513110645907,2.6457513110645907,2.6457513110645907,1.0
