,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,1.0,1.0,0.9047619047619049,0.8095238095238096,0.2057377999494559,0.6190476190476191,0.2057377999494559,0.2057377999494559,0.2057377999494559,0.2057377999494559,0.2057377999494559,0.2057377999494559,0.39036002917941326,0.23809523809523814,0.4285714285714286,0.5238095238095238,0.4285714285714286,
F1v,1.0,1.0,1.0,0.9047619047619049,0.8095238095238096,0.2057377999494559,0.6190476190476191,0.2057377999494559,0.2057377999494559,0.2057377999494559,0.2057377999494559,0.2057377999494559,0.2057377999494559,0.39036002917941326,0.23809523809523814,0.4285714285714286,0.5238095238095238,0.4285714285714286,
F2,1.0,1.0,1.0,0.9047619047619049,0.8095238095238096,0.2057377999494559,0.6190476190476191,0.2057377999494559,0.2057377999494559,0.2057377999494559,0.2057377999494559,0.2057377999494559,0.2057377999494559,0.39036002917941326,0.23809523809523814,0.4285714285714286,0.5238095238095238,0.4285714285714286,
F3,0.9047619047619049,0.9047619047619049,0.9047619047619049,1.0,0.9047619047619049,0.3086066999241839,0.7142857142857143,0.3086066999241839,0.3086066999241839,0.3086066999241839,0.3086066999241839,0.3086066999241839,0.3086066999241839,0.4879500364742666,0.33333333333333337,0.5238095238095238,0.6190476190476191,0.5238095238095238,
F4,0.8095238095238096,0.8095238095238096,0.8095238095238096,0.9047619047619049,1.0,0.4114755998989118,0.6190476190476191,0.4114755998989118,0.4114755998989118,0.4114755998989118,0.4114755998989118,0.4114755998989118,0.4114755998989118,0.5855400437691199,0.4285714285714286,0.6190476190476191,0.5238095238095238,0.6190476190476191,
N3,0.2057377999494559,0.2057377999494559,0.2057377999494559,0.3086066999241839,0.4114755998989118,1.0,0.6172133998483678,1.0,1.0,1.0,1.0,1.0,1.0,0.8432740427115679,0.9258200997725516,0.7200822998230957,0.6172133998483678,0.7200822998230957,
N4,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.7142857142857143,0.6190476190476191,0.6172133998483678,1.0,0.6172133998483678,0.6172133998483678,0.6172133998483678,0.6172133998483678,0.6172133998483678,0.6172133998483678,0.7807200583588265,0.6190476190476191,0.8095238095238096,0.9047619047619049,0.8095238095238096,
kDN,0.2057377999494559,0.2057377999494559,0.2057377999494559,0.3086066999241839,0.4114755998989118,1.0,0.6172133998483678,1.0,1.0,1.0,1.0,1.0,1.0,0.8432740427115679,0.9258200997725516,0.7200822998230957,0.6172133998483678,0.7200822998230957,
CM,0.2057377999494559,0.2057377999494559,0.2057377999494559,0.3086066999241839,0.4114755998989118,1.0,0.6172133998483678,1.0,1.0,1.0,1.0,1.0,1.0,0.8432740427115679,0.9258200997725516,0.7200822998230957,0.6172133998483678,0.7200822998230957,
R,0.2057377999494559,0.2057377999494559,0.2057377999494559,0.3086066999241839,0.4114755998989118,1.0,0.6172133998483678,1.0,1.0,1.0,1.0,1.0,1.0,0.8432740427115679,0.9258200997725516,0.7200822998230957,0.6172133998483678,0.7200822998230957,
D3,0.2057377999494559,0.2057377999494559,0.2057377999494559,0.3086066999241839,0.4114755998989118,1.0,0.6172133998483678,1.0,1.0,1.0,1.0,1.0,1.0,0.8432740427115679,0.9258200997725516,0.7200822998230957,0.6172133998483678,0.7200822998230957,
D. Over.,0.2057377999494559,0.2057377999494559,0.2057377999494559,0.3086066999241839,0.4114755998989118,1.0,0.6172133998483678,1.0,1.0,1.0,1.0,1.0,1.0,0.8432740427115679,0.9258200997725516,0.7200822998230957,0.6172133998483678,0.7200822998230957,
Borderline,0.2057377999494559,0.2057377999494559,0.2057377999494559,0.3086066999241839,0.4114755998989118,1.0,0.6172133998483678,1.0,1.0,1.0,1.0,1.0,1.0,0.8432740427115679,0.9258200997725516,0.7200822998230957,0.6172133998483678,0.7200822998230957,
N1,0.39036002917941326,0.39036002917941326,0.39036002917941326,0.4879500364742666,0.5855400437691199,0.8432740427115679,0.7807200583588265,0.8432740427115679,0.8432740427115679,0.8432740427115679,0.8432740427115679,0.8432740427115679,0.8432740427115679,1.0,0.7807200583588265,0.7807200583588265,0.6831300510639733,0.7807200583588265,
N2,0.23809523809523814,0.23809523809523814,0.23809523809523814,0.33333333333333337,0.4285714285714286,0.9258200997725516,0.6190476190476191,0.9258200997725516,0.9258200997725516,0.9258200997725516,0.9258200997725516,0.9258200997725516,0.9258200997725516,0.7807200583588265,1.0,0.8095238095238096,0.7142857142857143,0.8095238095238096,
ONB,0.4285714285714286,0.4285714285714286,0.4285714285714286,0.5238095238095238,0.6190476190476191,0.7200822998230957,0.8095238095238096,0.7200822998230957,0.7200822998230957,0.7200822998230957,0.7200822998230957,0.7200822998230957,0.7200822998230957,0.7807200583588265,0.8095238095238096,1.0,0.9047619047619049,1.0,
LSC,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.6172133998483678,0.9047619047619049,0.6172133998483678,0.6172133998483678,0.6172133998483678,0.6172133998483678,0.6172133998483678,0.6172133998483678,0.6831300510639733,0.7142857142857143,0.9047619047619049,1.0,0.9047619047619049,
Clust,0.4285714285714286,0.4285714285714286,0.4285714285714286,0.5238095238095238,0.6190476190476191,0.7200822998230957,0.8095238095238096,0.7200822998230957,0.7200822998230957,0.7200822998230957,0.7200822998230957,0.7200822998230957,0.7200822998230957,0.7807200583588265,0.8095238095238096,1.0,0.9047619047619049,1.0,
IR,,,,,,,,,,,,,,,,,,,1.0
