,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,2.3066170016547254,1.733502999895685,1.8884390765089645,2.460339658865209,7.251784856503921,2.8075361801146608,6.58407027072934,7.110499030666686,7.110499030666686,7.110499030666686,6.048407870737723,6.128867360255326,6.613642275256158,6.016289784297528,6.484136630642907,4.075517222335455,6.432642213894141,6.155082866219836
F1v,2.3066170016547254,1.0,1.4592208987564212,3.83865314348008,3.7988014927215215,7.972375604139046,5.057111949897685,7.149121080504408,7.776237162111832,7.776237162111832,7.776237162111832,6.613458680512789,6.693918170030393,7.178693085031226,6.610930754188421,7.185028217966188,6.144950429874514,7.21970936974405,6.227602951467814
F2,1.733502999895685,1.4592208987564212,1.0,2.8084549042536695,2.6427161907957837,7.323753107777778,4.026913710671273,6.411498328375108,7.127614665750564,7.127614665750564,7.127614665750564,5.838949121452195,5.93184476244615,6.459576881088108,5.930605666451406,6.536405721604921,5.147674663035911,6.571086873382784,6.414586309722811
F3,1.8884390765089645,3.83865314348008,2.8084549042536695,1.0,1.1121214697804318,5.5601510665694605,1.9447012173935625,4.87853154096759,5.404960300904936,5.404960300904936,5.404960300904936,4.342869140975971,4.423328630493575,4.9081035454944075,4.310751054535777,4.778597900881156,3.139460218915802,4.807484832174467,6.641151748275013
F4,2.460339658865209,3.7988014927215215,2.6427161907957837,1.1121214697804318,1.0,5.460890128735157,2.3077809702100853,4.548635349332487,5.264751686707943,5.264751686707943,5.264751686707943,4.225171741102466,4.126053900338433,4.596713902045487,4.28417924130836,4.673542742562299,4.091906960587994,4.708223894340163,6.6436741577149165
N3,7.251784856503921,7.972375604139046,7.323753107777778,5.5601510665694605,5.460890128735157,1.0,5.594549743061463,1.2969449180565542,0.3325575864374858,0.3325575864374858,0.3325575864374864,2.032114056691922,1.6608991944146618,0.9908662562804348,2.0251716576439724,1.051695231722182,4.878725995205961,1.1262099034539235,5.990755576475443
N4,2.8075361801146608,5.057111949897685,4.026913710671273,1.9447012173935625,2.3077809702100853,5.594549743061463,1.0,4.926835157286884,5.453263917224229,5.453263917224229,5.45326391722423,4.391172757295265,4.471632246812869,4.956407161813702,4.35905467085507,4.826901517200449,2.494347511925215,4.775407100451685,6.305031579821241
kDN,6.58407027072934,7.149121080504408,6.411498328375108,4.87853154096759,4.548635349332487,1.2969449180565542,4.926835157286884,1.0,0.9643873316190684,0.9643873316190684,0.9643873316190678,0.7518325968152536,0.6545128399160748,0.36121714814834244,1.014466043935923,0.39625706280294365,4.165557412057312,0.443016372752286,6.196357069952629
CM,7.110499030666686,7.776237162111832,7.127614665750564,5.404960300904936,5.264751686707943,0.3325575864374858,5.453263917224229,0.9643873316190684,1.0,0.0,7.216449660063518e-16,1.6995564702544361,1.40990813619747,0.6718458321683807,1.7779426864530339,0.7542911011628314,4.691986171994658,0.8485049332064164,5.989650982074737
R,7.110499030666686,7.776237162111832,7.127614665750564,5.404960300904936,5.264751686707943,0.3325575864374858,5.453263917224229,0.9643873316190684,0.0,1.0,7.216449660063518e-16,1.6995564702544361,1.40990813619747,0.6718458321683807,1.7779426864530339,0.7542911011628314,4.691986171994658,0.8485049332064164,5.989650982074737
D3,7.110499030666686,7.776237162111832,7.127614665750564,5.404960300904936,5.264751686707943,0.3325575864374864,5.45326391722423,0.9643873316190678,7.216449660063518e-16,7.216449660063518e-16,1.0,1.6995564702544355,1.40990813619747,0.6718458321683803,1.7779426864530337,0.7542911011628309,4.691986171994658,0.848504933206416,5.989650982074737
D. Over.,6.048407870737723,6.613458680512789,5.838949121452195,4.342869140975971,4.225171741102466,2.032114056691922,4.391172757295265,0.7518325968152536,1.6995564702544361,1.6995564702544361,1.6995564702544355,1.0,0.8122257908027029,1.0412478004114871,0.5497645446457433,1.0150021185963416,3.6298950120656936,1.0346734633022785,6.594630967654773
Borderline,6.128867360255326,6.693918170030393,5.93184476244615,4.423328630493575,4.126053900338433,1.6608991944146618,4.471632246812869,0.6545128399160748,1.40990813619747,1.40990813619747,1.40990813619747,0.8122257908027029,1.0,0.8399753067524015,1.1071066764081166,0.8821382366974954,4.196819427482811,0.955081167233598,6.260842361167377
N1,6.613642275256158,7.178693085031226,6.459576881088108,4.9081035454944075,4.596713902045487,0.9908662562804348,4.956407161813702,0.36121714814834244,0.6718458321683807,0.6718458321683807,0.6718458321683803,1.0412478004114871,0.8399753067524015,1.0,1.3571766438980841,0.26716346057181073,4.1951294165841295,0.36137729261539575,6.011257720188946
N2,6.016289784297528,6.610930754188421,5.930605666451406,4.310751054535777,4.28417924130836,2.0251716576439724,4.35905467085507,1.014466043935923,1.7779426864530339,1.7779426864530339,1.7779426864530337,0.5497645446457433,1.1071066764081166,1.3571766438980841,1.0,1.2814298018554788,3.5977769256254994,1.3011011465614157,6.5314012039489535
ONB,6.484136630642907,7.185028217966188,6.536405721604921,4.778597900881156,4.673542742562299,1.051695231722182,4.826901517200449,0.39625706280294365,0.7542911011628314,0.7542911011628314,0.7542911011628309,1.0150021185963416,0.8821382366974954,0.26716346057181073,1.2814298018554788,1.0,4.065623771970878,0.10091895717877628,6.048734757092614
LSC,4.075517222335455,6.144950429874514,5.147674663035911,3.139460218915802,4.091906960587994,4.878725995205961,2.494347511925215,4.165557412057312,4.691986171994658,4.691986171994658,4.691986171994658,3.6298950120656936,4.196819427482811,4.1951294165841295,3.5977769256254994,4.065623771970878,1.0,4.014129355222113,6.029904889804944
Clust,6.432642213894141,7.21970936974405,6.571086873382784,4.807484832174467,4.708223894340163,1.1262099034539235,4.775407100451685,0.443016372752286,0.8485049332064164,0.8485049332064164,0.848504933206416,1.0346734633022785,0.955081167233598,0.36137729261539575,1.3011011465614157,0.10091895717877628,4.014129355222113,1.0,6.0453327886749575
IR,6.155082866219836,6.227602951467814,6.414586309722811,6.641151748275013,6.6436741577149165,5.990755576475443,6.305031579821241,6.196357069952629,5.989650982074737,5.989650982074737,5.989650982074737,6.594630967654773,6.260842361167377,6.011257720188946,6.5314012039489535,6.048734757092614,6.029904889804944,6.0453327886749575,1.0
