,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,0.9388226502712508,0.9622272788113733,0.9402706211042491,0.9098374531793133,0.2965292725591882,0.8956146017707023,0.4089723352542543,0.3241339672369455,0.3241339672369455,0.3241339672369455,0.470328966880751,0.4596062228526031,0.4121173170034338,0.46258340151806543,0.40733554369958014,0.7245085730330038,0.40564864619522545,
F1v,0.9388226502712508,1.0,0.9661974657116849,0.7939357625896432,0.7806852850964545,0.02116546480947505,0.7054213229238302,0.15093704896441945,0.050474151943148124,0.050474151943148124,0.050474151943148096,0.23285666907005123,0.2230994703436995,0.15078505383572496,0.20979642307841842,0.13882248706993122,0.4746460873194241,0.1337172718704912,
F2,0.9622272788113733,0.9661974657116849,1.0,0.8888239547214221,0.8957239589663464,0.19979725010065888,0.7836519526159909,0.28255196164289353,0.21959110224284847,0.21959110224284847,0.21959110224284842,0.3292921417069464,0.3351659080304611,0.2961527566869084,0.30906721045306595,0.28026365840356504,0.5261679457010364,0.27489558389705926,
F3,0.9402706211042491,0.7939357625896432,0.8888239547214221,1.0,0.9841979008601169,0.5379870205911746,0.9459590658979764,0.6083406666243587,0.5585888225751044,0.5585888225751044,0.5585888225751044,0.6340035985754563,0.617778523803062,0.6197154920218171,0.6323874476408334,0.6117531931726967,0.8038232328664374,0.6100960277315777,
F4,0.9098374531793133,0.7806852850964545,0.8957239589663464,0.9841979008601169,1.0,0.5533112564786671,0.9155452206033294,0.5999378734458314,0.5690001923153101,0.5690001923153101,0.5690001923153101,0.6103825996346387,0.6033919456810066,0.6192202733585511,0.5957103225616509,0.6055981037175945,0.7181796831250433,0.602305231589485,
N3,0.2965292725591882,0.02116546480947505,0.19979725010065888,0.5379870205911746,0.5533112564786671,1.0,0.6305035888562134,0.9694744001962885,0.9983430084743776,0.9983430084743776,0.9983430084743775,0.9179091215065205,0.9418588397132888,0.981162421568309,0.9180584146735197,0.9784933753662802,0.6622062184701556,0.9776919450530838,
N4,0.8956146017707023,0.7054213229238302,0.7836519526159909,0.9459590658979764,0.9155452206033294,0.6305035888562134,1.0,0.7189765504441648,0.6559559668953784,0.6559559668953784,0.6559559668953783,0.7532635295889822,0.739563737064475,0.7219620263706182,0.747712620180399,0.7266555629785413,0.913321532940732,0.7288001202375692,
kDN,0.4089723352542543,0.15093704896441945,0.28255196164289353,0.6083406666243587,0.5999378734458314,0.9694744001962885,0.7189765504441648,1.0,0.9817144864371296,0.9817144864371296,0.9817144864371294,0.9871508170206584,0.9890397273163386,0.9977532997855469,0.9841385980910666,0.9978434050396037,0.7728288139985031,0.9969130348833437,
CM,0.3241339672369455,0.050474151943148124,0.21959110224284847,0.5585888225751044,0.5690001923153101,0.9983430084743776,0.6559559668953784,0.9817144864371296,1.0,1.0,1.0,0.9386955556947427,0.9566234942388403,0.9903304722846207,0.9378060300763875,0.9883575032654901,0.6925722217105774,0.9875961903993162,
R,0.3241339672369455,0.050474151943148124,0.21959110224284847,0.5585888225751044,0.5690001923153101,0.9983430084743776,0.6559559668953784,0.9817144864371296,1.0,1.0,1.0,0.9386955556947427,0.9566234942388403,0.9903304722846207,0.9378060300763875,0.9883575032654901,0.6925722217105774,0.9875961903993162,
