,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,0.02260603275074216,0.3491470899001501,0.7807167900562386,0.8514740453878894,0.7045904903441421,0.3712000596759126,0.9120316526465353,0.7260365246265947,0.7260365246265952,0.7260365246265952,1.1334304332415839,0.9096687956985503,0.852043413773804,0.8946132527261361,0.6377668489213788,1.028643692033549,0.6524582508718437,2.449489742783178
F1v,0.02260603275074216,1.0,0.369522749774616,0.8021455224008096,0.8728246372830611,0.7247319756348545,0.373116050994475,0.9339142187039894,0.7474420594218888,0.7474420594218892,0.7474420594218893,1.154123919244083,0.9312278777765405,0.8736049494270743,0.9158040999920699,0.6560199881313141,1.0499911833471431,0.6693102891308289,2.449489742783178
F2,0.3491470899001501,0.369522749774616,1.0,0.5100489511474957,0.5805539661996506,0.5284105164984834,0.5673049410509011,0.6632196978084831,0.47324227573197714,0.4732422757319776,0.4732422757319776,0.9159132219518688,0.6685626231201142,0.6283549889533563,0.6850953284975713,0.4351482610349414,0.8008089914753449,0.4631367176979087,2.4494897427831783
F3,0.7807167900562386,0.8021455224008096,0.5100489511474957,1.0,0.07535225821674196,0.23294681013615176,0.7935559743447693,0.30542232725548596,0.07922061233078441,0.07922061233078391,0.07922061233078397,0.6265626687439593,0.40566063128382923,0.30704643183503333,0.4028130770389453,0.2801588659383823,0.44417692834853484,0.342286149510332,2.449489742783178
F4,0.8514740453878894,0.8728246372830611,0.5805539661996506,0.07535225821674196,1.0,0.27057131450172095,0.8486761904831507,0.2914992658036074,0.1449153068698824,0.14491530686988183,0.14491530686988185,0.6035399730616446,0.3984291225016187,0.3035157160160552,0.39991845535574333,0.3320717434973971,0.4184533334484821,0.3901443244796947,2.449489742783178
N3,0.7045904903441421,0.7247319756348545,0.5284105164984834,0.23294681013615176,0.27057131450172095,1.0,0.6588469051299127,0.3573950139618459,0.17073454216811113,0.17073454216811115,0.17073454216811124,0.64884694921979,0.45634980125290336,0.31141627598662996,0.3877343516544332,0.29551280183940054,0.46333946368200785,0.36089801129555293,2.449489742783178
N4,0.3712000596759126,0.373116050994475,0.5673049410509011,0.7935559743447693,0.8486761904831507,0.6588469051299127,1.0,0.9218541357228007,0.7415326930729846,0.7415326930729847,0.741532693072985,1.1308008526470856,0.9223135298839797,0.834367690008699,0.8858727508091131,0.6364917661926507,1.0153451761290038,0.659238225397421,2.449489742783178
kDN,0.9120316526465353,0.9339142187039894,0.6632196978084831,0.30542232725548596,0.2914992658036074,0.3573950139618459,0.9218541357228007,1.0,0.3109001871784654,0.31090018717846524,0.31090018717846485,0.3261284374940039,0.15977046419089191,0.10854693913798345,0.13798793584092178,0.5638578648734118,0.1515236501281431,0.6315731523807505,2.449489742783178
CM,0.7260365246265947,0.7474420594218888,0.47324227573197714,0.07922061233078441,0.1449153068698824,0.17073454216811113,0.7415326930729846,0.3109001871784654,1.0,7.776515945702112e-16,8.410672200088598e-16,0.6332961341492315,0.4127297302211005,0.30023734241970634,0.3901493325817788,0.256605625115882,0.449679558526808,0.3227820089984536,2.4494897427831783
R,0.7260365246265952,0.7474420594218892,0.4732422757319776,0.07922061233078391,0.14491530686988183,0.17073454216811115,0.7415326930729847,0.31090018717846524,7.776515945702112e-16,1.0,5.297244499711338e-16,0.6332961341492314,0.4127297302211004,0.30023734241970623,0.39014933258177875,0.256605625115882,0.44967955852680785,0.32278200899845366,2.449489742783178
D3,0.7260365246265952,0.7474420594218893,0.4732422757319776,0.07922061233078397,0.14491530686988185,0.17073454216811124,0.741532693072985,0.31090018717846485,8.410672200088598e-16,5.297244499711338e-16,1.0,0.633296134149231,0.41272973022110004,0.3002373424197059,0.3901493325817784,0.2566056251158824,0.4496795585268075,0.32278200899845405,2.449489742783178
D. Over.,1.1334304332415839,1.154123919244083,0.9159132219518688,0.6265626687439593,0.6035399730616446,0.64884694921979,1.1308008526470856,0.3261284374940039,0.6332961341492315,0.6332961341492314,0.633296134149231,1.0,0.26724005418124513,0.3541263264475448,0.2722096056107714,0.880451679664445,0.20580883771141947,0.9498436922092435,2.4494897427831783
Borderline,0.9096687956985503,0.9312278777765405,0.6685626231201142,0.40566063128382923,0.3984291225016187,0.45634980125290336,0.9223135298839797,0.15977046419089191,0.4127297302211005,0.4127297302211004,0.41272973022110004,0.26724005418124513,1.0,0.15501759955629407,0.13936284521724748,0.6492021283616071,0.19780534353800922,0.7209708223543014,2.449489742783178
N1,0.852043413773804,0.8736049494270743,0.6283549889533563,0.30704643183503333,0.3035157160160552,0.31141627598662996,0.834367690008699,0.10854693913798345,0.30023734241970634,0.30023734241970623,0.3002373424197059,0.3541263264475448,0.15501759955629407,1.0,0.10650162172839574,0.5367182312991142,0.19601376662902606,0.609335898118299,2.449489742783178
N2,0.8946132527261361,0.9158040999920699,0.6850953284975713,0.4028130770389453,0.39991845535574333,0.3877343516544332,0.8858727508091131,0.13798793584092178,0.3901493325817788,0.39014933258177875,0.3901493325817784,0.2722096056107714,0.13936284521724748,0.10650162172839574,1.0,0.6298518752652118,0.14773386069523867,0.7015697676321129,2.449489742783178
ONB,0.6377668489213788,0.6560199881313141,0.4351482610349414,0.2801588659383823,0.3320717434973971,0.29551280183940054,0.6364917661926507,0.5638578648734118,0.256605625115882,0.256605625115882,0.2566056251158824,0.880451679664445,0.6492021283616071,0.5367182312991142,0.6298518752652118,1.0,0.6981777839175791,0.07638780754472309,2.449489742783178
LSC,1.028643692033549,1.0499911833471431,0.8008089914753449,0.44417692834853484,0.4184533334484821,0.46333946368200785,1.0153451761290038,0.1515236501281431,0.449679558526808,0.44967955852680785,0.4496795585268075,0.20580883771141947,0.19780534353800922,0.19601376662902606,0.14773386069523867,0.6981777839175791,1.0,0.7656878102610215,2.449489742783178
Clust,0.6524582508718437,0.6693102891308289,0.4631367176979087,0.342286149510332,0.3901443244796947,0.36089801129555293,0.659238225397421,0.6315731523807505,0.3227820089984536,0.32278200899845366,0.32278200899845405,0.9498436922092435,0.7209708223543014,0.609335898118299,0.7015697676321129,0.07638780754472309,0.7656878102610215,1.0,2.4494897427831783
IR,2.449489742783178,2.449489742783178,2.4494897427831783,2.449489742783178,2.449489742783178,2.449489742783178,2.449489742783178,2.449489742783178,2.4494897427831783,2.449489742783178,2.449489742783178,2.4494897427831783,2.449489742783178,2.449489742783178,2.449489742783178,2.449489742783178,2.449489742783178,2.4494897427831783,1.0
