,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,0.9999574139402727,0.9898413591345214,0.9492067744770236,0.9395826625025652,0.9586293534097167,0.9885175429747166,0.9306831887142359,0.9560725804090114,0.9560725804090116,0.9560725804090113,0.892944621083483,0.9310418901776959,0.939501835087057,0.9333055940038968,0.9661044538680746,0.9118243462366324,0.9645248525724378,
F1v,0.9999574139402727,1.0,0.9886210781165838,0.9463802134076942,0.936514762712641,0.9562302969576999,0.9883987010408574,0.9273170193418765,0.9534441973172638,0.9534441973172638,0.9534441973172637,0.888999831585723,0.9277345533043166,0.9364011993613766,0.9301085708698096,0.9641364812643493,0.9081265429077721,0.9626686447386339,
F2,0.9898413591345214,0.9886210781165838,1.0,0.9783208389527782,0.9719130910274878,0.9767318605044837,0.9731804253216029,0.9633449693699021,0.9813368123716683,0.9813368123716684,0.9813368123716681,0.930091914154479,0.9627520015805626,0.9670975006547857,0.960887032572567,0.984220499243189,0.9465587465976868,0.9821253650600005,
F3,0.9492067744770236,0.9463802134076942,0.9783208389527782,1.0,0.999526836431803,0.9954779819706158,0.9475224096318102,0.9922264335011537,0.9994770078818279,0.9994770078818279,0.9994770078818278,0.9672849351780373,0.9862866210188672,0.9921435407247812,0.9864784687472014,0.9934592508196767,0.9835589046935717,0.9902366826544491,
F4,0.9395826625025652,0.936514762712641,0.9719130910274878,0.999526836431803,1.0,0.9938992636474007,0.9399790603089173,0.9929190148363298,0.9982499628195673,0.9982499628195673,0.9982499628195673,0.9696449584097291,0.9867711861952159,0.9923231841776052,0.9866721024221562,0.9908106964308833,0.9854080673104877,0.9873156171730235,
N3,0.9586293534097167,0.9562302969576999,0.9767318605044837,0.9954779819706158,0.9938992636474007,1.0,0.9638267296333946,0.9893557336662677,0.9975708096758871,0.9975708096758871,0.997570809675887,0.9649164697073475,0.9826454049080362,0.9919183252542183,0.9874718393789261,0.9927226819957522,0.9821097117829057,0.9891460521202428,
N4,0.9885175429747166,0.9883987010408574,0.9731804253216029,0.9475224096318102,0.9399790603089173,0.9638267296333946,1.0,0.9291820793708975,0.9541774387586606,0.9541774387586607,0.9541774387586606,0.893440785971052,0.9291114793827462,0.9419858798224623,0.9346024557811579,0.9662398526307467,0.9140895144426303,0.9637837468479049,
kDN,0.9306831887142359,0.9273170193418765,0.9633449693699021,0.9922264335011537,0.9929190148363298,0.9893557336662677,0.9291820793708975,1.0,0.9919450894676999,0.9919450894677,0.9919450894676998,0.9911366868548102,0.9978727832310191,0.9990181301669814,0.9984132774635303,0.9735053590183667,0.9980867152876538,0.9667596127659869,
CM,0.9560725804090114,0.9534441973172638,0.9813368123716683,0.9994770078818279,0.9982499628195673,0.9975708096758871,0.9541774387586606,0.9919450894676999,1.0,1.0,1.0,0.9665780005393032,0.9858045141493015,0.9924881281847295,0.9873152915238328,0.9945127960965741,0.9831490245535948,0.9913176478889103,
R,0.9560725804090116,0.9534441973172638,0.9813368123716684,0.9994770078818279,0.9982499628195673,0.9975708096758871,0.9541774387586607,0.9919450894677,1.0,1.0,1.0,0.9665780005393033,0.9858045141493016,0.9924881281847295,0.9873152915238328,0.9945127960965743,0.9831490245535948,0.9913176478889103,
