,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,0.9630303370954363,0.9913506987976318,0.9921771534124796,0.979556619486477,0.9400384703529087,0.9992194893008811,0.9426112401730815,0.937118264600619,0.937118264600619,0.9371182646006191,0.945414584745781,0.9356445652528169,0.9440701917664862,0.9807688486291192,0.9571394653728305,0.9630421017463286,0.9613711598198639,0.9447656273214914
F1v,0.9630303370954363,1.0,0.9825057866546965,0.9423352327599198,0.9680790010445813,0.9799479061037059,0.965768329230203,0.976666833918913,0.9811974294450474,0.9811974294450477,0.9811974294450473,0.9688655041621325,0.9845280454215113,0.9781803903765447,0.9731530714323228,0.9840719869579219,0.8576694818931281,0.9843486612973599,0.8272296008639373
F2,0.9913506987976318,0.9825057866546965,1.0,0.9877150047930489,0.9942664217043192,0.9761543343918345,0.9941577566416682,0.9778136754323137,0.9741033715197874,0.9741033715197874,0.9741033715197874,0.9787413838235313,0.9728610301387569,0.9784666608553987,0.996431386378582,0.9863189231646092,0.9244194423321292,0.9886666530934496,0.897058606094588
F3,0.9921771534124796,0.9423352327599198,0.9877150047930489,1.0,0.9854241519676474,0.9402965478403384,0.9937440777663097,0.9456855412005828,0.935703227129907,0.935703227129907,0.9357032271299071,0.9533407323148123,0.9313892551025266,0.9456661041786023,0.9862123651922425,0.9564513552703091,0.9641043289820844,0.9608913215012966,0.9422378414141009
F4,0.979556619486477,0.9680790010445813,0.9942664217043192,0.9854241519676474,1.0,0.9813833617858678,0.9851318972157533,0.9847635968999615,0.977815791210888,0.977815791210888,0.9778157912108878,0.9889760373889754,0.9738658005558523,0.9852457304227045,0.9982959286750895,0.9896628430178617,0.9090058398667672,0.9914087408050039,0.8777103563212504
N3,0.9400384703529087,0.9799479061037059,0.9761543343918345,0.9402965478403384,0.9813833617858678,1.0,0.9483989209951069,0.9996117322608433,0.9989588170796341,0.9989588170796343,0.998958817079634,0.9970782939433138,0.9983858562401947,0.9996230054416141,0.9831065030923485,0.9982040434073589,0.8226330371219615,0.9972093553927402,0.7819193279345882
N4,0.9992194893008811,0.965768329230203,0.9941577566416682,0.9937440777663097,0.9851318972157533,0.9483989209951069,1.0,0.9513113877787063,0.9461787403763947,0.9461787403763947,0.9461787403763948,0.9541846669023475,0.9435805558282006,0.9525121247940364,0.9855526481336973,0.9644809859965865,0.9578167037844636,0.9683638564485976,0.9375624285540575
kDN,0.9426112401730815,0.976666833918913,0.9778136754323137,0.9456855412005828,0.9847635968999615,0.9996117322608433,0.9513113877787063,1.0,0.9983519287308579,0.9983519287308579,0.9983519287308578,0.9986633353243604,0.9968674436088707,0.9998433278561923,0.9858833024001932,0.9985443946482531,0.8300292426419084,0.9977797299522674,0.7894582302268376
CM,0.937118264600619,0.9811974294450474,0.9741033715197874,0.935703227129907,0.977815791210888,0.9989588170796341,0.9461787403763947,0.9983519287308579,1.0,1.0,1.0,0.9942188276584416,0.9990941163058089,0.9983072427226632,0.9796089326179986,0.9974669696180467,0.8179146997203934,0.9963926683913686,0.7772605212376265
R,0.937118264600619,0.9811974294450477,0.9741033715197874,0.935703227129907,0.977815791210888,0.9989588170796343,0.9461787403763947,0.9983519287308579,1.0,1.0,1.0,0.9942188276584418,0.9990941163058089,0.9983072427226632,0.9796089326179988,0.9974669696180467,0.8179146997203934,0.9963926683913686,0.7772605212376265
D3,0.9371182646006191,0.9811974294450473,0.9741033715197874,0.9357032271299071,0.9778157912108878,0.998958817079634,0.9461787403763948,0.9983519287308578,1.0,1.0,1.0,0.9942188276584416,0.999094116305809,0.9983072427226632,0.9796089326179988,0.9974669696180467,0.8179146997203935,0.9963926683913685,0.7772605212376265
D. Over.,0.945414584745781,0.9688655041621325,0.9787413838235313,0.9533407323148123,0.9889760373889754,0.9970782939433138,0.9541846669023475,0.9986633353243604,0.9942188276584416,0.9942188276584418,0.9942188276584416,1.0,0.9915904311379818,0.9982923390506662,0.9892063471382623,0.99675931196133,0.8407350511539847,0.9963425620307224,0.8004174690840853
Borderline,0.9356445652528169,0.9845280454215113,0.9728610301387569,0.9313892551025266,0.9738658005558523,0.9983858562401947,0.9435805558282006,0.9968674436088707,0.9990941163058089,0.9990941163058089,0.999094116305809,0.9915904311379818,1.0,0.9969766165221395,0.9771424179769828,0.9962725872453436,0.8129529857880422,0.9951234287385015,0.7724450176366955
N1,0.9440701917664862,0.9781803903765447,0.9784666608553987,0.9456661041786023,0.9852457304227045,0.9996230054416141,0.9525121247940364,0.9998433278561923,0.9983072427226632,0.9983072427226632,0.9983072427226632,0.9982923390506662,0.9969766165221395,1.0,0.9857717625032434,0.9988946830010249,0.8310793054303588,0.9981170679609113,0.7910207414850918
N2,0.9807688486291192,0.9731530714323228,0.996431386378582,0.9862123651922425,0.9982959286750895,0.9831065030923485,0.9855526481336973,0.9858833024001932,0.9796089326179986,0.9796089326179988,0.9796089326179988,0.9892063471382623,0.9771424179769828,0.9857717625032434,1.0,0.9905324877769037,0.9090418396960087,0.9923301410648572,0.8772644642425018
ONB,0.9571394653728305,0.9840719869579219,0.9863189231646092,0.9564513552703091,0.9896628430178617,0.9982040434073589,0.9644809859965865,0.9985443946482531,0.9974669696180467,0.9974669696180467,0.9974669696180467,0.99675931196133,0.9962725872453436,0.9988946830010249,0.9905324877769037,1.0,0.8525667442319761,0.9998575277857931,0.8152228899072771
LSC,0.9630421017463286,0.8576694818931281,0.9244194423321292,0.9641043289820844,0.9090058398667672,0.8226330371219615,0.9578167037844636,0.8300292426419084,0.8179146997203934,0.8179146997203934,0.8179146997203935,0.8407350511539847,0.8129529857880422,0.8310793054303588,0.9090418396960087,0.8525667442319761,1.0,0.8608168329992294,0.9972525521363818
