,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,0.44943035689901867,0.310050219570754,0.9969687571428717,0.7743979194517314,0.4535985530867246,0.26064193925043905,0.5542438903148204,0.48200614042839623,0.48200614042839623,0.48200614042839635,0.7191561101201067,0.3916781166488256,0.51312103188183,0.69072603405485,0.4599871716959126,1.4014885200988076,0.47361914384991544,2.6457513110645907
F1v,0.44943035689901867,1.0,0.665799972950947,1.3720373195582882,1.1899082311157299,0.8275516884543619,0.6125084402855342,0.9292374642693096,0.7781142161162568,0.7781142161162568,0.7781142161162568,1.1179791055162702,0.6655754913896635,0.900675081272713,1.0745829646510494,0.8220431828603355,1.7310366399683683,0.8296546388648204,2.6457513110645903
F2,0.310050219570754,0.665799972950947,1.0,0.7241015906851025,0.5663435221112058,0.19546789180096844,0.23281193194240185,0.2895042981469947,0.2444047329719763,0.2444047329719763,0.24440473297197646,0.4700583587065734,0.1891694055372578,0.2770348512331755,0.41797929717143356,0.22381064291272448,1.1155577631768596,0.2340211973410753,2.6457513110645903
F3,0.9969687571428717,1.3720373195582882,0.7241015906851025,1.0,0.42700482377893034,0.5935937199268156,0.8605339023554007,0.5061601907084116,0.7011941895843407,0.7011941895843407,0.7011941895843408,0.33641061330436056,0.7762244772513692,0.5593264980968166,0.3171704747687412,0.6394008137561523,0.4483954253687205,0.6339741406240239,2.6457513110645907
F4,0.7743979194517314,1.1899082311157299,0.5663435221112058,0.42700482377893034,1.0,0.41266742083210606,0.6112010442750619,0.32956544321600745,0.5230192111039709,0.5230192111039709,0.5230192111039711,0.1982813298921572,0.6232202381857483,0.32454548064565375,0.3220136683214595,0.4134906641939839,0.8402122615867185,0.4183372439596117,2.6457513110645903
N3,0.4535985530867246,0.8275516884543619,0.19546789180096844,0.5935937199268156,0.41266742083210606,1.0,0.31341706839534356,0.10718700800296806,0.19020228068539285,0.19020228068539285,0.1902022806853932,0.303840668004932,0.23037400146842232,0.09926255328658132,0.3112325931991157,0.10101615619928574,1.0026420726238658,0.09961256543073645,2.6457513110645907
N4,0.26064193925043905,0.6125084402855342,0.23281193194240185,0.8605339023554007,0.6112010442750619,0.31341706839534356,1.0,0.3922753980046712,0.29827185901513226,0.29827185901513226,0.2982718590151323,0.5649445156916334,0.31110415434556143,0.3544862350715539,0.5713039635038536,0.2981088054207119,1.262836852846085,0.31594249780063927,2.6457513110645907
kDN,0.5542438903148204,0.9292374642693096,0.2895042981469947,0.5061601907084116,0.32956544321600745,0.10718700800296806,0.3922753980046712,1.0,0.22970295820521544,0.22970295820521544,0.22970295820521572,0.2113073215205158,0.3149229735931289,0.07562947426117608,0.24958202508048324,0.14353748960998416,0.9165878191569035,0.13816730007842631,2.6457513110645907
CM,0.48200614042839623,0.7781142161162568,0.2444047329719763,0.7011941895843407,0.5230192111039709,0.19020228068539285,0.29827185901513226,0.22970295820521544,1.0,0.0,5.613217783960923e-16,0.43385753346656586,0.1752787465143577,0.22939994033827749,0.4446231637886826,0.14679724553039872,1.0708840307245813,0.14148732868137842,2.6457513110645907
R,0.48200614042839623,0.7781142161162568,0.2444047329719763,0.7011941895843407,0.5230192111039709,0.19020228068539285,0.29827185901513226,0.22970295820521544,0.0,1.0,5.613217783960923e-16,0.43385753346656586,0.1752787465143577,0.22939994033827749,0.4446231637886826,0.14679724553039872,1.0708840307245813,0.14148732868137842,2.6457513110645907
D3,0.48200614042839635,0.7781142161162568,0.24440473297197646,0.7011941895843408,0.5230192111039711,0.1902022806853932,0.2982718590151323,0.22970295820521572,5.613217783960923e-16,5.613217783960923e-16,1.0,0.4338575334665661,0.17527874651435782,0.22939994033827782,0.44462316378868283,0.14679724553039908,1.0708840307245813,0.1414873286813788,2.6457513110645903
D. Over.,0.7191561101201067,1.1179791055162702,0.4700583587065734,0.33641061330436056,0.1982813298921572,0.303840668004932,0.5649445156916334,0.2113073215205158,0.43385753346656586,0.43385753346656586,0.4338575334665661,1.0,0.5210747625584503,0.2461602982011021,0.18566616453735793,0.34345373473019314,0.7715316250194509,0.3408032065343878,2.6457513110645903
Borderline,0.3916781166488256,0.6655754913896635,0.1891694055372578,0.7762244772513692,0.6232202381857483,0.23037400146842232,0.31110415434556143,0.3149229735931289,0.1752787465143577,0.1752787465143577,0.17527874651435782,0.5210747625584503,1.0,0.3048762052759006,0.49521771033616885,0.21796272746725823,1.1461693700214008,0.21165888990428378,2.6457513110645903
N1,0.51312103188183,0.900675081272713,0.2770348512331755,0.5593264980968166,0.32454548064565375,0.09926255328658132,0.3544862350715539,0.07562947426117608,0.22939994033827749,0.22939994033827749,0.22939994033827782,0.2461602982011021,0.3048762052759006,1.0,0.29504607396900745,0.10512620764312502,0.9766113040587313,0.10711885443524388,2.6457513110645907
N2,0.69072603405485,1.0745829646510494,0.41797929717143356,0.3171704747687412,0.3220136683214595,0.3112325931991157,0.5713039635038536,0.24958202508048324,0.4446231637886826,0.4446231637886826,0.44462316378868283,0.18566616453735793,0.49521771033616885,0.29504607396900745,1.0,0.3638353889073692,0.7343690669180776,0.3634459939601633,2.6457513110645907
ONB,0.4599871716959126,0.8220431828603355,0.22381064291272448,0.6394008137561523,0.4134906641939839,0.10101615619928574,0.2981088054207119,0.14353748960998416,0.14679724553039872,0.14679724553039872,0.14679724553039908,0.34345373473019314,0.21796272746725823,0.10512620764312502,0.3638353889073692,1.0,1.040504492708214,0.025915636640814418,2.6457513110645907
LSC,1.4014885200988076,1.7310366399683683,1.1155577631768596,0.4483954253687205,0.8402122615867185,1.0026420726238658,1.262836852846085,0.9165878191569035,1.0708840307245813,1.0708840307245813,1.0708840307245813,0.7715316250194509,1.1461693700214008,0.9766113040587313,0.7343690669180776,1.040504492708214,1.0,1.0324399831168565,2.6457513110645903
Clust,0.47361914384991544,0.8296546388648204,0.2340211973410753,0.6339741406240239,0.4183372439596117,0.09961256543073645,0.31594249780063927,0.13816730007842631,0.14148732868137842,0.14148732868137842,0.1414873286813788,0.3408032065343878,0.21165888990428378,0.10711885443524388,0.3634459939601633,0.025915636640814418,1.0324399831168565,1.0,2.6457513110645907
