,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,0.9855723110212586,0.993133490096009,0.9290038069486427,0.9571648473106307,0.9853034537598306,0.9951475556788406,0.9780581221463353,0.9834050057563801,0.9834050057563801,0.9834050057563801,0.963058177805494,0.9890420180670306,0.981193343331466,0.9659212532770614,0.9848865572767995,0.8597021377165182,0.9839774933270623,
F1v,0.9855723110212586,1.0,0.9683364568584658,0.8655366852670935,0.8988656001087882,0.9510827287811668,0.9732023864699274,0.9383226953570247,0.9567527333341276,0.9567527333341276,0.9567527333341277,0.9107230514020744,0.9683578046615293,0.9420560284267423,0.9175193894344118,0.9517317861080608,0.785965153649073,0.9508337985864348,
F2,0.993133490096009,0.9683364568584658,1.0,0.9625483490262361,0.9770896439259054,0.9972708788053489,0.9961284717389461,0.9940133758110298,0.9957333090357785,0.9957333090357785,0.9957333090357785,0.9842175099578631,0.9974439240006201,0.9945179779430151,0.9875209505097198,0.9964220568656423,0.9111093483582744,0.9960881485139322,
F3,0.9290038069486427,0.8655366852670935,0.9625483490262361,1.0,0.9869762057478232,0.974831892547389,0.9471058144926419,0.9817001329530017,0.964880479178083,0.964880479178083,0.9648804791780828,0.9919162785182989,0.9569625400654171,0.9776538477519108,0.9928144921382124,0.9707976142405693,0.9856386816077432,0.9712911992157165,
F4,0.9571648473106307,0.8988656001087882,0.9770896439259054,0.9869762057478232,1.0,0.9878361142702698,0.9733166631055052,0.992241901331274,0.9804607789154415,0.9804607789154415,0.9804607789154415,0.9971917510154427,0.9722568953368357,0.9924764450708914,0.9925933712438684,0.9877875336160299,0.9495745253913808,0.987499567879734,
N3,0.9853034537598306,0.9510827287811668,0.9972708788053489,0.974831892547389,0.9878361142702698,1.0,0.9929835529456048,0.9991793532368123,0.9974159351730054,0.9974159351730054,0.9974159351730054,0.9934057748904512,0.9962091299605305,0.9992962103939305,0.9930810194950396,0.9992711240133373,0.9281934910146085,0.9992912383434506,
N4,0.9951475556788406,0.9732023864699274,0.9961284717389461,0.9471058144926419,0.9733166631055052,0.9929835529456048,1.0,0.9890085722943055,0.9936452784371184,0.9936452784371184,0.9936452784371184,0.977202692442139,0.9930867289392095,0.9910242506531995,0.9766865558060562,0.9936522242950454,0.8860887916495568,0.9928700241488209,
kDN,0.9780581221463353,0.9383226953570247,0.9940133758110298,0.9817001329530017,0.992241901331274,0.9991793532368123,0.9890085722943055,1.0,0.9962311822136981,0.9962311822136981,0.9962311822136982,0.9968106582765589,0.9929159657645187,0.999591441615927,0.9955506294826233,0.9985283563626046,0.939990483555228,0.9986364140849315,
CM,0.9834050057563801,0.9567527333341276,0.9957333090357785,0.964880479178083,0.9804607789154415,0.9974159351730054,0.9936452784371184,0.9962311822136981,1.0,1.0,1.0,0.9865548314753078,0.9978055257871683,0.9962411190980567,0.9858793030158959,0.9984607549074777,0.9180862423385053,0.9985700954159007,
R,0.9834050057563801,0.9567527333341276,0.9957333090357785,0.964880479178083,0.9804607789154415,0.9974159351730054,0.9936452784371184,0.9962311822136981,1.0,1.0,1.0,0.9865548314753078,0.9978055257871683,0.9962411190980567,0.9858793030158959,0.9984607549074777,0.9180862423385053,0.9985700954159007,
D3,0.9834050057563801,0.9567527333341277,0.9957333090357785,0.9648804791780828,0.9804607789154415,0.9974159351730054,0.9936452784371184,0.9962311822136982,1.0,1.0,1.0,0.9865548314753076,0.9978055257871683,0.9962411190980568,0.9858793030158961,0.9984607549074778,0.9180862423385053,0.9985700954159007,
D. Over.,0.963058177805494,0.9107230514020744,0.9842175099578631,0.9919162785182989,0.9971917510154427,0.9934057748904512,0.977202692442139,0.9968106582765589,0.9865548314753078,0.9865548314753078,0.9865548314753076,1.0,0.9806057922731897,0.9956717933992532,0.9975377196675705,0.9915742522928488,0.9574813536853461,0.9917037981725628,
Borderline,0.9890420180670306,0.9683578046615293,0.9974439240006201,0.9569625400654171,0.9722568953368357,0.9962091299605305,0.9930867289392095,0.9929159657645187,0.9978055257871683,0.9978055257871683,0.9978055257871683,0.9806057922731897,1.0,0.9933607499611833,0.9824828156692431,0.9966065892453595,0.9061639839446247,0.9968000367374634,
N1,0.981193343331466,0.9420560284267423,0.9945179779430151,0.9776538477519108,0.9924764450708914,0.9992962103939305,0.9910242506531995,0.999591441615927,0.9962411190980567,0.9962411190980567,0.9962411190980568,0.9956717933992532,0.9933607499611833,1.0,0.9937819867311054,0.9992106057476124,0.9318735971989074,0.9991803965017486,
N2,0.9659212532770614,0.9175193894344118,0.9875209505097198,0.9928144921382124,0.9925933712438684,0.9930810194950396,0.9766865558060562,0.9955506294826233,0.9858793030158959,0.9858793030158959,0.9858793030158961,0.9975377196675705,0.9824828156692431,0.9937819867311054,1.0,0.9905445578413303,0.9614787195395623,0.9905647863910221,
ONB,0.9848865572767995,0.9517317861080608,0.9964220568656423,0.9707976142405693,0.9877875336160299,0.9992711240133373,0.9936522242950454,0.9985283563626046,0.9984607549074777,0.9984607549074777,0.9984607549074778,0.9915742522928488,0.9966065892453595,0.9992106057476124,0.9905445578413303,1.0,0.9226678857610017,0.9999520271269644,
LSC,0.8597021377165182,0.785965153649073,0.9111093483582744,0.9856386816077432,0.9495745253913808,0.9281934910146085,0.8860887916495568,0.939990483555228,0.9180862423385053,0.9180862423385053,0.9180862423385053,0.9574813536853461,0.9061639839446247,0.9318735971989074,0.9614787195395623,0.9226678857610017,1.0,0.9238619772329761,
Clust,0.9839774933270623,0.9508337985864348,0.9960881485139322,0.9712911992157165,0.987499567879734,0.9992912383434506,0.9928700241488209,0.9986364140849315,0.9985700954159007,0.9985700954159007,0.9985700954159007,0.9917037981725628,0.9968000367374634,0.9991803965017486,0.9905647863910221,0.9999520271269644,0.9238619772329761,1.0,
IR,,,,,,,,,,,,,,,,,,,1.0
