dataset,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust
Gauss_sep1.0,0.6477841334340078,0.3098946334722707,0.49174477842609066,0.925,0.8725,0.3275,0.2875,0.32350000000000007,0.2725,0.27249999999999996,54.5,0.69,0.34,0.465,0.3293854495306396,0.3925,0.98308125,0.4025
Gauss_sep2.0,0.3149748470048256,0.10093248493675973,0.23051410647806728,0.7375,0.5075,0.105,0.045,0.10549999999999997,0.0825,0.0825,16.5,0.2225,0.1025,0.16,0.13841132347162446,0.1375,0.8705625,0.1375
Gauss_sep4.0,0.1030999548274173,0.027299690428937616,0.030450645493813946,0.1225,0.0,0.005,0.0,0.005,0.005,0.005,1.0,0.01,0.0025,0.0075,0.045645052756156705,0.0075,0.5582812500000001,0.0075
Gauss_sep6.0,0.0486063981672467,0.012320047683883261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.02573006697792078,0.005,0.5035000000000001,0.005
Gauss_sep8.0,0.02793517915298724,0.006967582235790845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.01770113306029547,0.005,0.50015,0.005
Gauss_scale0.5,0.054351950018544405,0.013838741899358051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.027865027644358387,0.005,0.50529375,0.005
Gauss_scale1.0,0.1030999548274173,0.027299690428937616,0.030450645493813946,0.1225,0.0,0.005,0.0025,0.005,0.005,0.005,1.0,0.01,0.0025,0.0075,0.045645052756156705,0.0075,0.5582812500000001,0.0075
Gauss_scale2.0,0.18692697351128093,0.05314844476890469,0.11302547787146491,0.475,0.1675,0.0175,0.005,0.0175,0.01,0.01,2.0,0.045,0.0175,0.025,0.07777160706250116,0.0275,0.7051937500000001,0.0275
Gauss_scale4.0,0.3149748470048256,0.10093248493675973,0.23051410647806728,0.7375,0.5075,0.105,0.075,0.10549999999999997,0.0825,0.0825,16.5,0.2225,0.1025,0.16,0.13841132347162446,0.1375,0.8705625,0.1375
Gauss_corr-0.5,0.10275161754890882,0.01432848572178109,0.029361570269098313,0.1125,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.03710468018904972,0.005,0.5281875,0.005
Gauss_corr0.0,0.1030999548274173,0.027299690428937616,0.030450645493813946,0.1225,0.0,0.005,0.0025,0.005,0.005,0.005,1.0,0.01,0.0025,0.0075,0.045645052756156705,0.0075,0.5582812500000001,0.0075
Gauss_corr0.5,0.10275161754890877,0.04119779698959024,0.029361570269098292,0.1125,0.0525,0.0125,0.0025,0.015000000000000003,0.005,0.005,1.0,0.0525,0.0025,0.025,0.05478036044076886,0.02,0.62575625,0.02
Moons_noise0.05,0.37675132302961034,0.11186053660229703,0.10769310406678388,0.345,0.1725,0.0,0.1225,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.04723660310302085,0.015,0.81831875,0.025
Moons_noise0.1,0.3851003658508606,0.11703590312134476,0.12378575333033033,0.4025,0.2025,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.07399906643712457,0.015,0.848975,0.0225
Moons_noise0.2,0.4159532432489291,0.13672074781223523,0.15706416079090763,0.5675,0.3,0.055,0.1175,0.06899999999999996,0.045,0.045,9.0,0.1725,0.0575,0.095,0.1402011082250318,0.07250000000000001,0.91725,0.075
Moons_noise0.4,0.5101759425753513,0.19984810524779967,0.24025957367575507,0.785,0.6625,0.215,0.235,0.2275,0.1775,0.1775,35.5,0.51,0.2125,0.3175,0.2611301192554017,0.2675,0.97229375,0.2675
Circles_noise0.02,0.9999981730325906,0.9999927097561633,0.6496462485162039,0.81,0.6225,0.0,0.335,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.12424394275239356,0.0875,0.96753125,0.0925
Circles_noise0.05,0.9999886271502791,0.9999544385125944,0.6630511285359414,0.8375,0.6775,0.025,0.31,0.05799999999999999,0.035,0.035,7.0,0.1775,0.0575,0.09,0.20573496901336338,0.0975,0.97619375,0.0975
Circles_noise0.1,0.9999552277054558,0.9998194433695575,0.6816977418852853,0.9125,0.84,0.2125,0.355,0.259,0.1775,0.1775,35.5,0.6425,0.26,0.3625,0.3294941886494219,0.275,0.987575,0.28
Circles_noise0.2,0.9998320425424887,0.9993140971073072,0.7137309948098642,0.97,0.945,0.4225,0.395,0.40300000000000014,0.345,0.345,69.0,0.8625,0.43,0.5925,0.43847518205466035,0.47,0.99299375,0.47
Blobs_d2,0.03480639366571224,0.009065216278906208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.019714138307482042,0.007500093517375528,0.6667562499999999,0.0075
Blobs_d5,0.31628110493132433,0.002238552192702659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0890283485458508,0.007500093517375528,0.66705625,0.0075
Blobs_d10,0.21782129660021984,0.0036298987200047584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.12177821168509227,0.007500093517375528,0.6666624999999999,0.0075
XOR,0.9999507070480036,0.9998111588914566,0.9786197705278976,0.9925,0.985,0.0,0.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.030181181044410622,0.01,0.7503375,0.01
