,best_accuracy,mean_accuracy,best_f1,mean_f1,best_precision,mean_precision,best_recall,mean_recall,best_balanced_accuracy,mean_balanced_accuracy,LogisticRegression_accuracy,LogisticRegression_f1,LogisticRegression_precision,LogisticRegression_recall,LogisticRegression_balanced_accuracy,SVM-RBF_accuracy,SVM-RBF_f1,SVM-RBF_precision,SVM-RBF_recall,SVM-RBF_balanced_accuracy,SVM-LINEAR_accuracy,SVM-LINEAR_f1,SVM-LINEAR_precision,SVM-LINEAR_recall,SVM-LINEAR_balanced_accuracy,RandomForest_accuracy,RandomForest_f1,RandomForest_precision,RandomForest_recall,RandomForest_balanced_accuracy,KNN-5_accuracy,KNN-5_f1,KNN-5_precision,KNN-5_recall,KNN-5_balanced_accuracy
best_accuracy,1.0,0.9774956381201575,-0.25384227092639616,-0.996346143787817,0.8193825909557112,-0.8172179835370156,-0.46850167883578253,-0.9796393679971844,-0.03000696218663622,-0.9905133659201906,0.9663657135076331,-0.9970504808324984,-0.6114134458900234,-0.9865721604103517,-0.9942012251604463,0.9675964706104729,-0.9942760500345628,-0.6637024575246135,-0.9812178416949123,-0.9942130136177919,0.9713261894812162,-0.9755633959269556,-0.9298299523718847,-0.9696433025004542,-0.9724866978941966,1.0,-0.25384227092639616,0.8193825909557112,-0.46850167883578253,-0.03000696218663622,0.9758750240832688,-0.9815585152599513,-0.7406586613517464,-0.9965418911121291,-0.9865433747758409
mean_accuracy,0.9774956381201575,1.0,-0.26034214945946715,-0.9912759920241473,0.754073063368319,-0.8136863338249818,-0.4314084067016485,-0.9636586568967156,-0.06828416778714957,-0.9923268539969222,0.9987531128582798,-0.9870799082486518,-0.5822920042204978,-0.9743196747219407,-0.9875289424322933,0.9982627993350541,-0.9825375341691194,-0.6571347985263101,-0.9533513095943404,-0.9856367071840646,0.998502802945252,-0.9758295557905501,-0.9248365962267336,-0.9640856231961441,-0.9778724950791554,0.9774956381201579,-0.26034214945946715,0.754073063368319,-0.4314084067016485,-0.06828416778714957,0.9986123406440497,-0.980249361134907,-0.7451155990556846,-0.985784645422537,-0.9917113945735854
best_f1,-0.25384227092639616,-0.26034214945946715,1.0,0.27112575583639087,-0.6753487174971597,-0.3150535399016025,0.953870116853868,0.4414461869646096,0.9623325280985718,0.3218990681599159,-0.26668695792621805,0.2760532377289038,-0.3929798183336111,0.40211415332975947,0.2877475368746164,-0.30085352627030276,0.20098872378836743,-0.4798565759069336,0.39612779518925273,0.23600569089463638,-0.24643932368451307,0.35960524805079463,0.09719641018375255,0.4616713621014565,0.36067385689144527,-0.25384227092639633,1.0,-0.6753487174971597,0.953870116853868,0.9623325280985718,-0.21453615210911378,0.11098642305560574,-0.34139133233552504,0.29290788631189546,0.1652782825778842
mean_f1,-0.996346143787817,-0.9912759920241473,0.27112575583639087,1.0,-0.8017762428893324,0.809273958206205,0.4674711785516915,0.9808641465312715,0.06044181097978027,0.9979114166080153,-0.9843196632169299,0.9993660546691372,0.5852655451083063,0.989462664659731,0.9984309449906287,-0.985336630569368,0.9926250589109347,0.6492597762420725,0.9754553795756901,0.9941581570414348,-0.985824194025788,0.9850915418707236,0.936581667833196,0.9769104928697305,0.9840175943393711,-0.9963461437878173,0.2711257558363908,-0.8017762428893324,0.4674711785516915,0.06044181097978027,-0.9895135434300768,0.9827536252451521,0.7317688545287291,0.9970853396730999,0.9917932993105568
best_precision,0.8193825909557112,0.754073063368319,-0.6753487174971597,-0.8017762428893324,1.0,-0.41349743679317924,-0.8566155416389988,-0.8978606752855969,-0.45291355141903455,-0.8123067400117461,0.7354092482103478,-0.8059399803710766,-0.33528751473676327,-0.8700740454151503,-0.8014894806870027,0.756310979150492,-0.7889947640694552,-0.25737419664784944,-0.9068211523433983,-0.804477447891694,0.74580293664582,-0.802177064000733,-0.6127447657266246,-0.8722164069338748,-0.7944235066164914,0.819382590955712,-0.6753487174971607,1.0,-0.8566155416389988,-0.45291355141903455,0.7249162351145988,-0.7204223349444469,-0.37431624174296524,-0.8319248397507404,-0.7364865816775036
mean_precision,-0.8172179835370156,-0.8136863338249818,-0.3150535399016025,0.809273958206205,-0.41349743679317924,1.0,-0.09120718500115263,0.6976513674754753,-0.5120970764350127,0.7748701816065704,-0.8014527022270476,0.8002435663389506,0.8968089907793936,0.721027642435346,0.7879904137150171,-0.7829238223074558,0.859805545931021,0.9682776225958769,0.7354573081489013,0.8427309681926929,-0.8260953114714955,0.7175090429099268,0.7894791646098394,0.6651892240315073,0.7162719653431934,-0.817217983537016,-0.3150535399016032,-0.4134974367931793,-0.09120718500115263,-0.5120970764350127,-0.8340327596473017,0.902097916026049,0.9778167053749847,0.8059775837353044,0.8722285629558796
best_recall,-0.46850167883578253,-0.4314084067016485,0.953870116853868,0.4674711785516915,-0.8566155416389988,-0.09120718500115263,1.0,0.6290669361942349,0.8379217456033176,0.5050338529911657,-0.4253989594957815,0.47461006300227143,-0.16219121011522888,0.5892879240378361,0.4801717092679925,-0.4581395099928889,0.41501325556361324,-0.2621872275089723,0.6043476654726839,0.444398079725618,-0.4164713900504011,0.5297549646820474,0.27668763655795375,0.6305197173844364,0.525667247364976,-0.4685016788357833,0.9538701168538692,-0.8566155416389987,1.0,0.8379217456033176,-0.3880296348844365,0.32163392356875564,-0.12676629637704856,0.49610510505530414,0.36375789187244956
mean_recall,-0.9796393679971844,-0.9636586568967156,0.4414461869646096,0.9808641465312715,-0.8978606752855969,0.6976513674754753,0.6290669361942349,1.0,0.22658440383342546,0.9860580421847319,-0.9551374007583106,0.9816796765125638,0.4949292162653833,0.9979328559054537,0.981240339052222,-0.9631897688264739,0.9656589751628069,0.5235478983195593,0.992886332152897,0.9731551080819796,-0.956281472410995,0.9776756776425637,0.878007643162481,0.9940354167971301,0.9754301913992393,-0.9796393679971848,0.44144618696460963,-0.8978606752855965,0.6290669361942344,0.22658440383342546,-0.9523708362094538,0.9360931993802758,0.6251045363274808,0.9862250027624238,0.9516479256808077
best_balanced_accuracy,-0.03000696218663622,-0.06828416778714957,0.9623325280985718,0.06044181097978027,-0.45291355141903455,-0.5120970764350127,0.8379217456033176,0.22658440383342546,1.0,0.11910053963661563,-0.0844594680096911,0.06485066640279846,-0.5982650120680708,0.1915739571119643,0.081744878188613,-0.11753876833925724,-0.023035600526885566,-0.662228289947032,0.1641790473662954,0.013655731953319658,-0.05376377598432164,0.170993420986937,-0.07201144120927576,0.26446794080767083,0.17587222661214397,-0.030006962186636725,0.9623325280985727,-0.45291355141903467,0.8379217456033176,1.0,-0.024622066796155098,-0.10452156361609127,-0.5360404400714666,0.07267590067617619,-0.04276688946489988
mean_balanced_accuracy,-0.9905133659201906,-0.9923268539969222,0.3218990681599159,0.9979114166080153,-0.8123067400117461,0.7748701816065704,0.5050338529911657,0.9860580421847319,0.11910053963661563,1.0,-0.9875567375192543,0.9973831559875861,0.5390291152118535,0.9937773884814944,0.9980954481043064,-0.9901171797056489,0.9840039204600269,0.6050886196029699,0.9746497592732999,0.987723769484249,-0.9859138321265276,0.9916435988982673,0.9323444578307086,0.9866783847029766,0.9913958962037487,-0.990513365920191,0.321899068159916,-0.8123067400117456,0.5050338529911652,0.11910053963661518,-0.988614300942246,0.9710520207472529,0.694451864725918,0.994058555257545,0.984661165536291
