complexity_metric,ml_metric,correlation,p_value,abs_correlation
N3,best_accuracy,-0.998526391013462,1.5998031979213576e-07,0.998526391013462
ONB,best_accuracy,-0.9984947056806662,1.687163177920329e-07,0.9984947056806662
Clust,best_accuracy,-0.9983118289181171,2.2469949805953855e-07,0.9983118289181171
N1,best_accuracy,-0.9981405100350589,2.8609197469148626e-07,0.9981405100350589
kDN,best_accuracy,-0.9980574339465206,3.191105959020641e-07,0.9980574339465206
D. Over.,best_accuracy,-0.9968097650066803,1.1022189894475669e-06,0.9968097650066803
F4,best_accuracy,-0.9965311182448495,1.3586889399377875e-06,0.9965311182448495
CM,best_accuracy,-0.996095053191537,1.8263437561670223e-06,0.996095053191537
D3,best_accuracy,-0.996095053191537,1.8263437561670223e-06,0.996095053191537
R,best_accuracy,-0.996095053191537,1.8263437561670223e-06,0.996095053191537
Borderline,best_accuracy,-0.9928330083042686,8.320062613450186e-06,0.9928330083042686
Borderline_std,best_accuracy,-0.9891171940821338,2.3592250353451498e-05,0.9891171940821338
F1v_std,best_accuracy,-0.9876568903045889,3.229516642846457e-05,0.9876568903045889
F2,best_accuracy,-0.9835087892763206,6.648712431099852e-05,0.9835087892763206
N4,best_accuracy,-0.9816944036011042,8.622659806579734e-05,0.9816944036011042
F1v,best_accuracy,-0.9778874330265257,0.00013800269825621817,0.9778874330265257
N2_std,best_accuracy,-0.9757632717010802,0.0001733710261164245,0.9757632717010802
N2,best_accuracy,-0.9728273659775925,0.00023037310661033853,0.9728273659775925
F1_std,best_accuracy,-0.9710485005819571,0.00026968836851234225,0.9710485005819571
N1_std,best_accuracy,-0.9703299804501845,0.00028662250483436083,0.9703299804501845
F3,best_accuracy,-0.9693220679987695,0.00031141818538878705,0.9693220679987695
F2_std,best_accuracy,-0.9620203344420002,0.0005289780807580448,0.9620203344420002
F1,best_accuracy,-0.961340546261232,0.0005527628747424494,0.961340546261232
kDN_std,best_accuracy,-0.9588344108424953,0.0006458687981148486,0.9588344108424953
LSC,best_accuracy,-0.9549754827034072,0.0008063432012083258,0.9549754827034072
D3_std,best_accuracy,-0.9492090050000739,0.0010864260473703066,0.9492090050000739
R_std,best_accuracy,-0.9492090050000738,0.0010864260473703066,0.9492090050000738
CM_std,best_accuracy,-0.9492090050000737,0.0010864260473703185,0.9492090050000737
N4_std,best_accuracy,-0.9454842128905186,0.00129406663566083,0.9454842128905186
D. Over._std,best_accuracy,-0.9414270785425614,0.0015450077374600593,0.9414270785425614
N3_std,best_accuracy,-0.9403445044405536,0.001616432367985868,0.9403445044405536
ONB_std,best_accuracy,-0.9315846368363462,0.002265854140781637,0.9315846368363462
Clust_std,best_accuracy,-0.9223958368424197,0.003089356323336326,0.9223958368424197
F4_std,best_accuracy,-0.6767957306775114,0.09494894322131356,0.6767957306775114
F3_std,best_accuracy,-0.6261344876554105,0.13250108640651093,0.6261344876554105
LSC_std,best_accuracy,-0.47435467316520596,0.2821647740315893,0.47435467316520596
