,F1,F1v,F2,F3,F4,IN,Raug,deg_overlap,N3,SI,N4,kDN,D3,CM,Borderline,N1,T1,Clust,N2,ONB,LSCAvg,DBC,NSG,ICSV,MRCA,C1,Purity,C2,NeighbourhoodSeparability,IR,Silhouette,Bhattacharyya,Wasserstein,SVM_SVR,TwoNN_ID
F1,1,0.98765131446257826,-0.78249647679711276,-0.79409151660152788,-0.80333200271209393,-0.7883069504982394,0.98336934010627686,-0.88467006059436182,-0.92560666219086873,0.92560666219086862,-0.92192422427669252,-0.90857524885757379,-0.9903745461852419,-0.94612897475099444,-0.94193774622453319,-0.91234272110573711,-0.94517667334262656,-0.92529732055032943,-0.88184846684612017,-0.72367069917218751,-0.82018337209842662,-0.161517032540272,0.78209310310793889,-0.95575739981726759,-0.89783632624462095,-0.91840404183514601,-0.87374551820033142,-0.91503023129786598,0.9792532577362163,0.78038401024570403,-0.60621086310169059,-0.82526190686690282,-0.1321080660771328,-0.93829264463489892,-0.63749475919121867
F1v,0.98765131446257826,1,-0.7673269050199879,-0.76493221824185065,-0.78125108316311076,-0.7644863971336493,0.97186589005132662,-0.88207846522227151,-0.92103344303501467,0.92103344303501444,-0.92054064901469879,-0.91062573660815438,-0.96967893679437589,-0.94495741300013947,-0.94830014583379918,-0.9126338343847723,-0.9168460284814719,-0.92283791164200824,-0.88147491104729447,-0.78018515244968278,-0.80943143149362329,-0.090574309894412869,0.7624783801859234,-0.96071957423122489,-0.90601099499747773,-0.91830382252309195,-0.80765395676287666,-0.91576775170926394,0.96133085384135375,0.75364171545819469,-0.55419886551148023,-0.81809819702406772,-0.14414514825310992,-0.92927989364963259,-0.59695339771979428
F2,-0.78249647679711276,-0.7673269050199879,1,0.99197250545571458,0.99486292590220138,0.9933525027174912,-0.87154452490051582,0.97531692368117262,0.9539459022497323,-0.95394590224973241,0.9566797897308148,0.96221414726961196,0.8365160700709855,0.92815764408475743,0.91469642986457811,0.9614182512988424,0.88064807776446896,0.9549972484355489,0.97675442946426783,0.87465352568964905,0.98698368932418101,-0.088307832475760281,-0.99170592224314635,0.82112670959244793,0.93367473491073572,0.95759353670001213,0.49105245862012914,0.95895219105237905,-0.8901691969903156,-0.98972124130857964,0.93446553065857363,0.98779262425030123,-0.5097587589803394,0.94514397905144931,0.3663750773497606
F3,-0.79409151660152788,-0.76493221824185065,0.99197250545571458,1,0.99889127097086006,0.99923906169692767,-0.87076997224935093,0.97157784243420031,0.94410460033801669,-0.9441046003380168,0.94930012377612527,0.95127297337515859,0.84261454027409211,0.91635140681974092,0.89597442610684186,0.95087747658444211,0.91194394211353846,0.94937708842365653,0.96930867091410178,0.81427719563303924,0.99044151402727598,-0.10285428835540741,-0.99713352497136487,0.79819988075985515,0.93669518537907948,0.94737154807704727,0.54782740203907487,0.94773836309541748,-0.8960478514419391,-0.99899750294213308,0.95699880728569409,0.98790439257399076,-0.49319790664108332,0.93848903617474222,0.45886235605917514
F4,-0.80333200271209393,-0.78125108316311076,0.99486292590220138,0.99889127097086006,1,0.99953596667539057,-0.8794988024567314,0.98003219250992624,0.95316104216261344,-0.95316104216261344,0.95907425739741448,0.96178251552054295,0.8490555154724162,0.9270200237327213,0.90894070203568611,0.96097142780455891,0.91433585508207615,0.95888708282429358,0.97840792233576213,0.83826996898225548,0.99508748093996391,-0.11811485137721399,-0.99849517702663348,0.81195765807098075,0.94854658893042942,0.95750007227144596,0.54101441106047199,0.95804725650419442,-0.90258718619738576,-0.99827209015484841,0.94599948664890732,0.9937235175822654,-0.48341925115940065,0.9465576111868278,0.45455578355468462
IN,-0.7883069504982394,-0.7644863971336493,0.9933525027174912,0.99923906169692767,0.99953596667539057,1,-0.86592971723151368,0.97448209079629455,0.9436320981140931,-0.9436320981140931,0.95046829876461481,0.95340266216383751,0.83489674143404136,0.91538100378161436,0.89592220133476275,0.95239365460647285,0.90867801376255075,0.95038192569378888,0.97237329482598633,0.82737349396674387,0.99398458348062069,-0.13491706387963126,-0.99928071544357344,0.79399059687703444,0.9427921907853225,0.94855766266167951,0.52799396833927481,0.94914016009334512,-0.89095744422636991,-0.99952847655325516,0.9546957920607243,0.99189457521051827,-0.50386504198943793,0.93658985189163202,0.4562734906455907
Raug,0.98336934010627686,0.97186589005132662,-0.87154452490051582,-0.87076997224935093,-0.8794988024567314,-0.86592971723151368,1,-0.94038823599375987,-0.97577219758573641,0.9757721975857363,-0.96967562452463341,-0.96168577056867699,-0.99592071032341178,-0.98729626470684018,-0.98395732096560451,-0.96501160012972287,-0.94871161536559467,-0.97093647670283389,-0.94080685409258535,-0.81250160232643986,-0.88710125092034608,-0.15796616781451314,0.85904109592368461,-0.979500257713667,-0.93118601253452571,-0.96902954595924684,-0.79920767952788263,-0.96709904047589146,0.99739882347981834,0.85683751307585654,-0.70123316962169258,-0.89291717648978197,0.022667671927632416,-0.98330129493177942,-0.53460416212918793
deg_overlap,-0.88467006059436182,-0.88207846522227151,0.97531692368117262,0.97157784243420031,0.98003219250992624,0.97448209079629455,-0.94038823599375987,1,0.98797821557595344,-0.98797821557595333,0.9941090655035969,0.99518510245912628,0.91166766585187498,0.97530992076338452,0.96541789157572822,0.99423719469446903,0.94614595087287401,0.99409846294047077,0.99952547004839531,0.88874689053597711,0.98902828241560037,-0.10371581772227417,-0.97515570902086901,0.89169655117176727,0.98695780134756661,0.99281958700780448,0.60676796185073356,0.99295842088469344,-0.95285742205025548,-0.96933298012918734,0.86410540144586878,0.99186486586235345,-0.33555780685697079,0.98290743262841884,0.49696570535857154
N3,-0.92560666219086873,-0.92103344303501467,0.9539459022497323,0.94410460033801669,0.95316104216261344,0.9436320981140931,-0.97577219758573641,0.98797821557595344,1,-0.99999999999999989,0.99823442654260064,0.99724123952286314,0.95462853905495371,0.99696904935611452,0.992116283962584,0.99832057534435914,0.94049448706948269,0.99775486038500016,0.98990754594054708,0.89118051009256249,0.95780128795716302,0.036633839722603367,-0.94009869212619046,0.94884607555321121,0.96694240385452179,0.99892439067888639,0.66752817405121756,0.99870968602904764,-0.97966019321730169,-0.93535757358515759,0.8088423542974944,0.96307947814825168,-0.2328755662298381,0.99903259233380259,0.45845764119171706
SI,0.92560666219086862,0.92103344303501444,-0.95394590224973241,-0.9441046003380168,-0.95316104216261344,-0.9436320981140931,0.9757721975857363,-0.98797821557595333,-0.99999999999999989,1,-0.99823442654260064,-0.99724123952286314,-0.95462853905495348,-0.9969690493561143,-0.99211628396258389,-0.99832057534435914,-0.94049448706948258,-0.99775486038500016,-0.98990754594054697,-0.89118051009256249,-0.95780128795716313,-0.036633839722602979,0.94009869212619057,-0.94884607555321099,-0.96694240385452179,-0.99892439067888628,-0.66752817405121734,-0.99870968602904753,0.97966019321730169,0.93535757358515759,-0.80884235429749451,-0.96307947814825168,0.23287556622983843,-0.99903259233380248,-0.45845764119171706
