,F1,F1v,F2,F3,F4,IN,Raug,deg_overlap,N3,SI,N4,kDN,D3,CM,Borderline,N1,T1,Clust,N2,ONB,LSCAvg,DBC,NSG,ICSV,MRCA,C1,Purity,C2,NeighbourhoodSeparability,IR,Silhouette,Bhattacharyya,Wasserstein,SVM_SVR,TwoNN_ID
F1,1,0.99864277754728392,0.98254620100138612,0.94136947610491328,0.89921928400740669,0.96105804744830203,0.83843385744413179,0.97354702125723214,0.96289375613637818,0.99872637005028464,0.92875309031060649,0.96814621272933699,0.8679223521364221,0.94438416235359346,0.94462459717516922,0.95427790953041214,0.99832572859977253,0.9565157237949472,0.99056697842627128,0.98297709193258698,0.97905049575844638,0.99758742617097296,0.91860422770286576,0.99674709199677092,0.99830281981305946,0.95909717138692618,0.98222787418559143,0.99012741425429762,0.99242679452910654,0.74580111844607422,0.99697305212906728,0.99435528986369115,0.9967346332036866,0.98950396774305682,0.99731328652310669
F1v,0.99864277754728392,1,0.97160919892104614,0.92435400482157881,0.87583340668012899,0.94565338260730913,0.86538598769885533,0.96118903771370534,0.9483158867224063,0.99869359550231684,0.91012846519212975,0.95461464017270115,0.84623016716006838,0.92837651228251272,0.92925991302074007,0.9385535522275914,0.99592131771902992,0.94100849044674084,0.98309496350404635,0.99115313748069445,0.96801889616585313,0.99414787483254485,0.93758012530135804,0.99273384074589144,0.99976093255538412,0.94408191778039185,0.97383746659054182,0.98240101975746152,0.99725061166329676,0.77932127264264128,0.99317863953983254,0.98867117222372292,0.99929323837153494,0.98136209255151108,0.99623297986261306
F2,0.98254620100138612,0.97160919892104614,1,0.97809526378588629,0.96080793793549202,0.99351477787078235,0.72395636789094553,0.99645717763516595,0.99237811974641865,0.97587080408646898,0.97330408035881755,0.99361034342011312,0.91888874302479484,0.97670833826146441,0.97404572134965195,0.98765241910794888,0.98385714908662902,0.9892455342251214,0.99571034616784437,0.93190701501003126,0.99550151441239842,0.98706417382088341,0.82981702405323121,0.98966355413677798,0.97121243108722244,0.98983043283960792,0.98833912937469715,0.99499051793519766,0.95393738809247364,0.6093362422303652,0.98729676830017821,0.99153115299240335,0.96507317030872564,0.99666732919903833,0.97743091170168483
F3,0.94136947610491328,0.92435400482157881,0.97809526378588629,1,0.98972290416727171,0.99459571752454945,0.61971080079735652,0.98394803383483853,0.99421610293687268,0.93896737148201992,0.99209980017905686,0.99367436793958119,0.97839151081292441,0.99833162269320597,0.99681028632906465,0.99644066604098891,0.95389228289330075,0.99572396339375191,0.97043989006655618,0.86968388881287428,0.98946843681453256,0.95882989740912694,0.74816995182780921,0.95050669346392258,0.92030743800174952,0.99610719943649184,0.98012048746525238,0.97691650377032002,0.89547911103721012,0.50218767608607651,0.96184451891281064,0.97077644493310389,0.91993081767622897,0.9747037551239397,0.94729648832892843
F4,0.89921928400740669,0.87583340668012899,0.96080793793549202,0.98972290416727171,1,0.98503466878081603,0.51840978305915597,0.96935441968464964,0.98176703064605186,0.89151207155097212,0.98924932096200968,0.97814184376813651,0.97342321839530299,0.98379926553087205,0.98009115476572617,0.98586824050612665,0.91169021940508066,0.98508027706645762,0.94360422103729402,0.80534619827687182,0.96785151026227867,0.91972280641104076,0.65996518807010407,0.91713028146148545,0.87260373975027428,0.98377582699917332,0.94954567170250703,0.94794446989974346,0.84044780243240891,0.38701909652604838,0.9226515347466433,0.93616034590029984,0.86729105983110077,0.94871292793389694,0.90070290874662207
IN,0.96105804744830203,0.94565338260730913,0.99351477787078235,0.99459571752454945,0.98503466878081603,1,0.65656811732955511,0.99503913774204311,0.99854392052893337,0.95529080034307678,0.98965850007347222,0.99825985420402097,0.95481799911227827,0.99217937953128654,0.98967187620764541,0.99760677618449445,0.96788035382241344,0.99805861816737274,0.98536464452181138,0.89484430603219323,0.99584635710220215,0.97262390154806488,0.77728522412558787,0.97110243751185776,0.94363966015144018,0.99819701814136563,0.98562432497813357,0.9877883079151305,0.920854890701294,0.53657823203454036,0.9742359862058303,0.9817903768590347,0.93920882649626691,0.98816883723562232,0.96043608046636253
Raug,0.83843385744413179,0.86538598769885533,0.72395636789094553,0.61971080079735652,0.51840978305915597,0.65656811732955511,1,0.69631983866816838,0.66463223874561439,0.84921030216183657,0.58906600724075187,0.68025193084400526,0.50927313502825133,0.63441467054612621,0.64243432696552583,0.64415233921383752,0.82324682889280798,0.64877127847330973,0.7625259633536865,0.92384527751059375,0.71516083992840984,0.81126090184322686,0.98346664618910506,0.8073507629031299,0.8673154586301679,0.65622117018114834,0.74617240495097104,0.76004635577650104,0.89553750767279594,0.98693901861000355,0.80750990446091875,0.78499062060056324,0.87467659177968859,0.7550964195351183,0.8374862160324319
deg_overlap,0.97354702125723214,0.96118903771370534,0.99645717763516595,0.98394803383483853,0.96935441968464964,0.99503913774204311,0.69631983866816838,1,0.99706950284378471,0.96760966264393899,0.98637093088014005,0.9972253288578562,0.92593633685420196,0.98241457028099732,0.97516210224762234,0.99437523957651064,0.97818853426002961,0.99537907741413334,0.99529208913820366,0.91751838813917042,0.99667920353349648,0.98170026064966709,0.80610476081686044,0.9805159694894019,0.95950551237323722,0.99536401780977213,0.99074849680063293,0.99442587371844338,0.94270990296344259,0.58127593912125808,0.98203941241347359,0.9884302361844669,0.95516502318084218,0.99621514618593521,0.96899754139009753
N3,0.96289375613637818,0.9483158867224063,0.99237811974641865,0.99421610293687268,0.98176703064605186,0.99854392052893337,0.66463223874561439,0.99706950284378471,1,0.95801168561264194,0.99346025583502295,0.99972891107468753,0.95121253868957933,0.99353064498152688,0.98741594113418552,0.99940802475032331,0.97068518406512216,0.99970902428672348,0.98826975688289687,0.89969439365505743,0.99688269859487089,0.97448130331159444,0.782348402001254,0.9699697602966062,0.94568061337463338,0.99976508054380342,0.99083943770601579,0.99064972234969051,0.92530539028733216,0.54754320359143127,0.97615696200882496,0.98391316647028615,0.94257936184822078,0.99069163786712855,0.96226350186547782
SI,0.99872637005028464,0.99869359550231684,0.97587080408646898,0.93896737148201992,0.89151207155097212,0.95529080034307678,0.84921030216183657,0.96760966264393899,0.95801168561264194,1,0.92339380392891801,0.96399126708457306,0.86934482624254827,0.94261258237204681,0.94426206053752015,0.94984746156305622,0.99881580854538221,0.95175043723035802,0.98675029011347859,0.98615906833124134,0.97632866790563722,0.99757376101527862,0.92779187904776483,0.99356348025606744,0.99753060077937539,0.9548435670529184,0.98116174366126219,0.98775977754341571,0.99320678962548636,0.76182911703242218,0.99719763287223773,0.99369225255476912,0.99865009528134896,0.9857766420199866,0.9992012235086285
