,F1,F1v,F2,F3,F4,IN,Raug,deg_overlap,N3,SI,N4,kDN,D3,CM,Borderline,N1,T1,Clust,N2,ONB,LSCAvg,DBC,NSG,ICSV,MRCA,C1,Purity,C2,NeighbourhoodSeparability,IR,Silhouette,Bhattacharyya,Wasserstein,SVM_SVR,TwoNN_ID
F1,1,0.99932201718820024,0.89527041215463588,0.89118385592097937,0.8880092496352765,0.91128481024917751,-0.80240928402750111,0.89107410217533645,0.86231539562028803,-0.86231539562028825,0.91919682957071291,0.871261585353031,0.74087130440328131,0.8407754474983008,0.82738187580429301,0.88451940907372206,0.2313662209554089,0.89478040817300963,0.88215742343099657,-0.89905435733108841,0.95391974358223131,0.52643941828367657,-0.98843678165724325,-0.59120574746434496,0.75217817959778199,0.86884898296968893,0.44732503492935483,0.87119434070083757,-0.80196186380084578,-0.98774157937687046,0.74630647368120595,0.96589994443079075,-0.95055099337382232,0.81960374146214487,-0.35249501474754774
F1v,0.99932201718820024,1,0.91104881904248347,0.90711641935692211,0.90418489990232509,0.92568319627208229,-0.82149169766818142,0.9058201662881713,0.8779545889795537,-0.8779545889795537,0.9305545041931591,0.88656980936828012,0.75953428279785751,0.85714917446913286,0.84399499312144954,0.89925103040257015,0.2640219975437893,0.90871210300475735,0.89733803581208027,-0.90233596505705282,0.96386830142564484,0.55729537099091742,-0.99283001660256953,-0.57181871255333838,0.77081246578849427,0.88425830290236906,0.46547449875154745,0.88645141842476038,-0.81965615804128411,-0.99261296455210513,0.76618371805495467,0.97403846729894061,-0.96101645653136913,0.83653740768996665,-0.34583065445883909
F2,0.89527041215463588,0.91104881904248347,1,0.99854162181561779,0.99905197433537629,0.99841804015413282,-0.95886713816551228,0.98658076896346603,0.9726185931597211,-0.97261859315972088,0.97226962215082746,0.97572807923882943,0.89641942056907231,0.96100395368549019,0.95223978443078261,0.98061913409455226,0.61170846251877353,0.98039006363946735,0.98440317063257488,-0.84785236992967772,0.98380830242728723,0.8491606658798776,-0.94743900102185974,-0.29225573917746955,0.9065649258302142,0.97518672979426502,0.61794501377432987,0.97557064514777014,-0.94037069083814862,-0.95203681784106808,0.91580436906009077,0.97291544513533856,-0.98678906662560784,0.94895318650309179,-0.25309749723449021
F3,0.89118385592097937,0.90711641935692211,0.99854162181561779,1,0.99905580059471366,0.9985158310286667,-0.94964011519123415,0.98332256411491348,0.96874453216374801,-0.96874453216374778,0.97547803751734052,0.96900911058532213,0.87564672778624764,0.95084264587779299,0.94161071290018961,0.97513628761438509,0.61825871928038134,0.97566702388239013,0.98356808632208659,-0.82203387944239092,0.98175356042482242,0.848024030836114,-0.94520466016494031,-0.30648943603595635,0.88712815051030802,0.9697807197576559,0.57842626937150166,0.9707021363965096,-0.92461302166374615,-0.94833489169594865,0.89770230398202211,0.96952669136246339,-0.98605681955539515,0.93756363242975993,-0.2919684301477864
F4,0.8880092496352765,0.90418489990232509,0.99905197433537629,0.99905580059471366,1,0.99848941177893169,-0.96200938188668428,0.98969677443082693,0.97803016026734535,-0.97803016026734513,0.97813904617926617,0.97861077435560395,0.89376128207308381,0.96332821372462263,0.95532524885468773,0.98340516955165302,0.63386229365564262,0.983394361898832,0.98938029991649779,-0.82959190626505142,0.98300458347898512,0.8546430234134671,-0.94426386550896102,-0.2748259608771062,0.90465193824013412,0.9791583732797795,0.60007762794762154,0.97980843001035234,-0.93921386665747586,-0.94766954616574284,0.91379783114342628,0.97148874359517556,-0.98611560439169854,0.95174104040696594,-0.28509401685333435
IN,0.91128481024917751,0.92568319627208229,0.99841804015413282,0.9985158310286667,0.99848941177893169,1,-0.95148503827159714,0.98821932838860582,0.97382891238519831,-0.9738289123851982,0.98241540738746802,0.9750432004421431,0.88099714485182479,0.9569500927902812,0.94795123878596144,0.98124146885685892,0.59260257258642912,0.98258529840380682,0.9872540506976486,-0.84315703627932193,0.99053705420132276,0.82547580734544868,-0.96015484668056006,-0.32180408154957213,0.89230335437905262,0.97542627405956472,0.58148465056032062,0.97638220570702283,-0.92992966069892935,-0.96293721835761537,0.90024254353991728,0.98131306496514192,-0.99330190962538567,0.94368247324000598,-0.30111609499646441
Raug,-0.80240928402750111,-0.82149169766818142,-0.95886713816551228,-0.94964011519123415,-0.96200938188668428,-0.95148503827159714,1,-0.98032838896132857,-0.9874288919307268,0.98742889193072658,-0.93841703468599158,-0.99069852072741993,-0.97400471975314495,-0.99646689310540593,-0.9964552844882314,-0.98597937932820967,-0.73481321655480403,-0.98085292608477204,-0.97648378743292086,0.82802150558881471,-0.93558726345877119,-0.89125974844506117,0.87612425054586707,0.033130836199850577,-0.97999560574745059,-0.98941137271811797,-0.73281989511817702,-0.98789475563006657,0.99191188382211215,0.88269750357833665,-0.98271421353636312,-0.92561922097368043,0.93241415208630885,-0.99679729803209938,0.18714067242877802
deg_overlap,0.89107410217533645,0.9058201662881713,0.98658076896346603,0.98332256411491348,0.98969677443082693,0.98821932838860582,-0.98032838896132857,1,0.99683275030348328,-0.99683275030348328,0.98686213326632577,0.99676328983163154,0.92320619086601363,0.98690423780687442,0.98252745188015145,0.99886250036964741,0.64408937184692994,0.99912446488022333,0.99880346975918533,-0.84480100539588165,0.9846239871073682,0.83167070269208909,-0.94811337616546543,-0.21217058038006339,0.93331192887176861,0.99743524753591439,0.62148452663037246,0.99785950287585501,-0.9626326023655245,-0.95032709966175921,0.93579225741397676,0.97816175794663907,-0.98335069546438492,0.97929386337953805,-0.31319895922917651
N3,0.86231539562028803,0.8779545889795537,0.9726185931597211,0.96874453216374801,0.97803016026734535,0.97382891238519831,-0.9874288919307268,0.99683275030348328,1,-1,0.97993371463721024,0.99808386609690602,0.93420356971684537,0.99229404670203536,0.9904228167430047,0.99801784321486808,0.6837856292280835,0.99741384551767764,0.99664421506119405,-0.82378482064644254,0.96959554425123706,0.84043762202856587,-0.92667794227859601,-0.14238934979329182,0.94392216947247043,0.99940213671493805,0.63025753945349339,0.9996154790984737,-0.9689440127287724,-0.92839200998264859,0.94480087743785379,0.96300869423599145,-0.96703010789641541,0.98775610860518825,-0.32216627150680799
SI,-0.86231539562028825,-0.8779545889795537,-0.97261859315972088,-0.96874453216374778,-0.97803016026734513,-0.9738289123851982,0.98742889193072658,-0.99683275030348328,-1,1,-0.97993371463721002,-0.99808386609690602,-0.93420356971684526,-0.99229404670203514,-0.99042281674300447,-0.99801784321486808,-0.68378562922808328,-0.99741384551767776,-0.99664421506119394,0.82378482064644265,-0.96959554425123717,-0.84043762202856553,0.92667794227859601,0.1423893497932921,-0.94392216947247032,-0.99940213671493794,-0.63025753945349305,-0.99961547909847348,0.96894401272877229,0.9283920099826487,-0.94480087743785357,-0.96300869423599134,0.96703010789641541,-0.98775610860518803,0.32216627150680827
