,F1,F1v,F2,F3,F4,IN,Raug,deg_overlap,N3,SI,N4,kDN,D3,CM,Borderline,N1,T1,Clust,N2,ONB,LSCAvg,DBC,NSG,ICSV,MRCA,C1,Purity,C2,NeighbourhoodSeparability,IR,Silhouette,Bhattacharyya,Wasserstein,SVM_SVR,TwoNN_ID
F1,1,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.8999999999999998,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.59999999999999998,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.99999999999999989,0.8999999999999998,-0.99999999999999989,-0.099999999999999992,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,-0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.99999999999999989,0
F1v,0.99999999999999989,1,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.8999999999999998,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.59999999999999998,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.99999999999999989,0.8999999999999998,-0.99999999999999989,-0.099999999999999992,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,-0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.99999999999999989,0
F2,0.99999999999999989,0.99999999999999989,1,0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.8999999999999998,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.59999999999999998,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.99999999999999989,0.8999999999999998,-0.99999999999999989,-0.099999999999999992,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,-0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.99999999999999989,0
F3,0.99999999999999989,0.99999999999999989,0.99999999999999989,1,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.8999999999999998,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.59999999999999998,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.99999999999999989,0.8999999999999998,-0.99999999999999989,-0.099999999999999992,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,-0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.99999999999999989,0
F4,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,1,0.99999999999999989,-0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.8999999999999998,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.59999999999999998,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.99999999999999989,0.8999999999999998,-0.99999999999999989,-0.099999999999999992,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,-0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.99999999999999989,0
IN,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,1,-0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.8999999999999998,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.59999999999999998,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.99999999999999989,0.8999999999999998,-0.99999999999999989,-0.099999999999999992,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,-0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.99999999999999989,0
Raug,-0.99999999999999989,-0.99999999999999989,-0.99999999999999989,-0.99999999999999989,-0.99999999999999989,-0.99999999999999989,1,-0.99999999999999989,-0.99999999999999989,0.99999999999999989,-0.8999999999999998,-0.99999999999999989,-0.99999999999999989,-0.99999999999999989,-0.99999999999999989,-0.99999999999999989,-0.59999999999999998,-0.99999999999999989,-0.99999999999999989,0.99999999999999989,-0.99999999999999989,-0.8999999999999998,0.99999999999999989,0.099999999999999992,-0.99999999999999989,-0.99999999999999989,-0.99999999999999989,-0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,-0.99999999999999989,0.99999999999999989,-0.99999999999999989,0
deg_overlap,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,1,0.99999999999999989,-0.99999999999999989,0.8999999999999998,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.59999999999999998,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.99999999999999989,0.8999999999999998,-0.99999999999999989,-0.099999999999999992,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,-0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.99999999999999989,0
N3,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.99999999999999989,1,-0.99999999999999989,0.8999999999999998,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.59999999999999998,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.99999999999999989,0.8999999999999998,-0.99999999999999989,-0.099999999999999992,0.99999999999999989,0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,-0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,0.99999999999999989,0
SI,-0.99999999999999989,-0.99999999999999989,-0.99999999999999989,-0.99999999999999989,-0.99999999999999989,-0.99999999999999989,0.99999999999999989,-0.99999999999999989,-0.99999999999999989,1,-0.8999999999999998,-0.99999999999999989,-0.99999999999999989,-0.99999999999999989,-0.99999999999999989,-0.99999999999999989,-0.59999999999999998,-0.99999999999999989,-0.99999999999999989,0.99999999999999989,-0.99999999999999989,-0.8999999999999998,0.99999999999999989,0.099999999999999992,-0.99999999999999989,-0.99999999999999989,-0.99999999999999989,-0.99999999999999989,0.99999999999999989,0.99999999999999989,-0.99999999999999989,-0.99999999999999989,0.99999999999999989,-0.99999999999999989,0
