,F1,F1v,F2,F3,F4,IN,Raug,deg_overlap,N3,SI,N4,kDN,D3,CM,Borderline,N1,T1,Clust,N2,ONB,LSCAvg,DBC,NSG,ICSV,MRCA,C1,Purity,C2,NeighbourhoodSeparability,IR,Silhouette,Bhattacharyya,Wasserstein,SVM_SVR,TwoNN_ID
F1,1,0.99836425932771788,,,,0.90146796772056192,,0.84847905485399477,,0.99837630794153953,,0.83639524159277367,,,0.6611115929722734,0.97563663525892663,0.99844534147330732,0.97563663525892663,0.99848136530226328,0.77023207657694392,0.91190679108372796,0.99837630794153953,0.96924273515761106,0.96370648437592832,0.96387703218894327,0.75748929008333155,0.99308077296536945,0.99276463553902261,0.99001041634899323,0.72296223774131363,0.99830110161156638,0.90283605173358372,0.96903538089674335,0.97140412540991339,0.9983610952962183
F1v,0.99836425932771788,1,,,,0.87853010498373463,,0.86615046888676261,,0.99944692680087466,,0.84611035326227013,,,0.64842978431701481,0.98417450580229826,0.99999018714400523,0.98417450580229826,0.99647784078887525,0.80334404781971303,0.89445827906278175,0.99944692680087466,0.96286193435473511,0.97205363885796114,0.96695375171549103,0.75049397624259551,0.98866069969896708,0.99677285893722856,0.99555380480843958,0.75891869566298442,0.999272944905228,0.878971973096633,0.98081364352163536,0.98137326569068184,0.99874524308935198
F2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,0.90146796772056192,0.87853010498373463,,,,1,,0.72787171509272941,,0.87589481445777895,,0.7914825400265012,,,0.82110920272587384,0.83991584745344983,0.8783817635903145,0.83991584745344983,0.91033451984216585,0.50226012882204707,0.86699208102106318,0.87589481445777895,0.85823354427083054,0.84715017843168905,0.88974768659917403,0.85717220534246896,0.9007755256533384,0.8718362185604851,0.85891084819958441,0.44523300511284525,0.87561074586136423,0.99001821357973585,0.79879693485719783,0.82560583977691193,0.87745050021820059
Raug,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deg_overlap,0.84847905485399477,0.86615046888676261,,,,0.72787171509272941,,1,,0.85048627826087109,,0.98242808869162601,,,0.76773967171485158,0.93923752836985208,0.86411812835740842,0.93923752836985208,0.86057328582968362,0.91881154711071744,0.56634392891965346,0.85048627826087109,0.70214466623630334,0.95834858241165477,0.93975281102748431,0.86469942077956796,0.80360919760285177,0.90243954315011887,0.90798771916987453,0.90209856560500401,0.84812807440638094,0.69535971579487876,0.92469517162654924,0.9418295765519501,0.84068361354213283
N3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SI,0.99837630794153953,0.99944692680087466,,,,0.87589481445777895,,0.85048627826087109,,1,,0.82929485145736526,,,0.63150621485465186,0.97838820263752124,0.9995547212533431,0.97838820263752124,0.99567160552323553,0.79134453643746616,0.90657567502259762,1,0.97084631335391458,0.96451008108063763,0.95920873224858805,0.73280026525273834,0.9912959570533646,0.99379070866232122,0.99231623243162959,0.74577870584573469,0.99998782123714269,0.87777413610317279,0.97629359348478539,0.97548293040598566,0.99979450080365506
N4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
