,F1,F1v,F2,F3,F4,IN,Raug,deg_overlap,N3,SI,N4,kDN,D3,CM,Borderline,N1,T1,Clust,N2,ONB,LSCAvg,DBC,NSG,ICSV,MRCA,C1,Purity,C2,NeighbourhoodSeparability,IR,Silhouette,Bhattacharyya,Wasserstein,SVM_SVR,TwoNN_ID
F1,1,0.28514044351311707,,,,0.98219806442198243,,-0.020902846165433614,,,,0.2653641258979838,,,0.69351795233397306,-0.098735977945900333,0.30216409191574783,-0.098735977945900333,0.8360929711286158,-0.56934349315908217,0.28298302509142959,,-0.0019937392666705134,0.050693587837806225,0.38661430401649222,0.66767101297457376,0.45262753341069384,0.092700893161965364,-0.098554877783907119,-0.56934349315908217,-0.22426476620693891,0.9706027914075035,-0.46011317691424364,-0.19901940681275704,0.16449688284669745
F1v,0.28514044351311707,1,,,,0.19443336254760013,,0.92241792931415167,,,,0.92957746950130737,,,0.66989697730763498,0.92019411768148152,0.99599409090632096,0.92019411768148152,0.43903414152880366,0.61174626898537632,-0.82766215128715792,,-0.9343015248440143,0.91986550482996732,0.88028991293613257,0.79986398909655854,-0.47670246058817689,0.9545259381478044,0.92026631686091032,0.61174626898537632,-0.98592412837022136,0.10566099847846297,0.70298602602340177,0.87858460511098924,-0.73620485788462331
F2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,0.98219806442198243,0.19443336254760013,,,,1,,-0.067238603401447106,,,,0.24147185287667638,,,0.71628778083394939,-0.17088592506363057,0.1998264466742157,-0.17088592506363057,0.85252599250524419,-0.64705939040021121,0.35812366312309329,,0.068083085879408534,0.018373227564882022,0.36349507670241599,0.65582103715354767,0.51170111560958964,0.025706766913057705,-0.1717588565312641,-0.64705939040021121,-0.11481168142892667,0.95685074287474936,-0.53939809079444112,-0.27135790483542749,0.17744879942988648
Raug,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deg_overlap,-0.020902846165433614,0.92241792931415167,,,,-0.067238603401447106,,1,,,,0.94281356181126807,,,0.56554202358978234,0.9849942362067684,0.89266643217182218,0.9849942362067684,0.28163540701783762,0.764302866680731,-0.92203665301231275,,-0.97988458501356024,0.99394124042093723,0.83362448047693904,0.67464390066375046,-0.57003797101788234,0.97793776322085146,0.9839591412900528,0.764302866680731,-0.90442150660364273,-0.20308243624417477,0.82888806894020162,0.96921042047123329,-0.90292136950218516
N3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SI,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
