,F1,F1v,F2,F3,F4,IN,Raug,deg_overlap,N3,SI,N4,kDN,D3,CM,Borderline,N1,T1,Clust,N2,ONB,LSCAvg,DBC,NSG,ICSV,MRCA,C1,Purity,C2,NeighbourhoodSeparability,IR,Silhouette,Bhattacharyya,Wasserstein,SVM_SVR,TwoNN_ID
F1,1,1.8717540564066024,2.5772732855357212,3.6146395368894519,3.3292318694994085,3.181922064135783,2.9486923685648083,2.9792826255306313,3.2828921600413397,3.0368765311647303,3.420386455785791,3.3202366627247044,3.8475664546456225,3.6532905964216833,3.7284703803851067,3.3952998977127304,3.5948329912026606,3.3464593840245112,2.785321610900648,2.7603470868956141,3.3843648838773346,3.344741506459286,3.0466338456963578,1.9065112409487608,1.5317320884872472,3.3831262776764426,3.5435440731755192,3.1964768341225636,2.3373769309551604,3.120208371984643,3.5868286203471089,3.4452479184211948,2.841737506017791,2.8993852739411938,3.9640252159762195
F1v,1.8717540564066024,1,3.8656850005296599,4.3844811862671804,4.2721879426315414,4.2044366896873049,1.2903903964710368,4.0396037352990239,4.2339179066629171,1.4401177589485925,4.2640709006694859,4.2539408774618845,4.4182428953111854,4.3776625708713652,4.3930026983323751,4.2826111382539711,4.315976746077502,4.2614823749271258,3.8678479946181845,1.0549226599781791,4.2885373566451657,4.1791335290899987,1.4432712490041564,3.1069493462601194,0.40817587880046413,4.2807324332306189,4.2176134240151297,4.1586429548723753,0.65814079924936264,1.5048171540765527,4.3674192271832695,4.3101809913852573,1.1428558569947782,3.9824287893989725,3.6024758688078062
F2,2.5772732855357212,3.8656850005296599,1,1.4618968190164974,1.0057087799609752,0.80111240722380772,4.3472536112827997,0.81344639268830221,1.0120800841199222,4.356109950784969,1.2994790436631827,1.0562075195322069,1.9845858022157477,1.6253980985618908,1.7800494961526643,1.1704101115298406,1.5716928021411798,1.1021900988145668,0.98335599684069364,4.2820438470362863,1.0911871436893343,1.3292184524875803,4.368643414297078,1.6989392682461746,3.6672603281401566,1.1444753213357572,1.8375824103135239,1.0528045441084075,4.0621696858869374,4.3962896355505565,1.412343256739135,1.1926864812690936,4.3004174645412903,0.83102939645996232,3.6640330930624128
F3,3.6146395368894519,4.3844811862671804,1.4618968190164974,1,0.48687681523934506,0.68192323551546752,4.4434131807442849,1.2455450362355682,0.67907471853801171,4.4202779920093844,0.77749326681294584,0.60826031087201771,0.69388163571779871,0.40135220211156097,0.55865618564365227,0.56591782731605789,0.82584655290534081,0.6167609360193852,1.6413997614868849,4.4589260744876,0.50308838097367437,1.1854500690147498,4.4191641086822129,2.7190637867795719,4.2937683947595495,0.54561173357307691,1.1916908389037597,0.97894504298815477,4.4366576506790238,4.4183854225364447,0.37122778451607219,0.47708732109709945,4.4637380215373543,1.3704703137694936,3.0191353876018048
F4,3.3292318694994085,4.2721879426315414,1.0057087799609752,0.48687681523934506,1,0.21776389463688517,4.4694020111667419,0.88472278655811643,0.4326122698463945,4.4511623902053215,0.70977677824578,0.39772328127924811,1.1100853239947153,0.7683323666281574,0.91860725259730835,0.45090718194537188,0.89188947365875892,0.43998878043349943,1.2963388794676209,4.460194862046067,0.24056411764748853,0.95545843465066183,4.458410337165529,2.3558918585636857,4.1458248939398601,0.41233855840024591,1.3377417583011038,0.75709890836385263,4.3669203053773709,4.4671647756058217,0.47273633533597181,0.34359776090447713,4.4616844650253142,1.0175447267629507,3.2610974008765687
IN,3.181922064135783,4.2044366896873049,0.80111240722380772,0.68192323551546752,0.21776389463688517,1,4.4609143904544544,0.79771622116606555,0.44362495775262017,4.4500783023289596,0.77862276895361138,0.43508795093592911,1.2712788746603216,0.90615963779112441,1.0688335091204999,0.5335140497872195,1.0131664104085611,0.49350910577733109,1.1998669993341406,4.4396711048468545,0.38178490574641216,1.0206519681533597,4.4565141532074897,2.234015050197363,4.0616061045456631,0.49215657366811455,1.3892012671197713,0.72787712750628408,4.3243312044068434,4.4700436175184368,0.6757843384121045,0.4957240423258919,4.4490837343219329,0.9174564604561587,3.3385089518252093
Raug,2.9486923685648083,1.2903903964710368,4.3472536112827997,4.4434131807442849,4.4694020111667419,4.4609143904544544,1,4.3979784033925338,4.4551007782063428,0.38997058353834207,4.4294574280456667,4.457207729557533,4.3180312746067502,4.3990833343034472,4.3609671789568498,4.4551051721675501,4.4045217043293237,4.4555750652332335,4.3020130284609381,0.29142364847318175,4.4706530604807089,4.3873342455418687,0.26183166035128452,3.7907758686628008,1.6316692461882174,4.4572539328242176,4.2737278512183181,4.4176666539091478,1.0072083881753144,0.23880082027018962,4.4488542852403121,4.4665726872476537,0.37680559478847353,4.3694889753864379,2.9993350858304053
deg_overlap,2.9792826255306313,4.0396037352990239,0.81344639268830221,1.2455450362355682,0.88472278655811643,0.79771622116606555,4.3979784033925338,1,0.62168111709735341,4.4287145526263707,0.70377867647539694,0.69649008578198535,1.893636602620361,1.3952781785572694,1.7402753078187549,0.74753929359233462,0.93193468892438314,0.68700347970863385,0.42565089072168555,4.3399274251059179,0.76907212857538343,1.1330644443780005,4.4349148737334829,2.1853528146525152,3.9103872307430816,0.75760523779801359,1.3825508511281521,0.46622740366999027,4.1093581156083019,4.4131432858786308,1.2335598227016673,0.80215745252980275,4.3431035313873148,0.15686689395339495,3.8010792894095609
N3,3.2828921600413397,4.2339179066629171,1.0120800841199222,0.67907471853801171,0.4326122698463945,0.44362495775262017,4.4551007782063428,0.62168111709735341,1,4.4721359549995796,0.3546731230382848,0.076575904433073577,1.3369032323522918,0.79403055520034804,1.1872511249254492,0.1698839122537886,0.64347176044698251,0.095626477347466571,1.0236132981058332,4.4273386447035419,0.30966692280189001,1.1556188792877513,4.4675783016359025,2.4923463844764107,4.1211824481702068,0.15627356928064071,1.0266907913826779,0.33678401501253796,4.3006461803605873,4.4525315963549437,0.7953932785418194,0.32739447790782727,4.445916234192711,0.72887445868611078,3.4651867337482685
SI,3.0368765311647303,1.4401177589485925,4.356109950784969,4.4202779920093844,4.4511623902053215,4.4500783023289596,0.38997058353834207,4.4287145526263707,4.4721359549995796,1,4.4580496829661147,4.4714803064377078,4.2676328037128481,4.4010811714177942,4.3116626452406095,4.4689080832298789,4.4256009867030777,4.4711134605185441,4.3534142711142145,0.63140519883400059,4.4614018421256798,4.3202482574307846,0.20185172466951212,3.7132478371080202,1.736621786369686,4.4694047222806184,4.3526895155627638,4.4594367948466367,1.2265571455704385,0.41828505048697162,4.4008350948939787,4.4601359683125654,0.48355851615053219,4.4123397447924431,2.8270976106698171
