,F1,F1v,F2,F3,F4,IN,Raug,deg_overlap,N3,SI,N4,kDN,D3,CM,Borderline,N1,T1,Clust,N2,ONB,LSCAvg,DBC,NSG,ICSV,MRCA,C1,Purity,C2,NeighbourhoodSeparability,IR,Silhouette,Bhattacharyya,Wasserstein,SVM_SVR,TwoNN_ID
F1,1.0,0.6,-0.19999999999999998,-0.39999999999999997,-0.39999999999999997,-0.39999999999999997,0.39999999999999997,0.0,-0.19999999999999998,0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.39999999999999997,-0.39999999999999997,-0.39999999999999997,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,0.19999999999999998,0.39999999999999997,-0.39999999999999997,-0.19999999999999998,0.19999999999999998,0.6,0.6,-0.19999999999999998,-0.19999999999999998,0.0,0.39999999999999997,0.39999999999999997,-0.39999999999999997,-0.39999999999999997,0.39999999999999997,0.0,-0.6
F1v,0.6,1.0,-0.6,-0.7999999999999999,-0.7999999999999999,-0.7999999999999999,0.7999999999999999,-0.39999999999999997,-0.6,0.6,-0.6,-0.6,-0.7999999999999999,-0.7999999999999999,-0.7999999999999999,-0.6,-0.6,-0.6,-0.19999999999999998,0.7999999999999999,-0.7999999999999999,-0.6,0.6,0.19999999999999998,0.9999999999999999,-0.6,-0.6,-0.39999999999999997,0.7999999999999999,0.7999999999999999,-0.7999999999999999,-0.7999999999999999,0.7999999999999999,-0.39999999999999997,-0.19999999999999998
F2,-0.19999999999999998,-0.6,1.0,0.7999999999999999,0.7999999999999999,0.7999999999999999,-0.7999999999999999,0.7999999999999999,0.9999999999999999,-0.9999999999999999,0.9999999999999999,0.9999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.6,-0.7999999999999999,0.7999999999999999,0.6,-0.9999999999999999,-0.19999999999999998,-0.6,0.9999999999999999,0.9999999999999999,0.7999999999999999,-0.7999999999999999,-0.7999999999999999,0.7999999999999999,0.7999999999999999,-0.7999999999999999,0.7999999999999999,-0.19999999999999998
F3,-0.39999999999999997,-0.7999999999999999,0.7999999999999999,1.0,0.9999999999999999,0.9999999999999999,-0.9999999999999999,0.6,0.7999999999999999,-0.7999999999999999,0.7999999999999999,0.7999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.39999999999999997,-0.9999999999999999,0.9999999999999999,0.7999999999999999,-0.7999999999999999,0.0,-0.7999999999999999,0.7999999999999999,0.7999999999999999,0.6,-0.9999999999999999,-0.9999999999999999,0.9999999999999999,0.9999999999999999,-0.9999999999999999,0.6,0.0
F4,-0.39999999999999997,-0.7999999999999999,0.7999999999999999,0.9999999999999999,1.0,0.9999999999999999,-0.9999999999999999,0.6,0.7999999999999999,-0.7999999999999999,0.7999999999999999,0.7999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.39999999999999997,-0.9999999999999999,0.9999999999999999,0.7999999999999999,-0.7999999999999999,0.0,-0.7999999999999999,0.7999999999999999,0.7999999999999999,0.6,-0.9999999999999999,-0.9999999999999999,0.9999999999999999,0.9999999999999999,-0.9999999999999999,0.6,0.0
IN,-0.39999999999999997,-0.7999999999999999,0.7999999999999999,0.9999999999999999,0.9999999999999999,1.0,-0.9999999999999999,0.6,0.7999999999999999,-0.7999999999999999,0.7999999999999999,0.7999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.39999999999999997,-0.9999999999999999,0.9999999999999999,0.7999999999999999,-0.7999999999999999,0.0,-0.7999999999999999,0.7999999999999999,0.7999999999999999,0.6,-0.9999999999999999,-0.9999999999999999,0.9999999999999999,0.9999999999999999,-0.9999999999999999,0.6,0.0
Raug,0.39999999999999997,0.7999999999999999,-0.7999999999999999,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,1.0,-0.6,-0.7999999999999999,0.7999999999999999,-0.7999999999999999,-0.7999999999999999,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-0.7999999999999999,-0.7999999999999999,-0.7999999999999999,-0.39999999999999997,0.9999999999999999,-0.9999999999999999,-0.7999999999999999,0.7999999999999999,0.0,0.7999999999999999,-0.7999999999999999,-0.7999999999999999,-0.6,0.9999999999999999,0.9999999999999999,-0.9999999999999999,-0.9999999999999999,0.9999999999999999,-0.6,0.0
deg_overlap,0.0,-0.39999999999999997,0.7999999999999999,0.6,0.6,0.6,-0.6,1.0,0.7999999999999999,-0.7999999999999999,0.7999999999999999,0.7999999999999999,0.6,0.6,0.6,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,-0.6,0.6,0.39999999999999997,-0.7999999999999999,0.0,-0.39999999999999997,0.7999999999999999,0.7999999999999999,0.9999999999999999,-0.6,-0.6,0.6,0.6,-0.6,0.9999999999999999,-0.39999999999999997
N3,-0.19999999999999998,-0.6,0.9999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,-0.7999999999999999,0.7999999999999999,1.0,-0.9999999999999999,0.9999999999999999,0.9999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.6,-0.7999999999999999,0.7999999999999999,0.6,-0.9999999999999999,-0.19999999999999998,-0.6,0.9999999999999999,0.9999999999999999,0.7999999999999999,-0.7999999999999999,-0.7999999999999999,0.7999999999999999,0.7999999999999999,-0.7999999999999999,0.7999999999999999,-0.19999999999999998
SI,0.19999999999999998,0.6,-0.9999999999999999,-0.7999999999999999,-0.7999999999999999,-0.7999999999999999,0.7999999999999999,-0.7999999999999999,-0.9999999999999999,1.0,-0.9999999999999999,-0.9999999999999999,-0.7999999999999999,-0.7999999999999999,-0.7999999999999999,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-0.6,0.7999999999999999,-0.7999999999999999,-0.6,0.9999999999999999,0.19999999999999998,0.6,-0.9999999999999999,-0.9999999999999999,-0.7999999999999999,0.7999999999999999,0.7999999999999999,-0.7999999999999999,-0.7999999999999999,0.7999999999999999,-0.7999999999999999,0.19999999999999998
