,F1,F1v,F2,F3,F4,IN,Raug,deg_overlap,N3,SI,N4,kDN,D3,CM,Borderline,N1,T1,Clust,N2,ONB,LSCAvg,DBC,NSG,ICSV,MRCA,C1,Purity,C2,NeighbourhoodSeparability,IR,Silhouette,Bhattacharyya,Wasserstein,SVM_SVR,TwoNN_ID
F1,1.0,3.316007514370183,5.225195622482498,6.545405714291833,6.203541847591435,6.033808341606023,5.175348026000408,6.138294053786929,6.324267928249012,5.689329120474076,6.529301544204981,6.3288704102270215,6.902408656067404,6.870766181628654,6.801882313671585,6.424729562641069,6.687035429743275,6.38650947249797,5.844181197598869,4.78174056476501,6.410531772082884,6.182336921128262,5.644695878159796,4.032740147088468,2.6765797954398636,6.391379278552983,6.4716032213790475,6.295148178417072,4.023779849404502,5.539014870791339,6.316666714269848,6.491987950049634,4.812831895711497,6.017170336363623,8.151290363265502
F1v,3.316007514370183,1.0,7.660123427290202,8.733674652889807,8.638469652399138,8.468736146413727,2.5557937884967594,8.573221858594632,8.759195733056714,3.069774882970428,8.964229349012685,8.763798215034726,8.818421685283324,8.786779210844573,8.717895342887505,8.859657367448774,9.121963234550979,8.821437277305673,8.279109002406573,1.9355983525889302,8.845459576890587,8.617264725935966,3.025141640656148,5.258555722779475,0.6515436988797507,8.826307083360689,8.426041532838706,8.730075983224776,1.2251192318185957,2.9194606332876916,8.751594519077553,8.926915754857339,2.181545121667136,8.452098141171328,6.179375342500102
F2,5.225195622482498,7.660123427290202,1.0,2.876409041048415,1.8619773739959142,1.5272404697597077,7.811851221725963,1.5657909241903412,1.8687547831357074,7.794714190882438,2.2250464299469725,2.0101246192351265,3.947909933331117,3.4587353024289635,3.5209409255761948,2.1827120184293536,2.7233707717663247,2.04265875932073,2.085737062168123,7.83360720245959,1.9077141700674611,2.865563854719087,7.832887884390652,3.224917682336158,7.496762707988855,2.171337859231998,3.5763967933064222,1.747054004467272,7.375162053227567,7.61577044828204,2.61626987243692,2.0790191584848428,7.673233722658281,1.7260640275743684,7.30446738488139
F3,6.545405714291833,8.733674652889807,2.876409041048415,1.0,1.014431667052501,1.3491685712887074,8.885402447325568,2.4042459300110917,1.4221064575887608,8.868265416482043,1.405813493135716,1.279377238544739,1.3705318999108544,0.7908980287717846,1.1218124292309082,1.1247992073351143,1.6678082404791148,1.2622982281129904,3.0024593421759795,8.907158428059194,0.9686948709809542,2.1571411469428554,8.906439109990256,5.282777495905356,8.57031393358846,1.1165051653568874,2.2133231549413033,1.920319857631981,8.605876848760747,8.689321673881647,0.6844463564078996,0.8608583830066837,8.746784948257886,2.6572089226094393,5.817595422288273
F4,6.203541847591435,8.638469652399138,1.8619773739959142,1.014431667052501,1.0,0.3833365749568824,8.790197446834899,1.5276464686284341,0.7963626949873168,8.773060415991374,1.5225578072183383,0.7386988213520931,2.2471313612935124,1.5967579284330493,1.8385870398462254,0.9195590001576583,1.909229990766576,0.8771806823915245,2.125859880793322,8.811953427568525,0.5002550715372529,1.5326312790364913,8.811234109499587,4.552685217492468,8.475108933097792,0.8170685145631291,2.8625634662008714,1.3826419874090954,8.353508278336502,8.594116673390978,0.9434636283351334,0.7112001123210795,8.651579947767218,1.7806094612267815,6.087581777590538
IN,6.033808341606023,8.468736146413727,1.5272404697597077,1.3491685712887074,0.3833365749568824,1.0,8.620463940849486,1.333684938104627,0.9286687259597795,8.603326910005961,1.654863838190801,0.8710048523245557,2.6251671684362807,1.9314948326692556,2.2166228469889937,1.051865031130121,2.0415360217390384,1.0094867133639869,1.8955411468700587,8.642219921583115,0.6523333737382279,1.9159678539933735,8.641500603514176,4.38825247932117,8.305375427112379,0.9493745455355918,2.9895687293592204,1.5149480183815578,8.18377477235109,8.424383167405566,1.3268002032920159,0.8477313186279458,8.481846441781805,1.4939580414886542,6.125579912682983
Raug,5.175348026000408,2.5557937884967594,7.811851221725963,8.885402447325568,8.790197446834899,8.620463940849486,1.0,8.724949653030393,8.910923527492475,0.5854542836485094,9.115957143448444,8.915526009470486,8.305704566421696,8.71939340236859,8.34617546244963,9.011385161884533,9.273691028986738,8.973165071741434,8.430836796842334,0.6201954359078294,8.997187371326348,8.768992520371725,0.46934785215938873,6.5383291196472175,3.0197448081762963,8.978034877796448,8.577769327274467,8.881803777660535,2.0804069761840727,0.40030101401003054,8.903322313513314,9.078643549293098,0.6869785087646108,8.603825935607087,5.539790679786126
deg_overlap,6.138294053786929,8.573221858594632,1.5657909241903412,2.4042459300110917,1.5276464686284341,1.333684938104627,8.724949653030393,1.0,1.2124483949557425,8.707812622186868,1.518575238501818,1.3538182310551619,3.774777829921946,2.8024289142489986,3.3662335084746595,1.526405630249389,1.842277398357178,1.3863523711407653,0.717944061914736,8.74670563376402,1.4449928759755482,2.0503644394993645,8.745986315695081,3.477524115522402,8.409861139293286,1.5150314710520327,2.8049830038571235,0.9862156915269169,8.288260484531996,8.528868879586472,2.4615624553353843,1.5433875470044083,8.586332153962712,0.26717990670283964,7.419470568568584
N3,6.324267928249012,8.759195733056714,1.8687547831357074,1.4221064575887608,0.7963626949873168,0.9286687259597795,8.910923527492475,1.2124483949557425,1.0,8.89378649664895,0.7261951122310215,0.14272921904402147,2.792638357499615,1.5899805192932561,2.3840940360523284,0.31395723529364633,1.112867295779259,0.17390397618502262,1.8224696658699984,8.932679508226101,0.5503988285899762,1.9057138996120613,8.931960190157163,4.4943978175704435,8.595835013755368,0.30560129223187343,2.245214251793156,0.5862792924217783,8.47423435899408,8.714842754048554,1.4794229829130527,0.6728864560911725,8.772306028424794,1.343667809376371,6.818879663516037
SI,5.689329120474076,3.069774882970428,7.794714190882438,8.868265416482043,8.773060415991374,8.603326910005961,0.5854542836485094,8.707812622186868,8.89378649664895,1.0,9.098820112604919,8.898388978626961,8.28856753557817,8.702256371525067,8.329038431606106,8.994248131041008,9.256553998143215,8.956028040897909,8.413699765998807,1.134176530381498,8.980050340482823,8.751855489528202,0.3767580040647466,6.521157738457907,3.533725902649965,8.960897846952923,8.560632296430942,8.864666746817012,2.594388070657741,0.813571384648955,8.88618528266979,9.061506518449574,0.8882297613032917,8.586688904763562,5.57692110658236
