,F1,F1v,F2,F3,F4,IN,Raug,deg_overlap,N3,SI,N4,kDN,D3,CM,Borderline,N1,T1,Clust,N2,ONB,LSCAvg,DBC,NSG,ICSV,MRCA,C1,Purity,C2,NeighbourhoodSeparability,IR,Silhouette,Bhattacharyya,Wasserstein,SVM_SVR,TwoNN_ID
F1,1.0,0.11666666666666692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666665,0.18333333333333357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1v,0.11666666666666692,1.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11666666666666692,0.0,0.11666666666666692,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.03333333333333344,0.18333333333333335,0.0,0.0,0.0,0.11666666666666692,0.0,0.050000000000000266,0.0,0.0,0.0,0.0
F2,0.0,0.0,1.0,0.11666666666666692,0.11666666666666692,0.18333333333333335,0.11666666666666692,0.2500000000000002,0.18333333333333357,0.18333333333333357,0.18333333333333357,0.18333333333333357,0.050000000000000266,0.050000000000000266,0.050000000000000266,0.18333333333333357,0.13333333333333353,0.18333333333333357,0.18333333333333335,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.18333333333333357,0.1166666666666667,0.0,0.18333333333333357,0.11666666666666692,0.18333333333333357,0.050000000000000266,0.18333333333333335,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.2500000000000002,0.0
F3,0.0,2.220446049250313e-16,0.11666666666666692,1.0,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.11666666666666692,0.11666666666666692,0.18333333333333335,0.18333333333333335,0.18333333333333335,0.11666666666666692,0.06666666666666687,0.11666666666666692,0.08333333333333326,0.2500000000000002,0.19999999999999996,0.19999999999999996,0.1333333333333333,2.220446049250313e-16,0.0,0.11666666666666692,0.0,0.11666666666666692,0.18333333333333335,0.19999999999999996,0.25,0.25,0.25,0.1333333333333333,0.01666666666666683
F4,0.0,0.0,0.11666666666666692,0.19999999999999996,1.0,0.18333333333333357,0.25,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.1333333333333333,0.08333333333333348,0.18333333333333335,0.11666666666666692,0.1499999999999999,0.11666666666666692,0.11666666666666692,0.25,0.2500000000000002,0.25,0.11666666666666692,0.06666666666666687,0.0,0.11666666666666692,2.220446049250313e-16,0.11666666666666692,0.18333333333333335,0.18333333333333357,0.25,0.19999999999999996,0.2500000000000002,0.11666666666666692,0.01666666666666683
IN,0.0,0.0,0.18333333333333335,0.19999999999999996,0.18333333333333357,1.0,0.18333333333333357,0.18333333333333335,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.08333333333333348,0.11666666666666692,0.11666666666666692,0.1499999999999999,0.11666666666666692,0.18333333333333335,0.18333333333333357,0.18333333333333357,0.18333333333333357,0.11666666666666692,0.06666666666666687,0.0,0.11666666666666692,0.050000000000000266,0.11666666666666692,0.11666666666666692,0.25,0.18333333333333357,0.1499999999999999,0.18333333333333357,0.18333333333333335,0.0
Raug,0.0,0.0,0.11666666666666692,0.19999999999999996,0.25,0.18333333333333357,1.0,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.18333333333333335,0.1333333333333333,0.18333333333333335,0.11666666666666692,0.1499999999999999,0.11666666666666692,0.11666666666666692,0.25,0.2500000000000002,0.25,0.11666666666666692,0.06666666666666687,0.0,0.11666666666666692,2.220446049250313e-16,0.11666666666666692,0.18333333333333335,0.18333333333333357,0.25,0.20000000000000018,0.2500000000000002,0.11666666666666692,2.220446049250313e-16
deg_overlap,0.0,0.0,0.2500000000000002,0.1333333333333333,0.11666666666666692,0.18333333333333335,0.11666666666666692,1.0,0.18333333333333357,0.18333333333333357,0.19999999999999996,0.18333333333333357,0.016666666666666607,0.08333333333333348,2.220446049250313e-16,0.19999999999999996,0.1499999999999999,0.18333333333333357,0.18333333333333357,0.11666666666666692,0.1333333333333333,0.1333333333333333,0.18333333333333357,0.06666666666666665,0.0,0.19999999999999996,0.11666666666666692,0.18333333333333357,0.016666666666666607,0.18333333333333335,0.11666666666666692,0.15000000000000013,0.1333333333333333,0.25,0.0
N3,0.0,0.0,0.18333333333333357,0.1333333333333333,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.18333333333333357,1.0,0.25,0.25,0.25,0.050000000000000266,0.06666666666666665,0.050000000000000266,0.25,0.19999999999999996,0.25,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.25,0.06666666666666687,0.0,0.2500000000000002,0.18333333333333335,0.25,0.050000000000000266,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.18333333333333357,0.0
SI,0.0,0.0,0.18333333333333357,0.1333333333333333,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.18333333333333357,0.25,1.0,0.25,0.25,0.050000000000000266,0.06666666666666665,0.050000000000000266,0.25,0.19999999999999996,0.25,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.25,0.06666666666666687,0.0,0.2500000000000002,0.18333333333333335,0.25,0.050000000000000266,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.18333333333333357,0.0
N4,0.0,0.0,0.18333333333333357,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.19999999999999996,0.25,0.25,1.0,0.25,0.0,0.06666666666666687,2.220446049250313e-16,0.25,0.25,0.25,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.06666666666666687,0.19999999999999996,0.06666666666666687,0.0,0.25,0.18333333333333335,0.2500000000000002,0.0,0.1333333333333333,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.18333333333333357,0.0
kDN,0.0,0.0,0.18333333333333357,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.18333333333333357,0.25,0.25,0.25,1.0,0.050000000000000266,0.06666666666666665,0.050000000000000266,0.25,0.1499999999999999,0.25,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.25,0.06666666666666687,0.0,0.25,0.18333333333333335,0.25,0.050000000000000266,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.11666666666666692,0.18333333333333357,0.0
D3,0.0,0.11666666666666692,0.050000000000000266,0.18333333333333335,0.1333333333333333,0.11666666666666692,0.18333333333333335,0.016666666666666607,0.050000000000000266,0.050000000000000266,0.0,0.050000000000000266,1.0,0.19999999999999996,0.25,0.050000000000000266,0.0,0.050000000000000266,0.016666666666666607,0.18333333333333335,0.18333333333333335,0.18333333333333335,0.06666666666666665,0.0,0.050000000000000266,0.050000000000000266,0.0,2.220446049250313e-16,0.25,0.1333333333333333,0.18333333333333335,0.18333333333333335,0.18333333333333335,0.016666666666666607,2.220446049250313e-16
CM,0.0,0.0,0.050000000000000266,0.18333333333333335,0.08333333333333348,0.08333333333333348,0.1333333333333333,0.08333333333333348,0.06666666666666665,0.06666666666666665,0.06666666666666687,0.06666666666666665,0.19999999999999996,1.0,0.25,0.06666666666666665,0.08333333333333348,0.06666666666666665,0.03333333333333344,0.1333333333333333,0.08333333333333348,0.050000000000000044,0.08333333333333348,0.0,0.0,0.06666666666666665,0.0,0.06666666666666665,0.19999999999999996,0.08333333333333348,0.18333333333333335,0.08333333333333348,0.08333333333333348,0.08333333333333348,0.0
