,F1,F1v,F2,F3,F4,IN,Raug,deg_overlap,N3,SI,N4,kDN,D3,CM,Borderline,N1,T1,Clust,N2,ONB,LSCAvg,DBC,NSG,ICSV,MRCA,C1,Purity,C2,NeighbourhoodSeparability,IR,Silhouette,Bhattacharyya,Wasserstein,SVM_SVR,TwoNN_ID
F1,1,0.64965367523254303,0.33576624116639103,-0.30656189816443913,-0.10837848408905251,-0.012462802223411895,0.13052133155676612,0.1123875037211309,-0.077738093446089479,0.077738093446087675,-0.16990435069228843,-0.10239714965012808,-0.48037676229142839,-0.33465321819030952,-0.39014913774090632,-0.1528061395408076,-0.29228242346390687,-0.11987904089257093,0.22419835238498226,0.23804839598668978,-0.1453925667222043,-0.11872957450315338,0.07180222102574213,0.6365214888136016,0.76537968090984942,-0.14455434107048598,-0.25567045985373504,-0.021746415108220479,0.45366690826386347,0.026429971539694341,-0.2865339551741144,-0.18697332193855759,0.19245279468917875,0.15935650332529488,-0.57134959128953133
F1v,0.64965367523254303,1,-0.49435205233199997,-0.92236752727308602,-0.82515898171663205,-0.76772878775887377,0.83348926246953214,-0.63183983382418285,-0.79260608403608968,0.79260608403608834,-0.81823006459362757,-0.80960129889411869,-0.95208702819677604,-0.91639295844080881,-0.92984727075555296,-0.83407581614969728,-0.8627655272681739,-0.81602320318145338,-0.49602481094719086,0.88871381814645645,-0.83915526593411038,-0.74651570539642309,0.79169681017979832,0.034686575977381812,0.98333924519654681,-0.83246701649125365,-0.77882629944326232,-0.72943112261096399,0.95668506883634108,0.77355253327969464,-0.90743507059701045,-0.85776601784987982,0.86938804901327305,-0.5859739062633762,-0.29778323853425559
F2,0.33576624116639103,-0.49435205233199997,1,0.78628576905494474,0.89885498499094085,0.93582189109920799,-0.88986139608113468,0.93383049662223894,0.89756939033278138,-0.89756939033278205,0.83113542150802222,0.88844256756836237,0.60614191936436768,0.73580810211913927,0.68314237912466469,0.86301401708287095,0.75297817356976071,0.87851769860751372,0.90330109834774475,-0.83358995079413167,0.88093106174471147,0.8233178305566522,-0.90850452812812266,0.71136053628111529,-0.34487983143506479,0.86901762388534165,0.6623290885306341,0.88916025919046893,-0.6501222556938776,-0.9327362559649246,0.80052865251434946,0.8577498957397951,-0.84935903693317405,0.93093901422193925,-0.34251385070565155
F3,-0.30656189816443913,-0.92236752727308602,0.78628576905494474,1,0.97629509667823922,0.95349807008641174,-0.97439206948120494,0.84486175627089366,0.95388575266425213,-0.95388575266425135,0.93955042200605343,0.96300193942178769,0.95185282756135914,0.98389164098602011,0.96879032662420839,0.96797370127258742,0.93179774710543661,0.96196059478004914,0.73058068229907969,-0.98820217377453989,0.97469020809292872,0.85947081338729248,-0.9529011419465051,0.26066921234239337,-0.84364470278359915,0.97023078361873816,0.85798729444728528,0.9041666602808921,-0.96839311093287139,-0.95221297420825501,0.98621899320032891,0.97723876880483951,-0.99249571249182122,0.81218111190765452,0.08848215113305008
F4,-0.10837848408905251,-0.82515898171663205,0.89885498499094085,0.97629509667823922,1,0.99525788861925768,-0.99755543374213174,0.92172655909448398,0.98128466239783507,-0.98128466239783485,0.94962169250630413,0.98418161915284674,0.8767710573451547,0.94096653743915759,0.91561607154756242,0.97966827132700851,0.92045331667767016,0.98064098730926408,0.83195055095806314,-0.98933382074221365,0.99421289053004869,0.90870991796549061,-0.98774227345444532,0.44497735507533398,-0.71878640512114533,0.98299769132564063,0.82104469880974695,0.94268012429542636,-0.90699929535171941,-0.99555611324134075,0.97765203572531167,0.98819405787014314,-0.99066282654482285,0.89646027290369101,-0.063475625800391317
IN,-0.012462802223411895,-0.76772878775887377,0.93582189109920799,0.95349807008641174,0.99525788861925768,1,-0.98997571989636324,0.93636488304885335,0.98031968968589867,-0.98031968968589867,0.93937465836670131,0.98106984749503767,0.83838500228423851,0.91788747108382596,0.88575949297811585,0.97153627586796432,0.89734938248198326,0.97564487625148599,0.85603191839088866,-0.97106795192120832,0.98542402857442046,0.89582695599046724,-0.98605183977386668,0.50091767554916744,-0.64966441484825932,0.9757781906995262,0.80701198394328222,0.94701948872532027,-0.86998403654067369,-0.99812899425173141,0.95433155279569148,0.97542576738600806,-0.97943460750079947,0.91582736431672573,-0.11456420214170582
Raug,0.13052133155676612,0.83348926246953214,-0.88986139608113468,-0.97439206948120494,-0.99755543374213174,-0.98997571989636324,1,-0.93422140367071371,-0.9847922943974764,0.9847922943974764,-0.96200931068689333,-0.98667007444274168,-0.86453940884819946,-0.93519341821463364,-0.90180347359388668,-0.98479620950740565,-0.93998114439080938,-0.98521491619281343,-0.85073160970476525,0.99150722571105798,-0.99867387871855262,-0.92487017821044437,0.99314441816376875,-0.43699816864362112,0.73376554710435715,-0.98671126216769567,-0.82647497462791431,-0.95157786650608422,0.89855312627892836,0.99429741682382844,-0.97923044513010893,-0.99502715704667266,0.98580175437361028,-0.90924339060236292,0.10039890429067128
deg_overlap,0.1123875037211309,-0.63183983382418285,0.93383049662223894,0.84486175627089366,0.92172655909448398,0.93636488304885335,-0.93422140367071371,1,0.9613512588644586,-0.96135125886445916,0.95046955745385386,0.95149015604074028,0.64141404172164151,0.80531988044419089,0.69714418529963362,0.94411850045354739,0.91314977355794125,0.95280262188682274,0.98188213192278351,-0.88349700551864851,0.94085280610485289,0.87161649648863715,-0.96684699372624738,0.52242330754903277,-0.52911282943585447,0.94260343036610139,0.80885531440448211,0.97826320080671403,-0.68868241223158133,-0.94758336616956351,0.84783301638162301,0.93565434213508969,-0.88625482843489545,0.99753927775814133,-0.44482037643782946
N3,-0.077738093446089479,-0.79260608403608968,0.89756939033278138,0.95388575266425213,0.98128466239783507,0.98031968968589867,-0.9847922943974764,0.9613512588644586,1,-0.99999999999999989,0.98742069757942696,0.99941361308602572,0.8212689747325993,0.93695154774082279,0.85904347663632552,0.99711394563573497,0.95859440935072615,0.99908555768301144,0.89522158159408982,-0.96013274748853983,0.99041063969224097,0.86645450058337214,-0.99592558812479415,0.3788209499787365,-0.69841447711061733,0.9975578571544288,0.89459060188900097,0.98865765272320349,-0.84955575686501072,-0.98250376165391107,0.93673495324504952,0.98928128558354622,-0.97661711614582969,0.94687420234750286,-0.20075190997449927
SI,0.077738093446087675,0.79260608403608834,-0.89756939033278205,-0.95388575266425135,-0.98128466239783485,-0.98031968968589867,0.9847922943974764,-0.96135125886445916,-0.99999999999999989,1,-0.98742069757942685,-0.99941361308602539,-0.82126897473259808,-0.9369515477408219,-0.85904347663632441,-0.99711394563573463,-0.95859440935072582,-0.99908555768301111,-0.8952215815940906,0.9601327474885395,-0.99041063969224097,-0.86645450058337259,0.99592558812479404,-0.37882094997873839,0.69841447711061599,-0.99755785715442857,-0.89459060188899997,-0.98865765272320349,0.84955575686500973,0.98250376165391118,-0.93673495324504907,-0.989281285583546,0.97661711614582924,-0.9468742023475033,0.20075190997450096
N4,-0.16990435069228843,-0.81823006459362757,0.83113542150802222,0.93955042200605343,0.94962169250630413,0.93937465836670131,-0.96200931068689333,0.95046955745385386,0.98742069757942696,-0.98742069757942685,1,0.98656250894749109,0.80235031979118432,0.93071675980751545,0.82901501997332283,0.99216210038097263,0.98940473080166136,0.99110622678371996,0.89278154966440804,-0.93993148057863518,0.97466117937060304,0.8447613886033285,-0.97976261290389011,0.27279659192889538,-0.74872286191583115,0.9892922475692133,0.92805779426880253,0.98867262620086604,-0.82979016567661024,-0.9471244979689829,0.91568995912366913,0.98160159185366924,-0.95263777784591641,0.93745874082071468,-0.2388437685070515
kDN,-0.10239714965012808,-0.80960129889411869,0.88844256756836237,0.96300193942178769,0.98418161915284674,0.98106984749503767,-0.98667007444274168,0.95149015604074028,0.99941361308602572,-0.99941361308602539,0.98656250894749109,1,0.84002829619048125,0.94805507924415044,0.87541312953045058,0.99839393159589584,0.95927651040298278,0.99948745534945083,0.87949637755631693,-0.96577496231489979,0.99196087543073652,0.86392055547442559,-0.99465496552423693,0.36145992920804904,-0.71685962603250952,0.99908636251135274,0.89849611896829207,0.98414890290077273,-0.86617147685561591,-0.98231934344568417,0.94430852066409576,0.99129782148531809,-0.9829503002006893,0.93530715105765716,-0.16807840736931545
D3,-0.48037676229142839,-0.95208702819677604,0.60614191936436768,0.95185282756135914,0.8767710573451547,0.83838500228423851,-0.86453940884819946,0.64141404172164151,0.8212689747325993,-0.82126897473259808,0.80235031979118432,0.84002829619048125,1,0.95372628261017867,0.99437247091790981,0.84958807658816826,0.80752973416419827,0.8367088245549501,0.48689750444357599,-0.91134246607267499,0.86046376191407647,0.72697649859437363,-0.81533571366403801,0.085054725165248563,-0.89345654951174702,0.85434664115352854,0.77002907137136656,0.7395350407017004,-0.99518565886442079,-0.82809026440006206,0.92795666436426061,0.86567137537450334,-0.92069872878424031,0.59679785107794636,0.38530434950238918
CM,-0.33465321819030952,-0.91639295844080881,0.73580810211913927,0.98389164098602011,0.94096653743915759,0.91788747108382596,-0.93519341821463364,0.80531988044419089,0.93695154774082279,-0.9369515477408219,0.93071675980751545,0.94805507924415044,0.95372628261017867,1,0.96159745779935069,0.95460671088950477,0.9207202180351215,0.94705299609793092,0.68821455493708028,-0.94667252940131652,0.9409737113598553,0.75881523863624278,-0.92002306452657878,0.12561130996906361,-0.85016761087113335,0.95654140712644586,0.91616925103627633,0.89490467648389715,-0.95458945147384999,-0.90990771224124189,0.94093952506660217,0.94739153247938579,-0.97803369645986138,0.77777483086042898,0.11790531749440564
