,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,0.9843072754984876,0.9761066029114587,0.9784306248390812,0.9631098988057162,0.9541349775230699,0.932845740526793,0.9571687751864691,0.9519986319516642,0.9519986319516642,0.9519986319516641,0.9600325065256465,0.9607870840257401,0.964706212730161,0.9992622444693997,0.9700205768909289,0.8492398942219903,0.9703080719153306,0.6875580695522547
F1v,0.9843072754984876,1.0,0.9932669519314927,0.9610371008102367,0.9833623468601009,0.988447522853006,0.9810523756490551,0.9895872821886201,0.9877190338559031,0.987719033855903,0.987719033855903,0.9903641856883999,0.9904502572073629,0.9925035850359845,0.9862890604793794,0.9926320524594685,0.7650184355930736,0.9923848192463346,0.5891521677895206
F2,0.9761066029114587,0.9932669519314927,1.0,0.9767338276385227,0.9957415613264265,0.9939017226770034,0.9814008097460345,0.9952340400471227,0.9928468676474188,0.9928468676474188,0.9928468676474186,0.9963994634953823,0.996790222339777,0.9956415404116757,0.9753876484682806,0.9967520531063753,0.7252504111765384,0.9968260950314349,0.5302757401062167
F3,0.9784306248390812,0.9610371008102367,0.9767338276385227,1.0,0.9736972692398846,0.9503852753388516,0.9181243454864861,0.953979648004769,0.9475026916376994,0.9475026916376992,0.9475026916376993,0.957794549881133,0.9591612162613906,0.957581627547897,0.9724239717403692,0.9653447512862283,0.7816692287884286,0.9662839821375426,0.5890831306945095
F4,0.9631098988057162,0.9833623468601009,0.9957415613264265,0.9736972692398846,1.0,0.9942631768250827,0.9794990845225742,0.9950221435552392,0.9934449634902247,0.9934449634902247,0.9934449634902244,0.995894443261285,0.9961790819023306,0.9953755423990672,0.9626839969337185,0.9970658911819901,0.7028240157767451,0.9973285803711389,0.5035451361281714
N3,0.9541349775230699,0.988447522853006,0.9939017226770034,0.9503852753388516,0.9942631768250827,1.0,0.9953518582975976,0.9999168058645194,0.9999554104219694,0.9999554104219694,0.9999554104219691,0.9996664658941974,0.999517874966082,0.9989300701700365,0.9560629272304992,0.9973470711898015,0.6774846624830654,0.997135174076923,0.4821230577174874
N4,0.932845740526793,0.9810523756490551,0.9814008097460345,0.9181243454864861,0.9794990845225742,0.9953518582975976,1.0,0.9943911719006618,0.9960637955055273,0.9960637955055273,0.9960637955055273,0.9930381766500447,0.9924893456954831,0.9920009320597952,0.9369941580366682,0.9873956811606945,0.6405077481416159,0.9867692641304765,0.44947007382734305
kDN,0.9571687751864691,0.9895872821886201,0.9952340400471227,0.953979648004769,0.9950221435552392,0.9999168058645194,0.9943911719006618,1.0,0.9997536610538333,0.9997536610538333,0.9997536610538331,0.9999132868146164,0.9998301445436752,0.9991534761987345,0.9587897845141871,0.9978680713847744,0.6831480493522373,0.9976876849018711,0.48764816060324767
CM,0.9519986319516642,0.9877190338559031,0.9928468676474188,0.9475026916376994,0.9934449634902247,0.9999554104219694,0.9960637955055273,0.9997536610538333,1.0,1.0,1.0,0.9993801166088577,0.9991808682544091,0.9986629203540259,0.954165354101951,0.9968294209534437,0.6735894241721747,0.9965874822198607,0.47849940296815263
R,0.9519986319516642,0.987719033855903,0.9928468676474188,0.9475026916376992,0.9934449634902247,0.9999554104219694,0.9960637955055273,0.9997536610538333,1.0,1.0,1.0,0.9993801166088577,0.9991808682544091,0.9986629203540259,0.954165354101951,0.9968294209534437,0.6735894241721747,0.9965874822198607,0.4784994029681525
