,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,0.9872212538772962,0.9933083399160216,0.9772253220501448,0.9833270099234328,0.9787521417336572,0.9617063854862091,0.9809795302754906,0.9770972539706491,0.9770972539706491,0.9770972539706491,0.9830338945165733,0.9837053983629824,0.9785394441717803,0.998769265342687,0.9811023356205775,0.9669941515047299,0.9813742648023214,
F1v,0.9872212538772962,1.0,0.9938579438794526,0.9403270253087395,0.9836581430764002,0.9950455308012802,0.9923021674134285,0.995538209582018,0.9947790451392855,0.9947790451392855,0.9947790451392855,0.9955827975432581,0.9954844380973014,0.9940028767696782,0.9937203744090604,0.9921988364864667,0.9186865766191246,0.9917761486516217,
F2,0.9933083399160216,0.9938579438794526,1.0,0.9697171980541885,0.9948520213212366,0.9938890513875339,0.981117730248017,0.9952180822624644,0.9928071518007797,0.9928071518007797,0.9928071518007798,0.9963872062580407,0.9968368152625671,0.9940596630629583,0.9967401130921594,0.9954962963429408,0.9511052247569168,0.9956043598381441,
F3,0.9772253220501448,0.9403270253087395,0.9697171980541885,1.0,0.9698028159298276,0.941266920854808,0.9051069830501467,0.9450509857920225,0.9380856686551015,0.9380856686551015,0.9380856686551016,0.9492394952793348,0.9509288697678291,0.9433626116220815,0.9697930122942999,0.9521837171673769,0.996588139364975,0.9534858184266172,
F4,0.9833270099234328,0.9836581430764002,0.9948520213212366,0.9698028159298276,1.0,0.9928212997152787,0.9758883987787261,0.9936225839780854,0.9919043096752199,0.9919043096752199,0.9919043096752199,0.9946341415964347,0.9949886448990902,0.9940088374942694,0.9877188047158894,0.996982583309688,0.9479266407744761,0.9973741158765319,
N3,0.9787521417336572,0.9950455308012802,0.9938890513875339,0.941266920854808,0.9928212997152787,1.0,0.9949308009425964,0.9999173210248802,0.9999531321028783,0.9999531321028783,0.9999531321028783,0.9996662739649143,0.9994943607957436,0.9999188664546346,0.9872989197957711,0.999089240189295,0.914644591125675,0.9988544247506357,
N4,0.9617063854862091,0.9923021674134285,0.981117730248017,0.9051069830501467,0.9758883987787261,0.9949308009425964,1.0,0.9940056257542504,0.9956664270488657,0.9956664270488657,0.9956664270488657,0.9926170933481481,0.9919916564967021,0.9938984118796521,0.9740961130079095,0.9898870763793303,0.8738629336421517,0.989133011446088,
kDN,0.9809795302754906,0.995538209582018,0.9952180822624644,0.9450509857920225,0.9936225839780854,0.9999173210248802,0.9940056257542504,1.0,0.9997498718303017,0.9997498718303017,0.9997498718303017,0.9999116804549862,0.9998143784085269,0.9998643461850231,0.9889603322680479,0.9992809472764513,0.9193057454213236,0.9990829345583816,
CM,0.9770972539706491,0.9947790451392855,0.9928071518007797,0.9380856686551015,0.9919043096752199,0.9999531321028783,0.9956664270488657,0.9997498718303017,1.0,0.9999999999999999,1.0,0.999371405494471,0.9991405798764766,0.9998215779017652,0.9860697831718863,0.9987549093397907,0.9108545508662604,0.9984833421384571,
R,0.9770972539706491,0.9947790451392855,0.9928071518007797,0.9380856686551015,0.9919043096752199,0.9999531321028783,0.9956664270488657,0.9997498718303017,0.9999999999999999,1.0,1.0,0.9993714054944709,0.9991405798764766,0.9998215779017652,0.9860697831718863,0.9987549093397907,0.9108545508662604,0.9984833421384571,
D3,0.9770972539706491,0.9947790451392855,0.9928071518007798,0.9380856686551016,0.9919043096752199,0.9999531321028783,0.9956664270488657,0.9997498718303017,1.0,1.0,1.0,0.999371405494471,0.9991405798764768,0.9998215779017653,0.9860697831718863,0.9987549093397908,0.9108545508662604,0.9984833421384574,
D. Over.,0.9830338945165733,0.9955827975432581,0.9963872062580407,0.9492394952793348,0.9946341415964347,0.9996662739649143,0.9926170933481481,0.9999116804549862,0.999371405494471,0.9993714054944709,0.999371405494471,1.0,0.9999797499288503,0.9996830691304998,0.9904007591459026,0.9994445347202889,0.9243827877886353,0.999300434472674,
Borderline,0.9837053983629824,0.9954844380973014,0.9968368152625671,0.9509288697678291,0.9949886448990902,0.9994943607957436,0.9919916564967021,0.9998143784085269,0.9991405798764766,0.9991405798764766,0.9991405798764768,0.9999797499288503,1.0,0.999550455828154,0.9908399788924754,0.9994524902587495,0.9263852199511545,0.9993301216010301,
