,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,0.9975076804990317,0.9675376157326424,0.9746448168530296,0.905633994012159,0.9190565788742954,0.8865786138959261,0.9295806389188068,0.9218387279655617,0.9218387279655618,0.9218387279655618,0.9381820260444232,0.9335459901211353,0.9388141595963029,0.9995841295831357,0.9447610886096788,0.9597746613588934,0.9441117252197315,0.8865920335798096
F1v,0.9975076804990317,1.0,0.9817303402707097,0.9852789703141314,0.9329543271239883,0.9435989788605985,0.9166394705320066,0.9524259518628375,0.9454931190318463,0.9454931190318462,0.9454931190318463,0.9594809698575623,0.9543702140614965,0.9596997045558623,0.9967526966318446,0.9644173060524153,0.9408787632116566,0.9638268564322408,0.8575013980970501
F2,0.9675376157326424,0.9817303402707097,1.0,0.9981038763059361,0.9768993322654806,0.9832278253184984,0.960506225103844,0.989067502911237,0.984713107682029,0.984713107682029,0.9847131076820292,0.9929981334985934,0.9906119155243999,0.9886207763104632,0.9640846594580603,0.9906460457426058,0.8632954689583914,0.9903850616125937,0.7490056007109777
F3,0.9746448168530296,0.9852789703141314,0.9981038763059361,1.0,0.9634204874749374,0.9728308950811921,0.9419385687645662,0.9803419808442438,0.9757946420374876,0.9757946420374877,0.9757946420374877,0.9855781142452965,0.9851231425687487,0.9802539649432266,0.9707581952230564,0.9832748971751412,0.8781206918687153,0.9830389724264331,0.7674681684017566
F4,0.905633994012159,0.9329543271239883,0.9768993322654806,0.9634204874749374,1.0,0.9977359734985518,0.9944049084960367,0.9965756887661895,0.9957021149727305,0.9957021149727308,0.9957021149727309,0.9945676469600565,0.990955006086851,0.9943020579503772,0.9036390102942929,0.9926895819908276,0.7727044266576736,0.9926430979835263,0.644470337721967
N3,0.9190565788742954,0.9435989788605985,0.9832278253184984,0.9728308950811921,0.9977359734985518,1.0,0.9865874042112666,0.9991866778512813,0.9992934347189714,0.9992934347189715,0.9992934347189716,0.9974825305635463,0.9956753316738578,0.9981309297475017,0.9167861667314369,0.9963868251073918,0.7918386647889452,0.996359894351351,0.6657299889802676
N4,0.8865786138959261,0.9166394705320066,0.960506225103844,0.9419385687645662,0.9944049084960367,0.9865874042112666,1.0,0.9839815492852231,0.981266945057786,0.9812669450577862,0.981266945057786,0.9813192667666835,0.9732313898234782,0.9821775136529808,0.8854562457195262,0.9804305099127217,0.7514913470889357,0.9802993181867571,0.6252543054803176
kDN,0.9295806389188068,0.9524259518628375,0.989067502911237,0.9803419808442438,0.9965756887661895,0.9991866778512813,0.9839815492852231,1.0,0.999273215121479,0.999273215121479,0.9992732151214793,0.999500992364435,0.997586495159867,0.9984648756289132,0.9269874513420405,0.9974441558293722,0.8054879100703309,0.997348931243977,0.680619130273337
CM,0.9218387279655617,0.9454931190318463,0.984713107682029,0.9757946420374876,0.9957021149727305,0.9992934347189714,0.981266945057786,0.999273215121479,1.0,1.0,1.0,0.9978967341660051,0.9966414451299522,0.9976952201043932,0.9193087234298065,0.995702741432629,0.7958397879633606,0.9956102706045812,0.6697824289402939
R,0.9218387279655618,0.9454931190318462,0.984713107682029,0.9757946420374877,0.9957021149727308,0.9992934347189715,0.9812669450577862,0.999273215121479,1.0,1.0,1.0,0.9978967341660051,0.9966414451299522,0.9976952201043932,0.9193087234298066,0.995702741432629,0.7958397879633606,0.9956102706045813,0.6697824289402939
D3,0.9218387279655618,0.9454931190318463,0.9847131076820292,0.9757946420374877,0.9957021149727309,0.9992934347189716,0.981266945057786,0.9992732151214793,1.0,1.0,1.0,0.9978967341660051,0.9966414451299523,0.9976952201043932,0.9193087234298065,0.9957027414326292,0.7958397879633607,0.9956102706045811,0.6697824289402939
D. Over.,0.9381820260444232,0.9594809698575623,0.9929981334985934,0.9855781142452965,0.9945676469600565,0.9974825305635463,0.9813192667666835,0.999500992364435,0.9978967341660051,0.9978967341660051,0.9978967341660051,1.0,0.997987266526228,0.9978784841073364,0.9353757536872764,0.9975993604263625,0.8173193398666654,0.9974699687537135,0.6940108432876965
Borderline,0.9335459901211353,0.9543702140614965,0.9906119155243999,0.9851231425687487,0.990955006086851,0.9956753316738578,0.9732313898234782,0.997586495159867,0.9966414451299522,0.9966414451299522,0.9966414451299523,0.997987266526228,1.0,0.9958913849772524,0.9304305972683988,0.9965080186150078,0.8119837732720264,0.996644561495772,0.6870179255910132
N1,0.9388141595963029,0.9596997045558623,0.9886207763104632,0.9802539649432266,0.9943020579503772,0.9981309297475017,0.9821775136529808,0.9984648756289132,0.9976952201043932,0.9976952201043932,0.9976952201043932,0.9978784841073364,0.9958913849772524,1.0,0.9375126825733199,0.9993709757088801,0.8268264751047505,0.9992743578995836,0.7095419462370147
N2,0.9995841295831357,0.9967526966318446,0.9640846594580603,0.9707581952230564,0.9036390102942929,0.9167861667314369,0.8854562457195262,0.9269874513420405,0.9193087234298065,0.9193087234298066,0.9193087234298065,0.9353757536872764,0.9304305972683988,0.9375126825733199,1.0,0.943524611011095,0.9648875508787937,0.9428547833695496,0.8954318263201658
ONB,0.9447610886096788,0.9644173060524153,0.9906460457426058,0.9832748971751412,0.9926895819908276,0.9963868251073918,0.9804305099127217,0.9974441558293722,0.995702741432629,0.995702741432629,0.9957027414326292,0.9975993604263625,0.9965080186150078,0.9993709757088801,0.943524611011095,1.0,0.8363754093446178,0.9999870678110993,0.7209663629909404
LSC,0.9597746613588934,0.9408787632116566,0.8632954689583914,0.8781206918687153,0.7727044266576736,0.7918386647889452,0.7514913470889357,0.8054879100703309,0.7958397879633606,0.7958397879633606,0.7958397879633607,0.8173193398666654,0.8119837732720264,0.8268264751047505,0.9648875508787937,0.8363754093446178,1.0,0.8354107423213486,0.9805180328945636
