,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,0.998130074592004,0.9948803801560812,0.9948954257917945,0.9648061181168112,0.9665949676945754,0.9436242120177885,0.9752562698883709,0.9679716935454946,0.9679716935454947,0.9679716935454956,0.9809875183759014,0.9766256802166124,0.9655584968876455,0.9992505535206545,0.9681653834155058,0.9967746838743112,0.9676781753882029,0.0
F1v,0.998130074592004,1.0,0.9974737353459137,0.9938892225172066,0.9784855416374629,0.9780272334358152,0.9620812867045324,0.9848654932042608,0.977805197283504,0.9778051972835039,0.9778051972835047,0.9892566148110099,0.98384063869036,0.9771802841798489,0.9996783885051377,0.9795267749038682,0.9930425435802076,0.979053102391291,0.0
F2,0.9948803801560812,0.9974737353459137,1.0,0.9977034576441617,0.9816794557805374,0.9823863757577821,0.9604485341993462,0.9894247384889505,0.9835464632378563,0.9835464632378565,0.983546463237857,0.9935704540906233,0.9904980748997083,0.9820217337105567,0.9971926423789415,0.9842766561353982,0.9946283018405326,0.9838570852967906,0.0
F3,0.9948954257917945,0.9938892225172066,0.9977034576441617,1.0,0.969134790155642,0.972933645231641,0.9395440189169376,0.9819301285765644,0.9768660183502977,0.9768660183502982,0.9768660183502985,0.9871781205456206,0.9866762423139024,0.9724883285935259,0.9952126831415937,0.9748762504082572,0.998613077764147,0.9744662199769869,0.0
F4,0.9648061181168112,0.9784855416374629,0.9816794557805374,0.969134790155642,1.0,0.996602009563656,0.9905321809439129,0.9965901719860196,0.9931747413619676,0.9931747413619684,0.993174741361968,0.9954841279997875,0.9915593602761865,0.996608081089408,0.9743547876328018,0.997759326547533,0.9581103477491052,0.9975484885328468,0.0
N3,0.9665949676945754,0.9780272334358152,0.9823863757577821,0.972933645231641,0.996602009563656,1.0,0.9787469182965957,0.9987556702021371,0.9985740928379231,0.9985740928379238,0.9985740928379235,0.9964382633311792,0.9946552825438723,0.9999515468419113,0.9752000113581396,0.9987543522302945,0.9632771159669387,0.9985339654547984,0.0
N4,0.9436242120177885,0.9620812867045324,0.9604485341993462,0.9395440189169376,0.9905321809439129,0.9787469182965957,1.0,0.9768835797007698,0.968819737813465,0.9688197378134651,0.9688197378134653,0.975669547408111,0.9662963416355612,0.9789047779135701,0.9553502878533026,0.9820347976078496,0.9276292621691474,0.9819018823264422,0.0
kDN,0.9752562698883709,0.9848654932042608,0.9894247384889505,0.9819301285765644,0.9965901719860196,0.9987556702021371,0.9768835797007698,1.0,0.9986945995905268,0.9986945995905269,0.9986945995905273,0.9993559271392144,0.9973939991564416,0.9985826003022876,0.9825422755833677,0.9982515285209141,0.9731385330666645,0.9979390544879891,0.0
CM,0.9679716935454946,0.977805197283504,0.9835464632378563,0.9768660183502977,0.9931747413619676,0.9985740928379231,0.968819737813465,0.9986945995905268,1.0,0.9999999999999997,1.0000000000000002,0.9967665291508074,0.9957749724366362,0.9983157252038336,0.9756819395941995,0.9961948564192289,0.9673593955991671,0.995823305788846,0.0
R,0.9679716935454947,0.9778051972835039,0.9835464632378565,0.9768660183502982,0.9931747413619684,0.9985740928379238,0.9688197378134651,0.9986945995905269,0.9999999999999997,1.0,1.0000000000000002,0.9967665291508079,0.9957749724366364,0.9983157252038337,0.9756819395941989,0.9961948564192287,0.9673593955991668,0.9958233057888465,0.0
