,F1,F1v,F2,F3,F4,IN,Raug,deg_overlap,N3,SI,N4,kDN,D3,CM,Borderline,N1,T1,Clust,N2,ONB,LSCAvg,DBC,NSG,ICSV,MRCA,C1,Purity,C2,NeighbourhoodSeparability,IR,Silhouette,Bhattacharyya,Wasserstein,SVM_SVR,TwoNN_ID
F1,1.0,0.7668165045254315,0.671471225327411,0.9739443205712285,0.7520286788686583,0.978001562300424,0.6655595331096177,0.8158611561694261,0.7470466944375507,0.894684767170841,0.8729816190047616,0.7927167451168585,0.7678993803319946,0.7402560956937287,0.7718114164254164,0.817715285600897,0.9203917922870262,0.8501883735043057,0.9044137218613894,0.8187938939919961,0.9489512910120598,0.892708962117598,0.43075741759773556,0.3423808712921024,0.8782920062127487,0.7480025619109452,0.909908586525624,0.7889881062925426,0.9201920238665207,0.7109977697706815,0.4511125895365996,0.9848463092141272,0.5989993915462343,0.896628589319948,0.8948869650146981
F1v,0.7668165045254315,1.0,0.9534254276910309,0.7725283061989145,0.8966246492673035,0.7194709373731886,0.43013329018807167,0.5880589051302461,0.4935782468429668,0.6234358718396427,0.925600929397349,0.5400845904496921,0.5212554706195933,0.46952352715734436,0.5469706690321456,0.5734139245471481,0.6128885108729488,0.5761372034921122,0.5242477184271424,0.543706286402806,0.6577842049138157,0.6979948971863013,0.3755773507332858,0.04022833966558348,0.7614971769348863,0.5702891161362248,0.684282652722785,0.385108001333089,0.5899852136987639,0.433328709609452,0.21593051498727134,0.7340050714437234,0.2813070059503202,0.6205648764954542,0.4723411695794226
F2,0.671471225327411,0.9534254276910309,1.0,0.7222558681344333,0.9226061148679001,0.6527978546101135,0.31944185076533604,0.4912806364376441,0.41149197962370776,0.5506495716150809,0.8397794177829196,0.4504790565184954,0.42543438992919547,0.3912555810780445,0.4670491022034329,0.4769099071163827,0.5254913781544912,0.4730205499654353,0.4052237628087667,0.42475108613204127,0.5772729930561633,0.6291249426911679,0.4170051227752176,5.444553636824168e-07,0.6928641213030219,0.49095226014740123,0.6042161858738564,0.28874287419857314,0.5049668233918472,0.29831168046468215,0.19121949321619125,0.6884380874336216,0.21694495251974044,0.4877997884276334,0.3602703459230957
F3,0.9739443205712285,0.7725283061989145,0.7222558681344333,1.0,0.8146865648641866,0.9555308454773599,0.6997051449796465,0.8386946676079465,0.7880709266600768,0.8507329428342837,0.8646293031290536,0.8260679378430461,0.8054085718158293,0.7871868777371944,0.7984018184025314,0.8447725814480778,0.8805391517877507,0.8654368708825259,0.8714240061335368,0.8382409053173973,0.9197927745888457,0.8887924309880489,0.43285544858444314,0.38351978245666274,0.8792291275560028,0.7834643032647011,0.8558881258831051,0.7509376955741831,0.8711600614992432,0.6834840020286254,0.38484955073146687,0.9765998392062315,0.5411830687656544,0.8649617927743081,0.8807120518983902
F4,0.7520286788686583,0.8966246492673035,0.9226061148679001,0.8146865648641866,1.0,0.7136914506192238,0.6079412096491382,0.624261672125993,0.619082969256639,0.6113927993592289,0.8336418952949245,0.598379873397087,0.6078786500844231,0.5541436297634332,0.5608798155045156,0.6302873077885705,0.6189572098044599,0.6320051204258457,0.5630077178921159,0.6521054225627295,0.67067121410141,0.7168469599128394,0.38369786943120254,0.0,0.7748296287673644,0.6935249033047474,0.631918001572121,0.47075467001400206,0.6235643731610796,0.5691089670302553,0.21602381215298283,0.7958023466648858,0.2941197250041294,0.5524967996883233,0.4815475225130834
IN,0.978001562300424,0.7194709373731886,0.6527978546101135,0.9555308454773599,0.7136914506192238,1.0,0.611389989963297,0.761906782486627,0.6888316635938264,0.9082112819509215,0.8118282675769569,0.7411424091863164,0.725256349224204,0.6900781986662456,0.7323703405391242,0.761371721398303,0.9211018530902366,0.7978302472622993,0.8876821234353309,0.7593563019563941,0.950078774144444,0.8835225655985033,0.4867569891521908,0.37984867375357845,0.8763481810068934,0.6687429818062862,0.910404289490365,0.7552514628337033,0.9279684798997743,0.680378328794515,0.5125359018293922,0.9849775675297384,0.6300717712458294,0.8501515170340208,0.8843680721762692
Raug,0.6655595331096177,0.43013329018807167,0.31944185076533604,0.6997051449796465,0.6079412096491382,0.611389989963297,1.0,0.7821059719612864,0.8653909689081359,0.5046812433994599,0.5135909440051407,0.8004790001334193,0.8845887050609927,0.795884832011985,0.6918215560340598,0.8167561627141723,0.59879431051146,0.8262027185004157,0.7743517175192475,0.9472178932932492,0.62493175239927,0.613698337335239,0.0815700368125104,0.27410837816662204,0.6531524402740058,0.8492790150438221,0.43823176458385005,0.6780304040484255,0.5930765074246621,0.8887524111058601,0.1758290440913184,0.6602947156620627,0.32584163297934476,0.6227040291931443,0.6748459629201711
deg_overlap,0.8158611561694261,0.5880589051302461,0.4912806364376441,0.8386946676079465,0.624261672125993,0.761906782486627,0.7821059719612864,1.0,0.9482310764144416,0.6383937527308305,0.7067110948243908,0.991887431025605,0.9351685220370803,0.9629342587600584,0.9843232599384575,0.9887453847151445,0.7355473914180344,0.9781425171110688,0.9007751237162742,0.9230566922185712,0.7686500253670911,0.7066582127545482,0.1234925618938768,0.6341339913439963,0.7986415797201665,0.9719506100243809,0.6798138001434013,0.8027882155951125,0.7113031932415763,0.6049075938276723,0.2192724903283495,0.795333585319275,0.40129069467421274,0.9288814751358657,0.7815029675100998
N3,0.7470466944375507,0.4935782468429668,0.41149197962370776,0.7880709266600768,0.619082969256639,0.6888316635938264,0.8653909689081359,0.9482310764144416,1.0,0.5685606327989325,0.6280260192490789,0.971954627844321,0.97449823830815,0.9789219497611694,0.9072277768768588,0.9777569627915351,0.6757438695446613,0.9725053588671845,0.8686430631102434,0.9539310110362574,0.7065679272544143,0.6682118788420705,0.10104478168134257,0.5573996891356772,0.6903907477520302,0.9945779843014046,0.536890751219581,0.7971686649615444,0.6510568239477849,0.6451835954533741,0.2066164798425607,0.7313703629766718,0.3736096623502021,0.8128093813851047,0.751056010915952
SI,0.894684767170841,0.6234358718396427,0.5506495716150809,0.8507329428342837,0.6113927993592289,0.9082112819509215,0.5046812433994599,0.6383937527308305,0.5685606327989325,1.0,0.7441028621302713,0.6100054203717827,0.583843076249475,0.5536190612110381,0.5988410872507727,0.6421123249219572,0.9877762045712045,0.6893330955264343,0.816061412068987,0.6552949398871597,0.9787538971667215,0.9624216224751356,0.733522093943764,0.23877510105018662,0.8340213102989068,0.5644496218006249,0.9767650134885373,0.7103935627055106,0.9727920136043017,0.6688533377062827,0.7781892078219892,0.8965952040897659,0.8807568474767276,0.7933205227070815,0.8646491023667084
