,F1,F1v,F2,F3,F4,IN,Raug,deg_overlap,N3,SI,N4,kDN,D3,CM,Borderline,N1,T1,Clust,N2,ONB,LSCAvg,DBC,NSG,ICSV,MRCA,C1,Purity,C2,NeighbourhoodSeparability,IR,Silhouette,Bhattacharyya,Wasserstein,SVM_SVR,TwoNN_ID
F1,1.0,3.359884689187979,3.811764253709453,1.866713612894433,3.606569487269102,2.0329410385285307,4.017297757230381,3.38795812986544,3.75907592138244,6.470652843205449,3.0509139907505154,3.489212920502883,3.593652536222807,3.688405601314376,3.5922955318058643,3.4343766710443604,5.026508205295979,3.3748270819268917,3.523455904066678,3.511455472412809,2.6702002528206377,5.357458982598261,6.932707329632523,4.478703365703627,3.794162476650085,3.572233798531036,4.523532297405053,4.065599327953675,4.314108944229142,4.607286182724411,7.277165666122093,1.578497753272613,7.408180569142547,3.36827978473852,4.04770498158751
F1v,3.359884689187979,1.0,1.3556005777219797,3.428209091962426,2.214652753953628,3.9501475195603093,5.020749615243412,4.584176211676032,4.9269658833469,5.63249564441338,1.8115477029052667,4.7846705916187044,4.818623395472713,4.997994615146078,4.700540490016778,4.684518439329938,6.211632685370195,4.783620551128018,5.468206496642592,4.8722373421804965,4.541049053716063,3.9820462206102305,5.585819276069291,5.50295940946517,3.5381383837099274,4.393840915210508,4.312625886364498,5.6328243638564555,5.989467311899014,5.3513341817729625,6.484439163221805,3.702700395944375,6.854734420427327,4.710800797770893,5.988133376463973
F2,3.811764253709453,1.3556005777219797,1.0,3.399632258570741,1.782932559213221,4.002189161806767,5.304046266804335,4.848308185726812,5.093164875792114,5.482670111177354,2.530584626289239,4.994040562699293,5.055539362067778,5.1438670428476065,4.877006712472101,4.934722979674204,6.492586603405662,5.053523058478878,5.766566524031381,5.207292374660157,4.701873351130552,3.968706901970594,5.152817794950759,5.52001290860142,3.731149361673106,4.600829369551988,4.544179085751447,5.781437107872574,6.157726371697135,5.693004140197364,6.2764474975697855,3.6575133826128003,6.745367205250087,5.174611094414726,6.206415950525681
F3,1.866713612894433,3.428209091962426,3.399632258570741,1.0,2.9497623661435424,2.51616786896813,3.7449775546977957,3.1666413785843037,3.3563662292763383,6.688408311023882,3.247005676644815,3.1523118283000406,3.2296350166647048,3.2402319654180984,3.355517246597735,3.1407725812741534,5.413082266431324,3.1859178632964924,3.8993470831483767,3.2999628991017036,2.754134750126473,4.5541684724903915,6.5325245546667015,4.2514427597176985,3.5670495652264815,3.258681514731783,5.052079975848523,4.339237380936962,4.846460702361932,4.7485499258031485,7.25115847718292,1.5662291542174667,7.337042959611182,3.7742057778432914,3.990401147084532
F4,3.606569487269102,2.214652753953628,1.782932559213221,2.9497623661435424,1.0,4.06659888163914,4.167841249474364,4.391090174250618,4.284936329515135,6.135089294541795,2.931806066826581,4.4840016752541745,4.37327713033134,4.594244958624077,4.641470930691246,4.37228712411749,6.174851713764515,4.463950772959184,5.235969669050625,4.259740352548972,4.2662418390203465,3.6864325392153177,5.566167430729179,5.644886365223232,3.4987647435318205,3.7406396855418134,5.354337556749224,5.2771903215684075,5.687372950023971,4.677359414046169,6.505490062086459,3.106057371238363,6.817623028702256,5.192413766651868,5.959334868552674
IN,2.0329410385285307,3.9501475195603093,4.002189161806767,2.51616786896813,4.06659888163914,1.0,4.573297156346036,4.120919123693769,4.435943653037821,6.026807107173207,4.022697109248402,4.154505111909552,4.119288924260444,4.2721072249564696,4.083099860814003,4.19868187774548,5.403214121659694,4.152235678417054,3.8732276631393536,4.31343995225175,2.965711123918676,5.760601688200689,6.583727868131972,4.173191163529442,3.87323334889031,4.42375982899399,4.72867573959211,4.49224008207441,4.2790509248960475,4.9532680955302135,6.883047534434917,1.6045888581483814,7.201724853513327,4.19747009190491,4.2983779120536605
Raug,4.017297757230381,5.020749615243412,5.304046266804335,3.7449775546977957,4.167841249474364,4.573297156346036,1.0,3.138323339967694,2.4230431396944603,7.080173863908965,4.914037428719336,2.9864950845023466,2.23581931772397,2.9885442812645695,3.7238804868662747,2.8564507030054522,4.158499724157797,2.743755646760411,3.0317729303700953,1.2835771880881728,3.6120075087334094,4.485429569072845,6.54964121705238,4.685257978017369,3.8642154965212065,2.415562448803781,6.244331198319378,3.6725322364461848,4.0846916417737935,2.171366588413468,6.398085385944041,3.6686466115891894,6.272460543197215,4.379295859363437,3.9729355067407437
deg_overlap,3.38795812986544,4.584176211676032,4.848308185726812,3.1666413785843037,4.391090174250618,4.120919123693769,3.138323339967694,1.0,1.5972605766949832,7.3108657934704295,4.233986636046797,0.6442638923650224,1.8252571216838671,1.284176132782776,0.8654557097704166,0.7992530420397166,3.7274737737856825,1.0815508352092065,2.3056096324584927,2.1053585344047976,2.6649334297938543,5.021165560341714,6.931624531663381,3.049266056444902,3.4245703206262434,1.107719125565657,5.037548024314008,3.2678369455672467,4.505010628955916,4.685856062773492,6.807849646376317,3.3310756431789743,6.6516798532598775,1.926034997467763,3.867875989226457
N3,3.75907592138244,4.9269658833469,5.093164875792114,3.3563662292763383,4.284936329515135,4.435943653037821,2.4230431396944603,1.5972605766949832,1.0,7.4833147735478835,4.541052270311228,1.1703453771324572,1.1193234517319037,0.9986422813098325,2.143264555137265,0.9838397676767243,3.9941364173993907,0.9488468979241804,2.3723962866859662,1.4810856965349082,3.167491017554338,4.753987101951023,6.763381714233736,3.526609787664166,3.958077110143444,0.45296306332180863,5.938815739956054,3.052307627321194,4.235203532947933,4.268628760553236,6.585877125672902,3.5176770531981085,6.442638088717124,3.1606148250998443,3.761972535613428
SI,6.470652843205449,5.63249564441338,5.482670111177354,6.688408311023882,6.135089294541795,6.026807107173207,7.080173863908965,7.3108657934704295,7.4833147735478835,1.0,5.948011792044569,7.391230729602797,7.399129341375442,7.416381435307942,7.169826849143029,7.418359610556624,6.328259972473,7.422916513359131,7.097304830632445,7.335283577307676,6.779896802585759,5.779239278182148,3.202603282888585,6.289914419572919,6.027738016052002,7.1968621261815295,4.090289428249573,6.5332547897810365,5.836355972223193,6.146446819470395,3.5533396242884567,6.294914467203146,3.8068903921457165,6.783105035848928,6.468969210105292
N4,3.0509139907505154,1.8115477029052667,2.530584626289239,3.247005676644815,2.931806066826581,4.022697109248402,4.914037428719336,4.233986636046797,4.541052270311228,5.948011792044569,1.0,4.381521623202779,4.445714306754168,4.545202413663933,4.394912694772989,4.269079753664228,5.909395886639422,4.2686933393746775,5.185110734587084,4.5318442576151625,3.928568322274339,4.382079799457584,6.110868876348727,5.385908324424872,3.0982990650303215,3.999164407978719,4.115058936701656,5.4084939775373595,5.906115691367748,5.483188406934068,6.887235358451491,3.791284786285224,6.844321992619971,4.107597412778608,5.521163259561572
kDN,3.489212920502883,4.7846705916187044,4.994040562699293,3.1523118283000406,4.4840016752541745,4.154505111909552,2.9864950845023466,0.6442638923650224,1.1703453771324572,7.391230729602797,4.381521623202779,1.0,1.4174167820149426,0.6662807484309698,1.0933129332883027,0.3394462627450752,3.7960307795381447,0.6642401436480454,2.2561559850676924,1.9042031367759682,2.8133275291923896,4.9665800305673935,6.870265805567289,2.8986865222080844,3.6388683256445065,0.4920420839645682,5.4033524491763085,3.092138603124163,4.417041863074436,4.68229966682936,6.748542977133427,3.385649685291114,6.606613897864357,2.259017598603914,3.578973240318568
D3,3.593652536222807,4.818623395472713,5.055539362067778,3.2296350166647048,4.37327713033134,4.119288924260444,2.23581931772397,1.8252571216838671,1.1193234517319037,7.399129341375442,4.445714306754168,1.4174167820149426,1.0,1.3653209829190036,2.3678521305425004,1.3123680637331805,3.943100167414279,1.090246704346078,2.313817736643462,1.285454315583697,2.918056838186923,4.755896651469175,6.790186468683677,3.7653357988519267,3.6183466627180225,1.0709232996716358,5.828324362191445,3.2093304703761905,4.312027003687423,4.10658075043302,6.606378061111466,3.3898264446138393,6.549852463143955,3.276066259427014,3.425342827150122
CM,3.688405601314376,4.997994615146078,5.1438670428476065,3.2402319654180984,4.594244958624077,4.2721072249564696,2.9885442812645695,1.284176132782776,0.9986422813098325,7.416381435307942,4.545202413663933,0.6662807484309698,1.3653209829190036,1.0,1.5113515793763115,0.6606045274937296,3.9775459933127038,0.8382202022332188,2.466608902404391,1.9757410999083385,3.097833820402775,4.870452142458725,6.735461965350339,2.718564536388964,3.916244113114353,0.47089385672452944,5.758650798948311,3.10272607766567,4.420529225727857,4.750376031611015,6.6579161133325595,3.5389254628233657,6.50649657961188,2.6542001161459345,3.410904460548458
Borderline,3.5922955318058643,4.700540490016778,4.877006712472101,3.355517246597735,4.641470930691246,4.083099860814003,3.7238804868662747,0.8654557097704166,2.143264555137265,7.169826849143029,4.394912694772989,1.0933129332883027,2.3678521305425004,1.5113515793763115,1.0,1.320525372839514,3.882323823231942,1.6463796374421256,2.6535327460447675,2.787027981883894,2.9109585286917468,5.17150316324285,6.778037010338371,2.3499941779055913,3.4242910488782425,1.4254885105191142,4.8545904937146975,3.4495086495461615,4.7289997021670995,5.153230875541982,6.703654811547939,3.4963019949472605,6.582089937891139,1.7532699848145847,3.968387816522731
N1,3.4343766710443604,4.684518439329938,4.934722979674204,3.1407725812741534,4.37228712411749,4.19868187774548,2.8564507030054522,0.7992530420397166,0.9838397676767243,7.418359610556624,4.269079753664228,0.3394462627450752,1.3123680637331805,0.6606045274937296,1.320525372839514,1.0,3.8568193263511428,0.5211550462114578,2.307055820189739,1.7562899748826348,2.905635295879998,4.8629065214247555,6.864160447913444,3.030034188574211,3.713182917878304,0.43160266505849787,5.496285809643612,3.1414784786680268,4.434929202307944,4.589058211116771,6.752956891116335,3.401609478976848,6.630837529260892,2.37392429569449,3.6345419348779133
T1,5.026508205295979,6.211632685370195,6.492586603405662,5.413082266431324,6.174851713764515,5.403214121659694,4.158499724157797,3.7274737737856825,3.9941364173993907,6.328259972473,5.909395886639422,3.7960307795381447,3.943100167414279,3.9775459933127038,3.882323823231942,3.8568193263511428,1.0,3.714357422110528,2.8867863297342886,3.7714906647309308,3.9444525717182595,6.162772264322658,6.77262097166712,4.413926342947857,5.207034768239926,3.9090999542738287,4.724036529356356,2.922987972667413,3.519112384485041,4.400192376262561,5.4448578754548835,4.94737052002229,5.379204847730581,3.585701950273878,3.8467367997155195
Clust,3.3748270819268917,4.783620551128018,5.053523058478878,3.1859178632964924,4.463950772959184,4.152235678417054,2.743755646760411,1.0815508352092065,0.9488468979241804,7.422916513359131,4.2686933393746775,0.6642401436480454,1.090246704346078,0.8382202022332188,1.6463796374421256,0.5211550462114578,3.714357422110528,1.0,2.0662215279298963,1.565955524358163,2.7466185296194943,5.072155001818827,6.979705043166485,3.3640034866953696,3.6991376452820814,0.5704365294877358,5.487813106985777,2.9437380034314438,4.242571641547081,4.476734263329706,6.7677565173020975,3.3395301885821693,6.619405813250042,2.465886867748029,3.4852023028047734
N2,3.523455904066678,5.468206496642592,5.766566524031381,3.8993470831483767,5.235969669050625,3.8732276631393536,3.0317729303700953,2.3056096324584927,2.3723962866859662,7.097304830632445,5.185110734587084,2.2561559850676924,2.313817736643462,2.466608902404391,2.6535327460447675,2.307055820189739,2.8867863297342886,2.0662215279298963,1.0,2.284618815289017,2.897213477650575,6.061546690935428,7.245805470203213,3.9265933475938173,4.422712504061061,2.3296997196044043,5.323527143146236,1.6517962315108878,2.573495051730398,4.01625467604707,6.439627268330772,3.1981733538481847,6.3968693255507185,2.8431443983263813,3.1961706716808447
ONB,3.511455472412809,4.8722373421804965,5.207292374660157,3.2999628991017036,4.259740352548972,4.31343995225175,1.2835771880881728,2.1053585344047976,1.4810856965349082,7.335283577307676,4.5318442576151625,1.9042031367759682,1.285454315583697,1.9757410999083385,2.787027981883894,1.7562899748826348,3.7714906647309308,1.565955524358163,2.284618815289017,1.0,3.0050228895756677,4.759025887654424,6.8960829391494425,4.215639123340576,3.7184139078506218,1.4542804105133502,5.881547045975873,3.147615480396987,4.017996625865259,3.176161010869649,6.697620928347427,3.355398242895196,6.534440691531062,3.4286288060397188,3.5058781333803632
LSCAvg,2.6702002528206377,4.541049053716063,4.701873351130552,2.754134750126473,4.2662418390203465,2.965711123918676,3.6120075087334094,2.6649334297938543,3.167491017554338,6.779896802585759,3.928568322274339,2.8133275291923896,2.918056838186923,3.097833820402775,2.9109585286917468,2.905635295879998,3.9444525717182595,2.7466185296194943,2.897213477650575,3.0050228895756677,1.0,5.658831406596273,7.159768740723771,4.11497055582888,2.7402685309405683,3.0226354374569993,4.4439649370902385,3.9076000125309127,4.410146653036799,4.537668947148287,7.116919654872547,2.4276900996000763,6.928699198869179,3.019299306280135,4.07071149517899
DBC,5.357458982598261,3.9820462206102305,3.968706901970594,4.5541684724903915,3.6864325392153177,5.760601688200689,4.485429569072845,5.021165560341714,4.753987101951023,5.779239278182148,4.382079799457584,4.9665800305673935,4.755896651469175,4.870452142458725,5.17150316324285,4.8629065214247555,6.162772264322658,5.072155001818827,6.061546690935428,4.759025887654424,5.658831406596273,1.0,4.088562481073531,5.23173424417524,4.699877936468155,4.561263705767007,5.881955427983862,5.973392755995717,6.346025319074038,4.925434231472372,5.478372397560351,5.289407791950846,5.610006155096434,5.664249017781668,5.557988794123983
NSG,6.932707329632523,5.585819276069291,5.152817794950759,6.5325245546667015,5.566167430729179,6.583727868131972,6.54964121705238,6.931624531663381,6.763381714233736,3.202603282888585,6.110868876348727,6.870265805567289,6.790186468683677,6.735461965350339,6.778037010338371,6.864160447913444,6.77262097166712,6.979705043166485,7.245805470203213,6.8960829391494425,7.159768740723771,4.088562481073531,1.0,5.700197533748075,6.047841306406014,6.551142682739686,5.649115020159441,6.690951586769646,6.49452922973245,6.18405408977302,2.9316850971343738,6.5923143746680175,3.4408439006576583,7.022862568319511,6.533402403934882
ICSV,4.478703365703627,5.50295940946517,5.52001290860142,4.2514427597176985,5.644886365223232,4.173191163529442,4.685257978017369,3.049266056444902,3.526609787664166,6.289914419572919,5.385908324424872,2.8986865222080844,3.7653357988519267,2.718564536388964,2.3499941779055913,3.030034188574211,4.413926342947857,3.3640034866953696,3.9265933475938173,4.215639123340576,4.11497055582888,5.23173424417524,5.700197533748075,1.0,5.103232162904025,3.516042577450536,4.987952251850908,3.5708463389473435,4.253873213339773,5.412277127335069,5.8268352945048205,4.181720777842993,5.722632559184766,3.1490752375895514,3.8139746679775035
