,F1,F1v,F2,F3,F4,IN,Raug,deg_overlap,N3,SI,N4,kDN,D3,CM,Borderline,N1,T1,Clust,N2,ONB,LSCAvg,DBC,NSG,ICSV,MRCA,C1,Purity,C2,NeighbourhoodSeparability,IR,Silhouette,Bhattacharyya,Wasserstein,SVM_SVR,TwoNN_ID
F1,1.0,11.310566459944193,12.780872403406155,5.4610189554517925,11.40228152489436,6.443361743924905,12.69930146802602,10.204534589908848,11.214035448199308,19.612298541893267,10.646232288892872,10.638685089718916,11.065142693624907,11.772975486388424,10.951302132782601,10.455257564405974,12.833221419097045,10.094234953363749,10.641738564309758,10.886347233653094,7.6119630568398495,14.449780943875213,19.999885548464114,13.346953110053299,12.201122089670251,10.241351485364486,13.644568216614305,12.789467823330346,13.20448471503837,13.934391685260401,23.39564070221065,3.9393229772384046,22.77989592970562,9.327542751788215,12.545195624399478
F1v,11.310566459944193,1.0,3.670434245382129,10.996129013543708,6.306144370475257,13.237576793254874,12.925385575048196,12.269197095664653,13.697015986972275,16.833671295587504,5.928609057724013,12.948276606463324,13.621306932062375,13.055725528804807,11.803106498251616,12.923602798514949,18.26434786628015,13.48154482961463,16.505606472608406,13.694488385048086,13.719818647019618,10.892405207774804,15.865856286275573,12.289136986658193,9.26183683470503,11.602159171052472,12.493628467245117,16.087661110693677,17.518753141485146,13.473337390136264,19.400319703788313,12.346880253210188,19.81416488129909,12.220736436257997,16.23052813969503
F2,12.780872403406155,3.670434245382129,1.0,10.662254010623542,5.07679625813782,13.57650347295482,13.324618877207644,13.406207456454652,14.537611500609849,16.367424419201562,7.28834580642785,13.823788690438722,14.419381466087586,13.878369349827612,12.360245958826086,14.090415997844442,19.61805815299618,14.675170521363324,17.598934152658394,14.737377704168784,13.174367187454102,11.805986702461324,13.591711102880874,11.478268467461831,9.428389432729691,12.678683700726843,12.241479450310809,17.072792187560864,18.823788789426814,13.958932115994381,17.772763971999655,11.768581146473549,18.641820088002614,13.926761113978039,17.308425530844534
F3,5.4610189554517925,10.996129013543708,10.662254010623542,1.0,8.19061327324291,6.778821832193088,10.575986191118856,8.87449223793327,9.410029521134343,21.75066568175955,10.21923061791182,8.782958107721182,9.446613476460005,9.224050620908491,9.827964098514922,8.850695152851735,13.493497844083906,8.544539541997423,10.01973118289487,9.087697113262578,7.33375330017982,12.218023076948052,18.988316189526085,13.178487446068257,10.046886934974554,8.659974567523964,16.06023323505582,12.580270958430877,13.49675400786833,14.607567718743676,23.367182791997195,4.495644304247379,24.280263870657635,10.845943978481966,12.299515001334582
F4,11.40228152489436,6.306144370475257,5.07679625813782,8.19061327324291,1.0,13.155637341158677,10.823248617017851,10.877360338239345,11.388141977338451,18.581236235884884,9.094216236628826,11.322991442730592,11.414953486737765,11.612148857992675,10.924985063871347,11.4383165410277,17.841425545009358,11.820269160181288,15.49672391246965,11.518486284991628,11.698309434167966,10.823670687155563,15.661628680477662,14.155609901410454,9.689460270714774,9.642484341745645,15.911358627305042,15.233345322629422,16.804029359666437,12.91222992714516,20.020985216401257,9.297157548414571,20.883751622447825,14.453598509817656,15.700032359960705
IN,6.443361743924905,13.237576793254874,13.57650347295482,6.778821832193088,13.155637341158677,1.0,14.417207554287891,11.975926676276604,12.770464925906818,17.63030607471135,13.209609636933283,12.411688869043381,12.692066464620968,13.390247370409256,12.447536420939478,12.573668999503091,12.966052090480977,12.007078255812745,10.726965023016149,13.500020368119486,8.004091012440458,16.276732063036768,17.462666387674354,12.52094063898809,12.085480960709553,12.630667189112291,14.639128128297312,12.609225642401647,13.046035159784081,14.931851678601033,19.95644379796998,4.00473361556195,21.95362022537726,12.613567187585938,13.227520481285987
Raug,12.69930146802602,12.925385575048196,13.324618877207644,10.575986191118856,10.823248617017851,14.417207554287891,1.0,7.473757442303673,5.4953892056422,23.261996095461285,14.076679954393999,6.8907547067634045,6.095184618689348,6.023622471968879,7.830551854458795,6.800438056692164,12.793022846781778,7.064614166992861,9.430786622167524,3.896123180884539,10.648049397043941,13.224381790566147,19.67937422423932,10.56232075386301,10.837989198362678,5.717743942521307,15.918359752290899,10.391010638302642,11.10440877992456,6.1828134511104675,19.92403429325024,10.795455339146208,20.2904076712691,11.265551851716786,9.692187881261011
deg_overlap,10.204534589908848,12.269197095664653,13.406207456454652,8.87449223793327,10.877360338239345,11.975926676276604,7.473757442303673,1.0,4.119993027472686,23.244243040537437,12.679365237415112,1.574366848114647,5.539754822860235,3.3256436792341866,2.4602615774320293,2.0099818262033224,11.411407122877062,2.9190424730702764,7.071896479935683,4.669724207507153,7.99996159883545,15.260034785044029,21.962404819550724,9.39989665674129,10.258713579157279,2.456946833730579,14.20026905166395,8.197846784560204,11.23773114139962,12.542818771186964,22.036499787506195,9.797949507317004,21.33407721070595,5.355422990005021,9.344709143626718
N3,11.214035448199308,13.697015986972275,14.537611500609849,9.410029521134343,11.388141977338451,12.770464925906818,5.4953892056422,4.119993027472686,1.0,23.681921323377686,14.629165246818165,2.954018579259536,2.950806017542992,2.536153920221306,5.3854339590236435,2.7856691678725474,11.067877399643619,3.105410400425647,6.889075396836342,3.6244327110998853,8.954470356430056,14.421891424464757,20.788567668201292,10.115188614163309,11.631044713357,1.1126484839194188,15.77394281690929,7.8261367750127615,9.669723102957965,10.919120733990118,20.71413157405743,10.069946641736287,20.60330448835567,8.965409960831668,8.048417008042188
SI,19.612298541893267,16.833671295587504,16.367424419201562,21.75066568175955,18.581236235884884,17.63030607471135,23.261996095461285,23.244243040537437,23.681921323377686,1.0,17.571836462108987,23.132852234854518,23.57363028526689,23.533868433106193,22.1167099852384,23.228172311579563,19.38549109042872,23.383910411099805,23.064594671692923,24.222966205774046,21.10979559537141,16.82324169139884,10.069887679722648,16.56880457228299,16.376128900010936,20.674805259179934,12.497767482379508,21.200807016544154,19.95011686005835,18.901669886873076,11.15813891853688,18.151727223163192,10.87377825139788,21.45141755298652,21.763129873707015
