,F1,F1v,F2,F3,F4,IN,Raug,deg_overlap,N3,SI,N4,kDN,D3,CM,Borderline,N1,T1,Clust,N2,ONB,LSCAvg,DBC,NSG,ICSV,MRCA,C1,Purity,C2,NeighbourhoodSeparability,IR,Silhouette,Bhattacharyya,Wasserstein,SVM_SVR,TwoNN_ID
F1,1.0,0.5968276741200069,0.48108761693367186,0.8755492959798076,0.5354520190535531,0.8523982404952335,0.4236185260625625,0.5900621325099524,0.4953338649029557,-0.4953338649029559,0.6675687078943844,0.5651926141212764,0.538773623174978,0.5141308614354548,0.5391218861488437,0.5787520314780805,0.09765054507472136,0.5932336488247436,0.5566163747177738,0.5596314451879333,0.7453582360655929,-0.02508452679367129,-0.7165153899407324,0.22850831392442328,0.44632042695309593,0.5091979111012509,0.21298675208974474,0.36426546555933165,0.2841716929739273,0.24188978680274004,-0.8913264332923644,0.9041671093428201,-0.9600406908936143,0.5948104032757794,0.4148601565011303
F1v,0.5968276741200069,1.0,0.9343695383457081,0.5802636579209342,0.8248326135502003,0.4427262347754118,0.09971690360832598,0.24947601643941364,0.13303597086913213,-0.13303597086913233,0.8827962471463803,0.18239026177496848,0.17074530616439337,0.10785892239181431,0.21088996791831513,0.21626024969920693,-0.3780135934985478,0.18274908652948865,-0.06790293892586638,0.15218940290935445,0.2635311961337301,0.43368956774727774,-0.11433489231811628,-0.16471393316235544,0.518522183758404,0.25746776968546486,0.2846637678561087,-0.22033501207903441,-0.379758410781031,-0.022742054464703954,-0.5017125450544537,0.47269268376436036,-0.6781208562353986,0.20744128013289687,-0.2806336190829226
F2,0.48108761693367186,0.9343695383457081,1.0,0.5872321609459001,0.8864696960463354,0.42794578261130173,-0.00474667144289298,0.16049670486479953,0.07355969814276778,-0.07355969814276787,0.7712907660424482,0.10926995921836152,0.08719720566369021,0.055022565910936155,0.15052876880364557,0.13030389692411948,-0.5054886000972378,0.08792516776508172,-0.18761748128854872,0.03157521874307791,0.21044239249744118,0.4374773402232489,0.051731027572814,-0.17194394273562724,0.46455863234178374,0.18586035047184082,0.20578601679304415,-0.2855775012417694,-0.45836900264209096,-0.15751057643944066,-0.4069211853482149,0.4854844560003183,-0.6249992404879774,0.04369285791285819,-0.37569996253355714
F3,0.8755492959798076,0.5802636579209342,0.5872321609459001,1.0,0.6892464994029732,0.7738892591132993,0.4991122541003472,0.6418707992656325,0.5976716333919048,-0.597671633391905,0.6234626477084411,0.6451046477557021,0.6274806306833276,0.6250320289386704,0.5978751431351842,0.6476981283113032,-0.04648070082690263,0.6374974060117256,0.45696758304079466,0.6110801737340101,0.7290979206480639,0.2592696258633761,-0.5240670377615491,0.3048167100324602,0.5106214384314451,0.5915767225209758,0.018326458370399708,0.27580842122612836,0.09660841001774984,0.194688342934104,-0.877832116472204,0.9056510090953555,-0.9225785496850005,0.49126324094622564,0.43131066733380186
F4,0.5354520190535531,0.8248326135502003,0.8864696960463354,0.6892464994029732,1.0,0.40938476913754607,0.3796106899707131,0.31136882434284574,0.3442614518571914,-0.3442614518571914,0.693018328089959,0.28191889201134834,0.3169445407614599,0.2461754735770449,0.23059812855529077,0.31725376086701457,-0.36174263167787757,0.28832655344989655,0.0208793437422101,0.35195043317378416,0.34997073467829626,0.5146505404933752,-0.10650785238965274,-0.22556700293396692,0.5291786642084121,0.46183133626729406,-0.10265117967750942,-0.07110529577135682,-0.24408504125632213,0.21865388970834548,-0.5114786052823457,0.6289387540990705,-0.6599994200532617,0.037101402710148335,-0.2683454312695615
IN,0.8523982404952335,0.4427262347754118,0.42794578261130173,0.7738892591132993,0.40938476913754607,1.0,0.2530340399913306,0.3935009134276779,0.2972287109669098,-0.29722871096691006,0.4220681416873053,0.3835745455399072,0.393980669945187,0.348182137802669,0.4045819830935953,0.37039537462470307,-0.04266867301795481,0.3842478168171596,0.4642181239104309,0.3355084206542293,0.6858770546237508,-0.18516185036073673,-0.5480525943434844,0.3301721351015304,0.4230024394247677,0.24732111443765634,0.1399856057612694,0.2238376555770804,0.295758583928703,0.12375482763580287,-0.6920122629032354,0.9009728690886956,-0.8523157452039842,0.3707587438415635,0.34014097589890047
Raug,0.4236185260625625,0.09971690360832598,-0.00474667144289298,0.4991122541003472,0.3796106899707131,0.2530340399913306,1.0,0.6482473790647862,0.7903164979707002,-0.7903164979707002,0.1375798624694806,0.6814588253658329,0.8214682849461543,0.681021538532887,0.5047397899834498,0.7085960493321306,0.3823885730064117,0.7311358911025128,0.6717268892383972,0.9411582000792733,0.5340500627447669,0.28146148503167817,-0.532064288289692,0.15570606459325356,0.4256860998632834,0.7755791559972722,-0.49967969670402773,0.48125026816398403,0.3582805458316658,0.8316131120972019,-0.4619820216368109,0.48234738612596784,-0.4051343309273531,0.31506313486293763,0.43627798068852386
deg_overlap,0.5900621325099524,0.24947601643941364,0.16049670486479953,0.6418707992656325,0.31136882434284574,0.3935009134276779,0.6482473790647862,1.0,0.9088842375048575,-0.9088842375048577,0.35976275592061163,0.9851758584640955,0.8810155871336545,0.9411032735711099,0.9732495148009209,0.9771855205282236,0.5037835452049974,0.9582231353877952,0.8101487222398078,0.8416951943431744,0.7463617790988274,0.09956772912993853,-0.7159792374270568,0.6423837121928061,0.5489353122725334,0.9528060899560022,0.023965765489616667,0.5892785268148357,0.21941843203823913,0.21581260567746086,-0.6552434574166481,0.5732282715161456,-0.5801730310808335,0.8675138995903341,0.4656976904273379
N3,0.4953338649029557,0.13303597086913213,0.07355969814276778,0.5976716333919048,0.3442614518571914,0.2972287109669098,0.7903164979707002,0.9088842375048575,1.0,-1.0,0.2635301527964729,0.9510818463651672,0.955254107514392,0.964382628356439,0.835943465953295,0.9654306896977787,0.43024550997157013,0.967846055867845,0.7989905663899513,0.9216566128399893,0.6416785947754495,0.19284309408868996,-0.6336904361582592,0.521654746367358,0.39744713808302007,0.9921086332025433,-0.35652047665960707,0.6416699287768024,0.3101173474809746,0.3492431608777765,-0.5490634826593417,0.5240749288232105,-0.4824137693638797,0.6432326402628243,0.4945558086175098
SI,-0.4953338649029559,-0.13303597086913233,-0.07355969814276787,-0.597671633391905,-0.3442614518571914,-0.29722871096691006,-0.7903164979707002,-0.9088842375048577,-1.0,1.0,-0.26353015279647307,-0.9510818463651676,-0.9552541075143921,-0.9643826283564392,-0.8359434659532954,-0.965430689697779,-0.4302455099715702,-0.9678460558678451,-0.7989905663899516,-0.9216566128399895,-0.6416785947754498,-0.19284309408868985,0.6336904361582594,-0.5216547463673584,-0.39744713808302007,-0.9921086332025429,0.3565204766596068,-0.6416699287768022,-0.3101173474809744,-0.3492431608777762,0.5490634826593418,-0.5240749288232104,0.48241376936387986,-0.6432326402628246,-0.4945558086175098
N4,0.6675687078943844,0.8827962471463803,0.7712907660424482,0.6234626477084411,0.693018328089959,0.4220681416873053,0.1375798624694806,0.35976275592061163,0.2635301527964729,-0.26353015279647307,1.0,0.3143667237645172,0.294129439382904,0.2621833935294128,0.31016937161868646,0.34910564488764906,-0.24717713375110412,0.34922347051350944,0.03980809535963534,0.26651384374001696,0.4487982477579494,0.3141920225423493,-0.33366851514026974,-0.1156926338118897,0.630790111678163,0.3848724629983161,0.3487034595181473,-0.12506950404068845,-0.3416231753777048,-0.07376268235486337,-0.6940718172394442,0.44715998728008466,-0.6730265549521932,0.3974158390905175,-0.08868727638330587
