,F1,F1v,F2,F3,F4,IN,Raug,deg_overlap,N3,SI,N4,kDN,D3,CM,Borderline,N1,T1,Clust,N2,ONB,LSCAvg,DBC,NSG,ICSV,MRCA,C1,Purity,C2,NeighbourhoodSeparability,IR,Silhouette,Bhattacharyya,Wasserstein,SVM_SVR,TwoNN_ID
F1,1.0,0.7582417582417583,0.510451353989447,0.9120879120879121,0.5417098291214407,0.7098901098901099,0.4356438279737522,0.5060509112826413,0.4569580959930881,-0.4569580959930881,0.7802197802197802,0.4928495831622247,0.5132171040038777,0.4884491404554191,0.5148517966962525,0.6087912087912088,0.04615384615384615,0.5956043956043956,0.44175824175824174,0.5692307692307692,0.5956043956043956,0.26402656240833466,-0.5956043956043956,0.06043956043956044,0.38461538461538464,0.4401654783045835,-0.08241758241758242,0.23076923076923078,0.0934065934065934,0.10445089222939638,-0.7802197802197802,0.8791208791208791,-0.9736263736263736,0.48571428571428577,0.3318681318681319
F1v,0.7582417582417583,1.0,0.6622666273742395,0.6791208791208792,0.7529991400650731,0.3626373626373627,0.3344336457172239,0.3168318748900016,0.2450355007499168,-0.2450355007499168,0.9164835164835166,0.29042921864916815,0.2797363614098389,0.2684270051151402,0.26402656240833466,0.4153846153846154,-0.27912087912087913,0.39780219780219783,0.15164835164835166,0.46373626373626364,0.3450549450549451,0.40044028631930756,-0.39780219780219783,-0.30769230769230765,0.5,0.3411282456860522,-0.12637362637362637,0.016483516483516484,-0.06043956043956044,0.044447188182721864,-0.6131868131868132,0.6263736263736264,-0.6923076923076923,0.2967032967032967,0.1032967032967033
F2,0.510451353989447,0.6622666273742395,1.0,0.5236526821098637,0.9518484619178704,0.3762378514318769,-0.003303964757709251,0.034140969162995596,-0.088398275746569,0.088398275746569,0.6402644138402115,-0.016519823788546256,-0.0650496536491708,-0.07599118942731278,0.007709251101321587,-0.0396039843612502,-0.532453567523475,0.013201328120416732,-0.1804181509790287,0.06600664060208367,0.3036305467695849,0.31387665198237885,-0.013201328120416732,-0.5969744299505915,0.5144434027684821,0.03994490358126722,-0.093535164139724,-0.22283377339169547,-0.27510342394036474,-0.14683716928631263,-0.38063829413868244,0.5659340659340659,-0.521452460756461,-0.013201328120416732,-0.2948296613559737
F3,0.9120879120879121,0.6791208791208792,0.5236526821098637,1.0,0.5641874153920399,0.7274725274725276,0.44004427068055774,0.532453567523475,0.5055236907363149,-0.5055236907363149,0.7054945054945055,0.5280531248166693,0.5374462376692968,0.5192522394030581,0.532453567523475,0.6,0.059340659340659345,0.6175824175824175,0.49890109890109896,0.5648351648351648,0.6615384615384616,0.23762390616750118,-0.6175824175824175,0.15934065934065936,0.39010989010989006,0.4621737522198128,-0.1868131868131868,0.24175824175824176,0.09890109890109891,0.0644484228649467,-0.7362637362637363,0.9560439560439561,-0.9472527472527472,0.4065934065934066,0.3934065934065934
F4,0.5417098291214407,0.7529991400650731,0.9518484619178704,0.5641874153920399,1.0,0.28096982838248996,0.13051350068850234,0.09901024190162247,0.011288522551337419,-0.011288522551337419,0.6720798294909159,0.05850605203277691,0.031538011427107,0.013501396622948516,0.04500465540982839,0.09665362096357655,-0.5012501738343621,0.09215810370945672,-0.12812224174241543,0.18656396604597333,0.2989518973989693,0.5220540027540094,-0.09215810370945672,-0.5708492783067323,0.5070129652115963,0.1771408734440713,-0.31479376411489224,-0.16714713138843834,-0.24793491155951686,-0.027274488337351376,-0.3978532769896058,0.6156586006140812,-0.5507008636296804,-0.03821189666001863,-0.2090415523165725
IN,0.7098901098901099,0.3626373626373627,0.3762378514318769,0.7274725274725276,0.28096982838248996,1.0,0.12321239579055618,0.198019921806251,0.18322474380399187,-0.18322474380399187,0.37142857142857144,0.18041815097902866,0.24669663368426736,0.18921903639263984,0.25962611970152905,0.1824175824175824,-0.02857142857142857,0.26593406593406593,0.3274725274725274,0.21318681318681318,0.5340659340659341,-0.12761283849736174,-0.26593406593406593,0.10989010989010989,0.3626373626373627,0.060522753266880246,0.15384615384615383,0.021978021978021976,0.15934065934065936,-0.1022285328202603,-0.44175824175824174,0.7307692307692307,-0.7846153846153847,0.1912087912087912,0.2835164835164835
Raug,0.4356438279737522,0.3344336457172239,-0.003303964757709251,0.44004427068055774,0.13051350068850234,0.12321239579055618,1.0,0.9118942731277533,0.9348117660199672,-0.9348117660199672,0.2948296613559737,0.9207048458149779,0.9437712461642408,0.9383259911894275,0.881057268722467,0.8668872132406987,0.5764579945915306,0.8998905335417405,0.8800885413611155,0.9526958460234074,0.6864690622616699,0.013215859030837005,-0.8998905335417405,0.6409909777810497,0.4099041016711435,0.9669421487603306,-0.15955998588541156,0.7730406212724249,0.5392027109231149,0.7174998044672094,-0.6644668487276423,0.5061903000502711,-0.40264050767271037,0.7040708330888924,0.7106714971491007
deg_overlap,0.5060509112826413,0.3168318748900016,0.034140969162995596,0.532453567523475,0.09901024190162247,0.198019921806251,0.9118942731277533,1.0,0.9701710763185949,-0.9701710763185949,0.3608363019580574,0.9955947136563877,0.9437712461642408,0.9779735682819384,0.9867841409691631,0.9108916403087545,0.5808584372983363,0.9394945179029907,0.8888894267747267,0.8866892054213238,0.7612765882773649,-0.04845814977973569,-0.9394945179029907,0.6024764984293989,0.3933978962347216,0.9834710743801653,0.005502068478807295,0.7840447582300395,0.4401654783045836,0.5217169120854592,-0.7964801299318095,0.5171944370078857,-0.4730475909815996,0.884488984067921,0.6094613148925725
N3,0.4569580959930881,0.2450355007499168,-0.088398275746569,0.5055236907363149,0.011288522551337419,0.18322474380399187,0.9348117660199672,0.9701710763185949,1.0,-1.0,0.2494505548174829,0.9834308176805802,0.9623917358272805,0.9878507314679085,0.943651593594624,0.9293688812226576,0.6247301505605988,0.9381989893577897,0.9337839352902236,0.8984635027496951,0.6909559615740898,-0.033149353404963375,-0.9381989893577897,0.7679675219526635,0.25967247145162003,0.9903266443780276,-0.13259870882635916,0.8453167687680397,0.5801193511153214,0.6339427852684311,-0.699786069709222,0.5414447277076332,-0.4304677715876917,0.7969172591956755,0.7395215563173165
SI,-0.4569580959930881,-0.2450355007499168,0.088398275746569,-0.5055236907363149,-0.011288522551337419,-0.18322474380399187,-0.9348117660199672,-0.9701710763185949,-1.0,1.0,-0.2494505548174829,-0.9834308176805802,-0.9623917358272805,-0.9878507314679085,-0.943651593594624,-0.9293688812226576,-0.6247301505605988,-0.9381989893577897,-0.9337839352902236,-0.8984635027496951,-0.6909559615740898,0.033149353404963375,0.9381989893577897,-0.7679675219526635,-0.25967247145162003,-0.9903266443780276,0.13259870882635916,-0.8453167687680397,-0.5801193511153214,-0.6339427852684311,0.699786069709222,-0.5414447277076332,0.4304677715876917,-0.7969172591956755,-0.7395215563173165
