,F1,F1v,F2,F3,F4,IN,Raug,deg_overlap,N3,SI,N4,kDN,D3,CM,Borderline,N1,T1,Clust,N2,ONB,LSCAvg,DBC,NSG,ICSV,MRCA,C1,Purity,C2,NeighbourhoodSeparability,IR,Silhouette,Bhattacharyya,Wasserstein,SVM_SVR,TwoNN_ID
F1,1.0,0.9802436478493619,0.9797350155362755,0.9960572979551047,0.9747332291145527,0.9901337638362777,0.687897466614668,0.6882795348999071,0.6865037202284817,0.7766355609785945,0.9854808013316614,0.6876159149029271,0.687897466614668,0.6878974666146681,0.6847286347663207,0.7881092245389574,0.7719759968455584,0.7975928327020098,0.8160274843376913,0.7964754067313045,0.841201389610891,0.7677324167410067,0.49305865732562104,0.3944844883627282,0.8284957901104482,0.688673996722226,0.8486696628296361,0.8366694249660077,0.7926688844639925,0.7807897761911177,0.29013251069174917,0.9915579760673623,0.2950968699896894,0.7915773620096014,0.7870862697997489
F1v,0.9802436478493619,1.0,0.9936578113524258,0.9698471049312044,0.980917308626744,0.9498444401119244,0.7025353907766408,0.7031770889403614,0.6966766349406385,0.6750559942037656,0.9546361874470844,0.7026439290279483,0.7025353907766408,0.7025353907766408,0.701861030603955,0.7978563817854872,0.6740184132368123,0.7713168507220951,0.7561451536395674,0.7751650653598545,0.7451844770350491,0.6863098876758577,0.40490730100007755,0.2750260668072183,0.7337634640263,0.7023106584376113,0.7668631302584019,0.792970548354057,0.6880041179971836,0.6807261593919178,0.18515012337884196,0.951005749703226,0.14832774919212954,0.7546858578143038,0.682517756247291
F2,0.9797350155362755,0.9936578113524258,1.0,0.9788628817053621,0.9957796424655334,0.9609138710060596,0.6211178788961992,0.6216491904161958,0.6167583939034107,0.6871724164182706,0.9482060972057831,0.6211375465706033,0.6211178788961992,0.6211178788961992,0.6200022035025619,0.7288862376190383,0.6775851166942333,0.7072480333215041,0.7059143605234734,0.7100176561709928,0.7453284781944117,0.7031230476002115,0.44417285348646607,0.29853345463418424,0.702711262475708,0.6211174095432942,0.7498745558850847,0.7433995064814257,0.7028808956523628,0.6909128405179127,0.2085618305191601,0.9606373546644968,0.16222069121499383,0.6924401113391568,0.6965351192773752
F3,0.9960572979551047,0.9698471049312044,0.9788628817053621,1.0,0.9799421073894042,0.9968750762496161,0.626602624911485,0.6267029853819157,0.6275875779129069,0.7818291900677481,0.9770543743569117,0.626179531191117,0.6266026249114851,0.6266026249114851,0.6229352709485946,0.7333951612599264,0.7695379533501119,0.7483431311677123,0.7803874444522927,0.7462261432628382,0.8376808037373976,0.7737179371734265,0.5170189555549656,0.40717700571931303,0.8089488126727864,0.6277132990324868,0.8325984188938359,0.8000254402561383,0.8013560005120621,0.7844765503077646,0.3008457861469751,0.9970486055788174,0.3055378973229955,0.7442257571695851,0.7947962342864432
F4,0.9747332291145527,0.980917308626744,0.9957796424655334,0.9799421073894042,1.0,0.9632764184300266,0.5610675599678567,0.5622521759291012,0.5540649156768865,0.6898065374726163,0.9474611847501052,0.561205258279437,0.5610675599678568,0.5610675599678568,0.5595200385177153,0.6766278038414038,0.6763330500275644,0.6654323745736653,0.6695380974576358,0.6663537590866937,0.7437158463604738,0.705233456748595,0.4538079352275599,0.3068897336665638,0.6847865317911607,0.5608690170245807,0.7349933204245491,0.7025467761170152,0.7068943771847174,0.6921497945306728,0.21479610097147672,0.9627686314040864,0.1674322614683047,0.6506811715519002,0.7002243895791794
IN,0.9901337638362777,0.9498444401119244,0.9609138710060596,0.9968750762496161,0.9632764184300266,1.0,0.6150338907820356,0.6145242178411328,0.6204183618368335,0.8143277021171741,0.9709847626374272,0.6143276848364861,0.6150338907820357,0.6150338907820357,0.6104387727846929,0.7217289925660445,0.7994851025203519,0.7473038428439309,0.7957804023102061,0.7438296295071426,0.8647595661122064,0.7995986740333041,0.5546057207982208,0.45431645016711386,0.8349437678515746,0.6167974750519827,0.855288285927836,0.8111144042792612,0.8353302636962496,0.8163839648103375,0.344620967996329,0.9998113823440502,0.36488623322337366,0.7485502409382176,0.8286368624582123
Raug,0.687897466614668,0.7025353907766408,0.6211178788961992,0.626602624911485,0.5610675599678567,0.6150338907820356,1.0,0.9998743964154693,0.9960812051669972,0.47111121855999616,0.7116579952861318,0.9999880233477323,0.9999999999999999,0.9999999999999998,0.9999166826837477,0.9834405407888079,0.5184793911110712,0.9635847898135068,0.9038216826515645,0.9693053707628986,0.5890751939132317,0.42752570611099716,0.10429551989559827,0.13921047211871795,0.7942332287860298,0.9999444490517961,0.7044762804621931,0.9111915544016449,0.46823582966233923,0.4861128063680016,0.06306288658144665,0.6244052922025953,0.14726617385093732,0.9520820673758216,0.4690585891376995
deg_overlap,0.6882795348999071,0.7031770889403614,0.6216491904161958,0.6267029853819157,0.5622521759291012,0.6145242178411328,0.9998743964154693,1.0,0.9945754092972037,0.46731004214280114,0.7142037938700848,0.9999356468496399,0.9998743964154693,0.9998743964154694,0.9998363085080265,0.9833219554232212,0.5153370902057566,0.9644170557583871,0.9021814566851802,0.9699572361683751,0.5868173459422702,0.42336228897378525,0.09682709905052134,0.13308150950701136,0.7932280802482405,0.9996665343603297,0.7020681330489925,0.9086550248731529,0.4642271487647984,0.48233228965322583,0.05655941979916834,0.6241162404730586,0.14073532667668665,0.9520883526743888,0.4651120634085002
N3,0.6865037202284817,0.6966766349406385,0.6167583939034107,0.6275875779129069,0.5540649156768865,0.6204183618368335,0.9960812051669972,0.9945754092972037,1.0,0.49838202813321586,0.6992052233735434,0.9956421292925537,0.9960812051669973,0.9960812051669973,0.9955574020631233,0.9801084884686802,0.5415613846422606,0.9579409307702891,0.9144779087407009,0.9642316755913323,0.6071996277992695,0.4553772001215841,0.1514136692160668,0.18076916815827848,0.8047494845020615,0.996929200383552,0.7217572509691366,0.9254616900635402,0.49701593852515846,0.5130860347862023,0.10556444091686512,0.6285579338325823,0.19281976651397303,0.9517043564478705,0.4974483415455675
SI,0.7766355609785945,0.6750559942037656,0.6871724164182706,0.7818291900677481,0.6898065374726163,0.8143277021171741,0.47111121855999616,0.46731004214280114,0.49838202813321586,1.0,0.7463701493654133,0.46911092682167954,0.47111121855999605,0.47111121855999616,0.46335129482111914,0.5947991480491562,0.9956784095281571,0.6509531390444392,0.7679724444609813,0.6439530292634779,0.9854008824606367,0.9884325819859933,0.8841758722107136,0.880617166043071,0.8228890640196902,0.4757770887509507,0.9561886062972561,0.783154599618018,0.9977489520508148,0.9998379641283033,0.812329156865645,0.8141214530912763,0.8266099550615483,0.6921958455808389,0.9987896171566868
