,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,0.986359181735091,0.9835946760820192,0.9920287528177723,0.9763707552064405,0.5689180605529791,0.9620683026395423,0.5894903182051906,0.5887168721632975,0.5887168721632975,0.5887168721632972,0.5917139027514821,0.5882501372151796,0.660500462301149,0.6117744342611201,0.6162506547074921,0.7358185680031546,0.6141843796394101,0.5957979312507186
F1v,0.986359181735091,1.0,0.9924690419481151,0.9695921443255846,0.9721804039971634,0.578208616440319,0.9125367928512972,0.6011968811434365,0.6002892726847712,0.6002892726847712,0.6002892726847706,0.6035834325846351,0.6002380239780631,0.675564797444792,0.5930946972681368,0.60765113414294,0.6532329746363783,0.600323338301744,0.4640358044107859
F2,0.9835946760820192,0.9924690419481151,1.0,0.9818422510801694,0.9920564116004958,0.569104741590069,0.9151850064619248,0.58776724286481,0.5871148568826378,0.5871148568826378,0.5871148568826379,0.5899174025953876,0.5861154845644276,0.6587455778107142,0.6027159994592293,0.5994051037972379,0.6696949813625657,0.5947920812985089,0.49389869057383023
F3,0.9920287528177723,0.9695921443255846,0.9818422510801694,1.0,0.9865265837470962,0.5560687609070216,0.9603307513854431,0.5713094808252033,0.5708505661113981,0.5708505661113981,0.5708505661113973,0.5732379221653708,0.5692228599225708,0.6372568593379205,0.6243207930389633,0.6044044413335092,0.7495370394940403,0.6053462215042013,0.6548015745825254
F4,0.9763707552064405,0.9721804039971634,0.9920564116004958,0.9865265837470962,1.0,0.550558575722376,0.9333287754952966,0.5661017300968616,0.5656205807321778,0.5656205807321778,0.5656205807321774,0.5680387175745782,0.5641029999283408,0.6339245435307802,0.5991887224020095,0.5922373970631585,0.7151665889018818,0.5921632318137521,0.5011537367572101
N3,0.5689180605529791,0.578208616440319,0.569104741590069,0.5560687609070216,0.550558575722376,1.0,0.6180950408298724,0.9940912531975902,0.9946354416831317,0.9946354416831317,0.9946354416831314,0.9924687483654212,0.9945909163283408,0.9816939942956978,0.9603390628104621,0.9732722531129014,0.8066765577515884,0.9665140730955408,0.3132166375598453
N4,0.9620683026395423,0.9125367928512972,0.9151850064619248,0.9603307513854431,0.9333287754952966,0.6180950408298724,1.0,0.6360067606220868,0.6353371718311288,0.6353371718311288,0.6353371718311286,0.6377213520235517,0.6353331218684531,0.6888568856393789,0.6603518198592919,0.6881567344444839,0.8649818361012098,0.6930853259626683,0.5843241379660868
kDN,0.5894903182051906,0.6011968811434365,0.58776724286481,0.5713094808252033,0.5661017300968616,0.9940912531975902,0.6360067606220868,1.0,0.9999866446033101,0.9999866446033101,0.9999866446033094,0.9998971610566535,0.9999350961920823,0.9948854665171912,0.9669122948367739,0.9886430252082616,0.822874604975577,0.9826911724705847,0.28957813437892793
CM,0.5887168721632975,0.6002892726847712,0.5871148568826378,0.5708505661113981,0.5656205807321778,0.9946354416831317,0.6353371718311288,0.9999866446033101,1.0,1.0,0.9999999999999997,0.9998146282723595,0.9999412807131005,0.9945193894644323,0.9670241668898356,0.988211547522011,0.822448324922748,0.982234255092885,0.2914069325358195
R,0.5887168721632975,0.6002892726847712,0.5871148568826378,0.5708505661113981,0.5656205807321778,0.9946354416831317,0.6353371718311288,0.9999866446033101,1.0,1.0,0.9999999999999997,0.9998146282723595,0.9999412807131005,0.9945193894644323,0.9670241668898356,0.988211547522011,0.822448324922748,0.982234255092885,0.2914069325358195
D3,0.5887168721632972,0.6002892726847706,0.5871148568826379,0.5708505661113973,0.5656205807321774,0.9946354416831314,0.6353371718311286,0.9999866446033094,0.9999999999999997,0.9999999999999997,1.0,0.9998146282723591,0.9999412807131001,0.9945193894644321,0.9670241668898353,0.988211547522011,0.8224483249227477,0.9822342550928848,0.2914069325358159
D. Over.,0.5917139027514821,0.6035834325846351,0.5899174025953876,0.5732379221653708,0.5680387175745782,0.9924687483654212,0.6377213520235517,0.9998971610566535,0.9998146282723595,0.9998146282723595,0.9998146282723591,1.0,0.9997262905657771,0.9956687694981181,0.9677154568757352,0.9898898911982035,0.8247793992846967,0.9841106769486401,0.2890030895815209
Borderline,0.5882501372151796,0.6002380239780631,0.5861154845644276,0.5692228599225708,0.5641029999283408,0.9945909163283408,0.6353331218684531,0.9999350961920823,0.9999412807131005,0.9999412807131005,0.9999412807131001,0.9997262905657771,1.0,0.9946202041305506,0.9643791774867233,0.9877166591917458,0.8206020667137665,0.9815246552747467,0.28200793452676826
N1,0.660500462301149,0.675564797444792,0.6587455778107142,0.6372568593379205,0.6339245435307802,0.9816939942956978,0.6888568856393789,0.9948854665171912,0.9945193894644323,0.9945193894644323,0.9945193894644321,0.9956687694981181,0.9946202041305506,1.0,0.959734911681384,0.9893471313377196,0.8339441924755233,0.9835919006187455,0.28219400456816934
N2,0.6117744342611201,0.5930946972681368,0.6027159994592293,0.6243207930389633,0.5991887224020095,0.9603390628104621,0.6603518198592919,0.9669122948367739,0.9670241668898356,0.9670241668898356,0.9670241668898353,0.9677154568757352,0.9643791774867233,0.959734911681384,1.0,0.9746516256153976,0.8741388692062266,0.9756114896968269,0.5400776021202571
ONB,0.6162506547074921,0.60765113414294,0.5994051037972379,0.6044044413335092,0.5922373970631585,0.9732722531129014,0.6881567344444839,0.9886430252082616,0.988211547522011,0.988211547522011,0.988211547522011,0.9898898911982035,0.9877166591917458,0.9893471313377196,0.9746516256153976,1.0,0.889473350112811,0.9992432038777277,0.3351713691925898
LSC,0.7358185680031546,0.6532329746363783,0.6696949813625657,0.7495370394940403,0.7151665889018818,0.8066765577515884,0.8649818361012098,0.822874604975577,0.822448324922748,0.822448324922748,0.8224483249227477,0.8247793992846967,0.8206020667137665,0.8339441924755233,0.8741388692062266,0.889473350112811,1.0,0.9029784624255602,0.5144407261128563
