,F1,F1v,F2,F3,F4,IN,Raug,deg_overlap,N3,SI,N4,kDN,D3,CM,Borderline,N1,T1,Clust,N2,ONB,LSCAvg,DBC,NSG,ICSV,MRCA,C1,Purity,C2,NeighbourhoodSeparability,IR,Silhouette,Bhattacharyya,Wasserstein,SVM_SVR,TwoNN_ID
F1,1.0,0.4408661726564426,0.5025138170114049,0.31970304775350933,0.608086512013852,0.47548565402606996,2.0888462787696045,2.0773266284516962,2.1641698395305577,3.913613280034996,0.5733358672938702,2.0849390364367304,2.0888462787696045,2.0888462787696045,2.0828730948668177,1.9226708797378231,3.40458058161545,2.00894053668745,2.1726691056678886,1.9984087028669157,1.736774938170134,3.2488282297938116,4.06401300114256,4.431981630847087,2.2054304414168056,2.09739777338642,2.0973672373468744,2.0786667613096808,2.7082178830045454,3.9849602450683714,4.387176567036717,0.4315812288103318,4.45254604729251,2.1383105108690166,2.9030301645963394
F1v,0.4408661726564426,1.0,0.34426343121117586,0.636961305799398,0.6004224253673197,0.8262601860521632,2.0507603483266386,2.0418231161228597,2.118520590518593,3.938511204446263,0.9147837063569599,2.0469508396714837,2.0507603483266386,2.0507603483266386,2.040178641785021,1.8467656514774595,3.3225536383619336,2.045362095442245,2.2598329077427617,2.0188036722203266,1.9473188634485294,2.9918279050166374,3.943637047995716,4.371090217188949,2.4306959783725204,2.059504263779252,2.123188567096499,2.086742030422026,2.9406599661467716,3.8228287475522738,4.293272660268819,0.8094451009025136,4.462185295682918,2.1740915004605825,3.13366958591766
F2,0.5025138170114049,0.34426343121117586,1.0,0.5050083459283509,0.2851490226930146,0.7017310942168776,2.3453110803600197,2.336930403904378,2.406682302892881,3.7693341975662253,1.0059002509919797,2.3417967013053564,2.3453110803600197,2.3453110803600197,2.335743301981923,2.1535779100095684,3.48617600852997,2.3283011861204934,2.5159151047785624,2.306453853604261,2.1436284626448283,2.889411551568858,3.840657150321692,4.337343189580068,2.6154774465643356,2.3533373722592783,2.4054252588445135,2.3658328856293864,2.7753601408088193,3.847921136410516,4.265065629202162,0.7066066330246795,4.462208406198409,2.4525358503395753,2.970264119470836
F3,0.31970304775350933,0.636961305799398,0.5050083459283509,1.0,0.4863525966221177,0.21802898662503128,2.34333021384026,2.3334408812828675,2.406767036758651,3.769280094497089,0.7289543752410289,2.340033355510836,2.34333021384026,2.34333021384026,2.338602981609531,2.1939066847047592,3.580328705498684,2.26103908451726,2.382899082102502,2.2542799488122305,1.9292783516150296,3.214913217579425,3.983953404306997,4.4053335995788,2.3423525941267185,2.35051005123309,2.3491767241642743,2.3099406058490572,2.48757787555202,4.046642149119046,4.371769431309511,0.20665386873196231,4.438028020737899,2.3819923119975863,2.688933720576141
F4,0.608086512013852,0.6004224253673197,0.2851490226930146,0.4863525966221177,1.0,0.6663698171537134,2.541317541148755,2.5310509549893627,2.609872134203758,3.6316067302375576,1.0160720050496201,2.537450979360052,2.541317541148754,2.541317541148755,2.532873317368044,2.3575806830531434,3.5454035940675586,2.491245833508818,2.674302616643932,2.476393380979083,2.1997500717425003,2.8754283175280095,3.809294773672251,4.314930565840633,2.7035854265620123,2.549943270844544,2.5671546345339955,2.5588002614300516,2.673144385321652,3.8500773315463412,4.252246463181786,0.675666792014681,4.452590158102952,2.6160831118456582,2.8593419467960866
IN,0.47548565402606996,0.8262601860521632,0.7017310942168776,0.21802898662503128,0.6663698171537134,1.0,2.386326021217065,2.377656778045994,2.440617434207057,3.7474506721029113,0.786935649175703,2.383619149083421,2.3863260212170645,2.386326021217065,2.3836261889763257,2.2601918617002927,3.6648221932426,2.294565821450113,2.3703864850541487,2.2922619857768693,1.9376571482102798,3.3150823952307227,3.9958815959616367,4.4073302444605,2.2729328130901556,2.3921337671219076,2.3857765941840214,2.323069641462565,2.3205702428912196,4.132070013678157,4.389451328332295,0.07565895719468797,4.406091033760846,2.407694850758642,2.5288686265057296
Raug,2.0888462787696045,2.0507603483266386,2.3453110803600197,2.34333021384026,2.541317541148755,2.386326021217065,1.0,0.038995941621464185,0.2140583773998087,4.4670100751022455,2.000694199605007,0.01109081717106061,5.661048867003676e-16,0.0,0.024173112656881587,0.29179968538257095,2.354005823910645,0.4433289354515661,0.6513537059826938,0.3702454626592942,1.4533597265738138,3.7298692977307986,4.211542041398853,4.098124278737463,1.4091461899637088,0.02334834520896892,0.4394782906249935,0.3442510058936362,3.6034760988704417,3.5766485615841153,4.046794050898847,2.3468257117200717,3.8848821346304736,0.4168426200209263,3.7246201177837186
deg_overlap,2.0773266284516962,2.0418231161228597,2.336930403904378,2.3334408812828675,2.5310509549893627,2.377656778045994,0.038995941621464185,1.0,0.2526761071299448,4.464992137158324,1.9807432535333764,0.02851918267327586,0.03899594162146418,0.038995941621464185,0.04475873327840924,0.27822442155509897,2.3377846732316043,0.41094235231014475,0.6506358755286582,0.3362920884695767,1.4220747118402448,3.7326686473439703,4.221040544529246,4.10421527260619,1.4003004606061418,0.06136588585226497,0.4066913963337285,0.36513425940059396,3.607612267679907,3.572677943527323,4.053110679526277,2.3371681449780257,3.892109213197417,0.3926932819662296,3.7280077429444725
N3,2.1641698395305577,2.118520590518593,2.406682302892881,2.406767036758651,2.609872134203758,2.440617434207057,0.2140583773998087,0.2526761071299448,1.0,4.47213595499958,2.1155442469889008,0.2250277853285657,0.21405837739980868,0.2140583773998087,0.22000140080783337,0.44227915474720275,2.449499361004107,0.6214167416720836,0.6659111699747868,0.5576843902973924,1.615830442324899,3.7282116971483754,4.160484229119728,4.06055087557339,1.4458695862144253,0.19139711818437585,0.619433210926474,0.2771622833725594,3.5693281689842875,3.6057211816769614,4.010665656385324,2.4064966111244233,3.8351145397739432,0.5606356788935417,3.6933113977270398
SI,3.913613280034996,3.938511204446263,3.7693341975662253,3.769280094497089,3.6316067302375576,3.7474506721029113,4.4670100751022455,4.464992137158324,4.47213595499958,1.0,3.9401107267476845,4.46647092186103,4.467010075102245,4.4670100751022455,4.466721323705184,4.450212258901377,3.741651090152644,4.428751656298832,4.422280216551504,4.437227526374845,4.170023019319693,2.469906383093502,1.6402350378058685,1.8740134969845264,4.23195712875971,4.468038399918997,4.429029520922312,4.4635390743977705,2.694419496309971,2.645519752337165,1.9785249537701763,3.7694527534705444,2.3004122384508596,4.436855602287681,2.5217951779277277
