,F1,F1v,F2,F3,F4,IN,Raug,deg_overlap,N3,SI,N4,kDN,D3,CM,Borderline,N1,T1,Clust,N2,ONB,LSCAvg,DBC,NSG,ICSV,MRCA,C1,Purity,C2,NeighbourhoodSeparability,IR,Silhouette,Bhattacharyya,Wasserstein,SVM_SVR,TwoNN_ID
F1,1.0,0.7107185303230522,1.0252681678079512,0.6545410609569058,1.17823366454533,1.0342566438619978,3.864441711650107,3.8141743184265167,4.111273240982191,7.459329608844413,1.071827104325827,3.852275739502312,3.8644417116501066,3.864441711650107,3.8742678396825534,3.6761020176967447,5.545938678432624,3.4815897134624896,3.8158541065919973,3.438924321393955,3.280876436243978,6.019630689712569,7.982903107095055,9.034246489469112,3.893390847068082,3.888214359131585,3.6326652040652574,3.7006372561236347,5.303832799438329,7.061918313937787,8.654127014175028,0.9242087808182087,9.531555443177199,3.7358404753578807,5.657236273872986
F1v,0.7107185303230522,1.0,0.5881405488575165,1.2309853902510666,1.1150819139118155,1.6107009731561586,3.579516505271453,3.5681616073054148,3.663040628036328,7.628242079898447,1.6516950687074412,3.5735540072561998,3.579516505271453,3.579516505271453,3.5565867847957264,3.167955949363822,5.750301800090359,3.5804132638876807,3.9146776570171884,3.5377478718191457,3.415150637272869,5.4778246304435525,7.441097047826039,9.203158960523147,4.49856980615859,3.593501957872166,3.7314887544904485,3.6049950973389535,5.979100679157681,6.884264717618285,8.823039485229064,1.5006531101123692,9.700467914231233,3.8346640257830718,6.332504153592339
F2,1.0252681678079512,0.5881405488575165,1.0,0.8493690517997126,0.552437119697013,1.29210270590084,4.015650284311566,4.004295386345529,4.0991744070764415,7.553226285650128,2.0363336268211842,4.009687786296313,4.015650284311566,4.015650284311566,3.9927205638358396,3.6268518320136875,5.705244074397935,4.016547042927794,4.350811436057301,3.973881650859259,3.876780170955696,5.529319851369923,7.492592268752408,9.128143166274828,4.857712609629619,4.0296357369122795,4.167622533530562,4.041128876379066,5.827093909340278,6.809248923369966,8.748023690980745,1.250117822409801,9.625452119982914,4.270797804823185,6.180497383774935
F3,0.6545410609569058,1.2309853902510666,0.8493690517997126,1.0,1.0479623567867613,0.44273365410112775,4.36707607525789,4.316808682034299,4.613907604589975,7.331383478247222,1.552166920734091,4.354910103110095,4.36707607525789,4.36707607525789,4.376902203290337,4.178736381304528,5.589680156094481,3.810022832521631,4.144287225651139,3.7673574404530967,3.7612162526522424,6.06588580366402,8.029158221046506,8.906300358871922,4.039847138613457,4.390848722739368,3.961098323124399,4.203271619731417,4.977724857540565,7.108173427889239,8.548783877825873,0.40074877061008857,9.403609312580008,4.064273594417022,5.331128331975224
F4,1.17823366454533,1.1150819139118155,0.552437119697013,1.0479623567867613,1.0,1.3904563939473553,4.3676286456640625,4.317361252440472,4.614460174996147,7.40745195991095,2.0707733463126914,4.355462673516268,4.3676286456640625,4.3676286456640625,4.37745477369651,4.179288951710701,5.746323148630321,4.237098299652464,4.571362692781973,4.19443290758393,3.9178592451880814,5.715431388603086,7.678703805985572,8.982368840535651,5.071624511613412,4.39140129314554,4.388173790255232,4.261680133103738,5.674680228860221,6.7577190128283045,8.602249365241565,1.428114466945632,9.479677794243736,4.491349061547856,6.028083703294879
IN,1.0342566438619978,1.6107009731561586,1.29210270590084,0.44273365410112775,1.3904563939473553,1.0,4.5280647311680315,4.477797337944441,4.774896260500116,7.168125790110653,1.7078757765330068,4.515898759020237,4.5280647311680315,4.5280647311680315,4.537890859200478,4.33972503721467,5.745389011893398,3.816246714496346,4.081269154455104,3.919799895182453,3.916925108451158,6.126634842633628,8.089907260016114,8.743042670735353,3.9768290674174214,4.551837378649509,3.9786101284176416,4.364260275641558,4.5349912034394375,7.168922466858845,8.60953291679548,0.16017404736672355,9.240351624443438,4.05555513125508,4.888394677874095
Raug,3.864441711650107,3.579516505271453,4.015650284311566,4.36707607525789,4.3676286456640625,4.5280647311680315,1.0,0.06553887776408746,0.3750523839359955,7.93363164839444,4.166646829434019,0.019507374704846037,1.1102230246251565e-15,0.0,0.04727682476759176,0.5484109801325131,4.6946901465590045,0.7127147752879137,1.264192843994655,0.6082648359855788,2.8916035118164922,7.16783444037725,7.502580286492225,7.191092459788894,2.4771470092914654,0.04102367560298642,0.704324746521781,0.6108466139834955,7.5084057961033075,5.271114635895704,6.810972984494807,4.510127935938215,7.688401413496979,0.7276571204245705,7.632069608069731
deg_overlap,3.8141743184265167,3.5681616073054148,4.004295386345529,4.316808682034299,4.317361252440472,4.477797337944441,0.06553887776408746,1.0,0.4405912617000829,7.937548234968897,4.116379436210428,0.04603150305924142,0.06553887776408746,0.06553887776408746,0.07416754652404595,0.5257011842004369,4.644422753335415,0.6738022800303609,1.2908192265011902,0.5579974427619879,2.8413361185929014,7.210663522209261,7.545409368324236,7.206363944329389,2.503773391798,0.10656255336707388,0.6625143567118309,0.6374729964900303,7.5236772806438035,5.21122215053332,6.826244469035305,4.459860542714624,7.703672898037476,0.6887446251670177,7.647341092610229
N3,4.111273240982191,3.663040628036328,4.0991744070764415,4.613907604589975,4.614460174996147,4.774896260500116,0.3750523839359955,0.4405912617000829,1.0,7.888934916555402,4.413478358766103,0.3945597586408415,0.3750523839359955,0.3750523839359955,0.3895733601954141,0.7553205828628375,4.94152167589109,0.9586495460037701,1.1263981902578992,0.8730220079537353,3.1384350411485764,6.959830301971004,7.294576148085978,7.0628716051849825,2.4328040641824185,0.334028708333009,0.9511562758538653,0.4571471673120844,7.380184941499397,5.601470287992663,6.682752129890897,4.7569594652703,7.560180558893067,0.8909645269917801,7.503848753465819
SI,7.459329608844413,7.628242079898447,7.553226285650128,7.331383478247222,7.40745195991095,7.168125790110653,7.93363164839444,7.937548234968897,7.888934916555402,1.0,7.089806736901533,7.935010552936236,7.933631648394439,7.93363164839444,7.935049032210578,7.928796273755978,7.188334964746095,7.884496689307569,7.728882382683381,7.906860559191475,7.193026806373338,4.593962351608969,3.1656686735041726,3.9139114780591235,7.136003692189556,7.9303660728736425,7.88649081195604,7.851321219935459,4.531565383589357,5.743977362280162,4.242269197394746,7.179705767047219,4.030381861690175,7.876211640151326,4.300058256808699
N4,1.071827104325827,1.6516950687074412,2.0363336268211842,1.552166920734091,2.0707733463126914,1.7078757765330068,4.166646829434019,4.116379436210428,4.413478358766103,7.089806736901533,1.0,4.154480857286225,4.166646829434019,4.166646829434019,4.176472957466466,3.978307135480657,4.902374416399322,3.454828812762334,3.5387171974890643,3.5583819934484406,2.2090493319181514,6.925109731028286,8.454776959522189,8.831570532593599,3.414960885794576,4.190419476915498,3.6171922266836294,4.002842373907546,4.995071572808044,7.53379216636492,8.974402616301555,1.547701729166283,9.162032571234318,3.6941372295210675,5.348475047242701
kDN,3.852275739502312,3.5735540072561998,4.009687786296313,4.354910103110095,4.355462673516268,4.515898759020237,0.019507374704846037,0.04603150305924142,0.3945597586408415,7.935010552936236,4.154480857286225,1.0,0.019507374704846037,0.019507374704846037,0.03895932264071472,0.5364859841020064,4.68252417441121,0.706511301155372,1.2774967445669598,0.5960988638377838,2.879437539668697,7.1754168190515895,7.510162665166563,7.198433862345944,2.4904509098637697,0.06053105030783246,0.695223377836842,0.6241505145557998,7.515747198660359,5.252986165732656,6.81831438705186,4.49796196379042,7.695742816054029,0.7214536462920288,7.639411010626782
D3,3.8644417116501066,3.579516505271453,4.015650284311566,4.36707607525789,4.3676286456640625,4.5280647311680315,1.1102230246251565e-15,0.06553887776408746,0.3750523839359955,7.933631648394439,4.166646829434019,0.019507374704846037,1.0,1.1102230246251565e-15,0.047276824767591985,0.5484109801325124,4.6946901465590045,0.7127147752879137,1.264192843994655,0.6082648359855783,2.8916035118164922,7.167834440377249,7.502580286492223,7.1910924597888926,2.477147009291465,0.04102367560298642,0.7043247465217806,0.6108466139834953,7.5084057961033075,5.271114635895704,6.810972984494807,4.510127935938215,7.688401413496978,0.7276571204245705,7.632069608069731
CM,3.864441711650107,3.579516505271453,4.015650284311566,4.36707607525789,4.3676286456640625,4.5280647311680315,0.0,0.06553887776408746,0.3750523839359955,7.93363164839444,4.166646829434019,0.019507374704846037,1.1102230246251565e-15,1.0,0.04727682476759176,0.5484109801325131,4.6946901465590045,0.7127147752879137,1.264192843994655,0.6082648359855788,2.8916035118164922,7.16783444037725,7.502580286492225,7.191092459788894,2.4771470092914654,0.04102367560298642,0.704324746521781,0.6108466139834955,7.5084057961033075,5.271114635895704,6.810972984494807,4.510127935938215,7.688401413496979,0.7276571204245705,7.632069608069731
Borderline,3.8742678396825534,3.5565867847957264,3.9927205638358396,4.376902203290337,4.37745477369651,4.537890859200478,0.04727682476759176,0.07416754652404595,0.3895733601954141,7.935049032210578,4.176472957466466,0.03895932264071472,0.047276824767591985,0.04727682476759176,1.0,0.5025515391810598,4.704516274591452,0.7454706237960866,1.3114696687622471,0.6180909640180251,2.9014296398489385,7.136495975685215,7.47124182180019,7.215439564080759,2.524423834059057,0.07851330548981311,0.7341827004775567,0.6581234387510873,7.532752900395172,5.2580110434524245,6.835320088786673,4.519954063970662,7.712748517788843,0.7604129689327435,7.656416712361596
N1,3.6761020176967447,3.167955949363822,3.6268518320136875,4.178736381304528,4.179288951710701,4.33972503721467,0.5484109801325131,0.5257011842004369,0.7553205828628375,7.928796273755978,3.978307135480657,0.5364859841020064,0.5484109801325124,0.5484109801325131,0.5025515391810598,1.0,4.781060584288393,0.9359356372421832,1.807768449488707,0.7897170644875409,2.70326381786313,6.9397782037845195,7.274524049899493,7.597817641058063,3.020722614785517,0.5763818853339377,0.9246477139236531,1.154422219477547,7.640420845689728,5.278923398153201,7.217698165763979,4.321788241984853,8.095126594766148,0.989528657457547,7.764084657656151
T1,5.545938678432624,5.750301800090359,5.705244074397935,5.589680156094481,5.746323148630321,5.745389011893398,4.6946901465590045,4.644422753335415,4.94152167589109,7.188334964746095,4.902374416399322,4.68252417441121,4.6946901465590045,4.6946901465590045,4.704516274591452,4.781060584288393,1.0,4.145670899014695,4.455881789406177,4.2517880964350985,4.354596447283518,6.4132807858750605,6.974122196965616,4.699874006368994,5.063270765685583,4.718462794040483,3.9903654000372244,5.008464692422047,9.080565181685209,3.9262377338385726,5.027394860701533,5.585214964526673,5.2030902662904905,4.100418549343198,9.204228993651633
Clust,3.4815897134624896,3.5804132638876807,4.016547042927794,3.810022832521631,4.237098299652464,3.816246714496346,0.7127147752879137,0.6738022800303609,0.9586495460037701,7.884496689307569,3.454828812762334,0.706511301155372,0.7127147752879137,0.7127147752879137,0.7454706237960866,0.9359356372421832,4.145670899014695,1.0,1.0504655985479527,0.14621857275464223,2.1797854951448064,7.8314142565782925,8.166160102693265,7.141060742085793,2.2634197638447624,0.7355906641531634,0.16858754494447395,0.9205510962307334,7.295575309272833,5.615561316887407,6.9383090349751715,3.7983099192665293,7.63836969579388,0.2625358110516328,7.419239121239256
N2,3.8158541065919973,3.9146776570171884,4.350811436057301,4.144287225651139,4.571362692781973,4.081269154455104,1.264192843994655,1.2908192265011902,1.1263981902578992,7.728882382683381,3.5387171974890643,1.2774967445669598,1.264192843994655,1.264192843994655,1.3114696687622471,1.807768449488707,4.455881789406177,1.0504655985479527,1.0,1.1555962358346337,2.376088214317242,7.926175958356881,8.260921804471856,6.6511820423321,1.4108459609622008,1.2329563632724339,1.0679776528896607,0.7738077360967168,6.579374103854386,6.293375524748994,6.8114801455289555,4.013206174902352,7.148490996040184,0.8182397920311598,6.7030379158208095
ONB,3.438924321393955,3.5377478718191457,3.973881650859259,3.7673574404530967,4.19443290758393,3.919799895182453,0.6082648359855788,0.5579974427619879,0.8730220079537353,7.906860559191475,3.5583819934484406,0.5960988638377838,0.6082648359855783,0.6082648359855788,0.6180909640180251,0.7897170644875409,4.2517880964350985,0.14621857275464223,1.1555962358346337,1.0,2.2833386758309135,7.707559553707558,8.042305399822531,7.206090004038236,2.3685504011314436,0.6320374834670563,0.26142269639787474,0.8794631607627721,7.358040554490978,5.491706614016673,6.857119724172971,3.9018630999526365,7.703398957746322,0.33735644380347374,7.481704366457402
LSCAvg,3.280876436243978,3.415150637272869,3.876780170955696,3.7612162526522424,3.9178592451880814,3.916925108451158,2.8916035118164922,2.8413361185929014,3.1384350411485764,7.193026806373338,2.2090493319181514,2.879437539668697,2.8916035118164922,2.8916035118164922,2.9014296398489385,2.70326381786313,4.354596447283518,2.1797854951448064,2.376088214317242,2.2833386758309135,1.0,8.571791511673723,8.906537357788698,8.283792563477796,1.871715673677127,2.9153761592979697,2.3421489090661023,2.7277990562900185,6.155932861990048,6.9860141972491165,8.42662464718575,3.7567510610844344,7.784984108536551,2.4190939119035404,6.279596673956473
DBC,6.019630689712569,5.4778246304435525,5.529319851369923,6.06588580366402,5.715431388603086,6.126634842633628,7.16783444037725,7.210663522209261,6.959830301971004,4.593962351608969,6.925109731028286,7.1754168190515895,7.167834440377249,7.16783444037725,7.136495975685215,6.9397782037845195,6.4132807858750605,7.8314142565782925,7.926175958356881,7.707559553707558,8.571791511673723,1.0,3.5451124053856065,5.111228764315169,8.607879269600277,7.154781669975688,7.822120455908237,7.278749259822005,6.151592650988862,3.957712375774782,4.731109289021084,6.188341003893127,6.104027733023942,7.8380715525587075,6.3443223745452535
NSG,7.982903107095055,7.441097047826039,7.492592268752408,8.029158221046506,7.678703805985572,8.089907260016114,7.502580286492225,7.545409368324236,7.294576148085978,3.1656686735041726,8.454776959522189,7.510162665166563,7.502580286492223,7.502580286492225,7.47124182180019,7.274524049899493,6.974122196965616,8.166160102693265,8.260921804471856,8.042305399822531,8.906537357788698,3.5451124053856065,1.0,2.476176053467876,8.942625115715252,7.4895275160906625,8.156866302023213,7.609552905627216,5.81223119084666,4.518553786865336,2.455639286969778,8.151613421275615,3.5456433976941737,8.172817398673681,5.549880195596338
ICSV,9.034246489469112,9.203158960523147,9.128143166274828,8.906300358871922,8.982368840535651,8.743042670735353,7.191092459788894,7.206363944329389,7.0628716051849825,3.9139114780591235,8.831570532593599,7.198433862345944,7.1910924597888926,7.191092459788894,7.215439564080759,7.597817641058063,4.699874006368994,7.141060742085793,6.6511820423321,7.206090004038236,8.283792563477796,5.111228764315169,2.476176053467876,1.0,7.342117658197376,7.173841431667383,6.991979374131501,7.083303439262411,6.18902476391807,3.597540772813741,0.6970086321703635,8.754622647671919,2.0712907134560883,6.878524931034161,5.926673768667748
MRCA,3.893390847068082,4.49856980615859,4.857712609629619,4.039847138613457,5.071624511613412,3.9768290674174214,2.4771470092914654,2.503773391798,2.4328040641824185,7.136003692189556,3.414960885794576,2.4904509098637697,2.477147009291465,2.4771470092914654,2.524423834059057,3.020722614785517,5.063270765685583,2.2634197638447624,1.4108459609622008,2.3685504011314436,1.871715673677127,8.607879269600277,8.942625115715252,7.342117658197376,1.0,2.445910528569244,2.280931818186471,2.080213610021236,5.261979851519895,6.8816271273646805,7.493183456772353,3.908766087864671,6.843309203256132,2.0556204131315354,5.385643663486318
C1,3.888214359131585,3.593501957872166,4.0296357369122795,4.390848722739368,4.39140129314554,4.551837378649509,0.04102367560298642,0.10656255336707388,0.334028708333009,7.9303660728736425,4.190419476915498,0.06053105030783246,0.04102367560298642,0.04102367560298642,0.07851330548981311,0.5763818853339377,4.718462794040483,0.7355906641531634,1.2329563632724339,0.6320374834670563,2.9153761592979697,7.154781669975688,7.4895275160906625,7.173841431667383,2.445910528569244,1.0,0.7280973940032587,0.5796101332612742,7.491154767981799,5.308872735977895,6.793721956373298,4.533900583419692,7.671150385375469,0.7374443153053359,7.614818579948222
Purity,3.6326652040652574,3.7314887544904485,4.167622533530562,3.961098323124399,4.388173790255232,3.9786101284176416,0.704324746521781,0.6625143567118309,0.9511562758538653,7.88649081195604,3.6171922266836294,0.695223377836842,0.7043247465217806,0.704324746521781,0.7341827004775567,0.9246477139236531,3.9903654000372244,0.16858754494447395,1.0679776528896607,0.26142269639787474,2.3421489090661023,7.822120455908237,8.156866302023213,6.991979374131501,2.280931818186471,0.7280973940032587,1.0,1.0532688844054072,7.464162854217307,5.606267516217352,6.777939743702351,3.960673333187825,7.489288327839587,0.24973786085850103,7.587826666183731
C2,3.7006372561236347,3.6049950973389535,4.041128876379066,4.203271619731417,4.261680133103738,4.364260275641558,0.6108466139834955,0.6374729964900303,0.4571471673120844,7.851321219935459,4.002842373907546,0.6241505145557998,0.6108466139834953,0.6108466139834955,0.6581234387510873,1.154422219477547,5.008464692422047,0.9205510962307334,0.7738077360967168,0.8794631607627721,2.7277990562900185,7.278749259822005,7.609552905627216,7.083303439262411,2.080213610021236,0.5796101332612742,1.0532688844054072,1.0,6.923037774187312,5.762468131989911,6.7031839639683275,4.346323480411742,7.580612392970497,0.9329365632947165,7.046701586153735
NeighbourhoodSeparability,5.303832799438329,5.979100679157681,5.827093909340278,4.977724857540565,5.674680228860221,4.5349912034394375,7.5084057961033075,7.5236772806438035,7.380184941499397,4.531565383589357,4.995071572808044,7.515747198660359,7.5084057961033075,7.5084057961033075,7.532752900395172,7.640420845689728,9.080565181685209,7.295575309272833,6.579374103854386,7.358040554490978,6.155932861990048,6.151592650988862,5.81223119084666,6.18902476391807,5.261979851519895,7.491154767981799,7.464162854217307,6.923037774187312,1.0,7.636207579219277,6.369317914559147,4.576976086930477,5.690216308976826,7.31760026465143,0.5849106012153081
