,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,0.9575524479454227,0.9756301206292683,0.9825239165064686,0.9652230217182896,0.6014033456210371,0.9673505100524354,0.6957092227363322,0.6249445782580039,0.6249445782580039,0.6249445782580039,0.7375839309822004,0.721005633203292,0.7084189303505722,0.8013876478069234,0.7186008241141876,0.9036476775571065,0.7214936995731698,0.8393231623552253
F1v,0.9575524479454227,1.0,0.9832048434592613,0.9020609845896653,0.8999537600695228,0.4116222812603316,0.8694005157071526,0.527922105983249,0.4392701280413829,0.4392701280413829,0.43927012804138277,0.5872614836302137,0.5707928513013839,0.5387617592890422,0.6400080296261398,0.5442221626857674,0.7707348039322593,0.545066009184731,0.7169655433279297
F2,0.9756301206292683,0.9832048434592613,1.0,0.9486011049594187,0.9558686856315122,0.5277336933606545,0.9118689674710818,0.6126524120424093,0.5486344987853844,0.5486344987853844,0.5486344987853843,0.6511539049235712,0.6432368873412755,0.6299274109452063,0.7032262221197285,0.6329464771821031,0.8071366099136379,0.6335542755429986,0.7505728665451588
F3,0.9825239165064686,0.9020609845896653,0.9486011049594187,1.0,0.9896146076865552,0.7098588075892763,0.9828395973696903,0.7801450609623076,0.728885653507907,0.728885653507907,0.728885653507907,0.8050490788122455,0.7874882822034507,0.7948455963760717,0.8618566556958998,0.8021025151821156,0.9156456346981532,0.8045142374460676,0.8433596081779113
F4,0.9652230217182896,0.8999537600695228,0.9558686856315122,0.9896146076865552,1.0,0.7219445906805492,0.9681843994149082,0.778953928150984,0.7383959555483502,0.7383959555483502,0.7383959555483504,0.7958886364352575,0.783463410646364,0.7965034715627993,0.836413086492918,0.7987148645688281,0.8611336218860051,0.7997119354881075,0.7847223466563198
N3,0.6014033456210371,0.4116222812603316,0.5277336933606545,0.7098588075892763,0.7219445906805492,1.0,0.7558512958071757,0.9769658528479548,0.9986972356608079,0.9986972356608079,0.9986972356608078,0.941716165798137,0.958599156813325,0.9827724640726423,0.9188308838860086,0.9785508360107398,0.6607595121258549,0.9771801284430234,0.5570262647556125
N4,0.9673505100524354,0.8694005157071526,0.9118689674710818,0.9828395973696903,0.9681843994149082,0.7558512958071757,1.0,0.8313427527707541,0.7766128730155942,0.7766128730155942,0.7766128730155942,0.8584081459511094,0.8433445975109228,0.8411527662668313,0.9015671079108564,0.8520379586736305,0.9142092876285274,0.8555063865540562,0.8231230088916368
kDN,0.6957092227363322,0.527922105983249,0.6126524120424093,0.7801450609623076,0.778953928150984,0.9769658528479548,0.8313427527707541,1.0,0.9863940510119383,0.9863940510119383,0.9863940510119382,0.9917954852889123,0.9932832294774745,0.9983974718398703,0.9733500452329101,0.9976297473937887,0.7353747146903566,0.9967188194559705,0.6213383007390353
CM,0.6249445782580039,0.4392701280413829,0.5486344987853844,0.728885653507907,0.7383959555483502,0.9986972356608079,0.7766128730155942,0.9863940510119383,1.0,1.0,0.9999999999999998,0.957295674165949,0.9699572609234802,0.9904366372649953,0.9347758407294494,0.9869999088545125,0.6796135429563306,0.98575662985408,0.5724396519681452
R,0.6249445782580039,0.4392701280413829,0.5486344987853844,0.728885653507907,0.7383959555483502,0.9986972356608079,0.7766128730155942,0.9863940510119383,1.0,1.0,0.9999999999999998,0.957295674165949,0.9699572609234802,0.9904366372649953,0.9347758407294494,0.9869999088545125,0.6796135429563306,0.98575662985408,0.5724396519681452
D3,0.6249445782580039,0.43927012804138277,0.5486344987853843,0.728885653507907,0.7383959555483504,0.9986972356608078,0.7766128730155942,0.9863940510119382,0.9999999999999998,0.9999999999999998,1.0,0.957295674165949,0.9699572609234802,0.9904366372649955,0.9347758407294495,0.9869999088545124,0.6796135429563306,0.98575662985408,0.5724396519681452
D. Over.,0.7375839309822004,0.5872614836302137,0.6511539049235712,0.8050490788122455,0.7958886364352575,0.941716165798137,0.8584081459511094,0.9917954852889123,0.957295674165949,0.957295674165949,0.957295674165949,1.0,0.992932867099896,0.9858287374431651,0.9846309717737908,0.9871346167364958,0.7638751108127612,0.986495047547152,0.6463311955995953
Borderline,0.721005633203292,0.5707928513013839,0.6432368873412755,0.7874882822034507,0.783463410646364,0.958599156813325,0.8433445975109228,0.9932832294774745,0.9699572609234802,0.9699572609234802,0.9699572609234802,0.992932867099896,1.0,0.9901746375548998,0.9743317419075178,0.9901312324015807,0.7417453440745372,0.989025732308759,0.6271670060804349
N1,0.7084189303505722,0.5387617592890422,0.6299274109452063,0.7948455963760717,0.7965034715627993,0.9827724640726423,0.8411527662668313,0.9983974718398703,0.9904366372649953,0.9904366372649953,0.9904366372649955,0.9858287374431651,0.9901746375548998,1.0,0.9715937653444494,0.998980673023372,0.7475673607691927,0.9981668922737628,0.6386295303619121
N2,0.8013876478069234,0.6400080296261398,0.7032262221197285,0.8618566556958998,0.836413086492918,0.9188308838860086,0.9015671079108564,0.9733500452329101,0.9347758407294494,0.9347758407294494,0.9347758407294495,0.9846309717737908,0.9743317419075178,0.9715937653444494,1.0,0.9775772508367977,0.8584677301051552,0.9785819275814781,0.7601142808568042
ONB,0.7186008241141876,0.5442221626857674,0.6329464771821031,0.8021025151821156,0.7987148645688281,0.9785508360107398,0.8520379586736305,0.9976297473937887,0.9869999088545125,0.9869999088545125,0.9869999088545124,0.9871346167364958,0.9901312324015807,0.998980673023372,0.9775772508367977,1.0,0.7660627911128838,0.9998708861851064,0.6573454528000683
LSC,0.9036476775571065,0.7707348039322593,0.8071366099136379,0.9156456346981532,0.8611336218860051,0.6607595121258549,0.9142092876285274,0.7353747146903566,0.6796135429563306,0.6796135429563306,0.6796135429563306,0.7638751108127612,0.7417453440745372,0.7475673607691927,0.8584677301051552,0.7660627911128838,1.0,0.7716230409610718,0.9773689279262778
Clust,0.7214936995731698,0.545066009184731,0.6335542755429986,0.8045142374460676,0.7997119354881075,0.9771801284430234,0.8555063865540562,0.9967188194559705,0.98575662985408,0.98575662985408,0.98575662985408,0.986495047547152,0.989025732308759,0.9981668922737628,0.9785819275814781,0.9998708861851064,0.7716230409610718,1.0,0.66289746860535
IR,0.8393231623552253,0.7169655433279297,0.7505728665451588,0.8433596081779113,0.7847223466563198,0.5570262647556125,0.8231230088916368,0.6213383007390353,0.5724396519681452,0.5724396519681452,0.5724396519681452,0.6463311955995953,0.6271670060804349,0.6386295303619121,0.7601142808568042,0.6573454528000683,0.9773689279262778,0.66289746860535,1.0
