,F1,F1v,F2,F3,F4,IN,Raug,deg_overlap,N3,SI,N4,kDN,D3,CM,Borderline,N1,T1,Clust,N2,ONB,LSCAvg,DBC,NSG,ICSV,MRCA,C1,Purity,C2,NeighbourhoodSeparability,IR,Silhouette,Bhattacharyya,Wasserstein,SVM_SVR,TwoNN_ID
F1,1.0,0.9533272204689351,0.9797693174414196,0.9362679879078061,0.9163934690219622,0.9294008202965354,0.5267812563040868,0.5902944508240612,0.5064641523359976,0.5064641523359964,0.9239836687345605,0.5722903472911367,0.5267812563040862,0.5267812563040868,0.5887626460037169,0.5892040058732975,0.35849546805805993,0.5786023488319644,0.5951943386611913,0.578380759734349,0.7580534980796589,0.4273227884727397,0.7279550627336657,0.45319444945609594,0.655441012757091,0.5423115517612335,0.573390443099329,0.5458344241744847,0.5875033903837247,0.0,0.9136758742775779,0.9535455257207337,0.9970430288589651,0.6424655286666314,0.5054868921486044
F1v,0.9533272204689351,1.0,0.965334285932028,0.8068225043763565,0.7947681345552801,0.787789176910377,0.46267713204850197,0.46907359419391387,0.45478129965461883,0.4547812996546187,0.771713841566852,0.47360816358149616,0.4626771320485019,0.46267713204850197,0.47347491254591884,0.4984305518376597,0.3706412131060519,0.4789886403348545,0.4754992090028732,0.4801864659521289,0.5631975734377196,0.4365339560718851,0.5319819629883957,0.4284711547827233,0.5077466781357582,0.46712805363590104,0.6019195649505865,0.4695109986298616,0.47571333504347296,0.0,0.7557807560955572,0.8244931756817575,0.9678683774210372,0.5113182534807603,0.4907082182940906
F2,0.9797693174414196,0.965334285932028,1.0,0.9064157430778278,0.9025798493305806,0.8890066973322349,0.5091456762362634,0.579389719770768,0.4888062956906295,0.4888062956906276,0.8625527440634936,0.55852687769495,0.5091456762362633,0.5091456762362634,0.5830517295881256,0.5738161490644201,0.4239161123264365,0.5551515427237028,0.5807227987097632,0.5573734843056679,0.6745992674131196,0.438479438010456,0.639501950448532,0.4175818643421608,0.6187961021377587,0.5252056010827316,0.5389703387443082,0.5289053092439093,0.5761667846923705,0.0,0.8356720476306059,0.914943471320787,0.984816826142363,0.6366893700560182,0.5287094183033518
F3,0.9362679879078061,0.8068225043763565,0.9064157430778278,1.0,0.9918803251775687,0.9971683567337641,0.6161763712186807,0.7035739712687659,0.5892663292557673,0.5892663292557675,0.9634925602543609,0.6774480964350106,0.6161763712186807,0.6161763712186807,0.6943413450516204,0.688949730957593,0.36589816629649313,0.6739636396201255,0.7034498054226391,0.6759588040287944,0.8254381471809833,0.42888223382072677,0.7925148303313343,0.5328703111495946,0.7244741871882393,0.6379474804344596,0.4605374451804685,0.6419523955579876,0.6949264831588526,0.0,0.9260860142060914,0.9939178170510282,0.9198474746650461,0.7096557386610862,0.5630986216826106
F4,0.9163934690219622,0.7947681345552801,0.9025798493305806,0.9918803251775687,1.0,0.9837290352939293,0.6366922351419092,0.7006735402229909,0.6143784216798496,0.6143784216798507,0.9471127423617903,0.6841341975520815,0.6366922351419096,0.6366922351419092,0.6951230747591158,0.6992082893311882,0.3650569900474888,0.6814699568048621,0.6959603609498779,0.6838273080873747,0.7840637387190627,0.45257844368242595,0.744881791384633,0.5618160561959163,0.6834932480020897,0.6537890880387035,0.44905818099707345,0.6557816221307409,0.6952311139013337,0.0,0.8859122668012891,0.9758265699639141,0.9016555540323187,0.6885577488890672,0.5790766925327524
IN,0.9294008202965354,0.787789176910377,0.8890066973322349,0.9971683567337641,0.9837290352939293,1.0,0.6158512886640175,0.6959145567015763,0.5905307843601955,0.5905307843601934,0.9638796368137965,0.672750667210896,0.6158512886640176,0.6158512886640175,0.6860186242845914,0.6846086271811886,0.37469832123578684,0.6727366511790657,0.7014894931034119,0.6737789348746053,0.8417337288937635,0.4522736311385311,0.814754415757354,0.5403400055811451,0.7359507107933755,0.6364597782215485,0.46443033496186914,0.6413923530132106,0.6894903474039847,0.0,0.9410083000647549,0.9962109161175552,0.9125914579494838,0.7026839270676369,0.5553625167978163
Raug,0.5267812563040868,0.46267713204850197,0.5091456762362634,0.6161763712186807,0.6366922351419092,0.6158512886640175,1.0,0.9337924667142019,0.9980297108937312,0.9980297108937319,0.6483460891268841,0.9789324934957389,1.0000000000000002,1.0000000000000002,0.9432360147476572,0.9886364368668842,0.5803397864727383,0.9864935945272593,0.9398228037814881,0.9867939017107296,0.7613074560299417,0.48027045172710303,0.7557102795862596,0.9660167670480847,0.7876142838805008,0.997886761703979,0.4909640781694046,0.996854354761387,0.957046271065794,0.0,0.5800057734749121,0.5909974998744015,0.51976164033546,0.8293601557151474,0.562556210812291
deg_overlap,0.5902944508240612,0.46907359419391387,0.579389719770768,0.7035739712687659,0.7006735402229909,0.6959145567015763,0.9337924667142019,1.0,0.9089738545812256,0.9089738545812247,0.7350035990714159,0.9876675821368927,0.9337924667142029,0.9337924667142019,0.9932163217483587,0.9761204106189681,0.6467435286299166,0.9760976937290788,0.9968481616694824,0.9779162257370002,0.8858808830424711,0.45542595103390815,0.8698442339127727,0.8441808538542978,0.9289111672013046,0.9550039418545864,0.6034653801695437,0.9570856064147407,0.9969224374081459,0.0,0.6910460869270324,0.6832406406922386,0.5756933215649823,0.9646835290605865,0.6780872986848062
N3,0.5064641523359976,0.45478129965461883,0.4888062956906295,0.5892663292557673,0.6143784216798496,0.5905307843601955,0.9980297108937312,0.9089738545812256,1.0,1.0000000000000002,0.6215377010004981,0.9643000586859128,0.9980297108937312,0.9980297108937312,0.9226868302117588,0.9775648847049239,0.5567482352241762,0.974926332717442,0.9170905308666909,0.9750219862886962,0.7250302092829969,0.4818973381602081,0.7216494382861741,0.9710944730820061,0.748929797623541,0.9919187749892665,0.459966856523472,0.9905573565611647,0.9373124326679385,0.0,0.5493574116729568,0.5635323701841576,0.5013178057536017,0.7922266130158137,0.5310069566882193
SI,0.5064641523359964,0.4547812996546187,0.4888062956906276,0.5892663292557675,0.6143784216798507,0.5905307843601934,0.9980297108937319,0.9089738545812247,1.0000000000000002,1.0,0.6215377010004973,0.9643000586859127,0.9980297108937307,0.9980297108937305,0.9226868302117593,0.9775648847049241,0.5567482352241829,0.9749263327174422,0.9170905308666908,0.9750219862886962,0.7250302092829941,0.4818973381602017,0.7216494382861732,0.9710944730820057,0.7489297976235424,0.991918774989267,0.4599668565234672,0.9905573565611648,0.9373124326679444,0.0,0.5493574116729563,0.563532370184158,0.5013178057536011,0.7922266130158129,0.5310069566882193
