,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,0.9254636114956045,0.7271988013196765,0.9144459002808814,1.123510416279979,3.13824635492043,1.2088819525537495,2.876523475732545,3.0760566410069177,3.0760566410069177,3.0760566410069177,2.723122190367058,2.7505477418258995,2.8688599760099702,2.7429605135231316,2.8805038427688094,1.963894085112012,2.88460031083456,2.6457513110645903
F1v,0.9254636114956045,1.0,0.6879211292266084,1.6984991385764654,1.7522574036509688,3.701848658801079,2.030788388549229,3.4477356793260894,3.6460062908332898,3.6460062908332898,3.64600629083329,3.277194933631395,3.297970196224976,3.4480442639704973,3.3260863002787744,3.4722449771035686,2.712001987006658,3.4825218152673676,2.6457513110645903
F2,0.7271988013196765,0.6879211292266084,1.0,1.2475835178055577,1.2082485565773087,3.347064161110566,1.7403656694430991,3.1692700321997633,3.3054083815165898,3.3054083815165898,3.3054083815165898,3.0642960066062077,3.050848617610114,3.1390860782054513,3.110154184868827,3.174320207910678,2.575587070977312,3.1861358768014227,2.6457513110645907
F3,0.9144459002808814,1.6984991385764654,1.2475835178055577,1.0,0.4703502821922854,2.5432620218380086,0.8698120931720417,2.341629916801325,2.4859116001878543,2.4859116001878543,2.4859116001878543,2.263614282501242,2.313244618875646,2.3073758063424696,2.2686065619733036,2.331406291400589,1.657249148399201,2.3363765988722607,2.6457513110645907
F4,1.123510416279979,1.7522574036509688,1.2082485565773087,0.4703502821922854,1.0,2.5007283757534844,1.0873669626917055,2.366615678930223,2.4564196114641446,2.4564196114641446,2.4564196114641446,2.335517845171614,2.3563770412363776,2.30887768688172,2.379087111506615,2.349814151790238,1.9863243532337291,2.359603093265308,2.6457513110645903
N3,3.13824635492043,3.701848658801079,3.347064161110566,2.5432620218380086,2.5007283757534844,1.0,2.2744119582901012,0.6537265462347105,0.1523085071777537,0.1523085071777537,0.15230850717775382,1.0720411834014194,0.9022063200920053,0.5135426934965334,1.0710659151381519,0.5487191858064381,2.1746523725455114,0.5588495050161791,2.6457513110645907
N4,1.2088819525537495,2.030788388549229,1.7403656694430991,0.8698120931720417,1.0873669626917055,2.2744119582901012,1.0,1.9835141274469643,2.1946791253995883,2.1946791253995883,2.1946791253995883,1.8585775705507286,1.9094783793217844,1.9729499818321148,1.879367797285676,1.9562264997439385,1.1015890970909936,1.948537481465016,2.6457513110645907
kDN,2.876523475732545,3.4477356793260894,3.1692700321997633,2.341629916801325,2.366615678930223,0.6537265462347105,1.9835141274469643,1.0,0.505961648625849,0.505961648625849,0.5059616486258489,0.4241327170954668,0.39171905438880417,0.17735220044404013,0.4712320306654323,0.17375940102782686,1.7833666487912563,0.20788821908224667,2.6457513110645907
CM,3.0760566410069177,3.6460062908332898,3.3054083815165898,2.4859116001878543,2.4564196114641446,0.1523085071777537,2.1946791253995883,0.505961648625849,1.0,0.0,3.188872858294072e-16,0.9264244277185293,0.7792759977416456,0.3679312272902543,0.9331214170356271,0.4037263358800631,2.0746057206254678,0.41671733154450613,2.6457513110645903
R,3.0760566410069177,3.6460062908332898,3.3054083815165898,2.4859116001878543,2.4564196114641446,0.1523085071777537,2.1946791253995883,0.505961648625849,0.0,1.0,3.188872858294072e-16,0.9264244277185293,0.7792759977416456,0.3679312272902543,0.9331214170356271,0.4037263358800631,2.0746057206254678,0.41671733154450613,2.6457513110645903
D3,3.0760566410069177,3.64600629083329,3.3054083815165898,2.4859116001878543,2.4564196114641446,0.15230850717775382,2.1946791253995883,0.5059616486258489,3.188872858294072e-16,3.188872858294072e-16,1.0,0.9264244277185293,0.7792759977416457,0.36793122729025424,0.9331214170356272,0.4037263358800631,2.074605720625468,0.41671733154450613,2.6457513110645903
D. Over.,2.723122190367058,3.277194933631395,3.0642960066062077,2.263614282501242,2.335517845171614,1.0720411834014194,1.8585775705507286,0.4241327170954668,0.9264244277185293,0.9264244277185293,0.9264244277185293,1.0,0.3989934049210849,0.5802379685299208,0.2646726517321241,0.5573678588602805,1.5926902667917475,0.5701370640873565,2.6457513110645907
