,F1,F1v,F2,F3,F4,IN,Raug,deg_overlap,N3,SI,N4,kDN,D3,CM,Borderline,N1,T1,Clust,N2,ONB,LSCAvg,DBC,NSG,ICSV,MRCA,C1,Purity,C2,NeighbourhoodSeparability,IR,Silhouette,Bhattacharyya,Wasserstein,SVM_SVR,TwoNN_ID
F1,1.0,2.303662471230635,1.5891419098537323,1.9128266695931124,2.4517711592732505,2.153413557626681,7.108365043586082,6.046273883657118,7.249650869423316,10.07800792032857,2.6972467902778807,6.581936283648737,7.108365043586082,7.108365043586082,6.126733373174723,6.611508288175553,7.5650977745108845,6.4305082268135365,6.009606916775374,6.482002643562303,4.072560305006023,6.45283338718024,11.126217814216288,7.693970198511856,4.406736014187189,6.984247901390181,5.641502528467017,6.979658807550384,10.864622341712272,6.156055062758007,11.926787435926688,1.7702999212914985,12.295296792535197,4.441608534317734,8.588377426404822
F1v,2.303662471230635,1.0,1.4426551912228922,3.86251777218681,3.8394487932910004,4.185009121643927,7.7733494714684666,6.610031106102951,7.969487913495679,9.282988485550804,4.948799002091403,7.145693506094569,7.7733494714684666,7.7733494714684666,6.690490595620555,7.175265510621387,8.942057271641568,7.216821679100686,6.603392284216874,7.182140527322822,6.1383742381810045,7.479462110755288,10.331198379438522,8.489880554003163,6.2597270013887485,7.575789100543454,4.901086106856736,7.543416029996216,10.069602906934504,6.230609461940409,11.162618460223495,3.9035566832007835,12.377949759954205,5.333801677258069,8.274368677614143
F2,1.5891419098537323,1.4426551912228922,1.0,2.7700678526690914,2.611714085120788,3.1351839892451414,7.10379760591246,5.805194451894451,7.299936047939673,9.84117132816501,3.8563490825736846,6.387681268537005,7.10379760591246,7.10379760591246,5.908027702608045,6.435759821250004,8.117585882843953,6.54726981354468,5.8997542774486575,6.5125886617668165,5.097933012279217,6.782315951657469,10.889381222052728,7.820328688447158,5.810038079601197,6.906237234987447,6.00731015371833,6.856144129127344,10.62778574954871,6.452361160193316,11.689950843763128,2.811106763683066,12.599701458207111,5.0182579650894015,8.284775369787596
F3,1.9128266695931124,3.86251777218681,2.7700678526690914,1.0,1.1067766672988237,0.5812076268103694,5.382846888513088,4.320755728584125,5.535968498009761,10.567742804284602,1.8074932489435094,4.856418128575743,5.382846888513089,5.382846888513088,4.401215218101729,4.885990133102561,6.567961492880954,4.783302263614767,4.28408876170238,4.756484488489309,3.0973821749279344,6.461770240809162,11.615952698172322,6.056361138517245,3.9296061932653297,5.2587297463171865,7.238735392057878,5.25414065247739,11.354357225668304,6.645789946714043,12.416522319882722,0.7255891209801493,12.635907043468364,3.983859036653501,9.367933616762596
F4,2.4517711592732505,3.8394487932910004,2.611714085120788,1.1067766672988237,1.0,1.579050684916208,5.2301313520498045,4.171498907164878,5.426269794077019,10.579219159423145,2.132659683419663,4.514015014674349,5.2301313520498045,5.2301313520498045,4.072915024645409,4.562093567387349,6.632858432593062,4.673603559682025,4.223231293900842,4.638922407904161,4.060284194867549,6.473246595947702,11.627429053310863,5.9466624345845025,4.894697211375313,5.032570981124793,7.67506180295953,4.9824778752646885,11.365833580806846,6.657266301852581,12.427998675021257,1.7355562379942937,12.647383398606905,4.29901038848387,9.064258620070765
IN,2.153413557626681,4.185009121643927,3.1351839892451414,0.5812076268103694,1.579050684916208,1.0,5.4677049777349165,4.405613817805953,5.608990803572151,10.405899056200159,2.013299387405301,4.941276217797571,5.4677049777349165,5.4677049777349165,4.486073307323558,4.970848222324388,6.514890975284125,4.789848160962372,4.368946850924209,4.841342577711137,2.6811323027056577,6.368322974947379,11.454108950087878,6.05331013266069,3.8210639181036004,5.343587835539015,7.185825253166419,5.338998741699218,11.19251347758386,6.483946198629598,12.254678571798276,0.49609782203748276,12.474063295383921,4.0980249046027435,9.296894763645037
Raug,7.108365043586082,7.7733494714684666,7.10379760591246,5.382846888513088,5.2301313520498045,5.4677049777349165,1.0,1.6995564702544361,0.3325575864374858,11.980406558550182,5.544150900181284,0.9643873316190684,7.216449660063518e-16,0.0,1.40990813619747,0.6718458321683807,6.139051029521347,0.8485049332064164,1.7747187717780024,0.7542911011628314,4.691188599802488,7.990492694695957,11.259890468783766,1.5740407820585336,4.33049493449455,0.36964211050896756,6.562018821790426,0.5150085374303548,11.898836580055765,5.989650982074737,10.356925774570433,5.9638027997724,10.107103801951393,3.14068616266287,10.382755815167606
deg_overlap,6.046273883657118,6.610031106102951,5.805194451894451,4.320755728584125,4.171498907164878,4.405613817805953,1.6995564702544361,1.0,2.032114056691922,11.858015976882742,4.48205974025232,0.7518325968152536,1.6995564702544355,1.6995564702544361,0.8122257908027029,1.0412478004114871,5.083594407824976,1.0346734633022785,0.5448299237974664,1.0150021185963416,3.629097439873524,8.883810722245737,12.341249963394088,2.6134803180432367,3.1586725657761985,1.386632911974695,5.985741804771929,1.331636462851074,12.980196074666088,6.594630967654773,11.438285269180753,4.901711639843436,10.890690620711785,1.7808223268839791,11.464115309777927
N3,7.249650869423316,7.969487913495679,7.299936047939673,5.535968498009761,5.426269794077019,5.608990803572151,0.3325575864374858,2.032114056691922,1.0,11.981511152950887,5.685436726018519,1.2969449180565542,0.3325575864374864,0.3325575864374858,1.6608991944146618,0.9908662562804348,6.280336855358582,1.1262099034539235,2.0219477429689405,1.051695231722182,4.878062681672008,7.82593484612602,11.010004004967282,1.4057208464623432,4.441304761275216,0.7021996969464533,6.617688868996586,0.7788819296280063,11.648950116239284,5.990755576475443,10.10703931075395,6.105088625609634,9.912069954324888,3.336824604690083,10.132869351351124
SI,10.07800792032857,9.282988485550804,9.84117132816501,10.567742804284602,10.579219159423145,10.405899056200159,11.980406558550182,11.858015976882742,11.981511152950887,1.0,10.45687696388537,11.757688240644793,11.980406558550182,11.980406558550182,11.524227370395344,11.82389218335765,10.003408001826042,11.812065133744465,11.79460878326876,11.80876197702693,11.190278100784122,9.292958120348947,4.857686340188632,12.309518930731777,11.593875844446847,11.962880381873404,9.438962639208704,11.953085782986074,1.5725152478360236,5.990755576475443,6.600808542275639,10.337655400278114,7.507037238605321,11.936350183172593,6.174146018394106
N4,2.6972467902778807,4.948799002091403,3.8563490825736846,1.8074932489435094,2.132659683419663,2.013299387405301,5.544150900181284,4.48205974025232,5.685436726018519,10.45687696388537,1.0,5.017722140243938,5.544150900181284,5.544150900181284,4.562519229769924,5.047294144770756,5.859188065007508,4.86629408340874,4.445392773370576,4.9177885001575055,2.5979576414957553,7.1344045080828975,11.310125816516141,6.129756055107058,3.4323706580035185,5.420033757985383,6.547440998673844,5.415444664145586,11.579057061668715,6.3399630650578604,12.11069543822654,1.8876804184788791,12.330080161812186,3.599424858819911,10.062976296780556
kDN,6.581936283648737,7.145693506094569,6.387681268537005,4.856418128575743,4.514015014674349,4.941276217797571,0.9643873316190684,0.7518325968152536,1.2969449180565542,11.757688240644793,5.017722140243938,1.0,0.9643873316190678,0.9643873316190684,0.6545128399160748,0.36121714814834244,5.612622269584002,0.443016372752286,1.008756680537796,0.39625706280294365,4.164759839865143,8.559555427010286,11.942976065691944,2.198542962161208,3.7284014617129424,0.6348003151594414,6.339300503885037,0.5798038660358203,12.581922176963943,6.196357069952629,11.04001137147861,5.437374039835054,10.600501821421462,2.424569825287415,11.065841412075784
D3,7.108365043586082,7.7733494714684666,7.10379760591246,5.382846888513089,5.2301313520498045,5.4677049777349165,7.216449660063518e-16,1.6995564702544355,0.3325575864374864,11.980406558550182,5.544150900181284,0.9643873316190678,1.0,7.216449660063518e-16,1.40990813619747,0.6718458321683803,6.139051029521347,0.848504933206416,1.774718771778002,0.7542911011628309,4.691188599802488,7.990492694695957,11.259890468783766,1.5740407820585338,4.330494934494551,0.3696421105089669,6.562018821790426,0.5150085374303544,11.898836580055766,5.989650982074737,10.356925774570433,5.9638027997724,10.107103801951393,3.14068616266287,10.382755815167606
CM,7.108365043586082,7.7733494714684666,7.10379760591246,5.382846888513088,5.2301313520498045,5.4677049777349165,0.0,1.6995564702544361,0.3325575864374858,11.980406558550182,5.544150900181284,0.9643873316190684,7.216449660063518e-16,1.0,1.40990813619747,0.6718458321683807,6.139051029521347,0.8485049332064164,1.7747187717780024,0.7542911011628314,4.691188599802488,7.990492694695957,11.259890468783766,1.5740407820585336,4.33049493449455,0.36964211050896756,6.562018821790426,0.5150085374303548,11.898836580055765,5.989650982074737,10.356925774570433,5.9638027997724,10.107103801951393,3.14068616266287,10.382755815167606
Borderline,6.126733373174723,6.690490595620555,5.908027702608045,4.401215218101729,4.072915024645409,4.486073307323558,1.40990813619747,0.8122257908027029,1.6608991944146618,11.524227370395344,4.562519229769924,0.6545128399160748,1.40990813619747,1.40990813619747,1.0,0.8399753067524015,5.343709482592682,0.955081167233598,1.1013973130099894,0.8821382366974954,4.196156113948858,8.63290739337512,12.00746135690669,2.844189126927196,3.524306721520746,1.1389045365433463,5.899681573715881,1.0917933660678,12.64640746817869,6.260842361167377,11.104496662693355,4.982171129361039,10.640536457181264,1.9449162593584552,11.130326703290532
N1,6.611508288175553,7.175265510621387,6.435759821250004,4.885990133102561,4.562093567387349,4.970848222324388,0.6718458321683807,1.0412478004114871,0.9908662562804348,11.82389218335765,5.047294144770756,0.36121714814834244,0.6718458321683803,0.6718458321683807,0.8399753067524015,1.0,5.8269124656881806,0.36137729261539575,1.351467280499957,0.26716346057181073,4.194331844391961,8.319317590874382,11.75787671592826,2.0682189816971044,4.016336692375525,0.47047741373744373,6.405504446597896,0.42038430787734027,12.39682282720026,6.011257720188946,10.854912021714924,5.466946044361872,10.61862721142132,2.657366569577774,10.880742062312102
T1,7.5650977745108845,8.942057271641568,8.117585882843953,6.567961492880954,6.632858432593062,6.514890975284125,6.139051029521347,5.083594407824976,6.280336855358582,10.003408001826042,5.859188065007508,5.612622269584002,6.139051029521347,6.139051029521347,5.343709482592682,5.8269124656881806,1.0,5.576500287737154,5.339973888220252,5.628882765885187,5.21162407439517,6.71045618745303,10.413748440076597,6.710191722602793,5.249016981274731,6.014933887325447,6.988392371214058,6.102067876204447,10.739211672184165,6.081455144255479,9.197300866698832,6.665198758964143,7.534568292840774,5.338022533741267,10.120311892606068
