,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,1.0,1.0,0.9642857142857145,0.8928571428571429,0.2594372608313854,0.7500000000000002,0.2594372608313854,0.2594372608313854,0.2594372608313854,0.2594372608313854,0.2594372608313854,0.2594372608313854,0.6126374746329801,0.3214285714285715,0.5357142857142858,0.6071428571428572,0.5357142857142858,
F1v,1.0,1.0,1.0,0.9642857142857145,0.8928571428571429,0.2594372608313854,0.7500000000000002,0.2594372608313854,0.2594372608313854,0.2594372608313854,0.2594372608313854,0.2594372608313854,0.2594372608313854,0.6126374746329801,0.3214285714285715,0.5357142857142858,0.6071428571428572,0.5357142857142858,
F2,1.0,1.0,1.0,0.9642857142857145,0.8928571428571429,0.2594372608313854,0.7500000000000002,0.2594372608313854,0.2594372608313854,0.2594372608313854,0.2594372608313854,0.2594372608313854,0.2594372608313854,0.6126374746329801,0.3214285714285715,0.5357142857142858,0.6071428571428572,0.5357142857142858,
F3,0.9642857142857145,0.9642857142857145,0.9642857142857145,1.0,0.9642857142857145,0.3335621924974956,0.7857142857142859,0.3335621924974956,0.3335621924974956,0.3335621924974956,0.3335621924974956,0.3335621924974956,0.3335621924974956,0.6847124716486249,0.39285714285714296,0.6071428571428572,0.642857142857143,0.6071428571428572,
F4,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.9642857142857145,1.0,0.37062465833055064,0.7500000000000002,0.37062465833055064,0.37062465833055064,0.37062465833055064,0.37062465833055064,0.37062465833055064,0.37062465833055064,0.7207499701564473,0.42857142857142866,0.642857142857143,0.6071428571428572,0.642857142857143,
N3,0.2594372608313854,0.2594372608313854,0.2594372608313854,0.3335621924974956,0.37062465833055064,1.0,0.7783117824941564,1.0,1.0,1.0,1.0,1.0,1.0,0.897549110408119,0.9636241116594317,0.8153742483272114,0.7783117824941564,0.8153742483272114,
N4,0.7500000000000002,0.7500000000000002,0.7500000000000002,0.7857142857142859,0.7500000000000002,0.7783117824941564,1.0,0.7783117824941563,0.7783117824941563,0.7783117824941563,0.7783117824941563,0.7783117824941563,0.7783117824941563,0.900937462695559,0.8214285714285715,0.9285714285714288,0.9642857142857145,0.9285714285714288,
kDN,0.2594372608313854,0.2594372608313854,0.2594372608313854,0.3335621924974956,0.37062465833055064,1.0,0.7783117824941563,1.0,1.0,1.0,1.0,1.0,1.0,0.897549110408119,0.9636241116594317,0.8153742483272114,0.7783117824941564,0.8153742483272114,
CM,0.2594372608313854,0.2594372608313854,0.2594372608313854,0.3335621924974956,0.37062465833055064,1.0,0.7783117824941563,1.0,1.0,1.0,1.0,1.0,1.0,0.897549110408119,0.9636241116594317,0.8153742483272114,0.7783117824941564,0.8153742483272114,
R,0.2594372608313854,0.2594372608313854,0.2594372608313854,0.3335621924974956,0.37062465833055064,1.0,0.7783117824941563,1.0,1.0,1.0,1.0,1.0,1.0,0.897549110408119,0.9636241116594317,0.8153742483272114,0.7783117824941564,0.8153742483272114,
D3,0.2594372608313854,0.2594372608313854,0.2594372608313854,0.3335621924974956,0.37062465833055064,1.0,0.7783117824941563,1.0,1.0,1.0,1.0,1.0,1.0,0.897549110408119,0.9636241116594317,0.8153742483272114,0.7783117824941564,0.8153742483272114,
D. Over.,0.2594372608313854,0.2594372608313854,0.2594372608313854,0.3335621924974956,0.37062465833055064,1.0,0.7783117824941563,1.0,1.0,1.0,1.0,1.0,1.0,0.897549110408119,0.9636241116594317,0.8153742483272114,0.7783117824941564,0.8153742483272114,
Borderline,0.2594372608313854,0.2594372608313854,0.2594372608313854,0.3335621924974956,0.37062465833055064,1.0,0.7783117824941563,1.0,1.0,1.0,1.0,1.0,1.0,0.897549110408119,0.9636241116594317,0.8153742483272114,0.7783117824941564,0.8153742483272114,
N1,0.6126374746329801,0.6126374746329801,0.6126374746329801,0.6847124716486249,0.7207499701564473,0.897549110408119,0.900937462695559,0.897549110408119,0.897549110408119,0.897549110408119,0.897549110408119,0.897549110408119,0.897549110408119,1.0,0.8648999641877367,0.8468812149338255,0.8108437164260032,0.8468812149338255,
N2,0.3214285714285715,0.3214285714285715,0.3214285714285715,0.39285714285714296,0.42857142857142866,0.9636241116594317,0.8214285714285715,0.9636241116594317,0.9636241116594317,0.9636241116594317,0.9636241116594317,0.9636241116594317,0.9636241116594317,0.8648999641877367,1.0,0.8928571428571429,0.8571428571428573,0.8928571428571429,
ONB,0.5357142857142858,0.5357142857142858,0.5357142857142858,0.6071428571428572,0.642857142857143,0.8153742483272114,0.9285714285714288,0.8153742483272114,0.8153742483272114,0.8153742483272114,0.8153742483272114,0.8153742483272114,0.8153742483272114,0.8468812149338255,0.8928571428571429,1.0,0.9642857142857145,1.0,
LSC,0.6071428571428572,0.6071428571428572,0.6071428571428572,0.642857142857143,0.6071428571428572,0.7783117824941564,0.9642857142857145,0.7783117824941564,0.7783117824941564,0.7783117824941564,0.7783117824941564,0.7783117824941564,0.7783117824941564,0.8108437164260032,0.8571428571428573,0.9642857142857145,1.0,0.9642857142857145,
Clust,0.5357142857142858,0.5357142857142858,0.5357142857142858,0.6071428571428572,0.642857142857143,0.8153742483272114,0.9285714285714288,0.8153742483272114,0.8153742483272114,0.8153742483272114,0.8153742483272114,0.8153742483272114,0.8153742483272114,0.8468812149338255,0.8928571428571429,1.0,0.9642857142857145,1.0,
IR,,,,,,,,,,,,,,,,,,,1.0
