,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,0.9999991986883344,0.9974738047625024,0.9969903101530435,0.9856952876085086,0.8206245784468811,0.9917699704383595,0.8984706088181739,0.8387223756227545,0.8387223756227545,0.8387223756227545,0.9363943896750996,0.8998226685433164,0.8842929159502425,0.9572358085122724,0.9201234965303208,0.9999597439419234,0.9250832500182778,0.9999998949411693
F1v,0.9999991986883344,1.0,0.9975618548513,0.9970822310349668,0.9858940013344063,0.8213150207284425,0.9919293542205512,0.8989845254006863,0.8393782787267159,0.8393782787267161,0.839378278726716,0.9367878517245982,0.9003335700467546,0.884844987901306,0.9575751884910336,0.9206003593559571,0.9999691399743735,0.9255449514039179,0.9999985133829975
F2,0.9974738047625024,0.9975618548513,1.0,0.9998581163777629,0.9948403263789405,0.8582020178203262,0.9981130889757406,0.9262464708296952,0.874566951460794,0.874566951460794,0.8745669514607941,0.9572154536371243,0.9273864207357314,0.9141378133515569,0.9745644121389169,0.945179809227065,0.998032822759282,0.9492408089847153,0.9974414734353376
F3,0.9969903101530435,0.9970822310349668,0.9998581163777629,1.0,0.9957888784788816,0.8622546684277279,0.9981843740012318,0.9295399190348297,0.8783919457496308,0.8783919457496309,0.8783919457496309,0.9598950042607222,0.9304719604647559,0.9175465048240894,0.9764799986126979,0.947513276702463,0.9976324646522676,0.9514491906966448,0.9969564942973532
F4,0.9856952876085086,0.9858940013344063,0.9948403263789405,0.9957888784788816,1.0,0.9046061909824044,0.9978591880657132,0.9590871772682557,0.9183390633868561,0.9183390633868561,0.9183390633868562,0.9803496846016766,0.9595014358087569,0.9497327374570362,0.9916500736500001,0.9723538403071426,0.9871423688709038,0.9750373514039555,0.9856226208038275
N3,0.8206245784468811,0.8213150207284425,0.8582020178203262,0.8622546684277279,0.9046061909824044,1.0,0.8843859472081556,0.9855240555354314,0.9987172185826078,0.9987172185826078,0.9987172185826075,0.9619287402594225,0.9833875877073496,0.9903486975406159,0.9487827501845254,0.977248180105842,0.8256099305161193,0.9738101196724284,0.8203733906267674
N4,0.9917699704383595,0.9919293542205512,0.9981130889757406,0.9981843740012318,0.9978591880657132,0.8843859472081556,1.0,0.9432970771731602,0.8983392060333064,0.8983392060333065,0.8983392060333066,0.968820716844329,0.944303535469503,0.933322333165195,0.9839685044252083,0.9609943126804648,0.9927707973242257,0.9643258194310715,0.9917118565929287
kDN,0.8984706088181739,0.8989845254006863,0.9262464708296952,0.9295399190348297,0.9590871772682557,0.9855240555354314,0.9432970771731602,1.0,0.9907170913747628,0.9907170913747628,0.9907170913747627,0.9940314904918364,0.9995870858105738,0.9993085727373139,0.9868627525989712,0.9940786335875824,0.9023613283456341,0.99233750769727,0.8982832426361802
CM,0.8387223756227545,0.8393782787267159,0.874566951460794,0.8783919457496308,0.9183390633868561,0.9987172185826078,0.8983392060333064,0.9907170913747628,1.0,1.0,0.9999999999999999,0.9700828109869709,0.9888895105481452,0.9940351196830228,0.9583953802227319,0.9838215536866043,0.8434766562517845,0.9808942477725697,0.8384836494485485
R,0.8387223756227545,0.8393782787267161,0.874566951460794,0.8783919457496309,0.9183390633868561,0.9987172185826078,0.8983392060333065,0.9907170913747628,1.0,1.0,1.0,0.9700828109869712,0.9888895105481453,0.9940351196830228,0.958395380222732,0.9838215536866045,0.8434766562517845,0.9808942477725698,0.8384836494485486
D3,0.8387223756227545,0.839378278726716,0.8745669514607941,0.8783919457496309,0.9183390633868562,0.9987172185826075,0.8983392060333066,0.9907170913747627,0.9999999999999999,1.0,1.0,0.970082810986971,0.9888895105481456,0.9940351196830227,0.9583953802227319,0.9838215536866044,0.8434766562517846,0.9808942477725696,0.8384836494485484
D. Over.,0.9363943896750996,0.9367878517245982,0.9572154536371243,0.9598950042607222,0.9803496846016766,0.9619287402594225,0.968820716844329,0.9940314904918364,0.9700828109869709,0.9700828109869712,0.970082810986971,1.0,0.9947780604599432,0.9901981857185987,0.9972557150817929,0.9901411498820073,0.9394963455852253,0.9894777931553461,0.9362506829148499
Borderline,0.8998226685433164,0.9003335700467546,0.9273864207357314,0.9304719604647559,0.9595014358087569,0.9833875877073496,0.944303535469503,0.9995870858105738,0.9888895105481452,0.9888895105481453,0.9888895105481456,0.9947780604599432,1.0,0.9990001357024139,0.987350570858677,0.9927867990422218,0.90368289471715,0.9908957580120503,0.8996364154534018
N1,0.8842929159502425,0.884844987901306,0.9141378133515569,0.9175465048240894,0.9497327374570362,0.9903486975406159,0.933322333165195,0.9993085727373139,0.9940351196830228,0.9940351196830228,0.9940351196830227,0.9901981857185987,0.9990001357024139,1.0,0.9814360513860281,0.992125836507593,0.8884262275355971,0.9898730749489755,0.8840917582779187
N2,0.9572358085122724,0.9575751884910336,0.9745644121389169,0.9764799986126979,0.9916500736500001,0.9487827501845254,0.9839685044252083,0.9868627525989712,0.9583953802227319,0.958395380222732,0.9583953802227319,0.9972557150817929,0.987350570858677,0.9814360513860281,1.0,0.9903201721640986,0.9597849211124356,0.9908729231703746,0.9571119634823048
ONB,0.9201234965303208,0.9206003593559571,0.945179809227065,0.947513276702463,0.9723538403071426,0.977248180105842,0.9609943126804648,0.9940786335875824,0.9838215536866043,0.9838215536866045,0.9838215536866044,0.9901411498820073,0.9927867990422218,0.992125836507593,0.9903201721640986,1.0,0.9234406408324521,0.9998448416924124,0.9199499806635582
LSC,0.9999597439419234,0.9999691399743735,0.998032822759282,0.9976324646522676,0.9871423688709038,0.8256099305161193,0.9927707973242257,0.9023613283456341,0.8434766562517845,0.8434766562517845,0.8434766562517846,0.9394963455852253,0.90368289471715,0.8884262275355971,0.9597849211124356,0.9234406408324521,1.0,0.928269460088399,0.9999559248084575
Clust,0.9250832500182778,0.9255449514039179,0.9492408089847153,0.9514491906966448,0.9750373514039555,0.9738101196724284,0.9643258194310715,0.99233750769727,0.9808942477725697,0.9808942477725698,0.9808942477725696,0.9894777931553461,0.9908957580120503,0.9898730749489755,0.9908729231703746,0.9998448416924124,0.928269460088399,1.0,0.9249152632061586
IR,0.9999998949411693,0.9999985133829975,0.9974414734353376,0.9969564942973532,0.9856226208038275,0.8203733906267674,0.9917118565929287,0.8982832426361802,0.8384836494485485,0.8384836494485486,0.8384836494485484,0.9362506829148499,0.8996364154534018,0.8840917582779187,0.9571119634823048,0.9199499806635582,0.9999559248084575,0.9249152632061586,1.0
