,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
F1,1.0,0.9897430809114245,0.9942086431609386,0.9463442826503629,0.9661636619616354,0.9861114541632641,0.9947864896999707,0.9795496773739409,0.9811582629412862,0.9811582629412862,0.9811582629412853,0.9699255820557492,0.9874270009411794,0.9824282388947783,0.9753291423609899,0.984362343003592,0.8862292310815185,0.9832707695451695,0.0
F1v,0.9897430809114245,1.0,0.9761127578664743,0.8991694224320743,0.9221534250817965,0.9600581165681051,0.9752937494397365,0.9488201773797506,0.9581348979409917,0.9581348979409917,0.9581348979409916,0.9304186703390765,0.9716471291625524,0.952400759182774,0.9408004961243813,0.9584081648400344,0.82779352443984,0.9573453299651279,0.0
F2,0.9942086431609386,0.9761127578664743,1.0,0.9734080857218679,0.9825174103187078,0.9974961396256046,0.9967954228329267,0.9943592609523566,0.9946794790933506,0.9946794790933506,0.9946794790933512,0.9879175807305113,0.9970730514676213,0.9950131375003444,0.9920458881813377,0.9959518135339744,0.9305740985555513,0.995597451119847,0.0
F3,0.9463442826503629,0.8991694224320743,0.9734080857218679,1.0,0.9886800157604494,0.9840697189893755,0.9649226199673093,0.9887357210012641,0.9789634753227756,0.9789634753227756,0.9789634753227754,0.9947781928902631,0.971485610541599,0.9853600129900236,0.994292476611602,0.9806164432648572,0.9879068993274901,0.9812248658939691,0.0
F4,0.9661636619616354,0.9221534250817965,0.9825174103187078,0.9886800157604494,1.0,0.9913639699329674,0.9840178691294047,0.9946344238131656,0.988534521072258,0.988534521072258,0.988534521072258,0.997283223883609,0.9797797819705066,0.9950823753491038,0.9931590780898907,0.9922200812958807,0.9576986177069452,0.9918565743892195,0.0
N3,0.9861114541632641,0.9600581165681051,0.9974961396256046,0.9840697189893755,0.9913639699329674,1.0,0.9944887277593598,0.9992766777974151,0.9979546260506166,0.9979546260506166,0.9979546260506161,0.9956138386164651,0.9968372788307192,0.9993373945609941,0.9964839214511393,0.999112443291724,0.9478128819305144,0.9991118930254509,0.0
N4,0.9947864896999707,0.9752937494397365,0.9967954228329267,0.9649226199673093,0.9840178691294047,0.9944887277593598,1.0,0.99151801824076,0.9927066616258338,0.9927066616258338,0.9927066616258335,0.9850282298158448,0.9921002350577148,0.9935226059265271,0.9860702025233035,0.9944834794923048,0.9144614094199714,0.9935764339962079,0.0
kDN,0.9795496773739409,0.9488201773797506,0.9943592609523566,0.9887357210012641,0.9946344238131656,0.9992766777974151,0.99151801824076,1.0,0.9977420216322872,0.9977420216322872,0.9977420216322864,0.9980389924915485,0.994338282040825,0.999641764020364,0.9975638418334333,0.9987746061465699,0.9568775419311093,0.9988826580943598,0.0
CM,0.9811582629412862,0.9581348979409917,0.9946794790933506,0.9789634753227756,0.988534521072258,0.9979546260506166,0.9927066616258338,0.9977420216322872,1.0,1.0,1.0000000000000004,0.9919875045994718,0.9975302075824051,0.9978015817920423,0.9919104531679541,0.9990702887864273,0.9442973815014541,0.9992425088838486,0.0
R,0.9811582629412862,0.9581348979409917,0.9946794790933506,0.9789634753227756,0.988534521072258,0.9979546260506166,0.9927066616258338,0.9977420216322872,1.0,1.0,1.0000000000000004,0.9919875045994718,0.9975302075824051,0.9978015817920423,0.9919104531679541,0.9990702887864273,0.9442973815014541,0.9992425088838486,0.0
D3,0.9811582629412853,0.9581348979409916,0.9946794790933512,0.9789634753227754,0.988534521072258,0.9979546260506161,0.9927066616258335,0.9977420216322864,1.0000000000000004,1.0000000000000004,1.0,0.9919875045994718,0.9975302075824047,0.9978015817920426,0.9919104531679536,0.9990702887864275,0.9442973815014539,0.9992425088838479,0.0
D. Over.,0.9699255820557492,0.9304186703390765,0.9879175807305113,0.9947781928902631,0.997283223883609,0.9956138386164651,0.9850282298158448,0.9980389924915485,0.9919875045994718,0.9919875045994718,0.9919875045994718,1.0,0.9859976116061935,0.997067077009745,0.9981758477903645,0.9941965125916702,0.9678880664527708,0.9942941523812251,0.0
Borderline,0.9874270009411794,0.9716471291625524,0.9970730514676213,0.971485610541599,0.9797797819705066,0.9968372788307192,0.9921002350577148,0.994338282040825,0.9975302075824051,0.9975302075824051,0.9975302075824047,0.9859976116061935,1.0,0.9946628156527137,0.98907170163966,0.9969078987026204,0.9326331160185605,0.9971656915825415,0.0
N1,0.9824282388947783,0.952400759182774,0.9950131375003444,0.9853600129900236,0.9950823753491038,0.9993373945609941,0.9935226059265271,0.999641764020364,0.9978015817920423,0.9978015817920423,0.9978015817920426,0.997067077009745,0.9946628156527137,1.0,0.9962883371091011,0.999436780667796,0.949763696049794,0.999369826674997,0.0
N2,0.9753291423609899,0.9408004961243813,0.9920458881813377,0.994292476611602,0.9931590780898907,0.9964839214511393,0.9860702025233035,0.9975638418334333,0.9919104531679541,0.9919104531679541,0.9919104531679536,0.9981758477903645,0.98907170163966,0.9962883371091011,1.0,0.9940519081641125,0.9676030467073349,0.9941171501136515,0.0
ONB,0.984362343003592,0.9584081648400344,0.9959518135339744,0.9806164432648572,0.9922200812958807,0.999112443291724,0.9944834794923048,0.9987746061465699,0.9990702887864273,0.9990702887864273,0.9990702887864275,0.9941965125916702,0.9969078987026204,0.999436780667796,0.9940519081641125,1.0,0.9432215796009326,0.9999475166552374,0.0
LSC,0.8862292310815185,0.82779352443984,0.9305740985555513,0.9879068993274901,0.9576986177069452,0.9478128819305144,0.9144614094199714,0.9568775419311093,0.9442973815014541,0.9442973815014541,0.9442973815014539,0.9678880664527708,0.9326331160185605,0.949763696049794,0.9676030467073349,0.9432215796009326,1.0,0.9448806196896876,0.0
Clust,0.9832707695451695,0.9573453299651279,0.995597451119847,0.9812248658939691,0.9918565743892195,0.9991118930254509,0.9935764339962079,0.9988826580943598,0.9992425088838486,0.9992425088838486,0.9992425088838479,0.9942941523812251,0.9971656915825415,0.999369826674997,0.9941171501136515,0.9999475166552374,0.9448806196896876,1.0,0.0
IR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
