,F1,F1v,F2,F3,F4,IN,Raug,deg_overlap,N3,SI,N4,kDN,D3,CM,Borderline,N1,T1,Clust,N2,ONB,LSCAvg,DBC,NSG,ICSV,MRCA,C1,Purity,C2,NeighbourhoodSeparability,IR,Silhouette,Bhattacharyya,Wasserstein,SVM_SVR,TwoNN_ID
F1,1.0,0.7904296934914754,0.6562104510328503,0.9894067337838128,0.8368510204233689,0.9187513581242354,0.9077035908549506,0.9281333258220009,0.9124620646987586,0.9691973443290623,0.8199219395457081,0.9262923760534896,0.8869111771490727,0.9116189749359178,0.8950769946594885,0.9191633268635466,0.9901899301963595,0.9235051475033965,0.9994284864744621,0.9420190329967914,0.998383212635307,0.9984554806798853,0.5550598741072227,0.40610402969980863,0.9474384356170301,0.919407693209112,0.9662968369740549,0.9287760347878516,0.971422798378338,0.8481205502708764,0.6976648516246691,0.9971260149001278,0.9084883494893671,0.9330760720758167,0.9686734651122887
F1v,0.7904296934914754,1.0,0.9543458157009498,0.8141577922506568,0.9450890387255371,0.8840607233747546,0.8209710658131293,0.8930768596032131,0.9201547184778366,0.6418170440732641,0.9836028465430579,0.9106629200592055,0.977137929196455,0.9256851483250002,0.9025121205519686,0.9244130462857028,0.7067095266592325,0.9087400090313432,0.7764095571674408,0.8651906428960144,0.7648221505586876,0.7614492165927738,0.22661788554078,0.19624064722320844,0.9332454150895262,0.9194878971086271,0.635051669383313,0.5628951594200465,0.633108922498783,0.6014284192580943,0.48474524070817016,0.7443273795424699,0.5009185020707971,0.6719476501154753,0.6599479946552895
F2,0.6562104510328503,0.9543458157009498,1.0,0.7076864352232142,0.9089201563791625,0.7576928777438363,0.6531044567567905,0.8420383894790181,0.8703219160240607,0.48948657556573383,0.9610845615198036,0.8617886686663108,0.901190586189164,0.8887509286184396,0.8813221475447306,0.8760017787315808,0.5673445979561387,0.8461836731145271,0.6448062110801656,0.7393568939820594,0.632879468469044,0.6243631687103961,0.11105134833976382,8.853814348341871e-10,0.8156513124604439,0.8713359453251357,0.5139416190600389,0.44862050066432846,0.48434890183706514,0.3762344718221098,0.3451850440662758,0.6077420466986533,0.3571087290456082,0.5837153811831713,0.5076468425273813
F3,0.9894067337838128,0.8141577922506568,0.7076864352232142,1.0,0.8817526127634766,0.9232191943695339,0.9144435884150056,0.965538699468676,0.9516474988462463,0.9330940714803646,0.8599956233654733,0.9598492089432223,0.9061687646265464,0.9439554650626176,0.9351640362018411,0.9548807789890498,0.9688058302640316,0.9594038896309646,0.9878030062090356,0.9637912204804377,0.9849023848367999,0.9839986458754983,0.44915422847469455,0.280570924310809,0.9289248478653997,0.955780410662584,0.9450283591793734,0.9139036510104558,0.9413387361546077,0.8293515926328062,0.6449045452882648,0.9823799596472143,0.8621508483050474,0.9055786463923928,0.951167859491542
F4,0.8368510204233689,0.9450890387255371,0.9089201563791625,0.8817526127634766,1.0,0.9422967988360511,0.8796340731236149,0.9341417989783388,0.9494837233380015,0.697047774398692,0.9604074159855163,0.935855059386227,0.9764622112971676,0.9363968453749822,0.9220923684950909,0.951902241283419,0.7649236448102594,0.9364113268775176,0.8238223134116348,0.9212923112966087,0.8189719461142237,0.8068985434140006,0.18381703305584474,9.28705778946437e-10,0.9132667796900189,0.9478706825465655,0.7066584786745722,0.6242306827720613,0.6966265849800152,0.6952455097286867,0.592982825107496,0.7993383060658532,0.5710599520828007,0.6837041159587868,0.768014926557784
IN,0.9187513581242354,0.8840607233747546,0.7576928777438363,0.9232191943695339,0.9422967988360511,1.0,0.9622924438334367,0.8923553266878474,0.8997207745938363,0.8338941550708521,0.8731342764445728,0.8921430330389474,0.9591217752617293,0.881626605497197,0.8505094676904535,0.90529264405031,0.8718755188767092,0.8989038534582654,0.9063121410829791,0.9540752443829204,0.9069484699772905,0.8965830584607979,0.3782070057556477,0.22722257522083333,0.967015253548385,0.9006373494147137,0.8090387797998398,0.7124034015579338,0.8258953535374819,0.8688250976557277,0.7704488687740613,0.8929308252713513,0.7268933779996903,0.7528925255951093,0.8963186897199639
Raug,0.9077035908549506,0.8209710658131293,0.6531044567567905,0.9144435884150056,0.8796340731236149,0.9622924438334367,1.0,0.8735511999135649,0.8796176267099916,0.814886071277536,0.8195343394750426,0.8642874271776343,0.9067585816522873,0.838448020438031,0.8105785994554969,0.87472432139112,0.8573642380817134,0.8917279047240219,0.8938542831587297,0.9785885283382243,0.8889202466853725,0.8892414887312635,0.26411308282138557,0.044061028294218096,0.9227096722562074,0.8729267178533628,0.7868797947897677,0.7281332222653111,0.8177668551936075,0.9455583225411679,0.656229506647172,0.8835417693428869,0.699737035158778,0.697969669550056,0.8850773619296595
deg_overlap,0.9281333258220009,0.8930768596032131,0.8420383894790181,0.965538699468676,0.9341417989783388,0.8923553266878474,0.8735511999135649,1.0,0.9973560140713902,0.8198977645177349,0.9473911300683212,0.9983020762409601,0.9407360383469934,0.9918179799076744,0.9914766712246802,0.9970076239445036,0.8804312478804529,0.9972546664917639,0.9240272852713302,0.9533088044122332,0.9147242784220053,0.9150365167248535,0.28676673372924477,0.12050375979524786,0.9015483862035346,0.9979683977225936,0.8497685706971172,0.8290702552237338,0.8321774019970509,0.7132442171743104,0.49471536300514085,0.9075259856210868,0.7223970208730951,0.8402499211457853,0.8410324563825783
N3,0.9124620646987586,0.9201547184778366,0.8703219160240607,0.9516474988462463,0.9494837233380015,0.8997207745938363,0.8796176267099916,0.9973560140713902,1.0,0.7912098354726264,0.9662420246461737,0.997477622156822,0.9567922928733669,0.9930408047406439,0.9902082554643805,0.999006226703898,0.8559462743279903,0.9984496057401409,0.9062603818844297,0.9550658010616706,0.895774976497029,0.8960659005660093,0.2524579960661877,0.08090727019445565,0.9081652310369802,0.9992828971729705,0.8171218075060298,0.7910351353796873,0.8018622948052071,0.7067697982172988,0.48243327743142916,0.8866680850528653,0.6827120173398347,0.8110970640606542,0.8164241586041224
SI,0.9691973443290623,0.6418170440732641,0.48948657556573383,0.9330940714803646,0.697047774398692,0.8338941550708521,0.814886071277536,0.8198977645177349,0.7912098354726264,1.0,0.6693140678099627,0.8181217327692166,0.7637573935933523,0.8019108268019695,0.7834261791589693,0.8038011281815979,0.9930134805180832,0.8064838289214661,0.974509837697358,0.8387438509850054,0.979672329618461,0.9786032744363935,0.71343337044054,0.5572281431383524,0.8594012107557231,0.8044352831637399,0.990365761148289,0.9537721254135176,0.9980180532069515,0.8159797566445403,0.7545019184815349,0.9830398357760867,0.9819150521800706,0.9565657514290724,0.9746818954775233
N4,0.8199219395457081,0.9836028465430579,0.9610845615198036,0.8599956233654733,0.9604074159855163,0.8731342764445728,0.8195343394750426,0.9473911300683212,0.9662420246461737,0.6693140678099627,1.0,0.9587824651889892,0.9728959873060722,0.9693191002249455,0.9590771745301702,0.9678573260016532,0.7415030136643527,0.9555519885725596,0.809256446201447,0.8912096161500416,0.7966815671549088,0.79443074689973,0.19343979413366974,0.06819387523649567,0.8995033692141744,0.9652521093483837,0.6854659747387631,0.6364612658032233,0.6703661983580548,0.5941803351909849,0.4363338885325051,0.7794087875407137,0.5377788644530996,0.7159498682121506,0.6901260159971054
kDN,0.9262923760534896,0.9106629200592055,0.8617886686663108,0.9598492089432223,0.935855059386227,0.8921430330389474,0.8642874271776343,0.9983020762409601,0.997477622156822,0.8181217327692166,0.9587824651889892,1.0,0.94983803552098,0.9973284481608965,0.9949784827172293,0.9987242185671835,0.8774258148461913,0.9961861086503478,0.9221707499577614,0.9453223965135447,0.912633172154173,0.9128976107720375,0.3102250409217907,0.17408585000255827,0.9122882624095372,0.9991802959760621,0.8454520232541123,0.8211245336746011,0.8277384757398614,0.6949380408881826,0.49732870846174637,0.904274928253226,0.7193093211833325,0.8480521010186265,0.8307381095961601
D3,0.8869111771490727,0.977137929196455,0.901190586189164,0.9061687646265464,0.9764622112971676,0.9591217752617293,0.9067585816522873,0.9407360383469934,0.9567922928733669,0.7637573935933523,0.9728959873060722,0.94983803552098,1.0,0.953361460260036,0.9299317153040308,0.9614730291772025,0.8199082049621015,0.9501362998744417,0.8746838641478515,0.9395919108034174,0.8677902608997466,0.8619001156759115,0.30636690972898806,0.21854501462580533,0.9706782687154589,0.9572905043573307,0.7560187104445069,0.6790450634608771,0.757801001244264,0.7337174340282898,0.6125844595923935,0.8507324764853185,0.637966448395417,0.7545858138021408,0.7982886128682163
CM,0.9116189749359178,0.9256851483250002,0.8887509286184396,0.9439554650626176,0.9363968453749822,0.881626605497197,0.838448020438031,0.9918179799076744,0.9930408047406439,0.8019108268019695,0.9693191002249455,0.9973284481608965,0.953361460260036,1.0,0.9969434320182756,0.9963220605388755,0.8611023661284434,0.9889191939374992,0.9077062969369553,0.9247192682873399,0.8981215698264268,0.8974382300681607,0.32524454317769513,0.2312471205708816,0.9081217918767068,0.9961848901395197,0.8295918655182268,0.8007275048452505,0.8088276850598409,0.6536721508471546,0.4912436398157246,0.8878481107340097,0.7026953201016661,0.8479456309888476,0.8063475331654781
Borderline,0.8950769946594885,0.9025121205519686,0.8813221475447306,0.9351640362018411,0.9220923684950909,0.8505094676904535,0.8105785994554969,0.9914766712246802,0.9902082554643805,0.7834261791589693,0.9590771745301702,0.9949784827172293,0.9299317153040308,0.9969434320182756,1.0,0.9922027319927139,0.8459625574924267,0.9857485029182881,0.8925559029915112,0.9092159808809234,0.8822359821607906,0.8821933169503984,0.2931044356996053,0.1746852961099019,0.872999735574905,0.9930218934821278,0.8214287196120023,0.8038915161529101,0.7943536987467529,0.6209320917583564,0.445064953642613,0.8731307370994774,0.6887212153797891,0.8408099289147151,0.787660507548516
N1,0.9191633268635466,0.9244130462857028,0.8760017787315808,0.9548807789890498,0.951902241283419,0.90529264405031,0.87472432139112,0.9970076239445036,0.999006226703898,0.8038011281815979,0.9678573260016532,0.9987242185671835,0.9614730291772025,0.9963220605388755,0.9922027319927139,1.0,0.865498575784717,0.9963288891851035,0.9135183905362898,0.9504666240181946,0.9041545288589602,0.9031467712959939,0.2874769285278497,0.14264410141967,0.914821415035759,0.9998706749212151,0.8285017132704176,0.7969107646660457,0.8123118232434366,0.7011891425923497,0.5077677059367292,0.8942460399706339,0.6988358032156243,0.8274835643906098,0.8248475507437382
T1,0.9901899301963595,0.7067095266592325,0.5673445979561387,0.9688058302640316,0.7649236448102594,0.8718755188767092,0.8573642380817134,0.8804312478804529,0.8559462743279903,0.9930134805180832,0.7415030136643527,0.8774258148461913,0.8199082049621015,0.8611023661284434,0.8459625574924267,0.865498575784717,1.0,0.8693002963323625,0.9935139290318985,0.8913070370104919,0.995812930422235,0.9952755801291598,0.6373961757918515,0.48056670270758295,0.8989268901925145,0.8663715703579606,0.9909248878275141,0.9577428598372429,0.9947198815998423,0.8298088496775687,0.7226546190402977,0.9976147585110087,0.9576701901959083,0.956032349820631,0.9797025288930291
Clust,0.9235051475033965,0.9087400090313432,0.8461836731145271,0.9594038896309646,0.9364113268775176,0.8989038534582654,0.8917279047240219,0.9972546664917639,0.9984496057401409,0.8064838289214661,0.9555519885725596,0.9961861086503478,0.9501362998744417,0.9889191939374992,0.9857485029182881,0.9963288891851035,0.8693002963323625,1.0,0.9175701161758785,0.9638722769605045,0.9065066789742139,0.9089018166006365,0.2595010177606396,0.08010031117640681,0.9178126881327823,0.9971259899941264,0.830241511251199,0.8105957460893233,0.8183929709641847,0.7306266661224621,0.4774191041298834,0.8994089523579034,0.6992988514120416,0.8191622300536229,0.8290380653041081
