,F1,F1v,F2,F3,F4,IN,Raug,deg_overlap,N3,SI,N4,kDN,D3,CM,Borderline,N1,T1,Clust,N2,ONB,LSCAvg,DBC,NSG,ICSV,MRCA,C1,Purity,C2,NeighbourhoodSeparability,IR,Silhouette,Bhattacharyya,Wasserstein,SVM_SVR,TwoNN_ID
F1,1.0,0.8807123646909285,0.7774579956905713,0.8974871385268377,0.8375254955578781,0.843426947403175,0.9341690211764577,0.8782640315910996,0.9037333551954735,0.903733355195476,0.8700185787109316,0.8695814991697653,0.9049568073225285,0.8315274189013403,0.7946676734263955,0.885392599995823,0.6481465890492019,0.9185631533680868,0.9787192778360508,0.9815505424278548,0.96108273691539,0.9327732267535845,0.8628110219388486,0.9379219901740633,0.9152519840038579,0.8859657849316441,0.8495687679762973,0.7497201334850478,0.8470435543447858,0.6696064725984482,0.573048138658375,0.9206773766913812,0.9884149905933014,0.6918000784046378,0.5057807556267807
F1v,0.8807123646909285,1.0,0.9501449409213094,0.7267587486675015,0.8767003067816371,0.8106155270303161,0.764662758146214,0.8400236869681589,0.88256245350377,0.8825624535037716,0.9634958444436623,0.8835555943660979,0.9808182071505247,0.9064569185653171,0.8480900627063329,0.8967607852954425,0.6312519972524284,0.867256463810304,0.8579768558062439,0.7828981932008592,0.8629240961200525,0.7378111735246238,0.5018605906078926,0.5740845371626638,0.9245647665886123,0.8892110671832749,0.829072806961025,0.7235161770325272,0.987101323088258,0.526435700139738,0.5342921799415348,0.6139105300030193,0.938407904177313,0.5281913987136323,0.5406035676236618
F2,0.7774579956905713,0.9501449409213094,1.0,0.7774266095217929,0.8942790844008255,0.6788051653414429,0.5884703873203332,0.8907294685600018,0.9174115813266965,0.9174115813266959,0.9780694730289863,0.9273578926690487,0.9249752431259614,0.9567337297161227,0.9127675582602082,0.9430270624304159,0.617088618399546,0.8792822042367966,0.8115562687160245,0.6434084467190935,0.8185464479742763,0.6707154444424701,0.4770776060654784,0.5085398028044392,0.7911755303964115,0.9340816800698714,0.6295192347122451,0.5630007943490091,0.9759900561602887,0.4677433760205082,0.5623307478834774,0.5501865885360163,0.8640371276147721,0.4585014008181889,0.557196927306333
F3,0.8974871385268377,0.7267587486675015,0.7774266095217929,1.0,0.8448127737195843,0.6636465399988243,0.7875925597126873,0.9506085520139604,0.9488564677148373,0.9488564677148358,0.843748602641082,0.9174148064119393,0.7709032127067104,0.8690925218004731,0.8629563026844164,0.9349421763437453,0.6511051854749554,0.9453105787618995,0.9436073053319388,0.8917938088245624,0.9349424331236322,0.8796384608009904,0.9447821918221235,0.9807420418986433,0.6807077139344803,0.9368580451622854,0.5366653093664926,0.5172178386081924,0.7541009773449484,0.6385979495130697,0.5837188403693785,0.9396446012689972,0.8873558602560297,0.6677106502979774,0.5044893739960002
F4,0.8375254955578781,0.8767003067816371,0.8942790844008255,0.8448127737195843,1.0,0.8896484738186573,0.7526291289466053,0.8352636814199074,0.8609333296488643,0.860933329648864,0.8948642794449543,0.8389781332114831,0.9423457647247067,0.8355034171534883,0.7908769424328121,0.873165213872267,0.5365457524940725,0.8302978040229398,0.8250482390826398,0.7996145009692266,0.9444573571674285,0.6932793081165561,0.6728489445656366,0.6766988575641792,0.7764336535525471,0.8637841847775537,0.7235560251594677,0.6739521568641351,0.9259982385310708,0.5332835787858913,0.578788964724491,0.6942503789047905,0.8639536026772899,0.6120582785750526,0.6818174794666074
IN,0.843426947403175,0.8106155270303161,0.6788051653414429,0.6636465399988243,0.8896484738186573,1.0,0.8893054578257966,0.6193501662662212,0.645317589359209,0.6453175893592105,0.6939616545836803,0.6160965568495722,0.9067355738422044,0.6016858858037224,0.5599245913341083,0.6473468062438915,0.360619383002057,0.6310851594083264,0.726654581709477,0.854736784649468,0.8847697034161781,0.6438190627901664,0.5647420256038753,0.5249717963388346,0.9122211964058584,0.6402682962062476,0.9298211122134931,0.8620062595900462,0.8060558639122035,0.6093317979922596,0.5303889791449121,0.6328160769415602,0.820825811474096,0.656279765500377,0.561497565692498
Raug,0.9341690211764577,0.764662758146214,0.5884703873203332,0.7875925597126873,0.7526291289466053,0.8893054578257966,1.0,0.7487474042631668,0.7521350791285848,0.7521350791285887,0.6868588454733362,0.7238842139813039,0.8270259742371158,0.6727735959179987,0.6674955640457291,0.7254544620033547,0.5619178535941342,0.7751731988175187,0.860743588039579,0.9558503640833205,0.8914874495669463,0.8301282210068888,0.7935826188295315,0.7802139866659548,0.8725703744448877,0.7321764762500816,0.9016035838684142,0.8239071580422815,0.7076819688694109,0.8428191688656611,0.5663173683019334,0.8429118800665092,0.8916971685755717,0.8557377075680856,0.5717550398484619
deg_overlap,0.8782640315910996,0.8400236869681589,0.8907294685600018,0.9506085520139604,0.8352636814199074,0.6193501662662212,0.7487474042631668,1.0,0.9922985733771751,0.9922985733771724,0.9260181547116836,0.994109300679214,0.8308811959077179,0.9763054506904721,0.9772464114545871,0.9882623811081988,0.6714138488208027,0.9859600148900245,0.928839942428811,0.8253593159252716,0.8922275404589513,0.8428108833890007,0.8360389882271075,0.9299640398615241,0.7437521672372828,0.9928162567603321,0.5711141217754302,0.5878622059703353,0.8550017553356082,0.6436392158348743,0.6998678380610708,0.8422558134541575,0.9073451819307667,0.6575052911366105,0.5324292226229373
N3,0.9037333551954735,0.88256245350377,0.9174115813266965,0.9488564677148373,0.8609333296488643,0.645317589359209,0.7521350791285848,0.9922985733771751,1.0,0.9999999999999994,0.9597809600135517,0.9929805955819607,0.86958348637229,0.9775644089148673,0.9597148501896393,0.9970790232290636,0.7049431827661999,0.9939431726272648,0.9525657902307946,0.841722897055018,0.9139936529569319,0.8609615017259674,0.8309334412628349,0.9730994077899445,0.7786871791298063,0.9981886004340387,0.5983524892534408,0.5755216031123312,0.894900102764654,0.6132915929534418,0.6508951633075359,0.8498301316372119,0.9380244377698964,0.6295777575586025,0.5467360187460806
SI,0.903733355195476,0.8825624535037716,0.9174115813266959,0.9488564677148358,0.860933329648864,0.6453175893592105,0.7521350791285887,0.9922985733771724,0.9999999999999994,1.0,0.9597809600135531,0.99298059558196,0.869583486372292,0.9775644089148685,0.959714850189641,0.9970790232290628,0.7049431827662153,0.9939431726272667,0.9525657902308177,0.8417228970550158,0.9139936529569468,0.8609615017259589,0.8309334412628325,0.9730994077899466,0.7786871791298072,0.9981886004340369,0.5983524892534386,0.5755216031123338,0.8949001027646696,0.6132915929534459,0.6508951633075395,0.8498301316372174,0.9380244377698953,0.6295777575585976,0.5467360187460854
N4,0.8700185787109316,0.9634958444436623,0.9780694730289863,0.843748602641082,0.8948642794449543,0.6939616545836803,0.6868588454733362,0.9260181547116836,0.9597809600135517,0.9597809600135531,1.0,0.9546199116357422,0.9385298724450571,0.9647064923820241,0.9147694547555074,0.9697656391144591,0.6977054947821218,0.9442755004141203,0.9046609539221013,0.7674440669380895,0.8851627213377673,0.7843665146713907,0.6552091036827699,0.9626465400462046,0.8180627567567275,0.9636807422141603,0.6561253926117646,0.5830901277460355,0.9763799640564096,0.5064369077030693,0.5752811207216324,0.7108708587701001,0.9342107340514402,0.5259090679243881,0.5858551234645412
kDN,0.8695814991697653,0.8835555943660979,0.9273578926690487,0.9174148064119393,0.8389781332114831,0.6160965568495722,0.7238842139813039,0.994109300679214,0.9929805955819607,0.99298059558196,0.9546199116357422,1.0,0.8598193305390605,0.9931862623725889,0.985934600705379,0.9935276602701422,0.6809251714295207,0.984468814654836,0.9191475098637555,0.7958786165409771,0.8768054229851882,0.8227399499939336,0.7764930366967417,0.9129192872514629,0.7676853723693532,0.9965868058381265,0.5895674952033709,0.5942445990936931,0.8953130384948254,0.6176565834283986,0.6957915220048131,0.794250071371927,0.9140605023813252,0.6272818012858984,0.5424062756924165
D3,0.9049568073225285,0.9808182071505247,0.9249752431259614,0.7709032127067104,0.9423457647247067,0.9067355738422044,0.8270259742371158,0.8308811959077179,0.86958348637229,0.869583486372292,0.9385298724450571,0.8598193305390605,1.0,0.8714556352515407,0.8155106257804271,0.8812399890998657,0.5887746678493551,0.8516410019662329,0.8635898711210884,0.840306248432691,0.9234599520251467,0.742911838031393,0.5803820778386664,0.6217249020337421,0.9361693803609674,0.8730826336955028,0.8704791227370706,0.7729847341152252,0.9796020099509375,0.5662091658333964,0.5529700864369654,0.6655094128167707,0.941656155949678,0.5972834947251353,0.5971854074318419
CM,0.8315274189013403,0.9064569185653171,0.9567337297161227,0.8690925218004731,0.8355034171534883,0.6016858858037224,0.6727735959179987,0.9763054506904721,0.9775644089148673,0.9775644089148685,0.9647064923820241,0.9931862623725889,0.8714556352515407,1.0,0.9888239942623456,0.9858790987384518,0.6620914227719206,0.9613807622479613,0.8809746376893904,0.7334084800765397,0.8395134738932818,0.7725526521362197,0.6819151591885366,0.8352512041264208,0.7674860934351685,0.9871604358629017,0.5898561683285245,0.589200535139789,0.9196854638172176,0.5853308851743365,0.6870818061810293,0.7109543193609824,0.8938437113869953,0.5834007123480326,0.5362146397550265
Borderline,0.7946676734263955,0.8480900627063329,0.9127675582602082,0.8629563026844164,0.7908769424328121,0.5599245913341083,0.6674955640457291,0.9772464114545871,0.9597148501896393,0.959714850189641,0.9147694547555074,0.985934600705379,0.8155106257804271,0.9888239942623456,1.0,0.9653494625994988,0.6176223625659314,0.9455855107750797,0.8456225363924982,0.7098299221995948,0.8039532005742418,0.7460359458034904,0.6894887504803633,0.7369822001210843,0.7216032041291531,0.971329481222154,0.5529550020055695,0.6018613151544614,0.8624057576533573,0.6196533377621889,0.7405037027679873,0.6996127015471035,0.8498030292920037,0.6180902793964556,0.5164386279309152
N1,0.885392599995823,0.8967607852954425,0.9430270624304159,0.9349421763437453,0.873165213872267,0.6473468062438915,0.7254544620033547,0.9882623811081988,0.9970790232290636,0.9970790232290628,0.9697656391144591,0.9935276602701422,0.8812399890998657,0.9858790987384518,0.9653494625994988,1.0,0.6921428355830022,0.9832724936394526,0.9352128041708337,0.8114830700184543,0.9023546155494603,0.8364902959618691,0.7881930704668304,0.9569695323417166,0.7787177912980039,0.9993100755689002,0.5978675652407632,0.5679896487803396,0.9135037892621145,0.5985884131137253,0.6395028417360055,0.8119787916170018,0.9287685387023336,0.6057108091031332,0.5415046972393948
T1,0.6481465890492019,0.6312519972524284,0.617088618399546,0.6511051854749554,0.5365457524940725,0.360619383002057,0.5619178535941342,0.6714138488208027,0.7049431827661999,0.7049431827662153,0.6977054947821218,0.6809251714295207,0.5887746678493551,0.6620914227719206,0.6176223625659314,0.6921428355830022,1.0,0.7202525967428407,0.6946083046475864,0.6084415469062093,0.632066483025284,0.5777879933986464,0.6231781951257164,0.9867486398756072,0.5432243313472698,0.691213619454313,0.433114323373214,0.6354954552518455,0.632784134572468,0.6581910341809564,0.45724887124129443,0.6180795168784865,0.6791416739040398,0.6404139148255583,0.6558002978664507
Clust,0.9185631533680868,0.867256463810304,0.8792822042367966,0.9453105787618995,0.8302978040229398,0.6310851594083264,0.7751731988175187,0.9859600148900245,0.9939431726272648,0.9939431726272667,0.9442755004141203,0.984468814654836,0.8516410019662329,0.9613807622479613,0.9455855107750797,0.9832724936394526,0.7202525967428407,1.0,0.9651509535787638,0.866681458573913,0.9145046743510813,0.8823995186282674,0.8628100111534907,0.9796988539876711,0.7857896832867998,0.9869814529322224,0.5993931113482064,0.5863885121209108,0.8704604442166943,0.6199252550388624,0.6673701531444259,0.8791476007745881,0.9446916176355393,0.6491455832461164,0.5563841832540833
N2,0.9787192778360508,0.8579768558062439,0.8115562687160245,0.9436073053319388,0.8250482390826398,0.726654581709477,0.860743588039579,0.928839942428811,0.9525657902307946,0.9525657902308177,0.9046609539221013,0.9191475098637555,0.8635898711210884,0.8809746376893904,0.8456225363924982,0.9352128041708337,0.6946083046475864,0.9651509535787638,1.0,0.9450418814707429,0.9482298691515131,0.9588669604315911,0.9017266108198772,0.9804956299796072,0.871477544132202,0.9357762105871994,0.7157920850434009,0.6329549986008711,0.8419451184115906,0.6377963893812764,0.6026182232833354,0.9478539888811256,0.97882830842422,0.6625028381372914,0.5328994470774145
ONB,0.9815505424278548,0.7828981932008592,0.6434084467190935,0.8917938088245624,0.7996145009692266,0.854736784649468,0.9558503640833205,0.8253593159252716,0.841722897055018,0.8417228970550158,0.7674440669380895,0.7958786165409771,0.840306248432691,0.7334084800765397,0.7098299221995948,0.8114830700184543,0.6084415469062093,0.866681458573913,0.9450418814707429,1.0,0.9534133127204442,0.9016061593115675,0.9063160167466003,0.9464620854738597,0.851698194831881,0.815456568938433,0.8396148050247382,0.7510412587672273,0.7424689746481673,0.6813323845721371,0.5221573934608797,0.9400965571426876,0.9432455824300323,0.7164651585442591,0.4617699433144552
LSCAvg,0.96108273691539,0.8629240961200525,0.8185464479742763,0.9349424331236322,0.9444573571674285,0.8847697034161781,0.8914874495669463,0.8922275404589513,0.9139936529569319,0.9139936529569468,0.8851627213377673,0.8768054229851882,0.9234599520251467,0.8395134738932818,0.8039532005742418,0.9023546155494603,0.632066483025284,0.9145046743510813,0.9482298691515131,0.9534133127204442,1.0,0.8619173018333262,0.8707414167631028,0.9262843538449648,0.8100744184067041,0.9001063196484762,0.7836743801426739,0.7167898201057096,0.8744665693438132,0.6372916822862668,0.5831775890152603,0.893264642454879,0.9534789509858896,0.6986271701861231,0.6163364756534925
DBC,0.9327732267535845,0.7378111735246238,0.6707154444424701,0.8796384608009904,0.6932793081165561,0.6438190627901664,0.8301282210068888,0.8428108833890007,0.8609615017259674,0.8609615017259589,0.7843665146713907,0.8227399499939336,0.742911838031393,0.7725526521362197,0.7460359458034904,0.8364902959618691,0.5777879933986464,0.8823995186282674,0.9588669604315911,0.9016061593115675,0.8619173018333262,1.0,0.8775277065614485,0.9034184329663535,0.9204773319191407,0.8393763428318715,0.6740123843560645,0.596764814747981,0.7083101783225643,0.635261920465049,0.6735203603119119,0.9513833255754065,0.9133163459302234,0.6533236814086664,0.5247987320474684
NSG,0.8628110219388486,0.5018605906078926,0.4770776060654784,0.9447821918221235,0.6728489445656366,0.5647420256038753,0.7935826188295315,0.8360389882271075,0.8309334412628349,0.8309334412628325,0.6552091036827699,0.7764930366967417,0.5803820778386664,0.6819151591885366,0.6894887504803633,0.7881930704668304,0.6231781951257164,0.8628100111534907,0.9017266108198772,0.9063160167466003,0.8707414167631028,0.8775277065614485,1.0,0.9996077468343918,0.5903334570179457,0.7977016462337725,0.4443247735488888,0.44850035908250807,0.5032231281126973,0.6135158379300679,0.5187317450991907,0.9815879412533226,0.8084361537908651,0.6702332903578363,0.43994952595244236
ICSV,0.9379219901740633,0.5740845371626638,0.5085398028044392,0.9807420418986433,0.6766988575641792,0.5249717963388346,0.7802139866659548,0.9299640398615241,0.9730994077899445,0.9730994077899466,0.9626465400462046,0.9129192872514629,0.6217249020337421,0.8352512041264208,0.7369822001210843,0.9569695323417166,0.9867486398756072,0.9796988539876711,0.9804956299796072,0.9464620854738597,0.9262843538449648,0.9034184329663535,0.9996077468343918,1.0,0.5468996269865459,0.9521376438142504,0.38245481010511534,0.48492767537488385,0.5604045493172726,0.6803113662047204,0.4421555707885425,0.987396878365825,0.938465624068943,0.7193497044216937,0.5729120226671259
