,F1,F1v,F2,F3,F4,IN,Raug,deg_overlap,N3,SI,N4,kDN,D3,CM,Borderline,N1,T1,Clust,N2,ONB,LSCAvg,DBC,NSG,ICSV,MRCA,C1,Purity,C2,NeighbourhoodSeparability,IR,Silhouette,Bhattacharyya,Wasserstein,SVM_SVR,TwoNN_ID
F1,1.0,0.15444238797222654,0.022961566005453956,1.820796761049105,0.024956047939422073,3.2706601023072857,2.513210764298588,2.0444578944904728,2.7216048167449762,2.143097576283112,0.04213924086035097,2.5334664829375004,2.9332892815383187,2.2566883303320466,3.197979603785255,1.2580932945538479,3.452618605377487,1.0314825446638332,3.4570648474134225,0.8376424512150897,2.6887520899991637,1.335812022774114,3.452914450517703,3.012400172418473,1.2222733255917813,2.6928503747302037,0.12347357066909972,3.4583219563550833,3.4633577591926263,1.841422802408023,3.458746186994308,3.407060405412863,3.463854258637753,0.058594651357060955,2.1517441234017767
F1v,0.15444238797222654,1.0,0.1315002608820854,1.6875989925508474,0.12950714713179806,3.216520347724799,2.404421324175311,1.9177484981942523,2.62335142812231,2.262305745156618,0.11233362078890834,2.425617068648871,2.84821495905819,2.137270236955544,3.1354359652335675,1.1129454223446253,3.4617502562974702,0.8830200568131382,3.4437883003718324,0.6869503148047701,2.588700069791093,1.1919860290630204,3.4618831589260846,2.9331491807160566,1.076548736827178,2.5930196386630993,0.0309934538925361,3.463800951976621,3.4567135591660096,1.9704064229421892,3.463891502160657,3.375760967588659,3.4622555980173697,0.2129566805219352,2.028569941947368
F2,0.022961566005453956,0.1315002608820854,1.0,1.8012228922504978,0.001994529556422095,3.263022591134957,2.4973529298592703,2.0258768290176232,2.7073396486684036,2.1610904716712005,0.01917844807389073,2.5177509553786765,2.9210101415045227,2.2392180043716996,3.189083505711566,1.2366719313988717,3.454410808733377,1.0095398619795002,3.4555260942023365,0.8153438800699964,2.6742153771751194,1.3145969706492926,3.4546824657968886,3.000996767509651,1.2007617111995708,2.6783470769335125,0.10052388286388488,3.459571822727756,3.4628058555319496,1.8608310828534658,3.459946497158264,3.4028358233054896,3.464052557942993,0.08155164512297049,2.1337021560220406
F3,1.820796761049105,1.6875989925508474,1.8012228922504978,1.0,1.7995188952976178,2.1824781511176994,0.8849293717353126,0.26938958604818325,1.188872038104651,3.2537030099584836,1.7848133335112573,0.9134811998633081,1.5268122886244198,0.5383869885555274,2.0207178646067145,0.6261853203922182,3.0853445118685516,0.8607018161724821,2.824997949762687,1.0541642791711898,1.139333484880353,0.5435730697991394,3.083678652590924,1.6636950202714096,0.6638771979003033,1.1454768490205023,1.714598287464342,3.047200389708785,2.9086172070075764,3.1087732645385815,3.0436323425891105,2.5693913007752385,2.9685297384586584,1.8703839232983854,0.4035962263838061
F4,0.024956047939422073,0.12950714713179806,0.001994529556422095,1.7995188952976178,1.0,3.262352400133601,2.4959702781029613,2.02425860482975,2.7060949064976345,2.1626489213525995,0.017183945905991507,2.5163806226373304,2.9199374701810576,2.237695820800409,3.188304142382295,1.2348086248938437,3.454559321907255,1.0076317427372712,3.455385265419527,0.8134052497570333,2.672947116287661,1.3127514234933335,3.454828877338375,2.9999999999999996,1.1988906396045083,2.6770817100341207,0.09853017660616392,3.459673215730367,3.4627507331820317,1.862513101041423,3.460043584741729,3.402461802419151,3.4640625985099884,0.08354560837845412,2.1321305363285474
IN,3.2706601023072857,3.216520347724799,3.263022591134957,2.1824781511176994,3.262352400133601,1.0,1.4228520437658412,1.9666681043948269,1.1266752833869127,3.2757598821960405,3.2565335458128186,1.3958442728857892,0.7733733725105045,1.7378612481377889,0.20344901919704603,2.6328037121104617,1.4036978652080663,2.782436412182429,0.9307132037819789,2.897604779540823,1.1762818145284324,2.577565715286886,1.4003509046024698,0.6223191175189808,2.6575736486998354,1.1701589789967202,3.227898196135528,1.3283440968373499,1.0733738408981939,3.3770247079512723,1.3214263871137475,0.5315094693773492,1.1803983761033061,3.289498672064215,1.8541929188734645
Raug,2.513210764298588,2.404421324175311,2.4973529298592703,0.8849293717353126,2.4959702781029613,1.4228520437658412,1.0,0.6217981363346602,0.3182441749349364,3.449452223921935,2.484023714639128,0.0295650138302555,0.6818153812451464,0.3536527662736387,1.234901036425659,1.4757602022760636,2.58062707822037,1.6893232321486866,2.219114796023224,1.8621471074515228,0.26583388707988975,1.3995043481974188,2.578183940349321,0.8323031289825362,1.5103766355865267,0.27232163827019373,2.4266367100058077,2.5252055817838897,2.3314744175470863,3.396026091899036,2.520074493690155,1.8906086194890683,2.4139292281162197,2.5531772578030743,0.48869770295852155
deg_overlap,2.0444578944904728,1.9177484981942523,2.0258768290176232,0.26938958604818325,2.02425860482975,1.9666681043948269,0.6217981363346602,1.0,0.9322439852618911,3.3363035161602177,2.010288935505189,0.6508603204790792,1.2803767567264515,0.27064041656766447,1.7957908642669775,0.8892407918096613,2.953518790603003,1.1190371831642805,2.6605342209276106,1.3075850565874374,0.881480876638396,0.807979305053751,2.9516045315128756,1.4223691727498833,0.9262630072269286,0.887772525620271,1.943482421804091,2.9098453412988268,2.753493967631566,3.2182042728427342,2.9057762405751673,2.3809278604779105,2.82069251430164,2.091467027131333,0.13481901867547352
N3,2.7216048167449762,2.62335142812231,2.7073396486684036,1.188872038104651,2.7060949064976345,1.1266752833869127,0.3182441749349364,0.9322439852618911,1.0,3.4641016151377544,2.6953336229646165,0.28879259823748504,0.36691303872252257,0.6687385760845264,0.9323429064366595,1.7574399251088002,2.357411249003313,1.9600160985368715,1.9653595463903415,2.1226247490604107,0.0525960276923265,1.6847023856143717,2.354728065051466,0.5198614521095473,1.7903909041290065,0.04608927550154481,2.643487365819882,2.2966720256769433,2.086239103706205,3.4444460496576337,2.2910617508837956,1.6159458074103692,2.175468150763491,2.757465555539258,0.8016924342951123
SI,2.143097576283112,2.262305745156618,2.1610904716712005,3.2537030099584836,2.1626489213525995,3.2757598821960405,3.449452223921935,3.3363035161602177,3.4641016151377544,1.0,2.1760461072588604,3.4520427047189384,3.444615337307695,3.3989393517473125,3.3362758736077622,2.9851976332620893,2.5382301320157383,2.856280254715266,2.852606151120821,2.737601902153824,3.463702305030123,3.026842888540013,2.5407195318765448,3.4248713947549256,2.9655522943310446,3.4637949966306816,2.238743966323677,2.593317876094822,2.7654305997741337,0.36849886159650647,2.5982755923183496,3.064101686875428,2.6958001270520167,2.096755519848363,3.3700577503648184
