,F1,F1v,F2,F3,F4,IN,Raug,deg_overlap,N3,SI,N4,kDN,D3,CM,Borderline,N1,T1,Clust,N2,ONB,LSCAvg,DBC,NSG,ICSV,MRCA,C1,Purity,C2,NeighbourhoodSeparability,IR,Silhouette,Bhattacharyya,Wasserstein,SVM_SVR,TwoNN_ID
F1,1.0,0.33333333333333337,1.0,-0.33333333333333337,0.816496580927726,-1.0,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-1.0,0.33333333333333337,-0.33333333333333337,0.33333333333333337,-1.0,0.33333333333333337,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,-1.0,0.33333333333333337,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,-1.0,0.33333333333333337,-0.33333333333333337,-1.0,-0.33333333333333337,1.0,-0.33333333333333337
F1v,0.33333333333333337,1.0,0.33333333333333337,0.33333333333333337,0.816496580927726,-0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,-0.33333333333333337,1.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,-0.33333333333333337,1.0,-1.0,1.0,-0.33333333333333337,1.0,0.33333333333333337,1.0,-1.0,-0.33333333333333337,1.0,0.33333333333333337,1.0,-1.0,-0.33333333333333337,-0.33333333333333337,-1.0,-0.33333333333333337,-1.0,0.33333333333333337,0.33333333333333337
F2,1.0,0.33333333333333337,1.0,-0.33333333333333337,0.816496580927726,-1.0,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-1.0,0.33333333333333337,-0.33333333333333337,0.33333333333333337,-1.0,0.33333333333333337,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,-1.0,0.33333333333333337,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,-1.0,0.33333333333333337,-0.33333333333333337,-1.0,-0.33333333333333337,1.0,-0.33333333333333337
F3,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,1.0,0.0,0.33333333333333337,1.0,1.0,1.0,-1.0,0.33333333333333337,1.0,1.0,1.0,0.33333333333333337,0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337,-0.33333333333333337,0.33333333333333337,-1.0,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,-0.33333333333333337,1.0
F4,0.816496580927726,0.816496580927726,0.816496580927726,0.0,1.0,-0.816496580927726,0.0,0.0,0.0,0.0,0.816496580927726,0.0,0.0,0.0,-0.816496580927726,0.816496580927726,-0.816496580927726,0.816496580927726,-0.816496580927726,0.816496580927726,0.0,0.816496580927726,-0.816496580927726,-0.816496580927726,0.816496580927726,0.0,0.816496580927726,-0.816496580927726,-0.816496580927726,0.0,-0.816496580927726,-0.816496580927726,-0.816496580927726,0.816496580927726,0.0
IN,-1.0,-0.33333333333333337,-1.0,0.33333333333333337,-0.816496580927726,1.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,-0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,1.0,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,0.33333333333333337,1.0,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,0.33333333333333337,1.0,-0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337,-1.0,0.33333333333333337
Raug,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,1.0,0.0,0.33333333333333337,1.0,1.0,1.0,-1.0,0.33333333333333337,1.0,1.0,1.0,0.33333333333333337,0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337,-0.33333333333333337,0.33333333333333337,-1.0,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,-0.33333333333333337,1.0
deg_overlap,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,1.0,0.0,0.33333333333333337,1.0,1.0,1.0,-1.0,0.33333333333333337,1.0,1.0,1.0,0.33333333333333337,0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337,-0.33333333333333337,0.33333333333333337,-1.0,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,-0.33333333333333337,1.0
N3,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,1.0,0.0,0.33333333333333337,1.0,1.0,1.0,-1.0,0.33333333333333337,1.0,1.0,1.0,0.33333333333333337,0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337,-0.33333333333333337,0.33333333333333337,-1.0,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,-0.33333333333333337,1.0
SI,0.33333333333333337,-0.33333333333333337,0.33333333333333337,-1.0,0.0,-0.33333333333333337,-1.0,-1.0,-1.0,1.0,-0.33333333333333337,-1.0,-1.0,-1.0,-0.33333333333333337,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-1.0,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-1.0,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,1.0,0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.33333333333333337,-1.0
N4,0.33333333333333337,1.0,0.33333333333333337,0.33333333333333337,0.816496580927726,-0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,-0.33333333333333337,1.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,-0.33333333333333337,1.0,-1.0,1.0,-0.33333333333333337,1.0,0.33333333333333337,1.0,-1.0,-0.33333333333333337,1.0,0.33333333333333337,1.0,-1.0,-0.33333333333333337,-0.33333333333333337,-1.0,-0.33333333333333337,-1.0,0.33333333333333337,0.33333333333333337
kDN,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,1.0,0.0,0.33333333333333337,1.0,1.0,1.0,-1.0,0.33333333333333337,1.0,1.0,1.0,0.33333333333333337,0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337,-0.33333333333333337,0.33333333333333337,-1.0,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,-0.33333333333333337,1.0
D3,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,1.0,0.0,0.33333333333333337,1.0,1.0,1.0,-1.0,0.33333333333333337,1.0,1.0,1.0,0.33333333333333337,0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337,-0.33333333333333337,0.33333333333333337,-1.0,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,-0.33333333333333337,1.0
CM,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,1.0,0.0,0.33333333333333337,1.0,1.0,1.0,-1.0,0.33333333333333337,1.0,1.0,1.0,0.33333333333333337,0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337,-0.33333333333333337,0.33333333333333337,-1.0,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,-0.33333333333333337,1.0
Borderline,-1.0,-0.33333333333333337,-1.0,0.33333333333333337,-0.816496580927726,1.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,-0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,1.0,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,0.33333333333333337,1.0,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,0.33333333333333337,1.0,-0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337,-1.0,0.33333333333333337
N1,0.33333333333333337,1.0,0.33333333333333337,0.33333333333333337,0.816496580927726,-0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,-0.33333333333333337,1.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,-0.33333333333333337,1.0,-1.0,1.0,-0.33333333333333337,1.0,0.33333333333333337,1.0,-1.0,-0.33333333333333337,1.0,0.33333333333333337,1.0,-1.0,-0.33333333333333337,-0.33333333333333337,-1.0,-0.33333333333333337,-1.0,0.33333333333333337,0.33333333333333337
T1,-0.33333333333333337,-1.0,-0.33333333333333337,-0.33333333333333337,-0.816496580927726,0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,0.33333333333333337,-1.0,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,0.33333333333333337,-1.0,1.0,-1.0,0.33333333333333337,-1.0,-0.33333333333333337,-1.0,1.0,0.33333333333333337,-1.0,-0.33333333333333337,-1.0,1.0,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337,1.0,-0.33333333333333337,-0.33333333333333337
Clust,0.33333333333333337,1.0,0.33333333333333337,0.33333333333333337,0.816496580927726,-0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,-0.33333333333333337,1.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,-0.33333333333333337,1.0,-1.0,1.0,-0.33333333333333337,1.0,0.33333333333333337,1.0,-1.0,-0.33333333333333337,1.0,0.33333333333333337,1.0,-1.0,-0.33333333333333337,-0.33333333333333337,-1.0,-0.33333333333333337,-1.0,0.33333333333333337,0.33333333333333337
