,F1,F1v,F2,F3,F4,IN,Raug,deg_overlap,N3,SI,N4,kDN,D3,CM,Borderline,N1,T1,Clust,N2,ONB,LSCAvg,DBC,NSG,ICSV,MRCA,C1,Purity,C2,NeighbourhoodSeparability,IR,Silhouette,Bhattacharyya,Wasserstein,SVM_SVR,TwoNN_ID
F1,1.0,0.2221214178622809,0.0326174340307166,2.9729944831095905,0.03543906197092683,5.016837938050679,3.9512308104337297,3.324071612571795,4.150386289429301,3.4561573157875,0.059670932275223354,3.973385682065875,4.2665802785803155,3.6311034153501343,4.791666912007607,2.026104798956736,5.625438581436979,1.6378484100576485,5.628128992585578,1.3092597692083285,4.123656945177991,2.1593753986509476,5.626316554969113,4.277786156314069,1.964638031736091,4.127098086869436,0.1767200482575889,5.642106809398464,5.652149554981552,3.003080119910098,5.643314947847744,5.457036957071521,5.656433229661174,0.08432307460208643,3.4831193282702997
F1v,0.2221214178622809,1.0,0.18979570129068468,2.7508730652473092,0.18697594866749656,5.009225086517674,3.7291093925714485,3.1019501947095143,3.9282648715670208,3.6706658821167752,0.16260487826652714,3.751264264203594,4.044458860718034,3.408981997487853,4.7840540604746025,1.8039833810944552,5.617825729903975,1.4157269921953675,5.620516141052573,1.0871383513460477,3.90153552731571,1.9372539807886668,5.618703703436108,4.234734242810136,1.7425166138738102,3.904976669007155,0.04540136960469199,5.634493957865457,5.644536703448546,3.2175886862393743,5.635702096314738,5.449424105538516,5.6488203781281685,0.3034477435905488,3.260997910408019
F2,0.0326174340307166,0.18979570129068468,1.0,2.9406687665379945,0.0028216279402102362,5.017129655509799,3.9189050938621337,3.291745896000199,4.118060572857706,3.488774749818216,0.02719082302415754,3.9410599654942784,4.234254562008719,3.598777698778538,4.791958629466729,1.9937790823851398,5.6257302988961,1.6055226934860523,5.628420710044699,1.2769340526367325,4.0913312286063945,2.1270496820793516,5.626608272428234,4.245460439742473,1.9323123151644948,4.094772370297839,0.1443943316859927,5.642398526857583,5.652441272440672,3.035697553940815,5.643606665306864,5.4573286745306415,5.656724947120294,0.11694050863280303,3.4507936116987032
F3,2.9729944831095905,2.7508730652473092,2.9406687665379945,1.0,2.937849013914806,3.4905972361058075,1.4102534696010207,0.4051036644715832,1.9255372725012667,4.902911096952218,2.9134779435138367,1.4584799475687933,2.4926770684531125,0.8339213533991742,3.2654262100627363,0.9468896841528545,4.586552639049676,1.335146073051942,4.101888290640707,1.663734713901262,1.8414842641740439,0.8136190844586428,4.58187156332075,2.7161063923982707,1.0083564513734995,1.8519118244413333,2.796274434852002,4.479832116284699,4.12590885303668,4.4498339010748165,4.469899894083442,3.93079625512665,4.262929260066957,3.054320808837858,0.6164615228349333
F4,0.03543906197092683,0.18697594866749656,0.0028216279402102362,2.937849013914806,1.0,5.017131530826822,3.9160853412389454,3.2889261433770107,4.115240820234517,3.4915963777584262,0.02437107040096942,3.9382402128710905,4.231434809385531,3.59595794615535,4.79196050478375,1.9909593297619517,5.625732174213122,1.6027029408628641,5.6284225853617205,1.2741143000135442,4.088511475983207,2.1242299294561633,5.6266101477452555,4.242640687119286,1.9294925625413066,4.091952617674652,0.14157457906280457,5.642400402174606,5.652443147757694,3.038519181881025,5.643608540623886,5.457330549847664,5.656726822437316,0.11976213657301327,3.4479738590755153
IN,5.016837938050679,5.009225086517674,5.017129655509799,3.4905972361058075,5.017131530826822,1.0,2.080343766504787,3.085493571634224,1.6202261505481796,5.346888328779208,5.016992330730147,2.0321172885370142,1.1692803437473467,2.656675882706633,0.3241428659958837,4.298356384611215,2.2181810223199414,4.538504277732169,1.5107167161905095,4.705237053247793,1.67754981462408,4.204752436308738,2.2134999465910155,0.9570568975359423,4.339563538752882,1.670563396048246,5.012555043484155,2.111460499554964,1.7324162711210738,5.463312721449906,2.101528277353707,0.8679214370610395,1.8945576433372233,5.01384118917686,2.8741357132708742
Raug,3.9512308104337297,3.7291093925714485,3.9189050938621337,1.4102534696010207,3.9160853412389454,2.080343766504787,1.0,1.0051498051294374,0.515283802900246,5.202899036727274,3.891714270837976,0.048226477967772734,1.0824235988520918,0.5763321162018464,1.8551727404617155,2.218012618106428,4.1545354967727945,2.4581605112273825,3.4470711906433626,2.641971041225401,0.4312307945730234,2.1244086698039504,4.149854421043869,1.3058529227972497,2.2592197722480956,0.4416583548403129,3.7745107621761407,4.047814974007817,3.668770745573927,5.319323429397973,4.037882751806561,2.8042759115138924,3.8309121177900765,4.032557136161998,0.7937919467660874
deg_overlap,3.324071612571795,3.1019501947095143,3.291745896000199,0.4051036644715832,3.2889261433770107,3.085493571634224,1.0051498051294374,1.0,1.5204336080296834,4.848884561942842,3.2645550729760413,1.0533762830972102,2.087573403981529,0.428817688927591,2.8603225455911527,1.297966813615059,4.532526104040299,1.6862232025141468,3.8250617979108665,2.0148118433634665,1.4363805997024608,1.1646962139208474,4.527845028311372,2.311002727926687,1.359433580835704,1.4468081599697502,3.1473515643142065,4.425805581275321,4.046761352841431,4.692164231536038,4.415873359074065,3.525692590655067,4.20890272505758,3.405397938300063,0.21135785836335003
N3,4.150386289429301,3.9282648715670208,4.118060572857706,1.9255372725012667,4.115240820234517,1.6202261505481796,0.515283802900246,1.5204336080296834,1.0,5.402054515722847,4.090869749833548,0.4670573249324732,0.567139795951846,1.0916159191020922,1.3398889375614695,2.733296421006674,3.8384071728681213,2.9734443141276286,3.1309428667386894,3.1401770896432524,0.08405300832722257,2.639692472704196,3.833726097139195,0.790569119897004,2.7745035751483416,0.07362544805993304,3.973666241171713,3.731686650103144,3.352642421669253,5.518478908393545,3.721754427901887,2.488147587609219,3.5147837938854027,4.231712615157569,1.3090757496663334
SI,3.4561573157875,3.6706658821167752,3.488774749818216,4.902911096952218,3.4915963777584262,5.346888328779208,5.202899036727274,4.848884561942842,5.402054515722847,1.0,3.515828248062723,5.2250539083594205,5.51824850487386,4.882771641643679,5.44586016873202,4.763780561304769,3.7373079498455644,4.615672065526646,4.447462667123596,4.45381620019294,5.375325171471536,4.803447212696506,3.7428669991066297,5.529454382607614,4.743520948225793,5.378766313162981,3.628594469478565,3.860696700572028,4.249783674589008,0.5695015885481048,3.8718370612225654,4.919165910739011,4.09192597705248,3.371834241185413,4.796574419277996
N4,0.059670932275223354,0.16260487826652714,0.02719082302415754,2.9134779435138367,0.02437107040096942,5.016992330730147,3.891714270837976,3.2645550729760413,4.090869749833548,3.515828248062723,1.0,3.913869142470121,4.207063738984561,3.5715868757543805,4.791821304687076,1.9665882593609822,5.625592974116449,1.5783318704618947,5.628283385265047,1.2497432296125748,4.064140405582237,2.0998588590551934,5.626470947648582,4.242501487022611,1.9051214921403372,4.067581547273682,0.11720350866183515,5.642261202077933,5.652303947661021,3.0627510521853214,5.643469340527213,5.457191349750991,5.656587622340643,0.1439940068773098,3.423602788674546
