complexity_metric,ml_metric,correlation,p_value,abs_correlation
N1,best_accuracy,-0.9979995844321308,3.4339094048509744e-07,0.9979995844321308
kDN,best_accuracy,-0.9967885053885579,1.1206609663419724e-06,0.9967885053885579
D3,best_accuracy,-0.9967176412008308,1.1834635253573265e-06,0.9967176412008308
R,best_accuracy,-0.9967176412008307,1.1834635253575268e-06,0.9967176412008307
CM,best_accuracy,-0.9967176412008307,1.1834635253575268e-06,0.9967176412008307
N3,best_accuracy,-0.9966095113781851,1.2832766380421943e-06,0.9966095113781851
ONB,best_accuracy,-0.9961431385087088,1.7706838527316852e-06,0.9961431385087088
Clust,best_accuracy,-0.9960377011045374,1.8940848926642191e-06,0.9960377011045374
D. Over.,best_accuracy,-0.995697246071781,2.327117487362099e-06,0.995697246071781
Borderline,best_accuracy,-0.9893280962590412,2.2468348699142463e-05,0.9893280962590412
F4,best_accuracy,-0.9734127432246514,0.00021823465073066395,0.9734127432246514
N4,best_accuracy,-0.9726848996444724,0.00023338663076576685,0.9726848996444724
F1v,best_accuracy,-0.962950034426912,0.0004974488870305812,0.962950034426912
N2,best_accuracy,-0.9613034442431012,0.0005540789048993557,0.9613034442431012
F2,best_accuracy,-0.9443832011359404,0.0013595802085942742,0.9443832011359404
F1,best_accuracy,-0.9422096973762537,0.0014945540740375137,0.9422096973762537
LSC,best_accuracy,-0.911098612332095,0.004312426070398598,0.911098612332095
F3,best_accuracy,-0.851301032253062,0.015091092538971227,0.851301032253062
