complexity_metric,ml_metric,correlation,p_value,abs_correlation
R,best_accuracy,-0.9973728072001808,0.0001615848185868116,0.9973728072001808
CM,best_accuracy,0.9965608693629746,0.0002419817988861896,0.9965608693629746
N4,best_accuracy,0.9902893285475054,0.0011470283265029473,0.9902893285475054
kDN,best_accuracy,0.9877488894062847,0.0016247904157252354,0.9877488894062847
Clust,best_accuracy,0.9861189765183976,0.00195911420744034,0.9861189765183976
N1,best_accuracy,0.9845280380095582,0.002304843610767959,0.9845280380095582
N3,best_accuracy,0.9835826806031006,0.0025189227000827186,0.9835826806031006
Borderline,best_accuracy,0.9829836892220158,0.002657788058411908,0.9829836892220158
F3,best_accuracy,0.9812841957594267,0.003064951507186432,0.9812841957594267
D. Over.,best_accuracy,0.9791642717238618,0.003599025219541565,0.9791642717238618
ONB,best_accuracy,-0.9755198725890619,0.004580924985756798,0.9755198725890619
D3,best_accuracy,0.9733490853733362,0.005201854898256971,0.9733490853733362
F4,best_accuracy,0.9674468439537476,0.00701602989777784,0.9674468439537476
LSC,best_accuracy,0.9640951901301198,0.008122877465145905,0.9640951901301198
N2,best_accuracy,0.9473953565230891,0.014368555502466851,0.9473953565230891
F1v,best_accuracy,-0.9452701453348558,0.015243071852242667,0.9452701453348558
IR,best_accuracy,-0.9424882532549843,0.016412935359557186,0.9424882532549843
F1,best_accuracy,-0.868354796075467,0.0561919531173842,0.868354796075467
F2,best_accuracy,0.7921596819413002,0.11012931089915613,0.7921596819413002
